Reaction Name,E-zyme1,E-zyme2
R00305,1.1.1;1.1.99;1.1.3;2.3.1;1.14.13;1.1.5;1.1.-;1.1.2;1.14.11;5.3.3;1.14.-;1.1.98;1.4.3;1.-.-;1.2.1;1.6.5;1.6.99;4.2.1;1.14.15;1.1.9;1.3.1;1.14.12;5.1.3;1.6.1;1.6.3;6.4.1;5.4.99;1.11.1;4.1.1,1.1.1;1.1.5;1.1.1;5.1.3;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;5.1.3;5.3.99;5.1.3;5.1.3;1.1.1;5.1.3;5.1.3;5.1.3;5.1.3;1.1.1;5.1.3;5.1.3;5.1.3;1.1.1;1.1.1;4.2.1;5.1.3;4.2.1;1.1.1;5.1.3;1.1.1;1.1.1;5.1.3;4.1.1;4.2.1;5.1.3;4.2.1;1.1.1;1.1.1;1.1.1
R00334,,
R00339,4.2.1;2.3.1;4.1.2;4.3.3;3.5.5;3.2.-;2.5.1;3.5.1;3.5.2;2.8.1;2.9.1;5.4.4,4.2.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;2.3.3;1.1.1;1.1.1;4.1.3;4.2.1;4.2.1
R00346,4.1.1;6.4.1;2.1.3;1.3.8;1.1.1,4.1.1;2.7.1
R00381,2.7.1;3.1.3;3.6.1;2.7.8;2.7.4;2.7.7;3.6.3;2.7.11;3.1.4;2.7.2;2.7.6;2.7.3;3.6.4;3.1.7;4.6.1;2.7.9;3.6.5;3.2.1;2.7.12;2.7.13;2.6.-;2.7.-;4.1.1;2.7.10;1.3.7;1.18.6;4.2.3;3.1.5;2.7.99;2.4.1;5.1.3;1.19.6;3.-.-,2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;2.7.1;2.7.1;3.1.3;3.1.3;2.7.8;2.7.7;3.1.5;2.7.7;2.7.1;3.1.3;3.1.3;2.7.1;3.1.3;2.7.1;3.1.3;2.7.1;2.7.1;2.7.7;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;2.7.1;3.1.3;2.7.1;3.1.3;3.1.3;2.7.1;2.7.1;2.7.1;3.1.3;3.1.3;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1
R00416,,
R00428,4.3.2;3.5.3;3.5.4;1.14.11,3.5.4;3.5.4
R00432,,
R00435,,2.7.7;2.7.7;2.7.7;2.4.2;2.7.8;3.6.1;3.6.1;3.6.1;3.6.1;3.6.1;3.6.1;3.6.1;3.6.1;3.6.1;2.7.6;3.6.1;3.6.1;3.6.1;3.6.1;2.7.7;3.6.1;2.7.7;3.6.1;3.6.1;3.-.-;3.6.1;2.7.7;2.7.7;3.6.1;2.7.7;2.7.7;2.7.7;2.7.7;2.7.7;2.7.7;2.7.7;2.7.7;2.7.7;3.6.1;2.7.7;2.7.7;2.7.7;2.4.1;2.4.1;2.7.7;2.7.7;2.4.1;2.7.7;2.7.7;2.4.1;2.7.7;2.4.1;2.7.7;2.7.7;2.7.7;2.7.7;2.7.7;2.7.7;2.7.7;2.7.7;2.4.99;2.4.1;2.4.1;1.2.1;2.4.2;2.4.1;2.4.1;2.4.2;2.4.2;2.4.1;2.4.1;2.7.7;2.7.7;3.6.1;2.4.2;2.4.2;2.4.99;2.4.2;3.6.1;2.4.1;2.4.1;2.4.1;3.6.1;3.6.1;2.4.1;2.4.1;2.7.7;2.4.1;2.7.7;2.4.1;2.7.1;2.7.7;2.7.7;2.4.2;2.4.1;2.7.4;2.7.4;2.7.1;3.6.1;2.4.1;2.7.4;2.7.8;4.6.1;2.7.1;2.7.4;2.7.4;2.7.4;2.7.8;3.6.1;2.7.4;2.7.4;2.7.8;4.2.3;2.7.8;2.7.8;2.7.8;2.7.8;2.7.8;2.7.8;2.7.8
R00441,2.4.1;3.2.1;2.4.2;3.2.2;6.1.1;2.5.1;3.1.1;3.1.4;4.2.2;2.4.99;4.2.1;2.7.8;6.3.4;5.1.3;4.3.3;6.5.1;3.5.1;3.6.1;3.1.3;1.14.14;1.14.11;3.2.-,3.6.1;3.6.1;3.6.1;3.6.1;2.7.6;3.6.1;3.6.1;3.6.1;3.6.1;3.6.1;3.6.1;3.6.1;3.6.1;3.6.1;3.6.1;3.6.1;3.-.-;2.7.8;3.6.1;3.6.1;2.4.2;2.9.1;2.5.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.99;2.4.1;2.4.1;2.4.2;2.4.2;2.4.2;2.4.1;2.4.1;3.6.1;2.4.2;2.4.1;2.4.1;2.4.2;2.4.2;3.6.1;2.4.1;2.4.1;2.4.1;3.6.1;2.4.1;2.4.1;2.4.99;2.4.1;2.4.1;2.7.4;2.4.2;2.7.4;3.6.1;2.7.1;3.6.1;3.6.1;2.7.4;2.4.1;2.7.7;2.7.7;4.6.1;2.7.7;2.7.7;2.7.7;2.7.7;2.7.8;2.7.7;2.7.7;2.7.7;2.7.4;2.7.7;2.7.4;2.7.4;3.6.1;2.7.7;2.7.7;3.6.1;2.7.4;2.7.7;2.7.4;2.7.8;2.7.8;2.7.8;2.7.8;2.7.8;2.4.1;2.7.7;2.7.7;2.7.8;3.6.1;4.2.3;2.7.7;2.7.8;2.7.7;2.7.7;2.7.7;2.7.8;2.7.7;2.7.7;2.7.8;2.7.7;2.7.7;2.7.7;2.7.7;2.7.1;2.7.4;2.7.7;2.7.7;2.7.1;2.7.7;2.7.1;2.7.7;2.7.7;1.2.1;1.18.6;2.7.1;2.7.1;2.7.8;2.7.8;4.2.3;2.7.8
R00454,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,1.1.1;2.3.1;2.3.1;1.2.1;1.2.1;1.2.1;3.1.2;6.2.1;6.2.1;2.3.1;2.3.1;1.2.7;2.3.1;3.1.2;1.2.7;1.2.7;1.2.1;1.2.1;2.3.1;1.2.4;1.2.1;6.2.1;6.2.1;2.3.1;2.3.1;2.3.1;2.3.1;6.2.1;2.3.1
R00462,4.1.1;6.4.1;2.1.3;1.3.8;1.1.1,4.1.1;4.1.1;4.1.1;4.1.1;4.1.1;4.1.1;4.1.1;4.1.1;4.1.1
R00468,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.1;1.6.3;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-
R00484,3.5.99;3.5.4;6.3.4,3.5.99;5.3.2;5.3.2
R00491,5.1.1,5.1.1;5.1.1;5.1.1;5.1.1;5.1.1
R00493,2.6.1;1.4.3;1.4.1;1.4.9;1.4.99;1.4.7;1.4.2;4.3.1;1.13.12;4.1.1;1.14.11;2.-.-;2.4.2;1.4.5,1.4.3;1.4.3;2.6.1;2.6.1;1.4.1;1.4.99;2.6.1;1.4.1;2.6.1;2.6.1;4.4.1;4.4.1;4.4.1;1.4.3;1.4.3;4.4.1;4.4.1;4.4.1;2.6.1;2.6.1;1.4.1;2.6.1;1.4.1;1.4.1
R00501,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.1;1.6.3;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-
R00533,1.14.13;1.14.14;1.14.11;1.14.99;1.14.15;1.14.-;1.17.4;1.14.18;1.17.1;1.14.16;1.14.12;1.7.1;1.17.99;1.5.99;1.1.1;1.1.4;1.10.99;1.3.99;1.97.1;1.10.3;1.13.11;1.17.2;1.6.6;2.6.3;1.14.17;1.7.2;1.17.3;1.7.3;3.7.1;1.3.7;1.14.20;1.8.99;1.4.-;1.1.-;4.1.99;1.-.-;1.17.7;1.1.99;1.17.-;1.13.12;3.8.1;2.1.1;1.5.1;3.5.99,1.8.-;2.5.1
R00554,,
R00577,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,2.3.1;2.3.1;1.1.1;1.2.1;1.2.1;3.1.2;1.2.1;6.2.1;2.3.1;2.3.1;6.2.1;1.2.7;2.3.1;3.1.2;1.2.7;1.2.1;1.2.7;1.2.1;2.3.1;1.2.4;1.2.1;6.2.1;6.2.1;2.3.1;2.3.1;2.3.1;6.2.1;2.3.1
R00608,1.11.1;1.1.1;1.1.99;1.1.3;1.1.2;1.2.99;1.14.21;1.10.3;1.14.99,1.1.1
R00615,,
R00625,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.3;1.6.1;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-
R00647,1.1.3;1.1.1;1.10.3;1.14.13;1.3.3;1.3.2,1.1.3;1.1.3;1.10.3;1.1.3;1.3.2;1.1.1;1.1.1;5.3.3
R00660,2.5.1;1.5.3;4.4.1;4.2.1;1.5.99;2.3.1;1.14.15;3.3.2;1.5.1;3.3.1;2.1.2;4.1.99;4.1.3;3.5.99;1.4.3;4.3.3;3.5.-;3.1.1;1.3.1;3.7.1,2.5.1;2.5.1;3.3.2
R00666,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.3;1.6.1;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-
R00697,4.3.1;3.5.1,4.3.1;4.3.1;1.3.1;4.3.1;1.3.99;1.14.12
R00705,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.3;1.6.1;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-
R00727,,
R00754,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.3;1.6.1;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-
R00762,2.7.1;3.1.3;3.6.1;2.7.8;2.7.4;2.7.7;3.6.3;2.7.11;3.1.4;2.7.2;2.7.6;2.7.3;3.6.4;3.1.7;4.6.1;2.7.9;3.6.5;3.2.1;2.7.12;2.7.13;2.6.-;2.7.-;4.1.1;2.7.10;1.3.7;1.18.6;4.2.3;2.7.99;3.1.5;2.4.1;5.1.3;1.19.6;3.-.-,2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;2.7.8
R00810,,5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;2.6.1;5.3.1;4.2.2;5.1.3;5.3.99;1.1.1;1.1.1;4.2.2;5.1.3;1.1.1;4.2.3;5.4.99;1.1.3;4.2.1;5.5.1;5.3.99;1.14.13;1.1.1;4.2.3
R00827,2.1.1;1.14.14;3.1.1;2.3.1;1.5.3;1.14.11;1.5.8;2.-.-;1.16.1;1.14.99;1.14.13;1.2.7;1.5.99;3.7.1,2.-.-;2.5.1;2.3.1
R00856,,
R00878,5.3.1;3.5.4,5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;5.3.1;2.6.1;5.3.1;1.1.3;1.3.2;5.1.3
R00892,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.3;1.6.1;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-
R00913,3.5.3;2.1.4;1.14.13,2.1.4;2.1.4;3.5.3;3.5.3;2.1.4;6.3.4;3.5.3;3.5.1;3.5.3;2.1.2;3.5.1;1.5.3;2.1.3;3.5.1;2.1.3;2.1.2;2.3.1
R00956,,
R00984,2.1.1;1.14.14;3.1.1;2.3.1;1.5.3;1.14.11;1.5.8;2.-.-;1.16.1;1.14.99;1.14.13;1.2.7;1.5.99;3.7.1,2.-.-
R00993,1.2.3,1.2.3;2.3.1;2.3.1;2.3.1
R00997,3.5.99;3.5.4;6.3.4,3.5.99
R01012,2.7.1;3.1.3;3.6.1;2.7.8;2.7.4;2.7.7;3.6.3;2.7.11;3.1.4;2.7.2;2.7.6;3.6.4;2.7.3;3.1.7;4.6.1;2.7.9;3.6.5;3.2.1;2.7.12;2.7.13;4.1.1;2.6.-;2.7.-;2.7.10;1.3.7;1.18.6;4.2.3;3.1.5;2.7.99;2.4.1;5.1.3;1.19.6;3.-.-,2.7.1;4.1.1
R01016,4.2.3;4.1.99;3.1.7,4.2.3
R01054,,
R01057,5.4.2,2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;2.7.1;2.7.1;2.7.1;3.1.3;3.1.3;3.1.3;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;3.1.3;2.7.1;2.7.1;2.7.1;3.1.3;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;3.1.3;3.1.3;3.1.3;2.7.1;2.7.1;2.7.1;2.7.1;3.1.3;3.1.3;2.7.1;3.1.3;3.1.3;2.7.1;2.7.1;2.7.1;2.7.1;2.7.1;2.7.8;2.7.1;2.7.1;2.7.1;3.1.3;2.7.1;2.7.6;2.7.8;2.7.1;2.4.1;2.7.7;2.7.1;3.1.3;2.7.1;2.7.1;2.7.1;3.6.1;2.7.7;2.7.1;3.1.7;3.1.5;2.7.7;2.7.7;2.7.7;2.7.6;2.7.1;2.7.1;2.7.7;2.7.1;2.7.1
R01160,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,1.1.1;2.3.1;2.3.1;1.2.1;1.2.1;3.1.2;1.2.1;6.2.1;6.2.1;2.3.1;2.3.1;1.2.7;2.3.1;1.2.7;3.1.2;1.2.1;1.2.7;1.2.1;2.3.1;1.2.4;1.2.1;6.2.1;6.2.1;2.3.1;2.3.1;2.3.1;2.3.1;6.2.1;2.3.1
R01214,2.6.1;1.4.3;1.4.1;1.4.9;1.4.99;1.4.7;1.4.2;4.3.1;1.13.12;4.1.1;1.14.11;2.-.-;2.4.2;1.4.5,2.6.1;1.4.1;2.6.1;2.6.1;1.5.1;4.4.1;1.4.3;1.4.3;1.4.1;1.5.1;1.4.1;4.4.1;4.4.1;2.6.1;2.6.1;1.4.3;1.4.3;2.6.1;1.4.1;1.4.1;1.4.99;2.6.1;1.4.1;4.4.1;4.4.1;4.4.1;1.4.3;4.3.1
R01259,2.6.1;1.4.1;1.4.3;4.3.1;1.4.99;1.4.5;3.5.1;1.4.2;1.4.7;1.13.12;1.4.9,1.4.99;2.6.1;1.4.1;2.6.1;4.4.1;4.4.1;2.6.1;4.4.1;4.4.1;1.4.3;1.4.3;4.4.1;4.4.1;4.3.1;4.3.1;1.4.1;2.6.1;1.4.3;1.4.3;1.4.1;2.6.1;1.4.1;2.6.1;1.4.1;4.4.1;4.3.1;2.6.1;1.4.1;4.4.1;4.4.1;4.4.1
R01264,2.1.1;1.14.14;3.1.1;2.3.1;1.5.3;1.14.11;1.5.8;2.-.-;1.16.1;1.5.99;1.14.99;1.14.13;1.2.7;3.7.1,1.5.3;1.5.8;3.5.1;3.5.1;3.5.1;2.1.2;2.1.2;2.1.1;3.5.1;3.5.1;2.1.3;3.5.1;2.3.1;2.3.1;1.5.1;3.5.3;6.3.2;2.5.1;3.5.1;2.3.1;2.3.2;2.3.2;2.1.4;3.5.1;6.3.2;6.3.2;3.5.1;3.5.1
R01265,5.1.1,5.1.1;5.1.1;5.1.1;5.1.1;5.1.1;2.1.2
R01286,4.4.1;2.5.1;4.2.1;1.8.3;3.3.1;2.1.2;1.1.1;1.8.1;4.5.1;2.3.1;4.1.99,4.2.1;2.1.1
R01332,3.2.1;2.4.1;2.4.99;4.2.1;2.5.1;5.1.3;4.2.2;1.-.-;2.4.2,3.2.1;3.2.1;3.2.1;3.2.1;1.17.1
R01337,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.3;1.6.1;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-
R01425,3.5.1;2.3.1;6.3.2;2.3.2;6.3.1;6.3.4;3.4.13;2.1.3;3.4.11;6.2.1;3.1.1;3.4.19;2.1.2;6.3.5;3.1.2;3.4.17;3.5.4;1.2.1;3.5.3;4.3.2;2.7.7;2.3.3;1.2.99;6.1.1;2.3.-;3.4.15;1.2.7;1.4.1;4.3.3;1.4.7;3.5.5;3.7.1,3.5.1;6.3.2;2.3.1;2.3.1;2.3.1;6.3.2;3.5.1;2.3.1;2.3.1;2.3.1;2.3.1;2.3.1;6.3.2;6.3.1
R01447,1.1.1;1.1.99;1.1.3;2.3.1;1.14.13;1.1.5;1.1.-;1.1.2;5.3.3;1.14.11;1.14.-;1.1.98;1.4.3;1.-.-;1.6.5;1.6.99;1.2.1;5.1.3;4.2.1;1.14.15;1.1.9;1.3.1;1.14.12;1.6.1;1.6.3;6.4.1;5.4.99;1.11.1;4.1.1,1.1.1;1.1.1;1.1.1;4.2.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.1;1.1.99;2.3.3;4.1.3;2.3.3;1.1.1;4.1.3
R01449,3.1.2;6.2.1;2.8.3;2.3.1;3.2.1,2.8.3;2.8.3;3.1.2;2.8.3;6.2.1;3.1.2;2.8.3;2.8.3;2.8.3;2.8.3;6.2.1;6.2.1;6.2.1;2.3.3;2.3.1;6.2.1;6.2.1;6.2.1
R01460,2.4.1;3.2.1;2.4.2;3.1.4;4.2.2;5.1.3;6.5.1;2.4.99;6.1.1;4.2.1;3.1.3;3.6.1;2.7.8;3.1.1,3.2.1;2.4.1;2.4.1;3.2.1;3.2.1;3.2.1;3.2.1;3.2.1;3.2.1;3.2.1;3.2.1;2.4.1;3.2.1;3.2.1;3.2.1;3.2.1;2.4.1;2.4.1;2.4.1;3.2.1;2.4.1;3.2.1;3.2.1;2.4.1;3.2.1;2.4.1;2.4.1;2.4.1;3.2.1;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;3.2.1;2.4.1;2.4.1;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;3.2.1;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;2.4.1;3.2.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.1;2.4.2;4.2.2
R01515,2.7.2;2.7.1;3.6.1;6.3.4;6.2.1;2.7.4;2.7.7;3.6.3;2.7.8;1.2.1;2.7.11;3.6.4;2.7.3;2.7.6;3.6.5,2.7.1;2.7.2;2.7.2;2.7.2;2.7.2;2.7.2;2.7.2;2.7.2;2.7.2
R01523,,
R01619,,
R01659,2.5.1;1.5.3;4.4.1;4.2.1;1.5.99;2.3.1;1.14.15;1.5.1;3.1.1;3.3.1;2.1.2;4.1.99;4.1.3;3.3.2;3.5.99;1.4.3;4.3.3;3.5.-;1.3.1;3.7.1;1.1.1;1.8.3,2.5.1;2.5.1;2.5.1;2.5.1;2.5.1;2.5.1;5.3.3;1.17.1;2.5.1;2.5.1;2.5.1;2.5.1
R01689,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.1;1.6.3;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-
R01703,1.11.1;1.14.21;1.10.3;1.14.99;1.1.1;1.1.3;1.1.99;1.2.99;1.1.2;4.1.2,1.14.15
R01704,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.1;1.6.3;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-;1.-.-
R01776,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,1.1.1;2.3.1;2.3.1;1.2.1;1.2.1;3.1.2;1.2.1;6.2.1;2.3.1;6.2.1;2.3.1;1.2.7;2.3.1;1.2.7;3.1.2;1.2.1;1.2.7;1.2.1;2.3.1;1.2.4;1.2.1;6.2.1;6.2.1;2.3.1;2.3.1;2.3.1;2.3.1;6.2.1;2.3.1
R01784,4.1.2;4.1.3;2.2.1;4.2.1;2.5.1;1.14.99;4.1.1;1.13.11;2.1.2;1.11.1,4.1.3;4.1.2;4.1.3;4.1.2;4.1.2;4.1.2;4.1.2;4.1.2;4.1.2;4.1.3;4.1.1;4.1.3
