Reaction ID,BridgIT
R00209,1.2.4.1;1.8.1.4;2.3.1.12;1.2.1.18;1.1.1.6;1.17.1.10;1.3.1.20;1.1.3.39;1.2.5.1;1.2.3.13
R12413,1.13.11.48;1.13.12.3;1.14.13.128;1.13.99.1
R10576,1.5.3.7;1.4.3.3;2.6.1.82;1.3.3.14;1.21.3.3;1.5.1.1;2.5.1.46
R01155,2.6.1.29;2.6.99.2;2.7.8.29
R12248,1.14.18.5;1.14.11.56;1.14.15.16;1.14.19.2;1.10.3.1;1.14.13.229;1.14.12.10;1.14.14.1;1.2.3.9;1.14.16.1;1.14.99.46;1.14.21.11
R06908,2.3.1.16;2.1.2.3;6.2.1.11;2.3.3.14;2.3.2.19;1.2.1.95;2.1.3.12;6.1.2.2;6.3.4.10;6.3.1.20
R05684,
R02174,2.1.1.49;2.8.4.4;2.1.2.3;2.3.1.101;2.1.3.2
R00509,2.7.1.25;2.7.2.3;2.7.7.96;2.7.11.7;2.7.3.2;6.3.5.5;2.7.14.1;2.7.4.26;2.7.10.1;2.7.12.1;2.7.6.5;2.7.8.38;2.7.99.1
R00181,3.5.4.4;2.1.2.3;3.5.99.6;4.3.2.4;3.5.2.17;3.5.1.26;3.5.3.22;3.8.1.8;3.4.14.13;2.3.2.2;3.4.17.21;4.2.1.48;3.4.19.13;3.4.13.22;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.5.5.1;3.1.1.1;3.4.11.1;3.13.1.6;1.2.7.12
R13355,
R00484,3.5.1.7;3.5.3.14;4.2.1.48;3.4.13.22;3.5.5.4;2.3.2.2;3.4.11.1;3.4.17.21;3.5.2.11;3.4.14.13;3.13.1.6;3.4.19.13;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;1.2.7.12;3.1.1.1;3.5.4.16;3.5.99.6;3.8.1.8;2.1.2.3;4.3.2.4
R09774,2.4.99.12;2.4.1.92;2.4.2.34
R10596,2.1.2.13;2.1.1.324;2.1.3.2;2.3.1.32;2.8.4.4
R04016,2.4.1.47;2.4.2.51;2.4.99.18
R10155,1.14.13.239;1.13.11.11;1.13.99.1;1.13.12.23
R08966,2.7.7.96;2.7.4.14;2.7.2.6;2.7.3.8;2.7.1.82;6.3.5.5;2.7.11.15;2.7.14.1;2.7.8.38;2.7.10.1;2.7.12.1;2.7.6.1;2.7.99.1
R09426,2.4.1.35;2.4.2.40;2.4.99.18
R03770,2.7.1.119;2.7.2.13;2.7.11.29;6.3.5.5;2.7.3.8;2.7.7.40;2.7.4.2;2.7.14.1;2.7.10.1;2.7.12.1;2.7.6.1;2.7.8.4;2.7.99.1
R08222,2.4.2.4;2.4.1.71;2.4.99.18
R08104,1.14.12.3;1.14.13.69;1.14.14.1;1.14.15.3;1.14.18.1;1.2.3.9;1.14.21.11;1.14.99.2;1.14.16.4;1.14.11.40;1.10.3.4;1.14.19.18
R05338,4.1.2.13;4.1.1.81;4.1.99.12;4.1.3.6;1.1.1.262;4.2.1.155;2.1.2.11;1.3.8.6;4.2.99.21;3.1.1.82
R06894,
R07648,2.5.1.41;1.3.1.96;2.4.1.178;2.4.2.34;2.1.3.12;4.4.1.20
R00705,1.2.1.18;1.2.4.1;1.8.1.4;2.3.1.12;1.1.1.202;1.17.1.9;1.3.1.20;1.1.3.39;1.2.5.1;1.2.3.13
R10257,2.4.2.51;2.4.1.297;2.4.99.1
R04279,
R10762,3.1.7.6;3.1.5.1;3.1.3.74;3.2.1.42;3.6.1.7;2.4.1.17;5.1.3.14;4.2.3.1;3.1.4.46;3.1.1.95;3.11.1.3;4.6.1.13;3.1.6.2;3.1.2.28;3.7.1.8;2.3.1.85;4.2.1.155
R05386,5.5.1.7;4.5.1.1
R03422,3.1.3.31;3.1.4.17;4.6.1.13;3.6.1.20;3.1.7.2;4.2.3.1;3.1.5.1;3.1.1.3;3.2.1.42;2.4.1.17;3.1.6.1;3.11.1.3;5.1.3.14;3.1.2.4;3.7.1.8;4.2.1.155;2.3.1.85
R09765,2.4.99.12;2.4.1.92;2.4.2.34
R09723,3.2.1.175;3.1.1.93;3.1.3.10;3.7.1.8;3.1.4.49;2.4.1.17;5.1.3.14;3.6.1.20;3.1.6.3;4.6.1.13;3.1.2.31;4.2.3.1;2.3.1.85;3.1.5.1;3.1.7.2;3.11.1.3;4.2.1.155
R11882,
R04125,2.1.2.10;2.1.1.45;2.3.1.101;2.8.4.4;2.1.3.2
R12151,
R11842,2.5.1.41;1.3.1.96;2.4.1.269;2.4.2.34;2.1.3.12;4.4.1.20
R12662,2.6.1.82;1.3.3.7;1.4.3.3;1.5.3.7;1.21.3.3;1.5.1.48;2.5.1.46
R03462,1.13.11.39;1.13.12.23;1.14.13.239;1.13.99.1
R11704,2.3.1.134;2.1.3.12;6.1.2.2;6.2.1.51;2.1.2.13;1.2.1.95;2.3.2.19;6.3.1.20;6.3.4.10;2.3.3.13
R08391,1.14.13.239;1.13.11.48;1.13.12.23;1.13.99.1
R04431,2.4.1.37;2.4.2.9;2.4.99.1
R07259,2.3.1.191;6.2.1.51;1.2.1.95;2.1.2.3;2.3.2.19;6.3.4.10;6.1.2.2;2.1.3.12;6.3.1.20;2.3.3.1
R02975,1.7.1.10;1.7.99.1;1.7.3.3
R11462,2.8.3.24;2.3.1.187;2.8.2.18
R10002,
R12575,6.2.1.37;3.1.2.23;4.2.1.155;2.3.1.85
R06336,
R08540,2.5.1.41;1.3.1.96;2.4.1.178;2.4.2.34;2.1.3.12;4.4.1.20
R12973,1.1.3.8;1.1.5.4;4.1.1.5;5.4.99.3;1.1.1.86;1.1.99.18;1.4.3.5;4.2.1.155;1.2.1.89;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1
R02770,2.3.1.4;6.3.4.10;1.2.1.95;6.2.1.51;2.1.3.12;2.3.3.14;6.1.2.2;6.3.1.20;2.3.2.19;2.1.2.13
R05281,1.14.13.236;1.14.14.1;1.14.18.1;1.14.15.3;1.14.12.9;1.2.3.9;1.14.21.11;1.14.99.2;1.14.16.7;1.14.11.40;1.10.3.4;1.14.19.3
R01393,2.2.1.6;1.2.4.4;4.1.1.1
R08692,2.4.1.35;2.4.2.40;2.4.99.18
R11892,2.7.4.12;2.7.3.8;2.7.2.6;2.7.1.82;6.3.5.5;2.7.7.14;2.7.11.15;2.7.14.1;2.7.10.1;2.7.12.1;2.7.8.38;2.7.6.1;2.7.99.1
R12086,1.13.12.2;1.13.11.54;1.13.99.1;1.14.13.239
R11306,2.4.1.35;2.4.2.40;2.4.99.18
R09521,
R08968,2.7.1.82;2.7.3.8;2.7.2.1;6.3.5.5;2.7.11.15;2.7.7.14;2.7.14.1;2.7.4.26;2.7.10.1;2.7.12.1;2.7.8.4;2.7.6.1;2.7.99.1
R10368,1.14.13.239;1.13.11.25;1.13.99.1;1.13.12.23
R02219,1.1.1.201;5.3.3.1;1.2.1.3;2.3.1.85;1.3.1.20;1.17.1.4;1.1.3.16;4.1.1.56;5.4.99.3;1.1.99.9;1.4.3.5;1.1.5.4;4.2.1.155
R10857,1.1.3.47;1.1.99.9;4.1.1.5;1.4.3.5;1.1.1.38;5.4.99.3;1.1.5.4;4.2.1.155;1.2.1.5;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1
R00428,1.14.16.7;1.14.18.5;1.14.11.40;1.14.99.46;1.14.13.1;1.14.14.1;1.14.12.3;1.14.15.16;1.10.3.4;1.2.3.9;1.14.21.11;1.14.19.29
R10401,3.1.1.95;3.2.1.175;3.7.1.8;3.1.6.1;3.1.2.28;3.6.1.20;3.1.3.48;3.1.4.49;4.6.1.13;2.4.1.17;5.1.3.14;3.1.7.3;3.1.5.1;4.2.3.1;2.3.1.85;3.11.1.3;4.2.1.155
R12467,
R04818,
R01258,
R10217,1.1.1.54;1.2.1.23;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.3.39;1.1.99.9;4.1.1.5;5.4.99.3;1.4.3.5;4.2.1.155;1.1.5.4
R01424,3.5.1.32;3.5.5.1;3.4.13.22;3.4.11.1;4.2.1.48;3.5.2.16;2.3.2.2;3.1.1.1;3.4.17.8;3.4.14.13;3.4.19.13;3.13.1.6;1.2.7.12;3.5.3.5;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.5.4.1;3.5.99.8;2.1.2.3;3.8.1.8;4.3.2.4
R00953,2.4.1.279;2.5.1.7;2.1.3.12;2.4.2.34;4.4.1.20;1.3.1.96
R11867,5.3.3.19;5.3.99.8;5.3.1.5;5.3.2.7;1.1.3.8;5.99.1.4;4.2.1.159;5.5.1.9;3.5.4.16;3.1.3.77;1.1.1.153
R02780,2.3.1.122;2.1.3.12;2.3.2.19;6.1.2.2;2.3.3.14;2.1.2.13;6.3.1.20;6.3.4.10;6.2.1.11;1.2.1.95
R00400,2.6.1.12;2.6.99.2;2.7.8.29
R03423,3.1.3.31;3.1.4.17;4.6.1.13;3.6.1.20;3.1.7.2;4.2.3.1;3.1.5.1;3.1.1.3;3.2.1.42;2.4.1.17;3.1.6.1;3.11.1.3;5.1.3.14;3.1.2.4;3.7.1.8;4.2.1.155;2.3.1.85
R01437,4.1.1.14;1.1.1.381;4.2.1.155;4.1.2.35;4.1.3.22;2.1.2.11;1.3.8.6;4.1.99.2;4.2.99.21;3.1.1.82
R12285,
R05641,
R01451,
R06871,3.1.3.75;3.6.1.7;3.1.4.2;4.2.3.1;3.11.1.1;3.1.7.6;3.1.1.7;3.1.5.1;4.6.1.13;3.1.6.6;3.2.1.183;5.1.3.14;2.4.1.17;3.1.2.1;4.2.1.155;2.3.1.85;3.7.1.8
R00397,4.1.1.12;1.1.1.38;4.1.3.39;4.1.2.18;2.1.2.11;4.2.1.155;4.1.99.12;1.3.8.6;4.2.99.21;3.1.1.82
R12498,2.7.1.82;2.7.3.8;2.7.7.14;2.7.2.2;6.3.5.5;2.7.14.1;2.7.11.31;2.7.4.26;2.7.10.1;2.7.12.1;2.7.6.5;2.7.99.1;2.7.8.28
R08832,
R09445,
R00277,1.4.3.5;1.1.99.9;1.1.3.12;1.5.3.21;1.4.9.2;1.4.1.7;1.5.99.6;1.1.5.4;1.4.4.2;1.5.1.22
R10920,
R10239,2.3.1.217;2.3.3.17;6.2.1.11;2.3.2.19;1.2.1.95;2.1.3.12;6.3.1.20;6.3.4.10;6.1.2.2;2.1.2.5
R10622,3.1.3.10;3.1.4.48;3.2.1.42;2.4.1.17;5.1.3.14;4.2.3.1;3.1.1.93;3.6.1.57;4.6.1.13;3.1.5.1;3.1.7.3;3.1.6.3;3.11.1.3;3.1.2.31;2.3.1.85;3.7.1.8;4.2.1.155
R04748,
R05052,2.6.1.1;2.6.99.2;2.7.8.29
R10657,2.7.1.181;2.7.2.3;2.7.7.74;2.7.11.7;6.3.5.5;2.7.3.8;2.7.4.26;2.7.14.1;2.7.10.1;2.7.12.1;2.7.6.1;2.7.8.32;2.7.99.1
R03482,3.5.1.89;3.5.99.6;3.4.14.13;3.4.17.21;3.4.13.4;3.5.2.12;4.2.1.48;2.3.2.2;3.4.19.13;3.13.1.6;3.5.4.16;3.4.11.1;3.5.3.13;3.1.1.1;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.5.5.4;1.2.7.12;4.3.2.4;2.1.2.3;3.8.1.8
R02056,1.14.13.128;1.13.99.1;1.13.11.54;1.13.12.1
R12970,3.2.1.45;3.1.1.93;3.2.2.11;4.3.3.5
R01371,
R10451,2.1.1.277;2.8.4.4;2.1.2.3;2.3.1.101;2.1.3.2
R07860,
R08045,1.7.1.15;1.7.99.1;1.7.3.3
R07145,
R06447,
R04218,
R09715,2.5.1.29;1.3.1.96;2.4.1.178;2.4.2.34;4.4.1.20;2.1.3.12
R06759,1.13.12.23;1.13.11.48;1.13.99.1;1.14.13.239
R08274,1.14.12.12;1.14.14.1;1.14.13.14;1.14.15.3;1.14.18.1;1.2.3.9;1.14.21.11;1.14.99.2;1.10.3.1;1.14.16.4;1.14.19.19;1.14.11.20
R08536,
R02594,2.4.1.111;2.4.2.40;2.4.99.18
R12492,2.8.3.17;2.8.2.9;2.3.1.187
R01558,6.2.1.8;3.1.2.25;4.2.1.155;2.3.1.85
R03950,
R10797,
R05880,3.1.1.80;3.1.7.3;3.1.6.2;3.1.3.76;3.2.1.175;3.1.4.52;4.6.1.13;3.6.1.20;3.7.1.8;3.1.2.27;3.1.5.1;5.1.3.14;2.3.1.85;2.4.1.17;4.2.3.1;4.2.1.155;3.11.1.3
R03058,3.7.1.14
R09458,1.13.11.84;1.13.12.2;1.13.99.1;1.14.13.239
R04000,2.8.3.12;2.3.1.187;2.8.2.13
R10695,3.5.4.40;2.1.2.3;4.3.2.4;3.5.99.6;3.5.2.3;3.5.1.40;3.5.5.1;3.5.3.22;3.4.14.13;3.4.17.21;4.2.1.48;2.3.2.2;3.4.13.22;3.8.1.8;3.4.19.13;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.1.1.1;3.4.11.1;3.13.1.6;1.2.7.12
R13030,6.2.1.40;3.1.2.13;4.2.1.155;2.3.1.85
R10846,1.13.99.1;1.13.12.4;1.13.11.54;1.14.13.239
R03306,1.14.12.9;1.14.13.236;1.14.14.9;1.14.18.1;1.14.15.3;1.2.3.9;1.14.21.11;1.14.99.2;1.14.16.7;1.14.11.40;1.10.3.4;1.14.19.29
R11971,
R07902,3.1.2.27;4.2.1.155;2.3.1.85;3.1.1.85;3.1.3.76;3.1.6.2;3.1.7.3;3.1.4.49;4.2.3.1;3.2.1.175;3.6.1.7;4.6.1.13;3.11.1.3;2.4.1.17;3.1.5.1;5.1.3.14;3.7.1.8
R04695,1.3.1.11;2.3.1.85;1.3.99.6;1.3.3.8;1.3.8.1
R04726,2.3.1.179;2.3.3.17;6.2.1.51;1.2.1.95;2.3.2.30;6.3.1.20;6.3.4.10;6.1.2.2;2.1.3.12;2.1.2.5
R09351,2.4.1.105;2.4.99.15;2.4.2.34
R02490,3.1.7.2;3.1.3.7;3.1.4.52;3.6.1.20;3.1.5.1;4.6.1.13;3.2.1.184;2.4.1.17;5.1.3.14;3.1.1.31;4.2.3.1;3.1.2.30;3.1.6.9;4.2.1.155;3.11.1.3;3.7.1.8;2.3.1.85
R07137,
R02216,
R13398,3.1.4.50;4.6.1.13;3.1.3.36;3.1.1.46;3.2.1.183;5.1.3.14;2.4.1.17;3.1.6.1;3.1.7.3;3.6.1.57;3.1.5.1;4.2.3.1;3.1.2.27;3.7.1.8;2.3.1.85;3.11.1.3;4.2.1.155
R01921,
R03803,1.11.1.8
R03589,2.4.1.189;2.4.2.9;2.4.99.18
R05167,1.11.1.8
R03332,1.11.1.8
R02691,2.4.1.337;2.4.2.40;2.4.99.18
R06703,2.1.1.283;2.8.4.4;2.1.2.13;2.3.1.101;2.1.3.2
R04673,1.2.4.1;2.2.1.6;4.1.1.1
R07921,2.1.1.160;2.8.4.4;2.1.2.3;2.3.1.101;2.1.3.2
R01497,2.4.1.47;2.4.2.40;2.4.99.18
R02284,1.11.1.21
R03582,
R10809,1.14.18.2;1.14.15.16;1.10.3.3;1.14.11.56;1.14.13.154;1.14.14.1;1.14.19.29;1.14.12.19;1.14.99.2;1.14.21.11;1.2.3.9;1.14.16.7
R07796,2.8.3.17;2.3.1.187;2.8.2.14
R00481,1.4.3.1;1.1.5.4;1.1.3.15;1.5.3.21;1.5.99.6;1.4.9.2;1.1.99.9;1.4.4.2;1.4.1.21;1.5.1.22
R08199,4.2.3.27;3.1.7.9;4.2.1.31;2.3.1.85;4.3.1.17;4.1.1.106;1.1.1.276;2.7.8.23;1.3.8.6;4.2.99.12;2.5.1.119;5.5.1.1;3.5.5.4;1.2.1.31;1.4.1.18;1.14.13.197;3.5.1.110;3.7.1.21;1.1.3.47;3.2.1.22;3.3.1.1;1.17.98.2;4.3.3.3
R06848,1.3.1.112;2.3.1.85;1.3.99.6;1.3.3.6;1.3.8.1
R12210,
R00717,
R02949,4.2.1.155;4.1.1.88;1.1.1.276;5.4.99.3;1.1.3.13;1.1.5.4;1.4.3.5;1.1.99.9;1.2.1.49;2.3.1.85;1.3.1.20;5.3.3.1;1.17.1.4
R10955,2.4.1.181;2.4.2.9;2.4.99.18
R08250,2.3.1.5;2.3.3.9;6.2.1.1;2.3.2.30;2.1.3.5;6.3.4.10;6.3.1.20;1.2.1.95;2.1.2.2;6.1.2.2
R13063,3.2.1.66;3.1.1.93;4.3.3.5;3.2.2.11
R02271,2.6.1.43;2.7.8.29;2.6.99.2
R04162,3.1.3.4;3.1.4.3;3.6.1.7;4.2.3.1;4.6.1.13;3.1.1.3;3.1.5.1;3.11.1.2;3.1.7.6;3.2.1.42;2.4.1.17;5.1.3.14;3.1.6.3;3.1.2.16;2.3.1.85;3.7.1.8;4.2.1.155
R10344,1.14.16.7;1.14.18.5;1.14.11.41;1.14.99.46;1.14.13.10;1.14.15.16;1.10.3.4;1.14.12.10;1.14.14.1;1.2.3.9;1.14.21.11;1.14.19.17
R11019,1.7.1.10;1.7.99.1;1.7.3.3
R03921,3.2.1.26;3.1.1.93;3.2.2.24;4.3.3.5
R06345,1.13.99.1;1.13.11.25;1.13.12.3;1.14.13.239
R10171,2.3.1.129;2.1.2.3;2.3.2.19;6.2.1.11;1.2.1.95;2.3.3.17;2.1.3.12;6.3.4.10;6.3.1.20;6.1.2.2
R13224,
R05821,1.14.13.128;1.13.99.1;1.13.11.9;1.13.12.4
R01415,
R10555,2.5.1.54;2.4.1.339;2.1.3.12;2.4.2.25;1.3.1.96;4.4.1.20
R03755,2.3.1.22;2.3.3.9;6.2.1.1;2.1.3.12;6.1.2.2;2.1.2.13;2.3.2.30;1.2.1.95;6.3.4.10;6.3.1.20
R05618,3.1.1.82;3.1.6.1;3.2.1.175;3.7.1.8;3.1.7.3;3.1.3.48;3.1.2.28;3.6.1.20;3.1.4.40;4.6.1.13;2.3.1.85;5.1.3.14;2.4.1.17;3.1.5.1;3.11.1.3;4.2.3.1;4.2.1.155
R03974,3.1.1.36;3.1.7.2;3.1.3.7;3.1.4.52;3.2.1.42;2.4.1.17;3.6.1.57;5.1.3.14;4.6.1.13;3.1.5.1;3.1.6.2;4.2.3.1;3.1.2.27;2.3.1.85;3.11.1.3;4.2.1.155;3.7.1.8
R03698,
R09565,1.13.11.57;1.13.12.4;1.13.99.1;1.14.13.239
R09402,
R07112,1.14.13.227;1.14.14.1;1.14.15.3;1.14.12.12;1.14.18.1;1.2.3.9;1.14.21.11;1.14.99.2;1.14.11.28;1.14.16.7;1.10.3.4;1.14.19.17
R02509,3.5.1.56;3.5.5.1;3.5.3.16;3.5.2.16;1.2.7.12;3.4.13.22;3.4.11.1;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;4.2.1.48;2.3.2.2;3.5.4.16;3.13.1.6;3.1.1.1;3.4.19.13;3.4.17.8;3.4.14.13;3.8.1.8;2.1.2.3;3.5.99.8;4.3.2.4
R05805,
R08051,2.7.6.5;2.7.1.20;2.7.7.96;2.7.8.28;2.7.4.18;2.7.3.3;2.7.14.1;2.7.11.7;2.7.2.13;6.3.5.5;2.7.10.1;2.7.12.1;2.7.99.1
R12296,
R04382,1.13.99.1;1.13.11.56;1.13.12.23;1.14.13.239
R09987,
R11772,1.1.1.86;5.4.99.3;4.1.1.3;4.2.1.155;1.1.3.15;1.1.5.4;1.4.3.5;1.1.99.9;1.2.1.89;2.3.1.85;1.3.1.20;5.3.3.1;1.17.1.4
R05050,
R04602,1.13.11.36;1.13.12.2;1.14.13.239;1.13.99.1
R08617,
R10663,1.14.13.239;1.13.99.1;1.13.11.52;1.13.12.23
R04884,
R10980,1.14.15.3;1.14.11.17;1.14.18.4;1.14.19.2;1.10.3.4;1.14.13.69;1.14.14.1;1.14.12.11;1.2.3.9;1.14.16.1;1.14.99.46;1.14.21.11
R04682,
R01749,
R11603,2.5.1.138;1.3.1.96;2.4.1.85;2.4.2.51;2.1.3.12;4.4.1.20
R08850,3.5.1.115;3.4.17.23;3.5.4.19;3.5.2.6;3.5.99.6;3.4.14.13;3.13.1.6;2.1.2.3;3.4.19.13;2.3.2.2;4.3.2.4;3.1.1.1;4.2.1.48;3.4.13.18;3.4.11.1;3.5.3.13;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.5.5.1;1.2.7.12;3.8.1.8
R04541,
R09591,6.3.1.13;6.3.2.35;6.3.5.4;6.3.4.12;6.2.1.39;6.3.3.3;3.5.1.18;3.4.14.13;3.4.13.4;2.3.2.2;3.13.1.6;1.4.1.13;1.4.7.1;4.3.3.6;3.4.19.13;3.5.5.4;3.4.17.21;3.5.99.5;3.4.11.1;3.1.1.1;3.5.4.1;3.5.3.21
R00647,3.3.2.4;1.14.14.1;3.1.1.2;3.7.1.8;3.2.1.21;3.3.1.1;3.1.2.23;4.2.1.22;2.3.1.85;3.2.2.1;2.5.1.18;2.1.1.246
R05276,
R02421,2.4.1.35;2.4.2.40;2.4.99.18
R04361,2.3.1.23;2.3.3.9;6.2.1.1;2.1.3.2;2.1.1.324;2.1.2.13;6.1.2.2;1.2.1.95;6.3.1.20;2.3.2.30;6.3.4.10;2.8.4.4
R01645,4.1.2.52;4.1.3.43;1.1.1.38;4.1.1.3;2.1.2.11;4.2.1.155;4.1.99.12;1.3.8.6;4.2.99.21;3.1.1.82
R05806,2.7.1.145;2.7.2.7;6.3.5.5;2.7.3.8;2.7.7.96;2.7.11.15;2.7.4.8;2.7.14.1;2.7.10.1;2.7.12.1;2.7.6.1;2.7.8.38;2.7.99.1
R08537,2.1.1.49;2.8.4.4;2.1.3.8;2.1.2.13;2.3.1.32
R07313,4.1.1.28;4.1.2.34;4.1.99.2;4.1.3.40;3.1.1.82;1.1.1.381;4.2.99.21;2.1.2.11;4.2.1.20;1.3.8.6
R09739,
R09876,3.5.4.32;3.5.1.110;2.1.2.3;3.5.3.9;3.5.2.2;3.1.1.1;3.4.11.1;3.13.1.6;3.4.13.22;3.4.19.13;4.3.2.4;3.4.17.8;3.8.1.8;2.3.2.2;1.2.7.12;3.4.14.13;4.2.1.48;3.5.5.7;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.5.99.8
R04958,
R07762,2.3.1.179;2.3.3.17;6.2.1.51;1.2.1.95;2.3.2.30;6.3.1.20;6.3.4.10;2.1.3.12;6.1.2.2;2.1.2.5
R02201,
R00357,1.4.3.1;1.1.5.4;1.1.3.15;1.5.3.21;1.5.99.6;1.4.9.2;1.1.99.9;1.4.4.2;1.4.1.21;1.5.1.22
R02297,2.4.2.1;2.4.1.118;2.4.99.18
R12602,
R11094,3.5.4.31;2.1.2.3;4.3.2.4;3.5.99.6;3.5.2.3;3.5.3.22;3.5.1.26;3.8.1.8;3.4.14.13;2.3.2.2;3.4.17.21;4.2.1.48;3.4.13.4;3.4.19.13;3.4.11.1;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.1.1.1;3.5.5.1;3.13.1.6;1.2.7.12
R07711,1.14.13.4;1.14.14.9;1.14.18.1;1.14.12.9;1.14.15.3;1.2.3.9;1.14.21.11;1.14.99.2;1.14.16.2;1.10.3.1;1.14.11.28;1.14.19.19
R08880,
R11407,
R12997,
R09112,5.3.3.5;5.5.1.9;5.3.99.8;5.3.1.21;5.3.2.7;4.2.1.159;1.1.3.8;5.99.1.4;1.1.1.153;3.1.3.77;3.5.4.16
R05038,
R08661,2.4.1.35;2.4.2.40;2.4.99.18
R01290,3.1.1.25;3.1.2.4;2.3.1.85;4.2.1.155;3.1.3.3;3.1.4.13;3.1.6.17;4.2.3.1;3.6.1.7;3.11.1.3;3.7.1.8;3.2.1.175;3.1.5.1;3.1.7.5;4.6.1.13;5.1.3.14;2.4.1.17
R00127,2.7.4.8;2.7.1.86;2.7.7.45;2.7.2.6;2.7.3.8;6.3.5.5;2.7.11.15;2.7.14.1;2.7.10.1;2.7.12.1;2.7.6.1;2.7.8.38;2.7.99.1
R07390,
R05050,
R02462,
R02797,3.5.1.24;3.4.19.13;2.3.2.2;3.5.2.12;3.5.99.6;3.4.14.13;3.4.17.21;4.2.1.48;3.4.13.18;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.4.11.1;3.13.1.6;3.5.5.4;3.5.4.16;3.1.1.1;1.2.7.12;3.5.3.9;2.1.2.3;3.8.1.8;4.3.2.4
R11842,2.5.1.41;1.3.1.96;2.4.1.269;2.4.2.34;2.1.3.12;4.4.1.20
R06828,2.4.1.190;2.4.2.51;2.4.99.1
R00656,4.1.1.57;1.1.1.381;4.2.1.155;4.1.2.35;4.1.3.39;1.3.8.6;2.1.2.11;4.1.99.2;4.2.99.21;3.1.1.82
