reaction_id,Stratified_ground_truth_REACTION_ID,Stratified_ground_truth_true_EC,merged_output_Stratified_ground_truth_REACTION_ID,merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_ec,merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_theia_Prediction,merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_ec,merged_output_SIMMER_SIMMER pred,merged_output_SelenzymeRF_All ECs,merged_output_theia_Prediction,merged_output_BEC-Pred_Prediction,merged_output_ec,SIMMER_SIMMER pred,SelenzymeRF_All ECs,theia_Prediction,BEC-Pred_Prediction,ec
11189-3.5.5.4-Q,11189,3.5.5.4,11189,3.5.5.4,11189,3.5.5.4,11189,3.5.5.4,11189,3.5.5.4,11189,3.5.5.4,11189,3.5.5.4,11189,3.5.5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11237-2.5.1.44-Q,11237,2.5.1.44,11237,2.5.1.44,11237,2.5.1.44,11237,2.5.1.44,11237,2.5.1.44,11237,2.5.1.44,11237,2.5.1.44,11237,2.5.1.44,5.1.3;5.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11237-2.5.1.45-Q,11237,2.5.1.45,11237,2.5.1.45,11237,2.5.1.45,11237,2.5.1.45,11237,2.5.1.45,11237,2.5.1.45,11237,2.5.1.45,11237,2.5.1.45,5.1.3;5.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11345-2.7.7.43-Q,11345,2.7.7.43,11345,2.7.7.43,11345,2.7.7.43,11345,2.7.7.43,11345,2.7.7.43,11345,2.7.7.43,11345,2.7.7.43,11345,2.7.7.43,2.7.7;2.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11389-1.1.1.146-Q,11389,1.1.1.146,11389,1.1.1.146,11389,1.1.1.146,11389,1.1.1.146,11389,1.1.1.146,11389,1.1.1.146,11389,1.1.1.146,11389,1.1.1.146,1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409-3.5.99.1-Q,11409,3.5.99.1,11409,3.5.99.1,11409,3.5.99.1,11409,3.5.99.1,11409,3.5.99.1,11409,3.5.99.1,11409,3.5.99.1,11409,3.5.99.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11421-1.14.13.101-Q,11421,1.14.13.101,11421,1.14.13.101,11421,1.14.13.101,11421,1.14.13.101,11421,1.14.13.101,11421,1.14.13.101,11421,1.14.13.101,11421,1.14.13.101,1.1.1;1.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11441-1.14.13.50-Q,11441,1.14.13.50,11441,1.14.13.50,11441,1.14.13.50,11441,1.14.13.50,11441,1.14.13.50,11441,1.14.13.50,11441,1.14.13.50,11441,1.14.13.50,1.6.5;1.14.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11457-2.4.1.101-Q,11457,2.4.1.101,11457,2.4.1.101,11457,2.4.1.101,11457,2.4.1.101,11457,2.4.1.101,11457,2.4.1.101,11457,2.4.1.101,11457,2.4.1.101,2.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11501-3.1.3.45-Q,11501,3.1.3.45,11501,3.1.3.45,11501,3.1.3.45,11501,3.1.3.45,11501,3.1.3.45,11501,3.1.3.45,11501,3.1.3.45,11501,3.1.3.45,3.1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11709-1.1.1.205-Q,11709,1.1.1.205,11709,1.1.1.205,11709,1.1.1.205,11709,1.1.1.205,11709,1.1.1.205,11709,1.1.1.205,11709,1.1.1.205,11709,1.1.1.205,1.5.1;1.14.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11721-3.5.2.14-Q,11721,3.5.2.14,11721,3.5.2.14,11721,3.5.2.14,11721,3.5.2.14,11721,3.5.2.14,11721,3.5.2.14,11721,3.5.2.14,11721,3.5.2.14,6.3.4;6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11741-1.8.1.7-Q,11741,1.8.1.7,11741,1.8.1.7,11741,1.8.1.7,11741,1.8.1.7,11741,1.8.1.7,11741,1.8.1.7,11741,1.8.1.7,11741,1.8.1.7,1.8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11769-2.4.2.18-Q,11769,2.4.2.18,11769,2.4.2.18,11769,2.4.2.18,11769,2.4.2.18,11769,2.4.2.18,11769,2.4.2.18,11769,2.4.2.18,11769,2.4.2.18,2.4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11821-2.4.2.36-Q,11821,2.4.2.36,11821,2.4.2.36,11821,2.4.2.36,11821,2.4.2.36,11821,2.4.2.36,11821,2.4.2.36,11821,2.4.2.36,11821,2.4.2.36,2.4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11837-2.4.3.1-Q,11837,2.4.3.1,11837,2.4.3.1,11837,2.4.3.1,11837,2.4.3.1,11837,2.4.3.1,11837,2.4.3.1,11837,2.4.3.1,11837,2.4.3.1,2.4.3;2.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11849-1.21.4.4-Q,11849,1.21.4.4,11849,1.21.4.4,11849,1.21.4.4,11849,1.21.4.4,11849,1.21.4.4,11849,1.21.4.4,11849,1.21.4.4,11849,1.21.4.4,1.21.4;1.8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11901-1.1.1.286-Q,11901,1.1.1.286,11901,1.1.1.286,11901,1.1.1.286,11901,1.1.1.286,11901,1.1.1.286,11901,1.1.1.286,11901,1.1.1.286,11901,1.1.1.286,1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11901-1.1.1.87-Q,11901,1.1.1.87,11901,1.1.1.87,11901,1.1.1.87,11901,1.1.1.87,11901,1.1.1.87,11901,1.1.1.87,11901,1.1.1.87,11901,1.1.1.87,1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11941-3.5.1.20-Q,11941,3.5.1.20,11941,3.5.1.20,11941,3.5.1.20,11941,3.5.1.20,11941,3.5.1.20,11941,3.5.1.20,11941,3.5.1.20,11941,3.5.1.20,3.5.3;2.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11989-2.1.1.79-Q,11989,2.1.1.79,11989,2.1.1.79,11989,2.1.1.79,11989,2.1.1.79,11989,2.1.1.79,11989,2.1.1.79,11989,2.1.1.79,11989,2.1.1.79,2.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11993-1.5.3.7-Q,11993,1.5.3.7,11993,1.5.3.7,11993,1.5.3.7,11993,1.5.3.7,11993,1.5.3.7,11993,1.5.3.7,11993,1.5.3.7,11993,1.5.3.7,1.5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12181-2.1.1.111-Q,12181,2.1.1.111,12181,2.1.1.111,12181,2.1.1.111,12181,2.1.1.111,12181,2.1.1.111,12181,2.1.1.111,12181,2.1.1.111,12181,2.1.1.111,2.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12273-4.1.1.28-Q,12273,4.1.1.28,12273,4.1.1.28,12273,4.1.1.28,12273,4.1.1.28,12273,4.1.1.28,12273,4.1.1.28,12273,4.1.1.28,12273,4.1.1.28,4.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12369-1.1.99.4-Q,12369,1.1.99.4,12369,1.1.99.4,12369,1.1.99.4,12369,1.1.99.4,12369,1.1.99.4,12369,1.1.99.4,12369,1.1.99.4,12369,1.1.99.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12417-4.3.1.6-Q,12417,4.3.1.6,12417,4.3.1.6,12417,4.3.1.6,12417,4.3.1.6,12417,4.3.1.6,12417,4.3.1.6,12417,4.3.1.6,12417,4.3.1.6,5.3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12453-2.7.1.134-Q,12453,2.7.1.134,12453,2.7.1.134,12453,2.7.1.134,12453,2.7.1.134,12453,2.7.1.134,12453,2.7.1.134,12453,2.7.1.134,12453,2.7.1.134,2.7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12465-2.4.1.123-Q,12465,2.4.1.123,12465,2.4.1.123,12465,2.4.1.123,12465,2.4.1.123,12465,2.4.1.123,12465,2.4.1.123,12465,2.4.1.123,12465,2.4.1.123,2.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12630-1.14.11.11-Q,12630,1.14.11.11,12630,1.14.11.11,12630,1.14.11.11,12630,1.14.11.11,12630,1.14.11.11,12630,1.14.11.11,12630,1.14.11.11,12630,1.14.11.11,1.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12650-1.1.1.173-Q,12650,1.1.1.173,12650,1.1.1.173,12650,1.1.1.173,12650,1.1.1.173,12650,1.1.1.173,12650,1.1.1.173,12650,1.1.1.173,12650,1.1.1.173,1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12650-1.1.1.378-Q,12650,1.1.1.378,12650,1.1.1.378,12650,1.1.1.378,12650,1.1.1.378,12650,1.1.1.378,12650,1.1.1.378,12650,1.1.1.378,12650,1.1.1.378,1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12714-2.7.6.4-Q,12714,2.7.6.4,12714,2.7.6.4,12714,2.7.6.4,12714,2.7.6.4,12714,2.7.6.4,12714,2.7.6.4,12714,2.7.6.4,12714,2.7.6.4,2.7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12754-1.1.1.156-Q,12754,1.1.1.156,12754,1.1.1.156,12754,1.1.1.156,12754,1.1.1.156,12754,1.1.1.156,12754,1.1.1.156,12754,1.1.1.156,12754,1.1.1.156,1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12798-1.14.20.13-Q,12798,1.14.20.13,12798,1.14.20.13,12798,1.14.20.13,12798,1.14.20.13,12798,1.14.20.13,12798,1.14.20.13,12798,1.14.20.13,12798,1.14.20.13,1.14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12806-2.1.1.122-Q,12806,2.1.1.122,12806,2.1.1.122,12806,2.1.1.122,12806,2.1.1.122,12806,2.1.1.122,12806,2.1.1.122,12806,2.1.1.122,12806,2.1.1.122,2.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12838-2.7.1.32-Q,12838,2.7.1.32,12838,2.7.1.32,12838,2.7.1.32,12838,2.7.1.32,12838,2.7.1.32,12838,2.7.1.32,12838,2.7.1.32,12838,2.7.1.32,2.7.2;2.7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12898-1.14.14.137-Q,12898,1.14.14.137,12898,1.14.14.137,12898,1.14.14.137,12898,1.14.14.137,12898,1.14.14.137,12898,1.14.14.137,12898,1.14.14.137,12898,1.14.14.137,1.14.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13006-2.1.1.115-Q,13006,2.1.1.115,13006,2.1.1.115,13006,2.1.1.115,13006,2.1.1.115,13006,2.1.1.115,13006,2.1.1.115,13006,2.1.1.115,13006,2.1.1.115,2.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13070-2.7.1.82-Q,13070,2.7.1.82,13070,2.7.1.82,13070,2.7.1.82,13070,2.7.1.82,13070,2.7.1.82,13070,2.7.1.82,13070,2.7.1.82,13070,2.7.1.82,2.7.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13074-3.6.1.40-Q,13074,3.6.1.40,13074,3.6.1.40,13074,3.6.1.40,13074,3.6.1.40,13074,3.6.1.40,13074,3.6.1.40,13074,3.6.1.40,13074,3.6.1.40,3.6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13094-2.4.1.47-Q,13094,2.4.1.47,13094,2.4.1.47,13094,2.4.1.47,13094,2.4.1.47,13094,2.4.1.47,13094,2.4.1.47,13094,2.4.1.47,13094,2.4.1.47,2.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13186-2.5.1.61-Q,13186,2.5.1.61,13186,2.5.1.61,13186,2.5.1.61,13186,2.5.1.61,13186,2.5.1.61,13186,2.5.1.61,13186,2.5.1.61,13186,2.5.1.61,4.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13254-2.7.1.159-Q,13254,2.7.1.159,13254,2.7.1.159,13254,2.7.1.159,13254,2.7.1.159,13254,2.7.1.159,13254,2.7.1.159,13254,2.7.1.159,13254,2.7.1.159,2.7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13310-1.2.1.67-Q,13310,1.2.1.67,13310,1.2.1.67,13310,1.2.1.67,13310,1.2.1.67,13310,1.2.1.67,13310,1.2.1.67,13310,1.2.1.67,13310,1.2.1.67,1.14.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13410-1.7.1.13-Q,13410,1.7.1.13,13410,1.7.1.13,13410,1.7.1.13,13410,1.7.1.13,13410,1.7.1.13,13410,1.7.1.13,13410,1.7.1.13,13410,1.7.1.13,1.7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13418-1.3.1.41-Q,13418,1.3.1.41,13418,1.3.1.41,13418,1.3.1.41,13418,1.3.1.41,13418,1.3.1.41,13418,1.3.1.41,13418,1.3.1.41,13418,1.3.1.41,1.14.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13466-2.3.1.58-Q,13466,2.3.1.58,13466,2.3.1.58,13466,2.3.1.58,13466,2.3.1.58,13466,2.3.1.58,13466,2.3.1.58,13466,2.3.1.58,13466,2.3.1.58,2.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13510-2.7.7.23-Q,13510,2.7.7.23,13510,2.7.7.23,13510,2.7.7.23,13510,2.7.7.23,13510,2.7.7.23,13510,2.7.7.23,13510,2.7.7.23,13510,2.7.7.23,2.7.7;2.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13526-1.14.15.1-Q,13526,1.14.15.1,13526,1.14.15.1,13526,1.14.15.1,13526,1.14.15.1,13526,1.14.15.1,13526,1.14.15.1,13526,1.14.15.1,13526,1.14.15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13530-4.2.1.34-Q,13530,4.2.1.34,13530,4.2.1.34,13530,4.2.1.34,13530,4.2.1.34,13530,4.2.1.34,13530,4.2.1.34,13530,4.2.1.34,13530,4.2.1.34,4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13686-1.3.1.72-Q,13686,1.3.1.72,13686,1.3.1.72,13686,1.3.1.72,13686,1.3.1.72,13686,1.3.1.72,13686,1.3.1.72,13686,1.3.1.72,13686,1.3.1.72,1.3.1;1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
