Reaction ID,Theia
R02693,"3.1.1,0.7158641815185547;2.3.1,0.276847243309021;2.4.1,0.00458300719037652;3.1.-,0.0011408942518755794;3.2.1,0.0003852345689665526"
R13128,"3.2.1,0.9951393604278564;5.4.99,0.0036821526009589434;2.4.1,0.0008092188509181142;5.4.1,0.000271316064754501;2.3.1,5.2474071708275005e-05"
R03869,"1.2.1,0.9904366135597229;1.17.1,0.00602370873093605;1.1.1,0.002653533825650811;1.8.1,0.0002296587626915425;1.17.3,0.00013052359281573445"
R01544,"4.3.1,0.9447311758995056;1.4.3,0.04744536429643631;1.5.99,0.0024115454871207476;1.4.99,0.0013626922154799104;6.5.1,0.0011516878148540854"
R05449,"1.14.14,0.9445754289627075;1.14.13,0.050015710294246674;1.13.12,0.0006683465326204896;1.14.12,0.0006072772084735334;1.3.8,0.0005880406242795289"
R01280,"6.2.1,0.9503467082977295;2.3.1,0.04323887452483177;3.1.2,0.002333206357434392;2.7.2,0.0013937107287347317;1.2.1,0.000819837732706219"
R02271,"5.4.3,0.5948390364646912;2.6.1,0.3918634355068207;4.1.2,0.004983003716915846;1.5.1,0.002622961299493909;4.3.1,0.0024788801092654467"
R05279,"1.14.12,0.9996498823165894;1.13.11,0.00016403989866375923;4.2.2,6.86099156155251e-05;6.-.-,2.3445441911462694e-05;6.3.1,9.971498911909293e-06"
R04952,"2.3.1,0.9999263286590576;3.1.1,3.8689293432980776e-05;3.1.2,3.125863440800458e-05;6.2.1,9.776827027963009e-07;1.2.7,8.206606025851215e-07"
R00931,"2.3.3,0.999976634979248;4.1.3,1.6185318600037135e-05;2.3.1,4.696887572208652e-06;2.3.-,1.1001220627804287e-06;1.2.7,6.587246730305196e-07"
R00897,"2.5.1,0.7424347996711731;4.2.1,0.24923129379749298;3.1.2,0.0030209405813366175;4.4.1,0.0026635194662958384;2.3.1,0.000832253776025027"
R03284,"4.1.2,0.9977532029151917;1.2.-,0.0021487672347575426;2.6.1,3.543640559655614e-05;2.1.2,2.30358728003921e-05;5.3.1,1.3918846889282577e-05"
R01193,"3.1.4,0.9320831894874573;3.1.3,0.056430790573358536;3.6.1,0.011233948171138763;4.6.1,0.00020609295461326838;3.1.1,1.6456762750749476e-05"
R08850,"3.4.17,0.4703085720539093;3.2.1,0.29795923829078674;3.4.16,0.13952846825122833;3.4.13,0.046314582228660583;3.4.-,0.014835103414952755"
R00053,"3.1.1,0.9964724779129028;1.14.-,0.0008522325078956783;3.4.21,0.0007260502316057682;3.5.1,0.0005511622875928879;3.4.11,0.00042145620682276785"
R11213,"4.1.2,0.9989866614341736;2.5.1,0.00027188542298972607;4.1.99,0.00022396699932869524;4.4.1,0.00016824885096866637;4.1.3,9.751333709573373e-05"
R12632,"2.1.1,0.9999994039535522;2.3.1,1.2469135413084587e-07;2.5.1,1.142353482919134e-07;2.4.1,5.988916029764368e-08;6.3.2,3.9923399697272544e-08"
R07990,"5.5.1,0.9995380640029907;4.3.1,5.547287946683355e-05;4.5.1,5.219217200647108e-05;5.2.1,4.841347617912106e-05;3.4.19,3.2247466151602566e-05"
R02917,"2.1.1,1.0;2.3.1,3.2528164189971065e-12;2.5.1,6.443110476574143e-13;6.3.2,2.609734802393182e-13;3.3.1,2.3266157338393267e-13"
R13110,"1.14.20,0.9933730363845825;1.14.11,0.003495247568935156;1.13.12,0.002695974428206682;1.9.3,0.0001890226558316499;1.14.3,6.413134542526677e-05"
R04264,"1.1.1,0.9892277717590332;5.3.3,0.01056095864623785;1.14.13,6.180765922181308e-05;1.3.1,5.1614264521049336e-05;1.6.5,1.9919994883821346e-05"
R02945,"1.1.1,0.9999966621398926;1.-.-,8.291882522826199e-07;1.1.-,6.342552296700887e-07;1.2.1,4.997105520487821e-07;1.14.13,3.8755862874495506e-07"
R10784,"3.2.1,0.8814548850059509;3.4.11,0.029092630371451378;3.1.4,0.019690625369548798;3.1.1,0.011712104082107544;3.4.13,0.010398097336292267"
R13283,"1.1.1,0.9935733675956726;2.3.1,0.003937613219022751;1.3.1,0.0010780945885926485;1.1.99,0.0004953127354383469;1.8.1,0.00012137068551965058"
R03880,"2.4.2,0.5874798893928528;2.3.1,0.41136956214904785;2.4.1,0.0009525127243250608;2.7.8,6.980175385251641e-05;1.1.1,5.04450399603229e-05"
R07441,"1.2.1,0.9995152950286865;1.1.1,0.0002869020972866565;1.11.1,9.289773879572749e-05;1.2.3,6.389275949914008e-05;1.5.1,2.077962926705368e-05"
R03429,"2.7.1,0.9999059438705444;2.7.4,4.368315057945438e-05;4.6.1,2.808832323353272e-05;3.1.3,7.124756393750431e-06;2.3.1,5.444453563541174e-06"
R06668,"2.4.1,0.9998924732208252;2.3.1,7.168337469920516e-05;2.4.2,1.6097203115350567e-05;2.7.7,1.3671098713530228e-05;6.2.1,1.1087965958722634e-06"
R04420,"5.3.1,0.9997739195823669;1.1.3,4.464354060473852e-05;5.3.3,4.056421676068567e-05;4.4.1,3.309795283712447e-05;4.2.99,2.4845026928232983e-05"
R10280,"5.1.99,0.9999934434890747;4.2.1,4.461564913071925e-06;5.2.1,7.916537470009644e-07;2.A.3,1.7577924893430463e-07;1.97.1,1.6854926343512489e-07"
R09079,"1.5.1,0.8381801247596741;4.3.3,0.13422295451164246;1.2.1,0.012600753456354141;1.1.1,0.008402837440371513;1.4.1,0.001802078913897276"
R08597,"5.1.3,0.9696154594421387;5.3.1,0.027463149279356003;1.1.1,0.00106532103382051;4.2.1,0.0009787512244656682;5.-.-,0.0006048236973583698"
R08203,"1.3.1,0.9840600490570068;3.1.1,0.007475517690181732;4.99.1,0.005741296336054802;1.14.13,0.001722324755974114;1.1.1,0.00036871450720354915"
R05723,"1.14.20,0.6903113722801208;1.14.11,0.2960253059864044;4.1.1,0.003668252844363451;1.13.12,0.0019861028995364904;1.9.3,0.001118515501730144"
R00631,"1.2.1,0.9988402724266052;1.1.1,0.0004272263322491199;3.1.1,0.0003608794941101223;1.4.1,0.00013526891416404396;1.17.1,7.464447116944939e-05"
R07711,"1.14.13,0.9967683553695679;1.14.14,0.001857360010035336;1.14.15,0.0009435947285965085;1.14.12,0.00021549544180743396;1.14.-,0.00010469608241692185"
R12721,"2.7.7,0.667437732219696;2.7.1,0.22363868355751038;6.2.1,0.08773759007453918;2.7.4,0.006835285108536482;2.3.1,0.005376903805881739"
R04582,"6.3.4,0.9997733235359192;3.5.1,0.00010071044380310923;6.4.1,8.525219891453162e-05;2.7.2,2.157403105229605e-05;6.3.5,5.808942660223693e-06"
R08355,"2.7.3,0.7403067350387573;2.7.1,0.24111931025981903;6.2.1,0.003893632208928466;6.3.1,0.0032742393668740988;6.3.2,0.0030147661454975605"
R03295,"2.1.1,0.9955577254295349;2.5.1,0.003943698015064001;4.3.1,0.00036158374859951437;4.2.1,6.2432030972559e-05;5.3.99,3.284979902673513e-05"
R08966,"2.7.4,0.7740060091018677;2.7.1,0.19946995377540588;2.1.1,0.01891961507499218;6.2.1,0.002652202034369111;2.7.2,0.0017209263751283288"
R06516,"4.1.2,0.9964631199836731;4.2.1,0.0013427225640043616;2.3.1,0.0006251086015254259;3.1.3,0.00034427185892127454;4.1.1,0.00017644569743424654"
R07631,"4.2.1,0.3436795175075531;3.1.7,0.3371964395046234;4.2.3,0.18062841892242432;5.4.4,0.0915573239326477;3.7.1,0.011910890229046345"
R06132,"4.3.1,0.3489551842212677;1.4.3,0.28402531147003174;4.99.1,0.10412250459194183;3.5.1,0.05696368217468262;1.14.19,0.03044792450964451"
R13445,"1.3.1,0.9850260615348816;1.3.7,0.008817833848297596;1.7.1,0.0036255333106964827;1.18.-,0.0011371304281055927;1.5.1,0.0005175618571229279"
R00195,"4.3.1,0.9999383687973022;1.4.3,1.4668921721749939e-05;1.4.1,1.1098902177764103e-05;3.5.99,8.397496458201203e-06;4.4.1,7.507307600462809e-06"
R02533,"2.1.1,1.0;2.3.1,4.327400215942134e-09;4.2.1,3.458663133670825e-09;6.3.2,2.330706738717936e-09;4.3.3,7.829765169553582e-10"
R09282,"4.2.1,0.9905214309692383;3.2.1,0.004100772086530924;2.3.1,0.0023375949822366238;2.3.3,0.0008255690336227417;5.4.4,0.0004350592789705843"
R12895,"4.1.1,0.9994412064552307;2.3.1,0.00018989405361935496;4.2.1,0.00011194490070920438;5.3.3,4.701848592958413e-05;1.17.1,3.84627164748963e-05"
R11581,"2.7.4,0.7740060091018677;2.7.1,0.19946995377540588;2.1.1,0.01891961507499218;6.2.1,0.002652202034369111;2.7.2,0.0017209263751283288"
R03948,"2.1.1,1.0;2.3.1,5.929796653703079e-10;3.13.1,5.248100287680302e-10;4.4.1,4.941374531775011e-10;1.3.98,3.744900778368532e-10"
R07513,"3.1.1,0.9274560213088989;3.4.11,0.06740108877420425;3.3.2,0.003453620243817568;3.5.1,0.0009209016570821404;3.4.16,0.0004176623478997499"
R06350,"1.14.11,0.9999760389328003;1.14.20,2.212784420407843e-05;5.4.99,6.033252475390327e-07;1.3.99,3.8165396176736976e-07;3.4.-,3.5732713854486065e-07"
R09592,"2.7.3,0.6090922355651855;6.3.2,0.3800244927406311;2.7.1,0.002736493246629834;2.6.1,0.0015078728320077062;1.1.1,0.0012470424408093095"
R06978,"2.3.1,0.9872892498970032;6.2.1,0.010464353486895561;2.6.1,0.0017904856940731406;6.3.4,0.00013210379984229803;2.3.3,7.653591455891728e-05"
R06570,"1.1.1,0.9981780052185059;1.2.1,0.0016208711313083768;1.11.1,5.154065729584545e-05;1.8.1,4.661908678826876e-05;1.6.5,3.276236020610668e-05"
R00734,"2.6.1,0.9999445676803589;2.3.2,3.372928767930716e-05;2.3.1,8.935820005717687e-06;2.7.8,6.062804004614009e-06;3.5.1,3.1235049391398206e-06"
R10799,"1.3.1,0.9997305274009705;1.3.3,0.00025541186914779246;1.3.99,4.860469289269531e-06;2.3.1,2.5139570425380953e-06;1.1.1,1.6046999462560052e-06"
R02337,"3.8.1,0.9934212565422058;1.1.99,0.0031554047018289566;1.1.2,0.00242802151478827;2.5.1,0.00027489493368193507;1.1.-,0.00027031503850594163"
R10144,"1.14.11,0.9999361038208008;1.14.20,3.582433419069275e-05;1.4.11,1.2164055988250766e-05;4.1.1,8.786644684732892e-06;1.1.5,2.2514077500090934e-06"
R08327,"1.14.13,0.8662804961204529;1.14.14,0.12718649208545685;1.1.1,0.0022408219520002604;1.14.99,0.0010009889956563711;1.14.-,0.0007266227039508522"
R10005,"4.2.3,0.9999773502349854;5.5.1,2.064683758362662e-05;4.3.2,1.6360063455067575e-06;1.3.-,2.0934528777161177e-07;3.1.7,1.0116569626461569e-07"
R06465,"1.14.-,0.9999063014984131;1.14.13,5.683650670107454e-05;1.14.12,2.3053220502333716e-05;1.14.15,9.174075785267632e-06;1.14.19,1.0518906492507085e-06"
R08644,"2.3.3,0.9919670224189758;4.1.3,0.0038534970954060555;4.2.1,0.0021613026037812233;2.3.1,0.0018161155749112368;3.1.2,0.00010933229350484908"
R01655,"3.5.4,0.9946576952934265;1.5.1,0.004536665976047516;2.1.2,0.0003201687941327691;3.5.99,0.00016225798754021525;3.3.1,5.8102137700188905e-05"
R02059,"3.5.1,0.9227918386459351;3.1.1,0.0758725106716156;3.2.1,0.0010127474088221788;2.3.1,8.901397814042866e-05;4.2.1,4.2680057958932593e-05"
R11206,"2.8.3,0.8720389008522034;2.3.1,0.11802979558706284;5.3.3,0.0030647297389805317;1.3.1,0.0028741529677063227;4.2.1,0.0013169534504413605"
R04764,"2.1.1,1.0;2.3.1,4.5619053673506826e-11;1.-.-,2.2347443340287043e-11;6.3.2,2.1744979948612464e-12;2.5.1,1.4732738683534419e-12"
R05320,"1.14.11,0.9998993873596191;1.14.20,3.664261384983547e-05;1.4.11,2.8939874027855694e-05;2.6.1,1.869730476755649e-05;1.2.4,7.2005791480478365e-06"
R11778,"2.1.1,1.0;2.3.1,7.079299368939473e-10;2.5.1,3.7052763635081476e-10;3.3.1,1.572729724230726e-10;4.3.3,6.669818863880295e-11"
R08259,"2.4.1,0.99993896484375;3.2.1,4.414822251419537e-05;2.7.7,5.513496034836862e-06;3.1.1,4.244387127982918e-06;2.4.2,3.993679456471e-06"
R00387,"1.3.1,0.999880313873291;1.2.1,4.3539374019019306e-05;1.6.2,3.351009581820108e-05;1.3.99,1.653968502068892e-05;1.3.3,8.994451491162181e-06"
R09135,"5.5.1,0.9978176355361938;3.1.1,0.002103423001244664;2.5.1,1.8300195733900182e-05;4.2.3,1.3754163774137851e-05;5.3.3,1.2382934073684737e-05"
R04966,"1.3.1,0.9789988994598389;2.3.1,0.020395157858729362;1.1.1,0.00023369719565380365;2.7.1,0.0001398045860696584;1.3.99,0.0001175728757516481"
R01161,"2.6.1,0.9999876022338867;2.3.1,3.5532209494704148e-06;2.7.8,3.5454966109682573e-06;2.3.2,2.597832235551323e-06;3.4.13,6.017129408064648e-07"
R05217,"1.14.13,0.997649610042572;1.14.15,0.0019919793121516705;1.14.14,0.00016303469601552933;1.3.98,7.217378151835874e-05;1.3.1,2.0828552806051448e-05"
R00527,"3.1.2,0.9810276031494141;3.13.1,0.005822720471769571;3.5.4,0.0039056327659636736;3.1.1,0.00264442665502429;4.2.1,0.0021028078626841307"
R10675,"4.2.1,0.9999761581420898;2.3.1,1.463475200580433e-05;5.4.4,3.0818794130027527e-06;5.1.2,1.4646361705672462e-06;3.2.-,6.796370826123166e-07"
R01928,"2.4.2,0.9964156150817871;5.1.3,0.0018585469806566834;2.3.1,0.0011412390740588307;2.7.7,0.0003144375223200768;2.7.6,6.630390271311626e-05"
R01698,"1.8.1,0.9407998323440552;1.6.2,0.05574657768011093;1.2.4,0.000824493239633739;1.6.5,0.0006744222482666373;1.6.99,0.0006115828873589635"
R01917,"2.7.3,0.8727698922157288;6.3.1,0.08684718608856201;2.7.1,0.031228631734848022;2.7.7,0.002095120958983898;2.7.4,0.0013318657875061035"
R01853,"1.4.3,0.9952729344367981;3.5.4,0.0032021428924053907;1.11.1,0.0004968098946847022;1.4.9,0.000285092944977805;1.14.18,0.00011830366565845907"
R08636,"1.1.1,0.9998719692230225;1.2.1,2.5905890652211383e-05;1.2.4,2.133667112502735e-05;1.3.1,2.004559246415738e-05;1.8.1,1.6534309907001443e-05"
