reaction_id,SIMMER_SIMMER pred,SelenzymeRF_All ECs,BEC-Pred_Prediction,CLAIRE_predictions,Stratified_ground_truth_REACTION_ID,Stratified_ground_truth_true_EC,theia_Prediction,merged_output_SIMMER_SIMMER pred,merged_output_SelenzymeRF_All ECs,merged_output_BEC-Pred_Prediction,merged_output_CLAIRE_predictions,merged_output_Stratified_ground_truth_REACTION_ID,merged_output_Stratified_ground_truth_true_EC,merged_output_theia_Prediction,merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_ec,merged_output_merged_output_ec,merged_output_ec,ec
22513,,6.3.5.9;5.4.1.2|5.4.99.61;2.1.1.132;1.16.8.1;6.6.1.2;6.3.5.12;6.3.5.10;1.16.1.6;2.7.8.26,4.1.1,4.3.1;4.2.1;4.1.99;2.1.2,,,4.2.1;5.4.99;3.5.1;6.6.1;1.3.3,,6.3.5.9;5.4.1.2|5.4.99.61;2.1.1.132;1.16.8.1;6.6.1.2;6.3.5.12;6.3.5.10;1.16.1.6;2.7.8.26,4.1.1,4.3.1;4.2.1;4.1.99;2.1.2,,,4.2.1;5.4.99;3.5.1;6.6.1;1.3.3,,6.3.5.9;5.4.1.2|5.4.99.61;2.1.1.132;1.16.8.1;6.6.1.2;6.3.5.12;6.3.5.10;1.16.1.6;2.7.8.26,1.3.99,4.3.1;4.2.1;4.1.99;2.1.2,,,4.2.1;5.4.99;3.5.1;6.6.1;1.3.3,,6.3.5.9;5.4.1.2|5.4.99.61;2.1.1.132;1.16.8.1;6.6.1.2;6.3.5.12;6.3.5.10;1.16.1.6;2.7.8.26,1.3.99,4.3.1;5.3.3;5.5.1;5.4.99,,,4.2.1;5.4.99;3.5.1;6.6.1;1.3.3,,6.3.5.9;5.4.1.2|5.4.99.61;2.1.1.132;1.16.8.1;6.6.1.2;6.3.5.12;6.3.5.10;1.16.1.6;2.7.8.26,1.3.99,4.3.1;5.3.3;5.5.1;5.4.99,,,"4.2.1,0.44577687978744507;5.4.99,0.24591422080993652;3.5.1,0.04436575621366501;6.6.1,0.02938452735543251;1.3.3,0.02513764426112175",,4.4.1,,,,4.4.1,,,5.4.99.61,5.4.99.61,5.4.99.61,5.4.99.61,5.4.99.61,5.4.99.61,5.4.99.61
17758,4.1.1,4.1.1.86;4.1.1.17|4.1.1.19|4.1.1.86,4.1.1,7.2.4;4.1.1;1.5.1;1.2.1,,,4.1.1;5.4.3;2.6.1;1.13.12;1.17.98,4.1.1,4.1.1.86;4.1.1.17|4.1.1.19|4.1.1.86,4.1.1,7.2.4;4.1.1;1.5.1;1.2.1,,,4.1.1;5.4.3;2.6.1;1.13.12;1.17.98,4.1.1,4.1.1.86;4.1.1.17|4.1.1.19|4.1.1.86,4.1.1,7.2.4;4.1.1;1.5.1;1.2.1,,,4.1.1;5.4.3;2.6.1;1.13.12;1.17.98,4.1.1,4.1.1.86;4.1.1.17|4.1.1.19|4.1.1.86,4.1.1,7.2.4;3.7.1;3.11.1;4.1.99,,,4.1.1;5.4.3;2.6.1;1.13.12;1.17.98,4.1.1,4.1.1.86;4.1.1.17|4.1.1.19|4.1.1.86,4.1.1,7.2.4;3.7.1;3.11.1;4.1.99,,,"4.1.1,0.9988046884536743;5.4.3,0.0002672187692951411;2.6.1,0.0001915662141982466;1.13.12,0.00015826919116079807;1.17.98,0.00010030982230091467",4.1.1,4.1.1,,,,4.1.1,,,4.1.1.57,4.1.1.57,4.1.1.57,4.1.1.57,4.1.1.57,4.1.1.57,4.1.1.57
53365,1.3.1,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17;1.12.1.2|1.12.1.5;2.1.1.74,1.3.1,2.4.1;1.1.1;1.3.1;1.2.1,,,1.3.1;4.1.99;1.3.99;5.4.99;1.5.1,1.3.1,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17;1.12.1.2|1.12.1.5;2.1.1.74,1.3.1,2.4.1;1.1.1;1.3.1;1.2.1,,,1.3.1;4.1.99;1.3.99;5.4.99;1.5.1,1.3.1,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17;1.12.1.2|1.12.1.5;2.1.1.74,1.3.1,2.4.1;1.1.1;1.3.1;1.2.1,,,1.3.1;4.1.99;1.3.99;5.4.99;1.5.1,1.3.1,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17;1.12.1.2|1.12.1.5;2.1.1.74,1.3.1,1.2.1;1.5.1;1.3.1;1.1.1,,,1.3.1;4.1.99;1.3.99;5.4.99;1.5.1,1.3.1,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17;1.12.1.2|1.12.1.5;2.1.1.74,1.3.1,1.2.1;1.5.1;1.3.1;1.1.1,,,"1.3.1,0.9998157620429993;4.1.99,4.265427924110554e-05;1.3.99,3.310435567982495e-05;5.4.99,1.3026859960518777e-05;1.5.1,1.0807692888192832e-05",1.3.1,1.3.1,,,,1.3.1,,,1.3.1.89,1.3.1.89,1.3.1.89,1.3.1.89,1.3.1.89,1.3.1.89,1.3.1.89
50365,1.14.19;1.14.14,1.14.19.73;1.14.14.13;1.14.14.3;1.14.14.28;1.14.14.5;1.14.19.68;1.14.19.64;1.14.14.15;1.14.19.56;1.14.14.46;1.14.14.8;1.5.1.39;1.14.14.155;1.14.14.108;1.14.99.46;1.14.14.12;1.14.14.22,1.14.19,1.14.14;1.14.19;1.14.12;1.14.13,,,1.14.19;1.14.14;1.21.3;1.14.99;1.5.1,1.14.19;1.14.14,1.14.19.73;1.14.14.13;1.14.14.3;1.14.14.28;1.14.14.5;1.14.19.68;1.14.19.64;1.14.14.15;1.14.19.56;1.14.14.46;1.14.14.8;1.5.1.39;1.14.14.155;1.14.14.108;1.14.99.46;1.14.14.12;1.14.14.22,1.14.19,1.14.14;1.14.19;1.14.12;1.14.13,,,1.14.19;1.14.14;1.21.3;1.14.99;1.5.1,1.14.19;1.14.14,1.14.19.73;1.14.14.13;1.14.14.3;1.14.14.28;1.14.14.5;1.14.19.68;1.14.19.64;1.14.14.15;1.14.19.56;1.14.14.46;1.14.14.8;1.5.1.39;1.14.14.155;1.14.14.108;1.14.99.46;1.14.14.12;1.14.14.22,1.14.19,1.14.14;1.14.19;1.14.12;1.14.13,,,1.14.19;1.14.14;1.21.3;1.14.99;1.5.1,1.14.19;1.14.14,1.14.19.73;1.14.14.13;1.14.14.3;1.14.14.28;1.14.14.5;1.14.19.68;1.14.19.64;1.14.14.15;1.14.19.56;1.14.14.46;1.14.14.8;1.5.1.39;1.14.14.155;1.14.14.108;1.14.99.46;1.14.14.12;1.14.14.22,1.14.19,1.14.14;1.14.18;1.21.3;1.14.19,,,1.14.19;1.14.14;1.21.3;1.14.99;1.5.1,1.14.19;1.14.14,1.14.19.73;1.14.14.13;1.14.14.3;1.14.14.28;1.14.14.5;1.14.19.68;1.14.19.64;1.14.14.15;1.14.19.56;1.14.14.46;1.14.14.8;1.5.1.39;1.14.14.155;1.14.14.108;1.14.99.46;1.14.14.12;1.14.14.22,1.14.19,1.14.14;1.14.18;1.21.3;1.14.19,,,"1.14.19,0.9862650036811829;1.14.14,0.012157139368355274;1.21.3,0.0007810547831468284;1.14.99,0.00023356480232905596;1.5.1,9.004380990518257e-05",1.14.19;1.14.14,1.14.19,,,,1.14.19,,,1.14.19.73,1.14.19.73,1.14.19.73,1.14.19.73,1.14.19.73,1.14.19.73,1.14.19.73
15554,3.1.4;3.1.3,3.1.3.62;3.1.3.64;3.1.4.57;3.1.3.64|3.1.3.67;3.1.3.66;3.1.3.36|3.1.3.56;3.1.3.78;3.1.3.97;3.6.1.6;3.6.1.5,3.1.3,3.1.3;3.1.7;2.6.99;1.15.1,,,3.1.3;4.2.1;3.6.1;3.2.1;3.1.4,3.1.4;3.1.3,3.1.3.62;3.1.3.64;3.1.4.57;3.1.3.64|3.1.3.67;3.1.3.66;3.1.3.36|3.1.3.56;3.1.3.78;3.1.3.97;3.6.1.6;3.6.1.5,3.1.3,3.1.3;3.1.7;2.6.99;1.15.1,,,3.1.3;4.2.1;3.6.1;3.2.1;3.1.4,3.1.4;3.1.3,3.1.3.62;3.1.3.64;3.1.4.57;3.1.3.64|3.1.3.67;3.1.3.66;3.1.3.36|3.1.3.56;3.1.3.78;3.1.3.97;3.6.1.6;3.6.1.5,3.1.3,3.1.3;3.1.7;2.6.99;1.15.1,,,3.1.3;4.2.1;3.6.1;3.2.1;3.1.4,3.1.4;3.1.3,3.1.3.62;3.1.3.64;3.1.4.57;3.1.3.64|3.1.3.67;3.1.3.66;3.1.3.36|3.1.3.56;3.1.3.78;3.1.3.97;3.6.1.6;3.6.1.5,3.1.3,3.1.3;3.1.7;3.1.4;4.6.1,,,3.1.3;4.2.1;3.6.1;3.2.1;3.1.4,3.1.4;3.1.3,3.1.3.62;3.1.3.64;3.1.4.57;3.1.3.64|3.1.3.67;3.1.3.66;3.1.3.36|3.1.3.56;3.1.3.78;3.1.3.97;3.6.1.6;3.6.1.5,3.1.3,3.1.3;3.1.7;3.1.4;4.6.1,,,"3.1.3,0.9484915137290955;4.2.1,0.01522392313927412;3.6.1,0.008857411332428455;3.2.1,0.003608784871175885;3.1.4,0.0030274351593106985",3.1.4;3.1.3,3.1.3,,,,3.1.3,,,3.1.3.57,3.1.3.57,3.1.3.57,3.1.3.57,3.1.3.57,3.1.3.57,3.1.3.57
17990,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.3.3;2.3.2;6.2.1;3.1.2,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.3.3;2.3.2;6.2.1;3.1.2,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.3.3;2.3.2;6.2.1;3.1.2,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.7.3;2.7.6;2.7.11;2.7.12,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.7.3;2.7.6;2.7.11;2.7.12,,,"2.7.11,0.943782389163971;2.7.1,0.04085494577884674;2.7.8,0.007336738053709269;2.7.4,0.0038607546593993902;2.7.6,0.0016703784931451082",2.7.11,2.7.11,,,,2.7.11,,,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1
17990,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.3.3;2.3.2;6.2.1;3.1.2,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.3.3;2.3.2;6.2.1;3.1.2,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.3.3;2.3.2;6.2.1;3.1.2,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.7.3;2.7.6;2.7.11;2.7.12,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.7.3;2.7.6;2.7.11;2.7.12,,,"2.7.11,0.943782389163971;2.7.1,0.04085494577884674;2.7.8,0.007336738053709269;2.7.4,0.0038607546593993902;2.7.6,0.0016703784931451082",2.7.11,2.7.11,,,,2.7.11,,,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.11
17990,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.3.3;2.3.2;6.2.1;3.1.2,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.3.3;2.3.2;6.2.1;3.1.2,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.3.3;2.3.2;6.2.1;3.1.2,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.7.3;2.7.6;2.7.11;2.7.12,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.7.3;2.7.6;2.7.11;2.7.12,,,"2.7.11,0.943782389163971;2.7.1,0.04085494577884674;2.7.8,0.007336738053709269;2.7.4,0.0038607546593993902;2.7.6,0.0016703784931451082",2.7.11,2.7.11,,,,2.7.11,,,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.12
17990,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.3.3;2.3.2;6.2.1;3.1.2,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.3.3;2.3.2;6.2.1;3.1.2,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.3.3;2.3.2;6.2.1;3.1.2,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.7.3;2.7.6;2.7.11;2.7.12,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.7.3;2.7.6;2.7.11;2.7.12,,,"2.7.11,0.943782389163971;2.7.1,0.04085494577884674;2.7.8,0.007336738053709269;2.7.4,0.0038607546593993902;2.7.6,0.0016703784931451082",2.7.11,2.7.11,,,,2.7.11,,,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.13
17990,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.3.3;2.3.2;6.2.1;3.1.2,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.3.3;2.3.2;6.2.1;3.1.2,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.3.3;2.3.2;6.2.1;3.1.2,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.7.3;2.7.6;2.7.11;2.7.12,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.7.3;2.7.6;2.7.11;2.7.12,,,"2.7.11,0.943782389163971;2.7.1,0.04085494577884674;2.7.8,0.007336738053709269;2.7.4,0.0038607546593993902;2.7.6,0.0016703784931451082",2.7.11,2.7.11,,,,2.7.11,,,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.17
17990,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.3.3;2.3.2;6.2.1;3.1.2,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.3.3;2.3.2;6.2.1;3.1.2,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.3.3;2.3.2;6.2.1;3.1.2,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.7.3;2.7.6;2.7.11;2.7.12,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.7.3;2.7.6;2.7.11;2.7.12,,,"2.7.11,0.943782389163971;2.7.1,0.04085494577884674;2.7.8,0.007336738053709269;2.7.4,0.0038607546593993902;2.7.6,0.0016703784931451082",2.7.11,2.7.11,,,,2.7.11,,,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.21
17990,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.3.3;2.3.2;6.2.1;3.1.2,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.3.3;2.3.2;6.2.1;3.1.2,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.3.3;2.3.2;6.2.1;3.1.2,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.7.3;2.7.6;2.7.11;2.7.12,,,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.7.3;2.7.6;2.7.11;2.7.12,,,"2.7.11,0.943782389163971;2.7.1,0.04085494577884674;2.7.8,0.007336738053709269;2.7.4,0.0038607546593993902;2.7.6,0.0016703784931451082",2.7.11,2.7.11,,,,2.7.11,,,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.1,2.7.11.22
