reaction_id,EC Number,BEC-Pred,CLAIRE,SelenzymeRF,SIMMER,Theia,MajorityVote,MajorityVoteCore4
11285,1.1.1.167,1.1.1,1.1.1;1.3.1;1.2.1;1.5.1,1.1.1.130;1.1|1.1.1.272|1.1.1.379|1.2.1.-;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.1.1.345;1.1.1.337|1.1.1.375;1.11.1.1|1.14.12.17,1.1.1,1.1.1;1.4.1;1.17.1;1.12.1;1.18.1,1.1.1,1.1.1
11341,4.1.1.75,4.1.1,7.2.4;1.3.1;1.1.1;1.5.1,4.1.1.1|4.1.1.7;1.13|1.13.12.19;2.6.1.19;4.1.1.71;1.2.4.2,,4.1.1;1.14.11;2.6.1;1.13.12;1.14.20,4.1.1,4.1.1
11345,2.7.7.43,2.7.7,2.7.7;2.7.1;2.7.8;3.1.1,2.7.7.43;2.7.7.92;2.7.7.81;2.7.7.82;2.7.7.90;2.7.7.38,2.7.7;2.4.1,2.7.7;2.7.4;2.7.8;2.4.99;5.1.3,2.7.7,2.7.7
11413,2.7.6.3,2.7.1,3.1.8;3.8.2;3.6.2;3.1.4,2.5.1.15|2.7.6.3;6.3.4.22;2.7.6.2;2.7.1.11|2.7.1.20|2.7.1.74,,2.7.1;2.7.4;2.7.11;2.7.6;2.7.8,2.7.1,2.7.1
11417,2.3.1.90,2.4.1,2.7.1;2.4.1;2.4.2;2.7.7,2.3.1.171;2.3.1.-|2.3.1.215;2.3.1.116;2.3.1.115;4.2.99.23;2.4.1.99;3.2.1.22;2.3.1.153;3.2.1.70;4.2.2.12;2.4.1.25;3.2.1.21,3.2.1,2.3.1;3.2.1;5.4.99;5.3.1;5.4.2,2.3.1,2.3.1
11441,1.14.13.50,1.14.13,1.14.13;1.14.15;1.14.14;4.1.1,1.14.13.2|1.14.13.33;1.14.13.84;1.14.14.91;1.14.13.240;1.14.14.1,1.6.5;1.14.13,1.14.13;1.6.3;1.14.19;1.17.1;1.14.12,1.14.13,1.14.13
11545,3.5.1.26,3.2.2,3.1.2;3.5.1;2.3.2;2.3.3,6.3.5.12;6.3.5.9;6.3.5.-|6.3.5.13;6.3.5.10;3.4.11.21;3.5.1.1;3.4.11.10|3.4.11.21|3.5.1.26,3.2.2,3.5.1;4.2.1;6.3.5;3.2.1;6.3.1,6.3.5,6.3.5
11629,4.1.1.1,4.1.1,7.2.4;4.1.1;1.1.1;1.5.1,4.1.1.1;1.2.3.4;4.1.1.2;4.1.1.1|4.1.1.7;4.1.1.1|4.1.1.72;1.13|1.13.12.19;4.1.1.82;4.1.1.79;2.6.1.19;4.1.1.71;4.1.1.1|4.1.1.7|4.1.1.74;4.1.1.-|4.1.1.43|4.1.4.3;3.5.1.29;2.2.1.9,4.1.1,4.1.1;1.17.98;1.2.7;1.2.2;1.2.99,4.1.1,4.1.1
11665,2.4.3.5,2.4.3,2.7.8;3.1.4;3.6.1;3.6.2,2.4.99.1;2.4.99.15;2.4.99.14;2.4.99.13;2.7.8.46;2.7.8.14;2.4.99.4;2.4.99.2;2.4.99.6;2.4.99.3;2.4.99.9;2.4.99.8;2.4.99.7;2.7.8.11;3.5.4.12;3.2.2.10;2.7.8.32;2.4.99.12;2.7.8.45;6.1.2.2;3.2.1.85,2.4.3;2.4.1,2.4.3;2.7.8;2.4.1;3.1.4;4.6.1,2.4.3,2.4.3
11697,2.1.1.139,2.1.1,2.1.1;1.3.7;2.5.1;1.3.8,2.1.1.285;2.1.1.164;2.1.1.315;2.1.1.305;2.1.1.307;2.1.1.238;2.1.1.237;2.1.1.102;2.1.1.239;2.1.1.101;2.1.1.365;2.1.1.267;2.1.1.129;2.1.1.163,2.1.1,2.1.1;3.13.2;2.8.4;2.5.1;1.17.98,2.1.1,2.1.1
11817,5.3.1.9,5.3.1,5.3.3;5.1.1;4.1.3;5.3.1,5.3.1.9,5.3.1,5.3.1;5.1.3;1.1.1;5.4.2;2.2.1,5.3.1,5.3.1
11849,1.21.4.4,4.4.1,6.1.1;1.4.4;6.3.4;1.2.4,1.21.4.4;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,1.21.4;1.8.4,1.21.4;1.17.4;1.8.98;3.1.2;1.8.4,1.21.4,1.21.4
11901,1.1.1.286,1.1.1,2.1.1;2.5.1;1.4.1;1.2.1,1.1.1.41;1.1.1.417;5.3.3.1;1.1.1.170;1.3.1.25;1.1.1.42;1.1.1.286|1.1.1.41|1.1.1.42|1.1.1.87;1.1.1.272|1.1.1.399|1.1.1.M7,1.1.1,1.1.1;1.3.1;1.4.1;1.17.1;1.14.11,1.1.1,1.1.1
11901,1.1.1.286,1.1.1,2.1.1;2.5.1;1.4.1;1.2.1,1.1.1.41;1.1.1.417;5.3.3.1;1.1.1.170;1.3.1.25;1.1.1.42;1.1.1.286|1.1.1.41|1.1.1.42|1.1.1.87;1.1.1.272|1.1.1.399|1.1.1.M7,1.1.1,1.1.1;1.3.1;1.4.1;1.17.1;1.14.11,1.1.1,1.1.1
11917,1.3.1.48,1.1.1,2.5.1;5.5.1;2.1.1;1.14.13,1.3.1.48;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17;1.12.1.2|1.12.1.5,1.3.1;1.1.1,1.1.1;1.3.1;1.17.1;1.18.1;1.12.1,1.1.1,1.1.1
11965,3.3.2.11,3.3.2,3.3.2;5.5.1;5.4.99;3.1.1,3.3.2.11;2.8.2.2;3.1.1.13;2.3.1.43;2.3.1.26;1.1.1.170|1.1.1.270|1.14.13.72|1.14.18.9;4.2.1.128;4.2.1.125;1.14.13.246;5.4.99.41;5.4.99.56;5.4.99.39;5.4.99.40;5.4.99.33;5.4.99.47;2.8.2.14|2.8.2.15|2.8.2.2;3.1.6.2;5.4.99.34;5.4.99.49;5.4.99.66;3.2.1.104,3.3.2,3.3.2;4.2.1;3.2.1;3.1.1;5.4.99,3.3.2,3.3.2
12049,2.8.3.6,2.8.3,2.8.3;2.4.1;3.1.1;2.3.1,2.8.3.5;2.8.3.13;2.8.3.6;2.8.3.15;2.8.3.-|2.8.3.20|2.8.3.22|2.8.3.7;2.8.3.18|2.8.3.5;2.8.3.-|2.8.3.1|2.8.3.18|2.8.3.M4;1.2.1.38|2.3.1.1|2.6.1.11|2.7.2.8,2.8.3,2.8.3;2.3.1;2.7.4;2.6.1;1.1.99,2.8.3,2.8.3
12077,1.1.1.90,1.1.1,2.1.1;1.4.1;1.21.98;1.16.1,1.1.1.1|1.1.1.71;1.1.1.90,1.12.1,1.1.1;1.17.1;1.12.1;1.2.1;1.18.1,1.1.1,1.1.1
12161,1.1.1.125,1.1.1,1.3.1;1.1.1;2.4.1;1.5.1,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17;1.12.1.2|1.12.1.5;1.1.1.11;1.1.1.14|1.1.1.56,1.1.1,1.1.1;1.1.99;1.17.1;1.4.1;5.3.1,1.1.1,1.1.1
12169,1.1.1.54,1.1.1,1.2.1;2.4.1;1.3.1;3.1.1,1.1.1.21;1.6.3.2;1.12.1.3|1.12.1.5;1.1.1|1.1.1.156|1.1.1.21|1.1.1.283|1.1.1.72;1.1.1.2|1.1.1.71;1.1.1.91;1.1.1|1.1.1.184|1.1.1.2;1.2.1.84;1.3.1.102;1.3.1.102|1.3.1.74,1.1.1,1.1.1;1.2.1;1.12.1;1.17.1;1.18.1,1.1.1,1.1.1
12253,3.2.1.126,3.2.1,3.1.1;2.4.1;4.1.1;3.2.1,3.2.1.126;2.4.1.111;3.2.1.21,3.2.1,3.2.1;2.4.1;4.2.1;2.3.1;3.1.3,3.2.1,3.2.1
12257,1.3.1.43,1.3.1,1.2.1;2.4.1;1.1.1;1.4.1,1.3.1.79;1.3.1.78|1.3.1.79;1.3.1.43;1.3.1.12;1.3.1.25;1.1.1.417;1.1.1.41;5.3.3.1;1.1.1.170;1.14.13.223;1.6.5.2,1.3.1,1.3.1;1.6.5;4.1.99;1.14.12;4.1.1,1.3.1,1.3.1
12257,1.3.1.43,1.3.1,1.2.1;2.4.1;1.1.1;1.4.1,1.3.1.79;1.3.1.78|1.3.1.79;1.3.1.43;1.3.1.12;1.3.1.25;1.1.1.417;1.1.1.41;5.3.3.1;1.1.1.170;1.14.13.223;1.6.5.2,1.3.1,1.3.1;1.6.5;4.1.99;1.14.12;4.1.1,1.3.1,1.3.1
12277,1.3.8.4,1.3.8,1.5.8;1.3.8;1.1.98;1.1.99,1.3.8.4|1.3.99.10|1.3.99.3;1.3.8.4|1.3.8.7|1.3.99.10;1.3.99.12;1.14.14.15;1.14.19.56;1.5.1.45;1.3.3.6|1.3.8.1|1.3.99.-|1.3.99.2|1.3.99.3;1.3.99.7;1.3.3.6|1.3.8.1|1.3.99.-|1.3.99.13|1.3.99.3;2.1.1.74,1.3.8,1.3.8;1.14.14;1.17.8;1.5.1;1.1.98,1.3.8,1.3.8
12297,3.5.99.16,3.5.99,4.2.1;3.3.2;5.5.1;4.1.2,4.2.1.78;4.3.3.2;2.8.2.1|2.8.2.3|2.8.2.4;1.14.19.62;1.10.3|1.10.3.-|1.10.3.1|1.14.18.1;1.14.17.1;1.14.16.2;4.1.1.22|4.1.1.25|4.1.1.28,,3.5.99;4.2.1;1.5.3;1.5.1;4.3.1,4.2.1,3.5.99
12345,1.2.1.70,1.1.1,2.4.1;2.3.1;1.2.1;2.8.3,1.2.1.70,1.23.1,1.1.1;1.2.1;1.12.1;1.17.1;6.1.1,1.2.1,1.1.1
12373,3.1.1.45,3.1.1,3.5.5;3.5.1;1.13.11;3.3.2,3.1.1.45;1.2.1.61;1.13.11.37;3.1.1.-|3.1.1.91;3.1.1.-|3.1.1.92;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,3.1.1,3.7.1;5.5.1;3.1.1;4.2.1;5.3.3,3.1.1,3.1.1
12409,1.4.1.18,1.4.1,2.1.1;1.4.1;1.21.98;1.2.1,1.4.1.18;1.4.1.1|1.4.1.10|1.4.1.12|1.4.1.15|1.4.1.19|1.4.1.2|1.4.1.20|1.4.1.3|1.4.1.4|1.4.1.5|1.4.1.7|1.4.1.8|1.4.1.9,1.5.1,1.4.1;1.2.1;1.5.1;5.4.3;6.3.2,1.4.1,1.4.1
12485,3.1.3.5,3.1.3,3.1.3;3.1.7;3.12.1;2.6.99,3.1.3.31|3.1.3.5,3.1.3,3.1.3;5.4.2;3.1.5;3.1.4;6.5.1,3.1.3,3.1.3
12594,2.7.8.5,2.7.8,1.8.99;2.8.2;3.6.2;2.7.8,2.7.8.5;2.7.8.45;2.7.8.8;2.7.8.38;2.7.8.1;2.7.8.2;2.7.8.11;2.7.8.41;2.7.8.-|2.7.8.44;2.4.1.96;2.7.8.28,2.7.8,2.7.8;2.7.1;4.6.1;2.3.1;2.7.6,2.7.8,2.7.8
12614,1.8.4.4,1.8.4,2.3.1;2.4.1;2.8.3;2.3.2,1.8.4.2;2.1.1.137;3.1.2.6,1.8.4,1.8.4;2.8.1;1.8.1;2.7.4;1.21.4,1.8.4,1.8.4
12622,4.1.1.12,4.1.1,7.2.4;4.1.1;1.5.1;1.1.1,4.1.1.11|4.1.1.15,4.1.1,2.6.1;4.1.1;5.4.3;5.1.1;5.1.99,4.1.1,4.1.1
12654,1.1.1.38,1.1.1,1.4.1;1.21.98;1.2.1;1.1.99,1.1.1.83;1.1.1.38|1.1.1.39|1.1.1.40|1.1.1.42,1.1.1,1.1.1;1.4.1;1.17.1;1.3.1;1.12.1,1.1.1,1.1.1
12654,1.1.1.38,1.1.1,1.4.1;1.21.98;1.2.1;1.1.99,1.1.1.83;1.1.1.38|1.1.1.39|1.1.1.40|1.1.1.42,1.1.1,1.1.1;1.4.1;1.17.1;1.3.1;1.12.1,1.1.1,1.1.1
12678,1.14.99.21,1.14.99,1.16.3;1.14.18;1.6.3;1.14.99,1.2.2.4;1.1.99.8;1.14.14.117;1.13|1.13.12.19;1.13.12.6;1.2.3.3;1.2.3.4;1.13.11.41;1.13.99.1;1.14.11.12;1.14.12.11;1.14.11.17;1.13.11.54,1.3.99,1.14.99;1.14.19;1.13.11;1.13.12;1.14.13,1.14.99,1.14.99
12718,2.7.1.140,2.7.1,3.1.1;2.7.1;2.8.2;2.4.1,2.7.1.151;2.7.1.127;2.7.1.127|2.7.1.159;2.7.1.134|2.7.4.21;2.3.1.193;2.7.1.158;2.7.1.130,2.7.1,2.7.1;2.7.4;2.7.7;2.7.11;2.7.6,2.7.1,2.7.1
12726,1.1.1.15,1.1.1,1.1.1;1.3.1;1.2.1;1.5.1,1.1.1.124|1.1.1.138|1.1.1.14|1.1.1.67|1.1.99.11|1.14.13.50|2.5.1.18|2.7.1.59|3.2.1.14|3.2.1.165|4.1.3.3|4.2.1.66|5.1.3.8;1.1.1.14;1.1.1.15;1.1.1.12|1.1.1.14,1.1.1,1.1.1;1.17.1;1.12.1;1.18.1;1.4.1,1.1.1,1.1.1
12770,1.1.99.3,1.1.99,1.1.99;4.2.1;1.2.99;1.3.99,1.1.99.3;1.1.1|1.1.1.215;1.1.1.69;4.2.1.140|4.2.1.39|4.2.1.82;4.2.1.140|4.2.1.39|4.2.1.6;4.2.1.146|4.2.1.68;4.2.1.68|4.2.1.7;1.1.1.264;1.1.1.45;1.1.1.58;1.1.1.380;1.1.1.414;1.1.1.57;1.1.1.346;4.2.1.90,1.1.99,1.1.99;1.3.99;1.1.1;5.1.3;1.14.99,1.1.99,1.1.99
12842,2.6.1.30,2.6.1,2.6.1;2.2.1;4.1.2;2.8.3,2.6.1.30|2.6.1.54;2.6.1.21;2.6.1.119;2.6.1.108;2.6.1.18;2.6.1.37;2.6.1.40;2.6.1.-|2.6.1.19|2.6.1.96;2.6.1.13,2.6.1,2.6.1;1.4.3;5.4.3;4.3.1;1.4.1,2.6.1,2.6.1
12890,1.1.1.45,1.1.1,1.3.1;1.1.1;2.4.1;1.2.1,1.1.1.45;1.1.1|1.1.1.264|1.1.1.366;1.1.1.58;1.1.1.414;1.1.1.57;1.1.1.69;1.1.1.380;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17,1.1.1,1.1.1;1.17.1;5.1.3;1.3.1;1.4.1,1.1.1,1.1.1
12906,2.7.7.22,2.7.7,2.7.7;3.1.1;2.7.1;2.8.2,2.7.7.69|2.7.7.78;2.7.7.37;2.7.7.99;2.7.7.53;2.7.7.33;2.7.7.30;2.7.7.13;2.7.7.24|2.7.7.9;2.7.7.24,2.7.7;2.4.1,2.7.7;2.4.1;2.7.4;3.6.1;2.7.1,2.7.7,2.7.7
12922,2.3.1.37,2.3.1,2.3.2;3.1.2;2.3.3;3.1.1,2.3.1.85;2.3.1.37;2.3.1.47,2.3.1,2.3.1;2.3.3;3.1.2;6.2.1;2.8.3,2.3.1,2.3.1
12930,2.3.3.14,2.3.3,3.1.2;2.3.2;3.1.1;2.3.3,2.3.3.18;2.3.3.19;2.3.3.-|2.3.3.17;2.3.3.1|2.3.3.14|2.3.3.16|2.3.3.3|4.1.3.7;2.3.3.13|2.3.3.6,2.3.3;2.3.1,2.3.3;4.1.3;2.3.1;4.2.1;4.4.1,2.3.3,2.3.3
12934,4.1.2.17,4.1.2,4.1.2;4.1.3;2.1.2;4.2.1,4.1.2.19;4.1.2.17;4.1.2|4.1.2.-|4.1.2.13,,4.1.2;5.3.1;1.1.1;5.1.3;2.3.1,4.1.2,4.1.2
12954,2.7.11.9,2.7.11,2.3.3;2.3.2;6.2.1;3.1.2,2.7.11.2;2.7.11.11;2.7.1.31;2.7.1.225|2.7.1.bm;2.7.1.210;2.7.1.219;2.7.1.189;2.7.1.220;2.7.1.28;2.7.1.103;2.7.2|2.7.2.-|2.7.2.16;2.7.1.16,2.7.11,2.7.11;2.7.1;2.7.8;2.7.4;2.7.6,2.7.11,2.7.11
13022,1.14.13.82,1.14.13,1.14.19;1.14.13;1.14.14;1.14.12,1.14.13.82;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.223;1.14.12.-|1.14.12.10;1.14.13.69;1.14.13.87;1.14.13.25;1.14.13.113;1.14.13.26;1.11.1.1|1.14.12.17,1.1.1,1.14.13;1.14.19;1.6.3;1.16.1;1.17.1,1.14.13,1.14.13
13030,1.1.3.29,1.1.3,1.7.3;1.2.3;1.15.1;1.11.2,1.1.3.29;1.1.3.10;1.1.3.15;1.4.3.13;1.1.3.10|1.1.3.4;1.1.3.9;1.17.3.2;1.8.3.5;1.4.3.2,,1.1.3;1.11.1;1.2.3;3.2.1;1.5.3,1.1.3,1.1.3
13054,2.6.1.58,2.6.1,2.6.1;2.2.1;4.1.2;2.8.3,2.6.1.-|2.6.1.99;2.6.1.51;2.6.1.2|2.6.1.21;2.6.1.1|2.6.1.2|2.6.1.5;2.6.1.15;2.6.1.21,2.6.1,2.6.1;5.4.3;4.1.2;4.1.3;5.1.99,2.6.1,2.6.1
13114,1.7.1.12,1.7.1,1.4.1;1.2.1;1.17.1;1.3.1,1.6.3.2;1.12.1.3|1.12.1.5;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17;1.12.1.2|1.12.1.5;1.7.99.6,1.7.1;1.14.19;1.14.13,1.6.3;1.14.13;1.17.1;1.5.1;1.7.1,1.6.3,1.6.3
13122,2.7.1.71,2.7.1,3.1.1;2.4.1;2.3.2;2.3.1,2.7.1.43;2.7.1.100;2.7.1.11,2.7.1,2.7.1;2.7.4;2.7.11;2.7.7;2.7.6,2.7.1,2.7.1
13154,1.1.1.92,1.1.1,1.1.1;1.3.1;1.2.1;1.5.1,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17;1.12.1.2|1.12.1.5;1.14.18.9,1.1.1,1.1.1;1.17.1;1.4.1;1.12.1;2.7.1,1.1.1,1.1.1
