Reaction ID,Theia
R03681,"2.4.1,0.9998100399971008;2.4.2,0.00015025149332359433;3.2.1,1.4686831491417252e-05;2.7.7,1.0018175998993684e-05;4.1.3,2.625187562443898e-06"
R11045,"2.1.1,1.0;2.3.1,1.549805084266609e-08;1.-.-,8.737805146097344e-09;4.2.1,1.1478482608850982e-09;4.4.1,5.229833788256144e-10"
R00821,"4.1.1,0.9988332390785217;2.7.11,0.00026006283587776124;2.7.1,0.00022593422909267247;2.3.1,0.00011258535232627764;1.17.1,8.523257565684617e-05"
R01225,"2.1.2,0.9988743662834167;3.5.4,0.00045278840116225183;1.4.4,0.00020437015336938202;4.3.1,0.0001944977993844077;5.1.1,0.0001305385521845892"
R11330,"5.1.3,0.9935178756713867;5.3.1,0.004859440494328737;3.2.1,0.0007675490924157202;2.4.1,0.00035347198718227446;2.3.1,0.00011540514969965443"
R12823,"4.2.3,0.9149158596992493;1.3.-,0.03610045090317726;5.5.1,0.030739348381757736;1.1.1,0.009509509429335594;1.14.12,0.0022195654455572367"
R07405,"5.4.99,0.9999774694442749;2.7.2,8.895776772988029e-06;5.4.1,5.758749011874897e-06;3.5.2,2.103793576679891e-06;3.1.1,1.5063105820445344e-06"
R12817,"2.5.1,0.9955756664276123;2.3.1,0.0038803317584097385;4.2.1,0.00016003812197595835;1.14.13,9.766769653651863e-05;3.5.1,8.783652447164059e-05"
R09765,"2.4.99,0.9358320832252502;2.3.2,0.0441952683031559;2.4.1,0.007430389057844877;2.7.7,0.005059209652245045;3.1.3,0.004887493792921305"
R10255,"2.7.8,0.962308406829834;3.1.3,0.033796392381191254;3.1.4,0.002437413902953267;2.7.99,0.0005695303552784026;3.6.1,0.0003205336397513747"
R03558,"2.4.1,0.9999653100967407;2.7.7,2.0607227270375006e-05;3.2.1,6.967569333937718e-06;3.1.1,2.8629146981984377e-06;2.7.8,7.576996381430945e-07"
R01341,"1.4.3,0.7009448409080505;1.15.1,0.14492236077785492;1.1.3,0.062412772327661514;6.3.3,0.036758311092853546;1.8.3,0.02486160397529602"
R03291,"1.5.1,0.980533242225647;1.2.1,0.009911986999213696;1.3.1,0.004556720610707998;1.1.1,0.001184629974886775;1.19.1,0.000924972933717072"
R01978,"2.3.3,0.9251618385314941;4.1.3,0.05578790232539177;3.1.2,0.01717989332973957;2.3.1,0.001233249087817967;4.2.1,0.0005486870068125427"
R08648,"2.2.1,0.9997621178627014;2.3.3,8.919372339732945e-05;1.2.4,3.8874877645866945e-05;1.2.7,2.2604308469453827e-05;4.1.2,2.067920104309451e-05"
R08654,"4.4.1,0.9857347011566162;4.1.99,0.007076449226588011;4.3.1,0.005996793508529663;2.5.1,0.00039193552220240235;1.14.-,0.00012953381519764662"
R03787,"1.3.1,0.9997738003730774;6.3.3,4.796724169864319e-05;1.6.5,3.3320942748105153e-05;1.6.2,3.239089346607216e-05;1.11.2,2.7706348191713914e-05"
R01776,"2.3.1,0.9998307228088379;3.1.1,8.905942377168685e-05;1.2.1,4.737092604045756e-05;3.1.2,2.3125088773667812e-05;2.5.1,2.29689794650767e-06"
R10840,"2.5.1,0.994330883026123;3.1.1,0.0019608684815466404;2.4.2,0.0011859347578138113;1.97.1,0.0011749670375138521;2.3.1,0.0004695372481364757"
R01519,"3.1.1,0.9961339235305786;3.7.1,0.0013279612176120281;3.1.2,0.0008866487769410014;3.5.1,0.0005934251821599901;4.2.1,0.0003424721071496606"
R10452,"2.1.1,1.0;2.3.1,2.4962969191744122e-11;3.5.1,1.431901385656742e-11;2.5.1,7.773168393676588e-12;3.4.19,5.526930042104583e-12"
R12261,"5.5.1,0.6252032518386841;4.2.3,0.3743898272514343;5.3.3,0.00037467392394319177;5.4.99,1.0651227967173327e-05;4.3.2,6.68273787596263e-06"
R00182,"3.2.2,0.9997552037239075;2.4.2,0.00024245455279015005;3.5.1,7.166423188209592e-07;3.1.1,6.71824977871438e-07;2.3.1,2.1835458596797253e-07"
R13159,"2.4.2,0.6139532923698425;5.1.3,0.19305802881717682;2.3.1,0.13882684707641602;2.7.7,0.047397565096616745;2.7.6,0.003072655526921153"
R10819,"5.1.3,0.9418650269508362;5.3.1,0.03545643761754036;3.2.1,0.008384905755519867;2.4.1,0.005233024712651968;2.7.1,0.00486215204000473"
R13266,"2.3.1,0.999710738658905;3.1.1,0.00028377436683513224;3.1.2,4.5504921217798255e-06;4.1.1,4.5979382434779836e-07;1.2.4,1.683353900716611e-07"
R07640,"2.7.4,0.5206859707832336;2.7.1,0.34403854608535767;6.2.1,0.06660380214452744;5.1.99,0.022509653121232986;2.7.2,0.009342830628156662"
R07751,"1.3.1,0.9993162155151367;1.14.13,0.0004415416915435344;4.2.1,0.0001798930170480162;1.14.14,2.7897007385035977e-05;1.6.5,1.1241191714361776e-05"
R09679,"2.1.1,1.0;1.-.-,7.330988030171404e-13;2.3.1,2.5308604495975773e-13;6.-.-,3.4904513361664474e-14;2.5.1,2.9730565069292086e-14"
R09810,"1.13.11,0.8544742465019226;1.14.99,0.14477331936359406;1.14.12,0.0002639562007971108;1.14.14,0.00017443210526835173;4.2.1,0.00011777098552556708"
R13244,"3.1.3,0.46173933148384094;3.6.1,0.42448997497558594;3.1.4,0.07769879698753357;4.6.1,0.02508058026432991;3.7.1,0.0016433288110420108"
R05681,"1.1.1,0.9999587535858154;1.3.1,1.604405952093657e-05;1.1.5,5.908683306188323e-06;1.-.-,3.936102984880563e-06;2.7.1,3.5727853173739277e-06"
R02679,"1.1.1,0.9999754428863525;1.2.1,5.744749614677858e-06;1.1.5,5.439071173896082e-06;1.-.-,3.2318314424628625e-06;1.8.1,2.5521117095195223e-06"
R04630,"2.4.1,0.7654885053634644;2.4.99,0.23326073586940765;3.1.3,0.0009863805025815964;3.1.4,0.00011761585483327508;3.2.1,5.9246187447570264e-05"
R08999,"1.14.99,0.982347846031189;1.14.13,0.014965707436203957;1.14.14,0.001962571870535612;1.6.3,0.00023359176702797413;1.6.99,0.00012558404705487192"
R09214,"1.13.11,0.9999303817749023;1.14.12,6.732422480126843e-05;6.2.1,1.1987713151029311e-06;5.5.1,4.6408877096837386e-07;1.3.1,4.1415745499762124e-07"
R12787,"2.1.1,0.9999982118606567;2.3.1,1.6629126093903324e-06;3.1.1,6.32051921911625e-08;1.14.13,1.5146868648230338e-08;1.1.5,1.0135220662732536e-08"
R10892,"2.7.1,0.6880262494087219;6.3.2,0.2880938947200775;2.3.1,0.023341646417975426;2.7.3,0.00022628676379099488;2.7.7,8.008981967577711e-05"
R01775,"1.1.1,0.9986104965209961;1.2.1,0.0012653189478442073;1.-.-,5.3843970817979425e-05;1.3.1,1.617920133867301e-05;1.1.-,1.334616717940662e-05"
R04216,"2.4.1,0.8044002056121826;4.2.1,0.14528770744800568;2.-.-,0.012683910317718983;2.3.1,0.00984316784888506;2.4.-,0.006581028923392296"
R02762,"1.1.1,0.7859084606170654;1.2.1,0.199540913105011;3.7.1,0.00742756575345993;5.3.2,0.004881752654910088;1.3.1,0.001262027071788907"
R02450,"2.3.1,0.47222617268562317;1.1.1,0.4431135654449463;1.2.1,0.07453413307666779;4.1.1,0.007703923154622316;1.8.1,0.0008417634526267648"
R09227,"1.14.12,0.9999837875366211;1.14.13,9.755654900800437e-06;1.14.-,3.334130724397255e-06;1.3.1,1.657311031522113e-06;1.18.1,4.4859064018965e-07"
R03718,"2.3.1,0.9920451641082764;3.1.2,0.004864566959440708;6.2.1,0.0025198704097419977;3.1.1,0.000149292332935147;6.3.2,0.0001424303336534649"
R02406,"6.2.1,0.9823906421661377;2.3.1,0.01482645608484745;3.1.2,0.001270091743208468;6.3.2,0.0005669067031703889;2.7.3,0.00031522958306595683"
R05711,"1.7.1,0.9921024441719055;1.7.-,0.00530186016112566;1.16.1,0.0003368534380570054;1.6.2,0.00027609276003204286;1.19.1,0.00025848677614703774"
R11190,"3.5.1,0.646036684513092;3.4.17,0.34794509410858154;3.4.16,0.0010948290582746267;3.1.1,0.0008691088878549635;3.4.19,0.0006821606657467782"
R06934,"4.1.2,0.8110403418540955;4.2.1,0.1838747262954712;4.4.1,0.0024719792418181896;4.5.1,0.0008608534699305892;4.1.99,0.00048186889034695923"
R00366,"1.4.3,0.9861207604408264;1.5.3,0.004597868770360947;3.5.4,0.0038258866406977177;4.1.3,0.0019695251248776913;1.2.3,0.0010742828017100692"
R04920,"2.7.8,1.0;2.7.1,5.32420219023777e-10;2.7.7,3.1402397349111766e-10;3.1.3,2.143987348768306e-10;3.6.1,6.939232521929739e-11"
R02426,"4.2.1,0.8575364947319031;3.7.1,0.11221686750650406;1.1.1,0.007972772233188152;1.1.5,0.004209523554891348;5.-.-,0.002294657751917839"
R04263,"1.1.1,0.9892277717590332;5.3.3,0.01056095864623785;1.14.13,6.180765922181308e-05;1.3.1,5.1614264521049336e-05;1.6.5,1.9919994883821346e-05"
R09760,"2.5.1,0.9857871532440186;3.1.3,0.008475305512547493;2.7.1,0.004198634531348944;4.1.1,0.001182271633297205;2.7.9,0.0001573586487211287"
R03384,"2.7.1,0.9923450350761414;4.6.1,0.0072718337178230286;2.7.4,0.0001424923975719139;2.1.1,0.0001005422163871117;3.1.4,6.55257172184065e-05"
R03776,"1.3.1,0.8943567872047424;2.3.1,0.10389497131109238;1.3.99,0.0009226524271070957;1.3.3,0.0003946150536648929;1.1.1,0.00020950294856447726"
R03478,"2.7.1,0.5946652293205261;2.7.4,0.3466925323009491;6.2.1,0.020394545048475266;2.1.1,0.00891904253512621;2.7.2,0.007206223905086517"
R08235,"1.17.3,0.9997263550758362;1.2.3,0.0001358453300781548;2.4.2,0.00011100428673671558;1.13.12,6.262821443669964e-06;1.14.13,5.741456334362738e-06"
R12665,"5.3.1,0.9975330829620361;1.1.2,0.000491415907163173;1.1.1,0.0004471730499062687;1.1.5,0.00038333330303430557;4.1.1,0.00029149698093533516"
R05234,"1.1.1,0.9999771118164062;1.2.1,2.0521727492450736e-05;1.3.1,1.8911748611571966e-06;1.-.-,1.7586070555353217e-07;1.6.5,1.1405472122305582e-07"
R11284,"1.1.3,0.9993807077407837;1.8.3,0.000303876877296716;1.1.99,0.0001426489179721102;2.6.1,8.894033817341551e-05;1.21.3,1.4886729331919923e-05"
R00700,"1.12.1,0.9998273849487305;1.14.99,5.004204285796732e-05;1.1.1,3.336425652378239e-05;1.6.3,2.1247715267236345e-05;1.8.1,1.3189408491598442e-05"
R02585,"3.1.3,0.8516928553581238;3.6.1,0.08874072879552841;3.1.4,0.035479724407196045;3.1.1,0.010179031640291214;2.7.9,0.007722555194050074"
R00346,"4.1.1,0.9999984502792358;2.7.1,1.3327036185728502e-06;2.5.1,1.2205254051878e-07;2.7.11,7.022007508794559e-08;2.7.3,1.0901104907645731e-08"
R04221,"1.4.3,0.999135434627533;3.5.4,0.0007099841022863984;1.5.99,0.00010529890278121457;1.5.3,3.322838165331632e-05;1.5.-,1.2377229722915217e-05"
R10932,"2.6.1,0.9939888715744019;4.1.1,0.003732146229594946;1.4.3,0.0016409287927672267;1.4.1,0.00040416649426333606;1.4.11,3.713549085659906e-05"
R13309,"4.2.1,0.9849258065223694;3.4.11,0.004832531325519085;4.3.3,0.00412565004080534;4.4.1,0.0010154300834983587;1.14.13,0.0008512611384503543"
R11888,"2.8.2,0.9999996423721313;2.3.1,1.5010974152573908e-07;1.8.4,4.7794191715411216e-08;2.7.8,4.6978062329117165e-08;1.14.-,2.2312589109674263e-08"
R01504,"6.2.1,0.7729471921920776;3.6.1,0.11748269200325012;2.7.1,0.08339960128068924;3.-.-,0.008595782332122326;6.3.2,0.007123863790184259"
R04322,"5.1.3,0.5814255475997925;2.4.2,0.3697454333305359;2.7.7,0.028728503733873367;2.3.1,0.008642073720693588;2.7.6,0.00527274701744318"
R06417,"1.3.1,0.9905126690864563;1.3.99,0.0072267791256308556;1.1.1,0.0020805024541914463;5.3.3,9.511949610896409e-05;1.3.3,1.3630534340336453e-05"
R05317,"1.3.3,0.47237685322761536;1.3.8,0.3001622259616852;4.3.1,0.04043550789356232;1.8.3,0.03635790944099426;4.5.1,0.03402232378721237"
R12938,"5.4.99,0.6641098856925964;5.4.4,0.11962045729160309;5.2.1,0.05806437507271767;5.5.1,0.030307702720165253;5.3.3,0.029002895578742027"
R02189,"2.7.1,0.9250274896621704;3.1.3,0.05703781545162201;5.4.2,0.011633339338004589;2.3.1,0.004798620007932186;4.2.3,0.00023894646437838674"
R01066,"4.1.2,0.991741418838501;5.3.1,0.005729427561163902;1.13.99,0.0009905074257403612;1.2.-,0.0003464212059043348;3.1.21,0.00020708394004032016"
R09718,"2.6.1,0.7348597645759583;4.1.3,0.21245861053466797;4.1.2,0.04614126309752464;2.3.1,0.003667431650683284;4.1.1,0.00107627606485039"
R11918,"4.1.1,0.9894174933433533;1.4.3,0.004468870814889669;1.2.3,0.0019665497820824385;1.13.12,0.0017401908989995718;1.11.1,0.0008613099344074726"
R10694,"1.14.13,0.9999996423721313;1.14.14,3.2089263868329e-07;1.14.15,4.134112785436628e-08;1.6.5,3.3262150367363574e-08;1.14.-,2.6703856903509404e-08"
R10542,"1.14.11,0.9960611462593079;1.14.20,0.0032324357889592648;1.4.11,0.0004720022843685001;3.4.-,0.00016711821081116796;1.1.5,1.6998166756820865e-05"
R03746,"2.1.1,1.0;1.-.-,1.732066434723123e-10;2.3.1,1.204896772633024e-11;2.5.1,2.8137574735465076e-12;6.3.2,1.949880578180907e-12"
R03180,"3.5.1,0.999731719493866;6.3.1,0.00012046730989823118;3.5.5,6.0149188357172534e-05;6.3.5,1.9968314518337138e-05;1.4.3,1.0516804650251288e-05"
R01495,"2.7.1,0.812363862991333;3.1.3,0.11025133728981018;2.7.11,0.04995720461010933;3.1.4,0.011682514101266861;3.6.1,0.00495277950540185"
R13220,"1.1.1,0.9801977872848511;1.3.1,0.01784098520874977;2.3.1,0.0005644718767143786;1.-.-,0.0003299711679574102;1.2.1,0.00032945864950306714"
R12237,"1.5.1,0.9964584708213806;1.1.1,0.0023205778561532497;1.8.1,0.00029092119075357914;1.6.2,0.00013477606989908963;1.2.4,0.00010154743358725682"
R10113,"1.1.1,0.9997692704200745;1.3.1,7.414774154312909e-05;1.6.5,4.198046735837124e-05;1.2.1,3.7177029298618436e-05;1.8.1,1.9589890143834054e-05"
R02628,"2.7.1,0.9758196473121643;2.7.3,0.02392086759209633;2.7.9,0.00014206203923095018;4.1.1,7.30753963580355e-05;2.7.11,3.383494549780153e-05"
R08446,"2.1.1,0.9999998807907104;2.5.1,7.658249501218961e-08;2.3.1,3.9383486694077874e-08;6.3.2,1.8598511175582644e-08;4.3.3,7.218804665143352e-09"
R12950,"3.5.1,0.9968376159667969;3.2.1,0.0013139690272510052;1.5.1,0.0011999108828604221;1.2.1,0.0004922837251797318;2.3.1,7.88434044807218e-05"
R02094,"2.7.4,0.7740060091018677;2.7.1,0.19946995377540588;2.1.1,0.01891961507499218;6.2.1,0.002652202034369111;2.7.2,0.0017209263751283288"
R04354,"2.4.1,0.9998335838317871;2.7.7,7.829243986634538e-05;3.2.1,1.9653183699119836e-05;3.1.1,1.432178214599844e-05;2.1.1,1.343452913715737e-05"
R05134,"3.2.1,0.9987943172454834;2.3.1,0.00110888690687716;3.1.1,5.274314753478393e-05;4.2.1,7.498475497413892e-06;3.4.13,5.512391453521559e-06"
R06865,"1.14.13,0.5847362875938416;1.14.16,0.20039981603622437;1.14.18,0.10058023035526276;1.14.15,0.03230863809585571;1.14.-,0.02587663009762764"
R02769,"2.5.1,0.999854326248169;4.2.1,5.1905648433603346e-05;2.3.1,4.477914990275167e-05;4.1.3,2.6723275368567556e-05;5.3.99,6.209724688233109e-06"
R00328,"3.6.1,0.9950509667396545;3.1.3,0.0027286869008094072;3.-.-,0.0016529234126210213;3.1.4,0.0003993396821897477;3.6.2,0.00011871416063513607"
R03856,"1.3.1,0.8943567872047424;2.3.1,0.10389497131109238;1.3.99,0.0009226524271070957;1.3.3,0.0003946150536648929;1.1.1,0.00020950294856447726"
R10770,"6.2.1,0.9613828063011169;2.3.1,0.03833451494574547;2.7.1,6.949427915969864e-05;3.1.2,5.793742457171902e-05;2.7.2,4.491486106417142e-05"
R00145,"1.4.1,0.9926844835281372;4.3.1,0.004950211849063635;1.4.3,0.0013285010354593396;1.7.1,0.0006931676180101931;1.5.1,9.460217552259564e-05"
R00483,"6.3.1,0.683338463306427;3.5.1,0.1567608267068863;6.3.5,0.13138101994991302;3.4.19,0.02166876383125782;2.3.2,0.0016768540954217315"
R03612,"3.1.1,0.9979222416877747;3.5.1,0.0018189118709415197;4.2.1,0.00015459171845577657;3.7.1,1.9953360606450588e-05;2.3.1,1.6074327504611574e-05"
R10640,"2.8.3,0.5738711357116699;2.3.1,0.2873368561267853;4.1.3,0.01666121371090412;6.2.1,0.01104818657040596;4.2.1,0.008003546856343746"
R05735,"6.4.1,0.9743064641952515;6.3.5,0.01392587460577488;6.3.4,0.007416452281177044;3.6.1,0.0035737226717174053;3.-.-,0.0004568147996906191"
R11237,"2.7.4,0.7740060091018677;2.7.1,0.19946995377540588;2.1.1,0.01891961507499218;6.2.1,0.002652202034369111;2.7.2,0.0017209263751283288"
R11448,"1.14.13,0.7766938805580139;1.14.14,0.1242077425122261;1.14.15,0.08234565705060959;1.14.-,0.005935709923505783;1.-.-,0.003480978310108185"
R07639,"5.3.3,0.6590594053268433;2.1.1,0.30071985721588135;1.3.1,0.037117037922143936;1.14.99,0.0007990392041392624;1.13.11,0.00047197044477798045"
R03270,"1.14.-,0.5695483684539795;1.14.12,0.4170626103878021;1.-.-,0.004906428977847099;1.13.12,0.001608455553650856;1.97.1,0.0011003875406458974"
R02135,"3.1.3,0.9997270703315735;3.6.1,0.00018880749121308327;3.1.4,3.7331639759941027e-05;4.2.3,1.8629851183504798e-05;2.7.1,1.8069296856992878e-05"
R12561,"2.3.1,0.9792435765266418;6.2.1,0.01666475459933281;2.3.3,0.0008692262344993651;3.1.2,0.0006557864253409207;1.2.7,0.0005760907079093158"
R05081,"2.7.8,0.909454882144928;2.7.1,0.0791778489947319;4.6.1,0.00721505144611001;3.1.1,0.0015332691837102175;3.1.3,0.0008533333893865347"
R05086,"3.1.3,0.9916524291038513;3.6.1,0.006694419775158167;2.7.1,0.0010354977566748857;4.2.3,0.0003529523382894695;3.1.4,0.00020823869272135198"
R02203,"1.5.1,0.9989062547683716;1.5.99,0.0010125183034688234;1.2.1,4.607731170835905e-05;1.19.1,1.5330590031226166e-05;2.5.1,5.976239663141314e-06"
R00328,"3.6.1,0.9950509667396545;3.1.3,0.0027286869008094072;3.-.-,0.0016529234126210213;3.1.4,0.0003993396821897477;3.6.2,0.00011871416063513607"
R12449,"6.3.1,0.8104832172393799;1.11.1,0.04159529134631157;1.17.99,0.04086802154779434;1.14.12,0.016606491059064865;1.2.2,0.009331981651484966"
R01181,"5.4.99,0.9879240393638611;2.3.1,0.005458056461066008;1.3.99,0.002922403858974576;5.4.1,0.002445570193231106;2.8.3,0.0006881847511976957"
R01457,"1.3.1,0.979810357093811;1.1.1,0.015437249094247818;1.6.5,0.0026884465478360653;1.6.2,0.0006783847929909825;1.6.99,0.0004901738138869405"
R02341,"3.2.2,0.9999860525131226;2.4.2,1.3440832844935358e-05;3.1.1,2.0958543700544396e-07;3.5.1,1.8058506157103693e-07;2.3.1,2.4342206472738326e-08"
R12362,"1.1.1,0.9998652935028076;1.3.1,4.758723662234843e-05;5.3.3,2.7303893148200586e-05;2.3.1,1.3123834833095316e-05;4.1.1,1.31000751935062e-05"
R09704,"5.1.99,0.9999904632568359;5.1.1,3.1950014545145677e-06;2.6.1,2.0858906282228418e-06;2.3.1,1.118156887969235e-06;2.3.2,1.0235198715236038e-06"
R02673,"1.1.3,0.9955301880836487;1.2.3,0.0021723846439272165;4.1.1,0.0007741725421510637;1.11.2,0.0004334592376835644;1.1.99,0.00024107239732984453"
R08693,"1.1.1,0.9153409004211426;1.1.99,0.035520926117897034;1.1.2,0.013271301053464413;1.14.13,0.006572759710252285;5.1.3,0.005403958261013031"
R11694,"3.1.1,0.9974039196968079;3.5.1,0.0018562698969617486;3.4.11,0.00035737347207032144;3.1.2,0.00020612262596841902;3.4.17,3.1620755180483684e-05"
R10799,"1.3.1,0.9997305274009705;1.3.3,0.00025541186914779246;1.3.99,4.860469289269531e-06;2.3.1,2.5139570425380953e-06;1.1.1,1.6046999462560052e-06"
R04649,"2.4.99,0.8211253881454468;3.1.3,0.1252744495868683;2.7.7,0.023213323205709457;2.3.2,0.02229170873761177;3.1.4,0.0020035146735608578"
R12761,"4.2.1,0.9914284348487854;1.1.1,0.0024877781979739666;3.1.2,0.001088568358682096;5.3.99,0.0009593375725671649;3.7.1,0.0007254845695570111"
R12744,"1.13.11,0.5585495829582214;1.14.12,0.17728093266487122;1.14.14,0.1216583102941513;1.14.13,0.0902654230594635;1.14.-,0.017751192674040794"
R13388,"1.8.99,0.7832130193710327;3.1.4,0.07850948721170425;3.13.1,0.016728529706597328;3.1.1,0.014921540394425392;3.4.11,0.01264165248721838"
R05593,"3.7.1,0.5725823640823364;4.2.1,0.35591936111450195;1.1.1,0.052710264921188354;1.14.-,0.005682773422449827;3.5.1,0.004789609462022781"
R10143,"1.14.11,0.9998419284820557;1.14.20,0.00012499072181526572;1.14.13,1.5167013771133497e-05;1.13.11,5.697418146155542e-06;1.13.12,5.465271897264756e-06"
R10695,"3.5.4,0.9995032548904419;3.5.99,0.00019024482753593475;1.11.1,4.5495846279663965e-05;3.3.1,4.526198245002888e-05;3.4.17,4.066151086590253e-05"
R09148,"1.14.13,0.9978368878364563;1.14.14,0.0011385915568098426;1.3.98,0.00016153574688360095;1.14.15,0.0001269752683583647;1.1.1,0.00012110000534448773"
R08574,"2.7.1,0.995013415813446;2.7.2,0.001732019823975861;3.1.3,0.0011101964628323913;3.6.1,0.0005427378346212208;2.1.1,0.00046657733037136495"
R12952,"3.5.1,0.9734538197517395;1.5.1,0.021657902747392654;2.3.1,0.00360096525400877;1.14.13,0.0005106193129904568;3.5.3,0.00014087905583437532"
R05380,"4.2.1,0.9943016767501831;3.5.1,0.0012358061503618956;4.1.2,0.0012140932958573103;3.1.2,0.0006338856765069067;2.5.1,0.00048173582763411105"
R09823,"2.1.1,0.9999998807907104;2.3.1,1.489167686941073e-07;2.5.1,3.721052266314473e-08;6.3.2,1.276635330782483e-08;2.6.1,7.819962455357654e-09"
R12506,"2.3.1,0.13771121203899384;2.7.4,0.1075223982334137;2.4.1,0.07033617049455643;5.1.3,0.06864075362682343;2.7.8,0.04989010840654373"
R12165,"1.14.20,0.9996949434280396;1.14.3,0.00022726241149939597;1.13.12,2.464218960085418e-05;1.9.3,2.4320865122717805e-05;1.14.11,1.5179340152826626e-05"
R04242,"3.5.1,0.7931248545646667;3.4.11,0.13837118446826935;3.4.13,0.016298435628414154;4.2.1,0.013867158442735672;2.3.2,0.008672257885336876"
R11279,"6.1.2,0.8200345039367676;2.1.3,0.15629690885543823;6.3.5,0.012870623730123043;6.4.1,0.0025912404526025057;3.6.1,0.001798691926524043"
R12747,"2.3.1,0.13771121203899384;2.7.4,0.1075223982334137;2.4.1,0.07033617049455643;5.1.3,0.06864075362682343;2.7.8,0.04989010840654373"
R01353,"2.7.2,0.9814643263816833;6.2.1,0.015475375577807426;2.7.1,0.0015066982014104724;2.3.1,0.0003814141091424972;6.3.5,0.0002826583222486079"
R12454,"1.11.1,0.9751080870628357;1.11.2,0.009702343493700027;1.3.3,0.0075422110967338085;1.3.98,0.002656204393133521;4.1.1,0.0025221791584044695"
R04880,"1.1.1,0.9999715089797974;1.2.1,2.008614865189884e-05;1.8.1,2.8201816348882858e-06;1.13.99,1.2483011460062698e-06;1.-.-,1.1038555385312065e-06"
R04378,"2.4.2,0.7269847393035889;2.7.8,0.2222905158996582;4.3.2,0.031925857067108154;2.3.1,0.010555214248597622;5.4.99,0.002482790034264326"
R05377,"4.1.1,0.9889156818389893;1.1.1,0.003931446000933647;1.2.2,0.0029538096860051155;1.2.4,0.000583384302444756;1.17.5,0.00039315904723480344"
R01965,"2.7.1,0.995013415813446;2.7.2,0.001732019823975861;3.1.3,0.0011101964628323913;3.6.1,0.0005427378346212208;2.1.1,0.00046657733037136495"
R12851,"4.3.2,0.9908419847488403;6.3.4,0.004413310904055834;2.3.1,0.004120619501918554;4.3.1,0.0003720527165569365;2.3.2,6.491645763162524e-05"
R01204,"2.3.1,0.9987367987632751;2.6.1,0.000729705672711134;3.1.1,0.00018727866699919105;3.2.1,0.00015408400213345885;2.7.7,5.162919842405245e-05"
R08836,"1.13.11,0.9999406337738037;1.14.12,4.0839066059561446e-05;1.14.18,5.290890385367675e-06;1.14.13,4.421468020154862e-06;4.1.99,4.386892214824911e-06"
R09719,"1.3.8,0.987798273563385;1.3.99,0.00911919679492712;1.14.14,0.0028140032663941383;1.1.99,0.0001308570062974468;1.3.5,3.829329216387123e-05"
