Reaction ID,Theia
R00357,"1.4.3,0.9987226128578186;1.4.1,0.0006652390002273023;1.4.9,0.00010826183279277757;1.4.11,8.380766666959971e-05;4.3.1,6.935209239600226e-05"
R09497,"2.1.1,0.5091058015823364;1.7.1,0.44537490606307983;4.2.1,0.03425426036119461;4.3.1,0.00765661895275116;1.7.99,0.00233543966896832"
R05274,"1.14.13,0.9277735352516174;1.-.-,0.030228782445192337;1.14.14,0.016491234302520752;1.14.99,0.011553779244422913;1.6.99,0.0037488099187612534"
R02590,"2.7.7,0.5440191030502319;2.7.1,0.2534911036491394;2.7.4,0.18583692610263824;3.6.3,0.004472077824175358;6.2.1,0.004259916488081217"
R05691,"1.1.1,0.9999377727508545;1.14.13,3.074526466662064e-05;1.3.1,1.2323882401688024e-05;5.3.3,9.214699275617022e-06;1.1.5,2.343693495276966e-06"
R01320,"2.1.1,0.9995383024215698;2.3.1,0.0003410896460991353;1.14.13,0.00011987413745373487;1.-.-,2.008627433269794e-07;2.5.1,1.9572590304051118e-07"
R05499,"1.21.99,0.6651848554611206;1.97.1,0.18181222677230835;1.21.1,0.05010911077260971;3.8.1,0.04574506729841232;2.5.1,0.04043098911643028"
R01962,"1.1.3,0.660057544708252;1.4.3,0.2995125651359558;1.13.99,0.01136469654738903;1.5.3,0.007667206227779388;1.14.18,0.0044440580531954765"
R02815,"3.5.4,0.9882277846336365;3.5.99,0.0026655099354684353;1.7.1,0.002359464531764388;3.5.1,0.0016462013591080904;1.7.2,0.0013887122040614486"
R11739,"1.14.14,0.9999120235443115;4.2.1,6.146892701508477e-05;1.14.-,7.313317837542854e-06;1.14.13,5.953151685389457e-06;5.4.4,3.790475375353708e-06"
R12304,"5.1.1,0.8520637154579163;4.1.1,0.10023466497659683;1.5.99,0.020503005012869835;2.3.2,0.01108545158058405;1.17.99,0.0023072161711752415"
R00742,"6.4.1,0.9974094033241272;2.3.1,0.0020035277120769024;6.3.4,0.0002912929921876639;6.3.5,0.0002234345447504893;2.7.3,3.549101165845059e-05"
R01161,"2.6.1,0.9999876022338867;2.3.1,3.5532209494704148e-06;2.7.8,3.5454966109682573e-06;2.3.2,2.597832235551323e-06;3.4.13,6.017129408064648e-07"
R09588,"2.5.1,0.9186292290687561;2.7.1,0.03404289111495018;2.7.3,0.03353729471564293;2.3.1,0.0034699926618486643;5.3.3,0.001204014290124178"
R02929,"6.3.4,0.9867656230926514;6.3.1,0.010035904124379158;6.3.5,0.0015114237321540713;6.4.1,0.0010940070496872067;2.7.3,0.0002698437310755253"
R03429,"2.7.1,0.9999059438705444;2.7.4,4.368315057945438e-05;4.6.1,2.808832323353272e-05;3.1.3,7.124756393750431e-06;2.3.1,5.444453563541174e-06"
R13241,"1.7.1,0.7325078248977661;3.1.2,0.09075415134429932;1.6.6,0.04380593076348305;1.14.15,0.043421946465969086;1.14.13,0.04174302518367767"
R02667,"2.1.1,1.0;2.3.1,2.1728636667717183e-09;2.5.1,7.845162297570596e-10;1.97.1,3.526292036148959e-10;6.3.2,1.3254072839252728e-10"
R12339,"2.4.1,0.9938317537307739;2.7.7,0.00607301015406847;2.4.-,3.7624515243805945e-05;6.2.1,1.2237838745932095e-05;5.1.3,9.132144441537093e-06"
R01113,"2.3.1,0.13771121203899384;2.7.4,0.1075223982334137;2.4.1,0.07033617049455643;5.1.3,0.06864075362682343;2.7.8,0.04989010840654373"
R03987,"2.8.2,1.0;2.7.8,4.178874490889939e-08;2.7.7,1.6595487650761243e-08;1.8.4,9.87000525753956e-09;2.3.1,1.298434249008551e-09"
R09242,"1.7.1,0.991071879863739;1.1.1,0.0038144453428685665;1.-.-,0.0026805999223142862;1.14.13,0.0005858526565134525;1.18.1,0.0003767480666283518"
R12392,"3.1.1,0.5454538464546204;3.5.1,0.23575519025325775;3.1.2,0.1746567040681839;4.2.1,0.027172518894076347;3.4.11,0.005099144764244556"
R11862,"2.3.2,0.7397663593292236;4.3.2,0.23154327273368835;2.3.1,0.011309231631457806;6.2.1,0.003271280089393258;4.1.1,0.0015162734780460596"
R09990,"1.1.1,0.9654140472412109;1.2.1,0.032883211970329285;1.5.1,0.0008279659668914974;1.8.1,0.0002893137570936233;4.2.3,0.00016874556604307145"
R05132,"2.7.1,0.9999960660934448;2.7.3,2.1339044451451628e-06;2.7.13,1.3273781860334566e-06;2.7.11,2.8639405513786187e-07;2.3.1,5.886574072633266e-08"
R03667,"1.1.1,0.9403519630432129;1.5.1,0.034552186727523804;1.7.1,0.01420330535620451;1.4.1,0.004907389171421528;1.14.13,0.0008564471499994397"
R12665,"5.3.1,0.9975330829620361;1.1.2,0.000491415907163173;1.1.1,0.0004471730499062687;1.1.5,0.00038333330303430557;4.1.1,0.00029149698093533516"
R12003,"5.3.3,0.9961283206939697;5.5.1,0.0015105551574379206;5.4.99,0.000741889700293541;2.7.8,0.0002860973763745278;1.1.1,0.0002277133025927469"
R06067,"2.5.1,0.6174846291542053;1.1.3,0.37937167286872864;2.6.1,0.0015066965715959668;1.1.1,0.0005338634364306927;1.1.2,0.00026450472068972886"
R12640,"6.2.1,0.7729471921920776;3.6.1,0.11748269200325012;2.7.1,0.08339960128068924;3.-.-,0.008595782332122326;6.3.2,0.007123863790184259"
R12443,"2.1.1,1.0;2.3.1,1.1086731532827798e-09;4.1.1,6.9069433332458186e-12;2.5.1,4.827013354996579e-12;1.-.-,1.3300022975309966e-12"
R08628,"4.2.1,0.5505096912384033;5.4.4,0.43912985920906067;1.1.1,0.009576789103448391;1.-.-,0.0002929953334387392;4.1.3,9.94475994957611e-05"
R13239,"3.1.1,0.9999229907989502;3.5.1,2.3604741727467626e-05;3.1.2,1.7658878277870826e-05;3.2.1,1.0581357855699025e-05;3.-.-,4.622970209311461e-06"
R05230,"2.1.3,0.999930739402771;6.1.2,2.710416811169125e-05;6.3.5,2.672264054126572e-05;2.7.3,7.259240192070138e-06;2.7.99,5.095739652460907e-06"
R05721,"1.13.11,0.9999140501022339;1.16.3,6.077638317947276e-05;1.14.99,1.369641086057527e-05;1.14.12,2.5949746031983523e-06;1.9.3,1.4228090776668978e-06"
R09646,"3.5.1,0.9913643598556519;3.1.1,0.008342131040990353;2.3.1,0.0002033355995081365;3.4.11,2.886707807192579e-05;4.2.1,1.2558416528918315e-05"
R05658,"3.3.2,0.999409556388855;3.4.11,0.00022687016462441534;4.2.1,9.59681929089129e-05;1.10.1,4.287090996513143e-05;1.13.99,3.364308940945193e-05"
R12211,"2.3.1,0.627243161201477;2.3.2,0.159587562084198;2.7.8,0.058569371700286865;3.1.1,0.04877612367272377;2.5.1,0.045452747493982315"
R08545,"4.2.3,0.9983447790145874;5.5.1,0.0015307265566661954;5.3.3,9.062107710633427e-05;4.3.2,1.743613938742783e-05;3.1.7,5.663088359142421e-06"
R09634,"2.4.1,0.9991162419319153;4.6.1,0.0004123986582271755;3.2.1,0.0001741670275805518;2.7.7,0.00017007210408337414;3.1.1,3.3256721508223563e-05"
R02602,"4.1.1,0.9527524709701538;5.3.2,0.042275089770555496;3.7.1,0.004745839163661003;4.1.4,7.77168243075721e-05;1.3.5,3.561989069567062e-05"
R12383,"2.4.1,0.9999935626983643;3.2.1,3.788923095271457e-06;2.4.2,1.3254419855002197e-06;2.7.7,1.15212969831191e-06;5.4.99,7.913227761946473e-08"
R11718,"4.1.2,0.999924898147583;4.2.1,2.3767606762703508e-05;2.3.1,1.0019498404290061e-05;4.1.3,8.826522389426827e-06;4.2.3,7.479850410163635e-06"
R12802,"3.2.1,0.9941524863243103;3.1.1,0.002218038309365511;3.1.3,0.0010151636088266969;3.7.1,0.0008803356322459877;4.2.1,0.0007028634427115321"
R09244,"2.5.1,0.5552414059638977;5.3.3,0.4392559826374054;1.17.1,0.0027443747967481613;2.7.1,0.0008159149438142776;4.1.1,0.0002686076913960278"
R07780,"4.2.1,0.996980607509613;3.5.5,0.0029766710940748453;1.14.14,1.6032381608965807e-05;5.4.4,9.591410162101965e-06;4.3.1,2.823467411872116e-06"
R08692,"2.4.1,0.666908323764801;2.7.7,0.32236695289611816;2.4.2,0.004364145919680595;2.3.1,0.0013134526088833809;6.2.1,0.0011727632954716682"
R09672,"3.2.1,0.996595561504364;3.1.1,0.0012379192048683763;3.1.4,0.0010195847135037184;3.5.1,0.00045404135016724467;3.2.2,0.000279499712632969"
R10731,"1.14.14,0.9136117696762085;4.2.1,0.08516613394021988;5.4.4,0.0006499737501144409;4.3.1,0.0002403224934823811;1.14.13,0.00011501869448693469"
R07688,"1.1.-,0.9828127026557922;1.14.-,0.01097989920526743;1.1.1,0.002962685888633132;1.1.99,0.0017664824845269322;1.1.2,0.00033373283804394305"
R07122,"3.3.2,0.8779830932617188;5.4.4,0.071500763297081;4.2.1,0.04911162704229355;1.11.2,0.00046999636106193066;1.14.13,0.00041393833816982806"
R11013,"1.14.99,0.9999793767929077;1.13.11,1.2857859474024735e-05;1.14.14,5.941131803410826e-06;4.4.1,1.0524692015678738e-06;1.14.19,3.3389318332410767e-07"
R11941,"2.7.3,0.7692453861236572;3.6.1,0.1542910486459732;3.-.-,0.07458231598138809;3.1.4,0.0011074211215600371;3.9.1,0.0003593155415728688"
R01092,"2.7.7,0.5447987914085388;2.7.1,0.4362885653972626;2.7.4,0.010748825035989285;3.1.3,0.0025951475836336613;3.6.1,0.001605806639418006"
R12117,"2.3.1,0.9998103976249695;4.1.1,0.00011953945795539767;1.2.7,2.205956116085872e-05;6.2.1,1.8973616533912718e-05;1.3.1,9.660113391873892e-06"
R05283,"1.1.1,0.9770804643630981;1.2.1,0.020993025973439217;1.-.-,0.0011165724135935307;1.1.-,0.00040654922486282885;1.5.1,0.0001817333686631173"
R02421,"2.4.1,0.8200303316116333;2.7.7,0.17717595398426056;5.4.99,0.0008621984161436558;2.7.8,0.0005776730249635875;6.2.1,0.00022470104158855975"
R00391,"3.1.2,0.9575551152229309;2.3.1,0.04207396134734154;2.3.3,0.0002665024367161095;1.2.7,5.895489448448643e-05;2.8.3,2.2546922991750762e-05"
R01293,"1.2.1,0.9968921542167664;1.1.1,0.0015995773719623685;1.2.3,0.001412539160810411;1.17.1,2.5112474759225734e-05;1.5.1,1.5089306543814018e-05"
R06963,"5.5.1,0.9970032572746277;5.3.3,0.001764570246450603;4.2.3,0.00016423166380263865;3.1.7,0.00014322629431262612;2.7.8,0.00010784606274683028"
R03858,"2.3.1,0.9989180564880371;3.1.2,0.0009578812750987709;2.8.3,4.0137801988748834e-05;3.1.1,2.483185744495131e-05;2.3.3,1.971525307453703e-05"
R00155,"3.6.1,0.9950509667396545;3.1.3,0.0027286869008094072;3.-.-,0.0016529234126210213;3.1.4,0.0003993396821897477;3.6.2,0.00011871416063513607"
R02003,"2.5.1,0.5552414059638977;5.3.3,0.4392559826374054;1.17.1,0.0027443747967481613;2.7.1,0.0008159149438142776;4.1.1,0.0002686076913960278"
R02880,"1.3.3,0.9994438290596008;1.21.3,0.0004671483766287565;1.3.99,4.690136120188981e-05;1.14.21,1.296116806770442e-05;4.1.1,8.290622645290568e-06"
R12457,"1.8.1,0.9986549615859985;1.6.4,0.0006907252827659249;1.1.1,8.155713294399902e-05;1.2.1,7.61131159379147e-05;1.11.1,5.6589597079437226e-05"
R05569,"3.5.4,0.9085769057273865;4.2.1,0.04079236835241318;4.3.1,0.014112801291048527;2.5.1,0.013383193872869015;3.8.1,0.010896331630647182"
R11869,"5.5.1,0.9995759129524231;4.2.3,0.00017586268950253725;5.4.99,8.269058889709413e-05;4.5.1,5.624045661534183e-05;1.3.99,3.9178084989544004e-05"
R12392,"3.1.1,0.5454538464546204;3.5.1,0.23575519025325775;3.1.2,0.1746567040681839;4.2.1,0.027172518894076347;3.4.11,0.005099144764244556"
R05341,"5.5.1,0.8716656565666199;2.5.1,0.08590499311685562;1.14.13,0.024694928899407387;2.3.1,0.004933101590722799;5.3.99,0.0024401498958468437"
R02533,"2.1.1,1.0;2.3.1,4.327400215942134e-09;4.2.1,3.458663133670825e-09;6.3.2,2.330706738717936e-09;4.3.3,7.829765169553582e-10"
R01132,"2.4.2,0.9297593832015991;3.2.2,0.06576863676309586;2.7.8,0.0038822281640022993;2.7.7,0.00021813565399497747;5.1.3,9.886670159175992e-05"
R02697,"1.2.1,0.9989196062088013;1.1.1,0.0006746891303919256;1.8.1,0.0001084279574570246;1.2.99,9.635343303671107e-05;1.5.1,6.341808330034837e-05"
R07711,"1.14.13,0.9967683553695679;1.14.14,0.001857360010035336;1.14.15,0.0009435947285965085;1.14.12,0.00021549544180743396;1.14.-,0.00010469608241692185"
R11517,"2.3.1,0.9658259749412537;2.5.1,0.02563195861876011;3.1.1,0.00358263636007905;5.3.3,0.00328884762711823;1.1.1,0.0011051725596189499"
R00659,"2.7.1,0.8019716143608093;2.7.9,0.19148798286914825;4.1.1,0.0049536884762346745;2.5.1,0.0007555328193120658;2.7.4,0.0002942878345493227"
R08184,"3.1.2,0.9574896693229675;3.1.1,0.016434019431471825;2.3.1,0.010376030579209328;1.2.1,0.005117138382047415;1.2.3,0.0035724169574677944"
R10090,"6.3.2,0.9996048808097839;2.7.1,0.00027645888621918857;2.7.4,3.945187563658692e-05;2.3.2,3.087742879870348e-05;2.3.1,1.7023556210915558e-05"
R05444,"1.14.13,0.9804077744483948;1.1.1,0.013174823485314846;1.14.14,0.001915952074341476;1.14.12,0.001252670306712389;1.14.99,0.0008855792111717165"
R00637,"1.1.3,0.9998605251312256;1.8.3,6.761891563655809e-05;1.21.3,2.5633591576479375e-05;1.11.1,1.2904642971989233e-05;1.1.99,8.093661563179921e-06"
R00708,"1.2.1,0.9700288772583008;1.11.1,0.015205403789877892;1.1.1,0.005083448253571987;1.5.1,0.003408870892599225;1.17.1,0.001371836056932807"
R11081,"5.1.3,0.9957093000411987;5.3.3,0.002308447379618883;2.6.1,0.0006694013718515635;3.2.1,0.00042037703678943217;1.1.1,0.0002867370203603059"
R06610,"1.1.1,0.9999622106552124;1.14.13,1.694528509688098e-05;1.-.-,1.3464014955388848e-05;1.3.1,1.7479509324402898e-06;1.2.1,1.2150801467214478e-06"
R12360,"1.14.13,0.9983938336372375;1.14.14,0.0012827242026105523;1.14.-,6.203744851518422e-05;1.13.12,5.172568853595294e-05;1.14.12,4.377219011075795e-05"
R12859,"5.5.1,0.5928494930267334;2.5.1,0.14727890491485596;5.3.3,0.13825614750385284;1.3.1,0.06397994607686996;2.3.1,0.03509488329291344"
R01647,"4.1.2,0.9998061060905457;4.2.1,0.00012418164988048375;5.3.1,1.673639053478837e-05;4.1.1,1.6028259778977372e-05;4.3.3,9.503307410341222e-06"
R05372,"3.8.1,0.9565289616584778;3.7.1,0.014006945304572582;1.2.1,0.013123530894517899;4.2.1,0.007661380805075169;1.1.1,0.0032687291968613863"
R02737,"2.4.1,0.9994826316833496;5.4.99,0.0002789424324873835;2.4.2,0.00013634168135467917;3.2.1,7.661763083888218e-05;2.7.7,1.9040453480556607e-05"
R00629,"2.8.2,0.9999358654022217;2.5.1,2.801511436700821e-05;2.7.7,1.873014662123751e-05;2.3.1,6.797150490456261e-06;3.1.1,6.3169377426675055e-06"
R08276,"1.14.13,0.6408981680870056;1.14.14,0.3550410270690918;1.14.18,0.001766446977853775;1.5.1,0.0004949681460857391;2.3.1,0.0004890630370937288"
R03032,"4.2.1,0.9812255501747131;3.2.1,0.007994068786501884;3.7.1,0.0041119735687971115;1.1.1,0.0018808587919920683;4.1.3,0.0009065328631550074"
R12420,"1.5.3,0.9999810457229614;6.3.2,8.348330993612763e-06;1.3.3,2.9701982384722214e-06;1.4.3,1.3199118029660895e-06;1.8.3,1.2448215329641243e-06"
R02789,"2.4.1,0.9999984502792358;2.7.7,1.1099574521722388e-06;2.4.2,1.2265030591152026e-07;2.7.1,9.238638654096576e-08;3.2.1,5.788807300177723e-08"
R07923,"2.4.1,0.8474921584129333;2.7.7,0.15069980919361115;6.2.1,0.0007174578495323658;2.7.1,0.00020286273502279073;2.3.1,0.00020242173923179507"
R13202,"2.7.1,0.982740581035614;3.1.3,0.01631016656756401;2.7.7,0.0008140210993587971;2.7.4,9.595441952114925e-05;5.4.2,5.369985501602059e-06"
R09897,"4.2.3,0.988497793674469;5.5.1,0.0074999043717980385;1.3.-,0.0037769079208374023;4.3.2,0.0001480295177316293;2.5.1,6.485873745987192e-05"
R06885,"4.2.1,0.9991776347160339;3.4.11,0.00025761054712347686;1.3.-,0.00022554336464963853;5.4.4,8.615436672698706e-05;5.3.99,5.417936699814163e-05"
R08632,"4.4.1,0.9976311922073364;2.3.1,0.0019162665121257305;2.5.1,0.00032308176741935313;2.1.1,8.266582881333306e-05;4.3.1,2.7481597498990595e-05"
R07149,"1.1.1,0.9990962743759155;5.3.3,0.0007181962137110531;1.3.1,0.00015286964480765164;1.14.11,1.2145219443482347e-05;4.1.1,9.667428457760252e-06"
R00865,"1.1.2,0.9958458542823792;2.2.1,0.002761423820629716;1.1.1,0.0003685365663841367;5.1.2,0.00013629705063067377;1.7.2,0.0001266976323677227"
R00361,"4.2.1,0.9662028551101685;2.1.1,0.031249431893229485;5.3.99,0.0012054858962073922;4.3.1,0.00042008014861494303;2.5.1,0.00035235914401710033"
R04218,"2.5.1,0.9929347634315491;4.2.3,0.0025688987225294113;5.5.1,0.0012245775433257222;4.2.99,0.0010478782933205366;1.3.1,0.0007412976701743901"
R12348,"2.3.1,0.9839327335357666;3.1.1,0.0103191202506423;2.3.2,0.000959262193646282;2.7.1,0.0008957855752669275;2.5.1,0.0006209691055119038"
R13247,"2.1.1,0.8793689012527466;4.2.1,0.11258755624294281;2.5.1,0.00592762790620327;5.3.99,0.0005825760890729725;4.3.1,0.0005430345772765577"
R08182,"3.1.2,0.9574896693229675;3.1.1,0.016434019431471825;2.3.1,0.010376030579209328;1.2.1,0.005117138382047415;1.2.3,0.0035724169574677944"
R12795,"4.6.1,0.6160917282104492;3.1.1,0.29945555329322815;3.1.3,0.06953635066747665;2.7.1,0.012753353454172611;3.1.4,0.0017073432682082057"
R09781,"2.4.2,0.9020369648933411;2.4.1,0.09397710859775543;5.1.3,0.0007996475324034691;2.7.7,0.0007052740547806025;5.4.2,0.0006209511193446815"
R11265,"1.1.1,0.8765019774436951;1.-.-,0.019929667934775352;1.3.1,0.017922183498740196;1.8.1,0.01717367209494114;1.6.5,0.015832072123885155"
R11377,"2.1.1,0.5360990762710571;2.6.1,0.4302893579006195;2.5.1,0.029132874682545662;3.1.1,0.0017153900116682053;1.13.11,0.0010767250787466764"
R04317,"3.1.3,0.9916524291038513;3.6.1,0.006694419775158167;2.7.1,0.0010354977566748857;4.2.3,0.0003529523382894695;3.1.4,0.00020823869272135198"
R08838,"1.14.13,0.9319236278533936;1.14.14,0.06459381431341171;1.11.1,0.0008472169283777475;1.14.12,0.00033093467936851084;1.19.1,0.0003153020516037941"
R07379,"3.1.1,0.9973700046539307;2.3.1,0.0017474122578278184;3.-.-,0.0005901981494389474;3.1.2,0.00028490947443060577;3.1.-,2.54127098742174e-06"
R04317,"3.1.3,0.9916524291038513;3.6.1,0.006694419775158167;2.7.1,0.0010354977566748857;4.2.3,0.0003529523382894695;3.1.4,0.00020823869272135198"
R07359,"2.1.1,0.9821187257766724;2.5.1,0.009048166684806347;1.3.1,0.005542554892599583;4.2.1,0.001160376355983317;4.3.1,0.0007482485380023718"
R12488,"4.2.1,0.9998512268066406;2.3.1,3.0162253096932545e-05;2.8.3,2.693491660465952e-05;3.1.2,1.4812360859650653e-05;3.1.1,1.3814672456646804e-05"
R12141,"1.1.1,0.9949592351913452;1.3.1,0.0045277830213308334;1.14.13,0.00018096384883392602;1.-.-,7.38883318263106e-05;1.14.12,5.3983258112566546e-05"
R07640,"2.7.4,0.5206859707832336;2.7.1,0.34403854608535767;6.2.1,0.06660380214452744;5.1.99,0.022509653121232986;2.7.2,0.009342830628156662"
R11629,"2.7.3,0.9571660161018372;2.7.1,0.040678367018699646;6.4.1,0.0006567097152583301;6.3.2,0.00022404179617296904;2.7.9,0.0001860962074715644"
R02119,"2.4.2,0.9999760389328003;2.4.-,1.1806841030193027e-05;2.7.6,5.406942364061251e-06;3.2.2,2.296681941515999e-06;2.3.1,1.1303764040349051e-06"
R00952,"2.4.1,0.9996613264083862;2.4.2,0.0001473744778195396;2.7.1,0.0001124906848417595;2.7.3,4.237557732267305e-05;3.1.3,2.91765700239921e-05"
R05574,"3.5.4,0.9995599389076233;3.5.99,0.0003065436612814665;3.3.1,3.204567838110961e-05;1.7.1,2.3489836166845635e-05;3.5.5,1.961421912710648e-05"
R10514,"2.3.1,0.9897655844688416;2.6.1,0.010156547650694847;2.7.2,1.2697349120571744e-05;3.1.1,1.2435442840796895e-05;6.2.1,1.133425575972069e-05"
R00483,"6.3.1,0.683338463306427;3.5.1,0.1567608267068863;6.3.5,0.13138101994991302;3.4.19,0.02166876383125782;2.3.2,0.0016768540954217315"
R10296,"2.4.1,0.9991927742958069;2.3.1,0.0003632949374150485;3.2.1,0.0002628267393447459;3.1.1,9.503016917733476e-05;2.7.8,6.271498568821698e-05"
R02601,"4.2.1,0.7082093358039856;3.7.1,0.2917315363883972;4.1.3,2.6382376745459624e-05;3.2.1,6.486673555627931e-06;3.3.2,3.349993448864552e-06"
