Reaction ID,Prediction
R09385,"1.14.13,0.9999094009399414;1.14.14,4.6217679482651874e-05;3.3.2,1.961894304258749e-05;3.1.7,1.6460038750665262e-05;1.14.15,2.493695319571998e-06"
R00424,"3.5.4,0.9999822378158569;3.5.99,7.946224286570214e-06;4.2.1,3.503549805827788e-06;1.5.99,1.3906500271332334e-06;1.14.14,1.0965229648718378e-06"
R10549,"1.2.1,0.9988009929656982;1.3.1,0.0010792287066578865;1.1.1,5.296220479067415e-05;1.8.1,3.8101796235423535e-05;1.5.1,9.214129931933712e-06"
R08603,"3.7.1,0.9946194887161255;4.2.1,0.002900063991546631;1.1.1,0.0014012244064360857;1.2.3,0.0002330701390746981;1.11.1,0.00010809100785991177"
R07673,"5.1.3,0.84605473279953;1.1.1,0.07962549477815628;5.3.1,0.017672223970294;2.3.1,0.010803736746311188;2.7.4,0.009074919857084751"
R02718,"2.5.1,0.762090265750885;2.3.1,0.11424656957387924;5.1.1,0.04689604416489601;2.7.1,0.013232733123004436;2.7.4,0.010243697091937065"
R11881,"1.16.3,0.9999774694442749;1.9.3,8.986784450826235e-06;1.13.12,2.1764410575997317e-06;1.14.15,1.8262045387018588e-06;1.14.19,1.3634363540404593e-06"
R12866,"2.5.1,0.9970834851264954;2.3.1,0.0017160424031317234;4.2.1,0.000684552185703069;5.3.99,0.0003247527056373656;1.14.13,8.399735816055909e-05"
R10292,"2.4.2,0.9999837875366211;2.3.1,1.4307495803222992e-05;2.7.6,9.913154599416885e-07;5.1.3,5.289118121254432e-07;2.4.-,2.486994219452754e-07"
R10469,"4.3.3,0.5838412642478943;1.5.5,0.19057266414165497;4.1.99,0.07569166272878647;1.2.5,0.027391137555241585;1.1.5,0.017873823642730713"
R00710,"1.2.1,0.9983389377593994;1.1.1,0.0010514239547774196;1.2.3,0.0001739303261274472;1.5.1,8.13967635622248e-05;1.4.1,5.704214709112421e-05"
R09251,"2.5.1,0.5552419424057007;5.3.3,0.43925556540489197;1.17.1,0.002744365483522415;2.7.1,0.0008159137796610594;4.1.1,0.0002686071675270796"
R03898,"3.6.1,0.9993664622306824;3.1.4,0.0002551956567913294;4.2.1,0.00022105869720689952;3.1.3,6.179400224937126e-05;3.4.11,4.517480556387454e-05"
R08237,"2.4.2,0.5010387301445007;2.7.8,0.48880666494369507;2.3.1,0.0028677748050540686;3.2.2,0.002294392790645361;1.1.1,0.002183847827836871"
R12683,"1.3.-,0.9953774213790894;4.4.1,0.001820137957111001;4.99.1,0.0013320960570126772;1.14.14,0.0005736381281167269;4.2.1,0.00035150538315065205"
R02227,"2.7.1,0.8437520265579224;2.7.4,0.13096526265144348;2.1.1,0.019621189683675766;6.2.1,0.0037144599482417107;2.7.2,0.00035106210270896554"
R13189,"3.5.1,0.7462674379348755;2.7.1,0.25053173303604126;2.7.4,0.0016097967745736241;2.7.11,0.0011449053417891264;2.1.1,0.00029175891540944576"
R03094,"2.4.1,0.9914761185646057;2.3.1,0.00776757812127471;3.1.1,0.0003152400895487517;6.2.1,0.00020959282119292766;2.7.7,6.71881643938832e-05"
R00928,"2.3.1,0.7901533842086792;2.8.3,0.13743579387664795;3.1.1,0.06668836623430252;2.7.2,0.00217134109698236;1.2.3,0.001280199154280126"
R07796,"2.3.1,0.7317163348197937;2.8.3,0.24833978712558746;4.2.1,0.019096817821264267;4.1.2,0.0006351616466417909;3.1.2,5.707553282263689e-05"
R12298,"2.3.1,0.9299901723861694;2.5.1,0.04444260150194168;1.1.1,0.022358058020472527;4.1.3,0.0011138387490063906;2.6.1,0.0009217524202540517"
R02473,"6.2.1,0.9391313791275024;6.3.1,0.01472529862076044;2.7.1,0.011235825717449188;4.1.1,0.009703990072011948;6.3.2,0.008184264414012432"
R12879,"1.14.99,0.7474444508552551;1.14.13,0.24859122931957245;1.14.14,0.0021377992816269398;1.14.15,0.00068660854594782;1.6.3,0.00041120086098089814"
R12686,"3.5.1,0.298260360956192;1.4.3,0.2458939105272293;3.5.4,0.2378651201725006;3.5.99,0.10333319753408432;2.4.2,0.022747790440917015"
R11426,"1.3.1,0.9999802112579346;1.1.1,8.487007107760292e-06;1.6.5,3.357353762112325e-06;2.5.1,1.2360724213067442e-06;5.3.3,9.34319473344658e-07"
R09417,"3.3.2,0.918600857257843;3.1.3,0.04212627559900284;4.2.1,0.02553618885576725;1.14.14,0.007056435104459524;3.4.11,0.0018605489749461412"
R12188,"4.4.1,0.9998434782028198;4.1.99,8.736112795304507e-05;2.5.1,2.9720378734054975e-05;1.4.1,1.1613034075708129e-05;1.8.2,9.73076112131821e-06"
R12329,"3.1.2,0.9997444748878479;6.2.1,0.00014347716933116317;3.1.1,6.682037928840145e-05;2.3.1,4.217448440613225e-05;1.2.1,2.1205942175583914e-06"
R12941,"3.1.2,0.5456306338310242;2.5.1,0.16737578809261322;3.4.19,0.11386074870824814;3.13.1,0.053963057696819305;4.4.1,0.047471784055233"
R00483,"6.3.1,0.683338463306427;3.5.1,0.1567608267068863;6.3.5,0.13138101994991302;3.4.19,0.02166876383125782;2.3.2,0.0016768540954217315"
R06978,"2.3.1,0.9872892498970032;6.2.1,0.010464353486895561;2.6.1,0.0017904856940731406;6.3.4,0.00013210379984229803;2.3.3,7.653591455891728e-05"
R01377,"4.1.1,0.9997957348823547;1.1.1,0.0001036973117152229;2.3.1,3.297397415735759e-05;1.2.7,1.726741720631253e-05;4.1.3,9.831669558479916e-06"
R03390,"2.3.1,0.9448970556259155;1.2.7,0.04291350394487381;3.5.1,0.008093683049082756;2.1.2,0.00249657710082829;2.7.8,0.00022920816263649613"
R11340,"1.14.11,0.956980288028717;4.1.1,0.026804540306329727;1.4.11,0.007358465809375048;1.14.20,0.00631289929151535;2.6.1,0.0021927827037870884"
R10303,"2.4.1,0.9972565770149231;3.2.1,0.0012686398113146424;2.4.2,0.0006112330593168736;2.7.7,0.00021811018814332783;2.3.1,0.00019205178250558674"
R02930,"3.5.1,0.7918772101402283;6.3.4,0.207565039396286;3.5.3,0.00010336026025470346;6.3.5,9.529678209219128e-05;3.4.11,5.1211849495302886e-05"
R09752,"2.7.7,0.5440545082092285;2.7.4,0.4110555350780487;3.1.3,0.012259234674274921;2.1.1,0.007213984150439501;2.4.2,0.006615284830331802"
R06110,"1.1.1,0.8115343451499939;5.3.1,0.15767022967338562;4.2.1,0.010126287117600441;1.1.-,0.004007096868008375;1.-.-,0.0039931307546794415"
R03503,"2.7.6,0.9434592127799988;2.5.1,0.014614476822316647;2.7.1,0.012593396939337254;2.4.2,0.010311459191143513;4.1.2,0.007473554462194443"
R03688,"4.2.1,0.9908932447433472;5.3.99,0.004351549316197634;1.1.1,0.002925010398030281;5.5.1,0.0008651192765682936;3.2.1,0.00027223469805903733"
R11143,"2.1.1,0.3390214741230011;1.14.14,0.204014852643013;2.7.4,0.17305666208267212;1.97.1,0.06483040750026703;1.14.99,0.060422156006097794"
R11143,"2.1.1,0.3390214741230011;1.14.14,0.204014852643013;2.7.4,0.17305666208267212;1.97.1,0.06483040750026703;1.14.99,0.060422156006097794"
R08667,"1.14.-,0.9273030757904053;4.4.1,0.06823449581861496;4.3.1,0.0020633742678910494;2.5.1,0.0009900913573801517;1.1.1,0.0003426739131100476"
R10539,"1.14.11,0.9967619180679321;1.14.20,0.0029732463881373405;1.4.11,0.0001882012002170086;1.1.5,1.61281022883486e-05;1.2.4,9.894611139316112e-06"
R01621,"4.1.2,0.989367663860321;2.2.1,0.008901434950530529;1.2.99,0.0005214140401221812;1.2.1,0.0003228902642149478;1.2.7,0.00015745617565698922"
R03177,"1.2.1,0.9182432293891907;1.1.1,0.07613247632980347;1.5.1,0.0025635624770075083;1.2.3,0.0012541664764285088;1.4.1,0.000716918264515698"
R12559,"3.2.1,0.9651577472686768;5.1.3,0.014238025061786175;3.1.1,0.005104734096676111;2.4.1,0.0034672904293984175;2.7.7,0.002140530152246356"
R04339,"1.5.1,0.9993934631347656;1.1.1,0.00022945122327655554;2.3.1,0.0001046764082275331;1.2.1,9.310148016083986e-05;1.14.13,7.28897939552553e-05"
R01930,"3.1.6,0.5482607483863831;3.12.1,0.38936540484428406;3.10.1,0.019427910447120667;3.7.1,0.012527033686637878;3.4.17,0.002113627502694726"
R11150,"1.14.13,0.9998132586479187;1.14.12,0.0001130219388869591;1.14.14,7.060049392748624e-05;1.14.-,9.850712103798287e-07;1.13.12,7.881726560299285e-07"
R02769,"2.5.1,0.999854326248169;4.2.1,5.1905648433603346e-05;2.3.1,4.477914990275167e-05;4.1.3,2.6723275368567556e-05;5.3.99,6.209724688233109e-06"
R03393,"3.1.3,0.9409447312355042;3.6.1,0.033975761383771896;3.2.1,0.012618903070688248;3.1.4,0.0035861434880644083;3.1.1,0.0031487459782510996"
R11266,"1.1.1,0.9933797121047974;1.-.-,0.0013436535373330116;1.8.1,0.0010521534131839871;1.6.5,0.0007448745309375226;1.14.13,0.0007093259482644498"
R02011,"4.2.3,0.94728022813797;5.5.1,0.052704550325870514;4.3.2,9.71929603110766e-06;3.1.7,3.0127216632536147e-06;4.2.1,1.8141687405659468e-06"
R00483,"6.3.1,0.683338463306427;3.5.1,0.1567608267068863;6.3.5,0.13138101994991302;3.4.19,0.02166876383125782;2.3.2,0.0016768540954217315"
R06207,"3.2.1,0.9797835350036621;4.2.1,0.014457355253398418;2.3.1,0.004841563757508993;5.3.1,0.0005058027454651892;3.1.3,0.0001367817458231002"
R10075,"1.1.1,0.493580162525177;1.3.1,0.47410860657691956;1.2.1,0.03171483427286148;1.6.5,0.00022679341782350093;5.3.3,0.00013805289927404374"
R01870,"2.4.2,0.9912464022636414;2.7.8,0.004171231761574745;2.3.1,0.00261530838906765;3.2.2,0.0016612057806923985;2.6.1,8.944409637479112e-05"
R02925,"1.1.99,0.9666492342948914;5.4.99,0.021262826398015022;3.2.1,0.003800655947998166;1.3.8,0.002269031712785363;1.14.14,0.0018293324392288923"
R06976,"2.7.3,0.999874472618103;3.9.1,0.00012386545131448656;2.1.1,1.2757865306411986e-06;3.-.-,1.1178966019542713e-07;2.7.13,4.6522000474169545e-08"
R01054,"3.2.1,0.7179991602897644;3.6.1,0.26172441244125366;3.1.4,0.010821443982422352;3.1.3,0.004746528342366219;3.1.1,0.0022606218699365854"
R02430,"2.7.1,0.9978252649307251;2.7.2,0.0008844862459227443;2.1.1,0.00046578911133110523;3.6.1,0.00016982709348667413;3.1.3,0.0001420000771759078"
R06831,"1.14.12,0.9999878406524658;1.3.1,9.777190825843718e-06;1.14.13,1.8137475308321882e-06;1.14.-,4.46755791472242e-07;1.14.19,3.3819208766772135e-08"
R13305,"2.6.1,0.5735475420951843;5.1.1,0.1517224758863449;5.1.99,0.09990367293357849;2.3.1,0.0850239098072052;2.7.8,0.03597511723637581"
R05354,"1.14.12,0.5047078728675842;1.3.1,0.3978254199028015;1.1.1,0.07936743646860123;1.-.-,0.014257481321692467;5.4.4,0.0018265731632709503"
R00733,"1.3.1,0.9997475743293762;5.4.99,0.00023068067093845457;1.1.1,9.746348951011896e-06;1.3.99,5.789679107692791e-06;4.2.1,2.823589056788478e-06"
R12734,"2.3.1,0.9999099969863892;4.1.1,6.476142152678221e-05;1.1.1,1.2330476238275878e-05;3.1.2,5.792519459646428e-06;1.2.4,1.726313939798274e-06"
R07945,"1.14.14,0.641907811164856;1.14.13,0.3455357849597931;1.17.3,0.0043168808333575726;1.17.5,0.0013991936575621367;1.-.-,0.0008296449086628854"
R07779,"1.14.13,0.9924375414848328;1.14.18,0.0057030958123505116;1.14.19,0.00046472373651340604;1.14.14,0.0003663356474135071;1.14.15,0.0003127843083348125"
R02478,"2.4.1,0.999995231628418;2.4.2,3.1732197385281324e-06;2.7.7,5.903752935410012e-07;3.1.1,4.41542397311423e-07;3.2.1,2.548828490489541e-07"
R04051,"2.6.1,0.9574229717254639;1.4.11,0.026062684133648872;1.4.1,0.01183411292731762;2.3.1,0.0007676940876990557;2.1.1,0.00046608183765783906"
R07242,"2.1.1,1.0;1.-.-,4.369789807778801e-10;2.3.1,1.909834616842243e-11;6.3.2,1.5925574661096453e-12;4.1.1,8.935226690487408e-13"
R11199,"2.3.1,0.998845100402832;6.2.1,0.0011471746256574988;2.5.1,2.1468690647452604e-06;6.3.2,1.050193191076687e-06;1.3.1,9.34329307256121e-07"
R12198,"3.1.1,0.7909296751022339;3.5.1,0.13223661482334137;3.4.17,0.028875751420855522;3.2.1,0.010958405211567879;3.1.2,0.006860041059553623"
R04641,"1.14.19,0.5412691235542297;3.5.1,0.2892056703567505;3.2.1,0.0704759731888771;3.5.4,0.04236815124750137;3.6.1,0.021353453397750854"
R02428,"3.1.1,0.996594250202179;3.7.1,0.002335327910259366;3.1.2,0.000396098243072629;3.5.1,0.00012984707427676767;3.1.8,8.28630436444655e-05"
