reaction,left_comp,right_comp,left_smiles,right_smiles
R02196,L-Isoleucine // NAD// // H2O,(S)-3-Methyl-2-oxopentanoic acid // Ammonia // NADH // H//,CC[C@H](C)[C@@H](C(=O)O)N.C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N.O,CC[C@H](C)C(=O)C(=O)O.N.C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+]
R00739,L-Tyrosine,3-Amino-3-(4-hydroxyphenyl)propanoate,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,C1=CC(=CC=C1C(CC(=O)O)N)O
R00120,Oxygen // 2 Glutathione,Glutathione disulfide // Hydrogen peroxide,O=O.C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,C(CC(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N)C(=O)NCC(=O)O)[C@@H](C(=O)O)N.OO
R09818,1-Hydroxy-2-naphthoate // NADPH // H// // Oxygen,"Naphthalene-1,2-diol // NADP// // H2O // CO2",C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O.C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O.[H+].O=O,C1=CC=C2C(=C1)C=CC(=C2O)O.C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N.O.C(=O)=O
R01860,4-Aminobenzoate,Aniline // CO2,C1=CC(=CC=C1C(=O)O)N,C1=CC=C(C=C1)N.C(=O)=O
R09628,"trans,trans-Farnesyl diphosphate // H2O",(-)-Drimenol // Diphosphate,CC(=CCC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)C.O,CC1=CC[C@@H]2[C@@]([C@H]1CO)(CCCC2(C)C)C.OP(=O)(O)OP(=O)(O)O
R01299,4-Hydroxybenzoate // Oxygen // NADPH // H//,Hydroquinone // CO2 // NADP// // H2O,C1=CC(=CC=C1C(=O)O)O.O=O.C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O.[H+],C1=CC(=CC=C1O)O.C(=O)=O.C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N.O
R09187,C-9 Reduced nonaketamide,Nonaketamide monocyclic intermediate // 2 H2O,C=CC[C@@]1(CCCN1)C(=O)O.Cl,*SC(=O)CC(=O)CC(=O)Cc1cccc(O)c1C(=O)CC(=O)CC(=O)CC(N)=O.O
R03493,3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA,3-(4-Methylpent-3-en-1-yl)pent-2-enedioyl-CoA // H2O,CC(=CCCC(CC(=O)O)(CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O)C,CC(=CCC/C(=C\C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)/CC(=O)O)C.O
R00226,(S)-2-Acetolactate // CO2,2 Pyruvate,CC(=O)[C@@](C)(C(=O)O)O.C(=O)=O,CC(=O)C(=O)O
R02165,Ubiquinol // Nitrate,Ubiquinone // Nitrite // H2O,COc1c(O)c(C)c(C/C=C(\C)CCC=C(C)C)c(O)c1OC.[N+](=O)(O)[O-],CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\C)/CCC=C(C)C.N(=O)O.O
R11921,"Ni(II)-pyridinium-3,5-bisthiocarboxylate mononucleotide","Pyridinium-3,5-bisthiocarboxylate mononucleotide // Nickel(2//)",C1=C([C-]=C(C=[N+]1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)C(=O)[S-])C(=[SH+])O.[Ni],C1=C(C=[N+](C=C1C(=O)S)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)C(=O)S.[Ni+2]
R02516,4-Hydroxyphenylacetate // Oxygen // NADPH // H//,Homogentisate // NADP// // H2O,C1=CC(=CC=C1CC(=O)O)O.O=O.C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O.[H+],C1=CC(=C(C=C1O)CC(=O)O)O.C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N.O
R05602,6-Hydroxycyclohex-1-ene-1-carbonyl-CoA // H2O,"2,6-Dihydroxycyclohexane-1-carbonyl-CoA",CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C4=CCCCC4O)O.O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C4C(CCCC4O)O)O
R06906,Naphthyl-2-methylene-succinyl-CoA // H2O,Naphthyl-2-hydroxymethyl-succinyl CoA,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)/C(=C/C4=CC5=CC=CC=C5C=C4)/CC(=O)O)O.O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)C(CC(=O)O)C(O)c1ccc2ccccc2c1
R11826,"trans,trans-Farnesyl diphosphate","(3S)-(//)-Asterisca-2(9),6-diene // Diphosphate",CC(=CCC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)C,C[C@H]1CC/C=C(\CC2=C1CC(C2)(C)C)/C.OP(=O)(O)OP(=O)(O)O
R07397,UDP-N-acetyl-alpha-D-glucosamine // 3-beta-D-Glucuronosyl-3-beta-D-galactosyl-4-beta-D-galactosyl-O-beta-D-xylosylprotein,UDP // alpha-N-Acetyl-D-glucosaminyl-(1->4)-beta-D-glucuronosyl-(1->3)-beta-D-galactosyl-(1->3)-beta-D-galactosyl-(1->4)-beta-D-xylosylproteoglycan,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)CO)O)O.*NC(=O)[C@H](CO[C@@H]1OC[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]4O)[C@H]3O)[C@H]2O)[C@H](O)[C@H]1O)NC(*)=O,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O)O.CC1=CC(=CO1)C(=O)OC
R01083,"N6-(1,2-Dicarboxyethyl)-AMP",Fumarate // AMP,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N[C@@H](CC(=O)O)C(=O)O,C(=C/C(=O)O)\C(=O)O.C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N
R00514,CDP // H2O,CMP // Orthophosphate,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O)O.O,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O.OP(=O)(O)O
R11329,Fe-coproporphyrin III // 2 H//,Coproporphyrin III // Fe2//,CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C)CCC(=O)O)CCC(=O)O)C)C(=C3C)CCC(=O)O)CCC(=O)O.[Fe+2].[H+],CC1=C(C2=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1N2)C)CCC(=O)O)C)CCC(=O)O)C)CCC(=O)O)CCC(=O)O.[Fe+2]
R07618,Enzyme N6-(dihydrolipoyl)lysine // NAD//,Enzyme N6-(lipoyl)lysine // NADH // H//,B1(OC(C(O1)(C)C)(C)C)C2=CC(=C(C=C2)C#N)Cl.C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,C1C2=CC=CC=C2C3=C4CC5=CC=CC=C5C4=C6CC7=CC=CC=C7C6=C31.C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+]
R05551,Acrylic acid // Ammonia,Acrylamide // H2O,C=CC(=O)O.N,C=CC(=O)N.O
R01066,2-Deoxy-D-ribose 5-phosphate,D-Glyceraldehyde 3-phosphate // Acetaldehyde,C1[C@@H]([C@H](OC1O)COP(=O)(O)O)O,C([C@H](C=O)O)OP(=O)(O)O.CC=O
R03251,"7,8-Dihydro-7,8-dihydroxykynurenate // NAD//","7,8-Dihydroxykynurenate // NADH // H//",C1=CC2=C(C(C1O)O)NC(=CC2=O)C(=O)O.C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,C1=CC(=C(C2=C1C(=O)C=C(N2)C(=O)O)O)O.C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+]
R01203,N-Acetyl-D-glucosamine // Oxygen // H2O,N-Acetyl-D-glucosaminate // Hydrogen peroxide,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O.O=O.O,CC(=O)N[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)C(=O)O.OO
R08245,Thioguanine // 5-Phospho-alpha-D-ribose 1-diphosphate,6-Thioguanosine monophosphate // Diphosphate,C1=NC2=C(N1)C(=S)N=C(N2)N.C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O,Nc1nc(=S)c2ncn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH]1.OP(=O)(O)OP(=O)(O)O
R08185,Tetracosanoyl-CoA // H2O,CoA // Tetracosanoic acid,CCCCCCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O.O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O.CCCCCCCCCCCCCCCCCCCCCCCC(=O)O
R04285,"6-Lactoyl-5,6,7,8-tetrahydropterin // NADP//",6-Pyruvoyltetrahydropterin // NADPH // H//,CC(C(=O)C1CNC2=C(N1)C(=O)NC(=N2)N)O.C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N,CC(=O)C(=O)C1CNC2=C(N1)C(=O)NC(=N2)N.C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O.[H+]
R10655,3'-Phosphoadenylyl sulfate // Desulfo-A47934,"Adenosine 3',5'-bisphosphate // A47934",C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OS(=O)(=O)O)OP(=O)(O)O)O)N.C1[C@@H]2C(=O)N[C@@H](C3=CC(=CC(=C3)OC4=C(C=CC(=C4)[C@H](C(=O)N2)N)O)O)C(=O)N[C@@H]5C6=CC(=C(C(=C6)OC7=C(C=C(C=C7)[C@H]([C@H]8C(=O)N[C@@H](C9=C(C(=CC(=C9)O)O)C2=C(C(=CC(=C2)[C@H](C(=O)N8)NC5=O)Cl)O)C(=O)O)O)Cl)O)OC2=C(C=C1C=C2)Cl,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)OP(=O)(O)O)O)N.C1[C@@H]2C(=O)N[C@@H](C3=CC(=CC(=C3)OC4=C(C=CC(=C4)[C@H](C(=O)N2)N)OS(=O)(=O)O)O)C(=O)N[C@@H]5C6=CC(=C(C(=C6)OC7=C(C=C(C=C7)[C@H]([C@H]8C(=O)N[C@@H](C9=C(C(=CC(=C9)O)O)C2=C(C(=CC(=C2)[C@H](C(=O)N8)NC5=O)Cl)O)C(=O)O)O)Cl)O)OC2=C(C=C1C=C2)Cl
R04455,"5,10-Methenyltetrahydromethanopterin // Hydrogen","5,10-Methylenetetrahydromethanopterin // H//",C[C@H]1[C@@H]2[C@H](N(C=[N+]2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C[C@@H]([C@@H]([C@@H](CO[C@@H]5[C@@H]([C@@H]([C@H](O5)COP(=O)(O)O[C@@H](CCC(=O)O)C(=O)O)O)O)O)O)O)C.[HH],C[C@H]1[C@@H]2[C@H](N(CN2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C[C@@H]([C@@H]([C@@H](CO[C@@H]5[C@@H]([C@@H]([C@H](O5)COP(=O)(O)O[C@@H](CCC(=O)O)C(=O)O)O)O)O)O)O)C.[H+]
R09736,Demethylmenaquinol // S-Adenosyl-L-methionine,Menaquinol // S-Adenosyl-L-homocysteine,CC(=CCC/C(=C/CC1=C(C2=CC=CC=C2C(=C1)O)O)/C)C.C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O,CC1=C(C2=CC=CC=C2C(=C1C/C=C(\C)/CCC=C(C)C)O)O.C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O)N
R08529,(//)-Bornyl diphosphate // H2O,(//)-Borneol // Diphosphate,CC1(C2CCC1([C@H](C2)OP(=O)(O)OP(=O)(O)O)C)C.O,CC1(C2CCC1([C@H](C2)O)C)C.OP(=O)(O)OP(=O)(O)O
R09224,5-Methylmaleylacetate // NADH // H//,2-Methyl-3-oxoadipate // NAD//,CC(C(=O)/C=C\C(=O)O)C(=O)O.C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O.[H+],CC(C(=O)CCC(=O)O)C(=O)O.C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
R08932,"dTDP-4-amino-2,3,4,6-tetradeoxy-D-glucose // 2 S-Adenosyl-L-methionine",dTDP-D-forosamine // 2 S-Adenosyl-L-homocysteine,C[C@@H]1[C@H](CC[C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)N.C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O,C[C@@H]1[C@H](CC[C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)N(C)C.C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O)N
R02485,Deoxycytidine // H2O,Deoxyuridine // Ammonia,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O.O,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O.N
R02512,Trimethylamine N-oxide,Dimethylamine // Formaldehyde,C[N+](C)(C)[O-],CNC.C=O
R01600,ATP // beta-D-Glucose,ADP // beta-D-Glucose 6-phosphate,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N.C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)N.C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)OP(=O)(O)O
R08859,Limonoate A-ring-lactone // UDP-glucose,Glucosyl-limonin // UDP,CC1(C)O[C@H]2CC(=O)OC[C@]23[C@H]2CC[C@@](C)([C@@H](O)c4ccoc4)[C@@]4(O[C@@H]4C(=O)O)[C@]2(C)C(=O)C[C@@H]13.C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,C[C@]1(CC[C@H]2[C@]([C@@]13[C@H](O3)C(=O)O)(C(=O)C[C@@H]4[C@@]25COC(=O)C[C@@H]5OC4(C)C)C)[C@H](C6=COC=C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O.C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O)O
R00914,beta-Alanine,beta-Alanyl-CoA,C(CN)C(=O)O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CCN)O
