reaction,EC_number_predicted
185,2.3.1.205;2.3.2.19;6.2.1.11;2.3.3.17;2.1.2.13;6.3.4.10;2.1.3.12;6.1.2.2;6.3.1.20;1.2.1.95
178,
153,1.1.1.114;1.2.1.89;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.3.4;1.1.99.18;4.1.1.5;5.4.99.3;1.1.5.4;1.4.3.5;4.2.1.155
189,
180,
161,1.13.12.4;1.13.11.66;1.13.99.1;1.14.13.239
163,1.2.1.23;1.1.1.80;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.99.9;4.1.1.76;5.4.99.3;1.1.3.39;1.4.3.5;4.2.1.155;1.1.5.4
184,6.2.1.2;3.1.2.18;4.2.1.155;2.3.1.85
187,
159,
196,2.5.1.19;2.4.1.321;2.1.3.12;2.4.2.27;4.4.1.20;1.3.1.96
155,
201,2.3.1.129;2.3.2.19;2.1.3.12;2.1.2.13;6.1.2.2;1.2.1.95;6.2.1.51;2.3.3.14;6.3.4.10;6.3.1.20
157,
183,3.5.1.19;3.5.5.1;3.1.1.1;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.5.2.16;3.4.11.1;3.5.4.1;3.4.13.22;2.3.2.2;3.4.19.13;3.4.17.8;3.5.3.21;4.2.1.48;3.13.1.6;3.4.14.13;3.5.99.8;1.2.7.12;3.8.1.8;2.1.2.3;4.3.2.4
174,
160,
162,
169,
171,
197,
166,
175,3.2.1.163;3.1.1.93;3.2.2.19;4.3.3.5
158,
168,4.1.1.78;1.14.14.44;4.99.1.7
154,
198,
202,
188,
179,
481,
469,
473,
464,
490,3.1.3.75;3.6.1.7;3.11.1.1;3.1.4.13;4.2.3.1;3.1.1.43;4.2.1.155;3.1.7.11;3.1.2.16;3.1.6.6;2.3.1.85;3.1.5.1;4.6.1.13;3.2.1.42;5.1.3.14;2.4.1.17;3.7.1.8
477,
496,3.1.3.6;3.1.4.17;3.6.1.20;3.1.7.2;3.1.5.1;4.2.3.1;3.1.1.33;4.6.1.13;3.1.6.9;3.2.1.42;2.4.1.17;5.1.3.14;3.11.1.3;3.7.1.8;3.1.2.30;2.3.1.85;4.2.1.155
493,
475,
499,
492,
482,
497,
466,
462,
495,3.4.13.22;3.5.5.1;3.5.1.126;3.4.11.1;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;2.3.2.2;3.1.1.1;3.13.1.6;3.4.17.8;3.5.2.11;3.4.19.13;4.2.1.48;3.5.3.21;3.4.14.13;1.2.7.12;3.5.4.1;3.5.99.6;3.8.1.8;2.1.2.3;4.3.2.4
486,
487,
489,
478,
480,
470,1.11.1.21
465,
463,
476,
468,1.14.13.138;1.14.14.1;1.14.12.12;1.14.15.3;1.14.18.1;1.2.3.9;1.14.21.11;1.14.99.2;1.14.16.4;1.10.3.4;1.14.11.20;1.14.19.19
494,2.5.1.102;1.3.1.96;2.4.1.326;2.4.2.34;2.1.3.12;4.4.1.20
483,
459,1.1.1.27;1.2.1.49;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;4.1.1.5;5.4.99.3;1.1.99.9;1.1.3.39;4.2.1.155;1.1.5.4;1.4.3.5
479,1.1.1.223;1.2.1.49;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;4.1.1.56;1.1.99.9;5.4.99.3;1.1.3.39;1.4.3.5;1.1.5.4;4.2.1.155
500,3.1.3.51;4.2.3.1;3.6.1.7;3.1.4.46;3.1.1.22;3.1.5.1;3.11.1.2;3.1.2.5;4.6.1.13;3.2.1.42;2.3.1.85;2.4.1.17;3.1.7.3;5.1.3.14;3.1.6.3;4.2.1.155;3.7.1.8
471,
474,
461,
488,
467,
484,4.2.1.113;4.2.3.38;1.14.13.197;4.2.99.20;5.5.1.6;4.3.3.3;3.7.1.21;3.1.7.9;1.1.1.394;2.3.1.85;4.1.1.28;3.2.1.118;4.3.1.9;1.2.1.31;1.4.1.18;3.3.1.1;2.5.1.119;1.17.98.2;3.5.5.4;1.3.8.6;1.1.3.47;3.5.1.110;2.7.8.23
472,
498,
491,1.14.13.239;1.13.11.48;1.13.12.23;1.13.99.1
460,
485,2.4.2.49;2.4.1.284;2.4.99.1
393,
371,
389,2.4.2.12;2.4.1.71;2.4.99.18
374,
376,
363,1.2.1.22;1.1.1.61;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.99.9;4.1.1.3;5.4.99.3;1.1.3.39;4.2.1.155;1.4.3.5;1.1.5.4
384,6.2.1.27;3.1.2.23;4.2.1.155;2.3.1.85
375,1.14.12.19;1.14.13.230;1.14.15.3;1.14.14.1;1.14.18.1;1.2.3.9;1.14.21.11;1.14.99.2;1.14.11.28;1.14.16.4;1.10.3.4;1.14.19.17
404,2.7.4.19;2.7.1.40;2.7.2.1;6.3.5.5;2.7.3.8;2.7.11.7;2.7.14.1;2.7.7.14;2.7.10.1;2.7.12.1;2.7.6.5;2.7.8.28;2.7.99.1
391,
396,
367,4.3.2.2;4.3.1.29;4.3.3.6;3.5.99.5;4.2.1.87
405,
381,6.3.1.15;6.3.2.12;6.3.5.4;6.3.4.12;6.2.1.39;6.3.3.3;3.5.1.4;3.5.99.5;3.4.13.4;2.3.2.2;3.4.14.13;3.13.1.6;3.1.1.1;3.5.4.1;3.5.5.4;1.4.1.13;1.4.7.1;4.3.3.6;3.4.19.13;3.4.17.21;3.4.11.1;3.5.3.21
398,1.14.13.229;1.14.14.1;1.14.15.3;1.14.12.10;1.14.16.1;1.14.11.40;1.14.18.1;1.2.3.9;1.14.21.11;1.14.99.2;1.10.3.3;1.14.19.29
386,1.4.3.4;1.1.3.13;1.5.3.1;1.5.99.6;1.4.9.2;1.1.5.4;1.1.99.9;1.4.4.2;1.4.1.1;1.5.1.22
392,
364,
394,1.14.18.8;1.14.15.6;1.14.13.96;1.14.14.29;1.14.11.20;1.10.3.3;1.14.19.29;1.14.12.25;1.14.21.4;1.14.99.2;1.2.3.9;1.14.16.1
387,
362,
372,
388,
366,2.4.1.184;2.4.2.49;2.4.99.1
390,2.8.3.22;2.8.2.37;2.3.1.187
401,
373,
385,3.5.5.1;3.5.1.4;3.4.13.22;3.4.11.1;3.5.2.16;3.5.3.2;1.2.7.12;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;4.2.1.48;2.3.2.2;3.13.1.6;3.4.17.8;3.5.4.16;3.1.1.1;3.4.19.13;3.4.14.13;3.8.1.8;3.5.99.8;2.1.2.3;4.3.2.4
380,1.1.1.202;1.2.1.23;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.99.9;4.1.1.94;1.1.3.39;5.4.99.3;1.4.3.5;4.2.1.155;1.1.5.4
358,
399,
368,
395,1.2.1.16;1.1.1.2;1.17.1.10;2.3.1.85;1.2.4.1;1.8.1.4;1.3.1.20;1.1.3.39;1.2.3.13;1.2.5.1
402,2.5.1.116;1.3.1.96;2.4.1.326;4.4.1.20;2.1.3.12;2.4.2.34
369,
400,
407,
406,
360,2.1.1.72;2.1.2.3;2.3.1.101;2.8.4.4;2.1.3.2
361,
359,2.5.1.41;1.3.1.96;2.4.1.178;2.4.2.34;2.1.3.12;4.4.1.20
365,
403,
378,
379,
357,4.1.2.46;4.1.1.4;4.2.1.155;1.1.1.38;4.1.3.41;1.3.8.6;2.1.2.11;4.1.99.2;4.2.99.21;3.1.1.82
383,3.5.1.3;3.5.5.4;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.4.13.22;3.4.11.1;2.3.2.2;4.2.1.48;3.5.2.2;3.4.17.21;3.1.1.1;3.4.19.13;3.4.14.13;3.5.3.21;3.13.1.6;1.2.7.12;3.5.4.1;3.5.99.6;3.8.1.8;2.1.2.3;4.3.2.4
370,6.2.1.1;3.1.2.13;4.2.1.155;2.3.1.85
377,
397,
382,3.1.7.6;3.1.5.1;3.1.3.74;3.6.1.7;3.2.1.42;2.4.1.17;4.2.3.1;5.1.3.14;3.1.4.46;3.11.1.1;3.1.1.59;4.6.1.13;3.1.2.28;3.7.1.8;3.1.6.1;2.3.1.85;4.2.1.155
333,
348,1.1.1.1;1.2.1.89;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;4.1.1.5;5.4.99.3;1.1.3.39;1.1.99.9;1.1.5.4;1.4.3.5;4.2.1.155
332,1.14.13.110;1.14.14.1;1.14.15.3;1.14.12.12;1.14.18.1;1.2.3.9;1.14.21.11;1.14.99.2;1.10.3.1;1.14.16.4;1.14.11.20;1.14.19.19
338,2.5.1.41;1.3.1.96;2.4.1.178;2.4.2.34;2.1.3.12;4.4.1.20
322,2.3.1.100;6.2.1.11;2.3.3.17;6.3.1.20;6.3.4.10;1.2.1.95;2.3.2.30;6.1.2.2;2.1.3.5;2.1.2.2
325,
313,1.2.1.78;1.1.1.312;1.17.1.10;2.3.1.85;1.2.4.1;1.8.1.4;1.3.1.20;1.2.3.13;1.1.3.39;1.2.5.1
334,3.2.1.28;3.1.1.93;3.2.2.24;4.3.3.5
319,2.6.1.21;2.7.8.29;2.6.99.2
331,
324,
330,2.5.1.62;2.4.1.39;1.3.1.96;2.4.2.34;2.1.3.12;4.4.1.20
308,3.5.1.4;3.5.5.1;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.4.11.1;3.4.13.22;2.3.2.2;3.1.1.1;3.5.2.2;3.5.3.21;4.2.1.48;3.4.19.13;3.4.17.8;3.13.1.6;1.2.7.12;3.4.14.13;3.5.4.1;3.5.99.6;3.8.1.8;2.1.2.3;4.3.2.4
355,
328,
327,
329,
309,
314,
312,
336,4.1.3.16;4.1.2.18;1.1.1.38;4.1.1.3;2.1.2.11;4.2.1.155;4.1.99.12;1.3.8.6;4.2.99.21;3.1.1.82
341,1.1.1.265;1.2.1.22;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.99.9;1.1.3.39;4.1.1.94;5.4.99.3;1.4.3.5;4.2.1.155;1.1.5.4
343,
321,3.2.1.122;3.1.1.93;3.2.2.19;4.3.3.5
340,1.1.1.162;1.2.1.28;2.3.1.85;1.17.1.9;1.3.1.20;1.2.4.1;1.8.1.4;1.2.5.1;1.2.3.13;1.1.3.39
347,
317,
349,2.3.1.214;2.1.3.12;2.3.2.19;2.3.3.17;6.1.2.2;6.2.1.11;2.1.2.13;1.2.1.95;6.3.1.20;6.3.4.10
346,
339,
320,2.3.1.2;2.3.3.9;6.2.1.1;2.3.2.30;2.1.3.6;2.1.2.5;6.3.4.10;1.2.1.95;6.3.1.20;6.1.2.2
326,3.2.1.85;3.1.1.93;3.2.2.11;4.3.3.5
323,
337,3.5.5.1;3.5.1.4;3.5.3.11;2.3.2.2;3.4.13.4;3.1.1.1;3.4.11.1;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.4.19.13;3.4.14.13;3.5.2.2;3.4.17.21;3.5.99.8;3.5.4.1;4.2.1.48;3.13.1.6;1.2.7.12;3.8.1.8;2.1.2.3;4.3.2.4
342,
350,
315,
306,
353,
310,
316,
351,4.2.1.78;5.5.1.6;4.3.3.3;2.5.1.119;4.1.1.45;4.2.3.16;4.2.99.12;1.2.1.31;1.4.1.18;2.3.1.85;4.3.1.9;1.1.3.47;1.3.8.6;3.1.7.9;3.5.5.4;3.7.1.21;3.2.1.118;1.1.1.85;1.14.13.197;1.17.98.2;3.3.1.1;3.5.1.110;2.7.8.23
345,
335,
352,1.1.1.146;5.3.3.1;1.2.1.3;2.3.1.85;1.3.1.20;1.17.1.4;1.1.3.16;4.1.1.104;5.4.99.3;1.1.99.18;1.1.5.4;1.4.3.5;4.2.1.155
344,
354,
307,3.3.2.8;3.1.2.27;1.14.14.1;2.3.1.85;3.1.1.35;4.2.1.139;3.2.1.86;2.5.1.18;3.3.1.1;3.7.1.8;3.2.2.3;2.1.1.246
311,2.7.3.8;2.7.2.6;2.7.1.82;6.3.5.5;2.7.11.4;2.7.14.1;2.7.7.14;2.7.4.26;2.7.10.1;2.7.12.1;2.7.8.4;2.7.6.1;2.7.99.1
318,2.7.1.72;2.7.7.47;2.7.8.32;2.7.6.1;2.7.11.7;2.7.2.13;2.7.14.1;2.7.3.3;6.3.5.5;2.7.4.2;2.7.10.1;2.7.12.1;2.7.99.1
356,
74,2.7.1.83;2.7.8.20;2.7.2.8;2.7.7.46;2.7.11.7;2.7.99.1;2.7.6.5;2.7.3.3;2.7.14.1;6.3.5.5;2.7.10.1;2.7.12.1;2.7.4.26
54,2.5.1.54;2.1.3.12;2.4.1.321;2.4.2.34;4.4.1.20;1.3.1.97
75,
95,3.1.1.37;3.1.7.3;3.1.6.2;3.1.3.76;3.1.4.44;4.6.1.13;3.1.5.1;3.1.2.27;3.2.1.42;2.4.1.17;5.1.3.14;3.6.1.57;4.2.3.1;3.11.1.3;2.3.1.85;4.2.1.155;3.7.1.8
76,
66,
96,
98,
62,
78,
60,
89,
69,3.1.1.43;3.11.1.1;3.6.1.7;3.1.2.1;3.7.1.8;4.2.1.155;3.1.3.75;3.1.6.16;3.1.4.2;2.3.1.85;4.2.3.1;3.2.1.175;3.1.7.11;3.1.5.1;4.6.1.13;2.4.1.17;5.1.3.14
59,
68,1.1.1.169;1.2.1.49;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.99.9;4.1.1.5;5.4.99.3;1.1.3.39;1.1.5.4;1.4.3.5;4.2.1.155
64,
70,
100,1.1.1.323;1.2.1.3;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;5.4.99.3;4.1.1.56;1.1.3.16;1.1.99.9;1.1.5.4;1.4.3.5;4.2.1.155
61,4.1.2.10;4.1.1.1;4.2.1.155;1.1.1.276;4.1.3.41;1.3.8.6;2.1.2.11;4.1.99.12;4.2.99.21;3.1.1.82
55,2.6.1.18;2.7.8.29;2.6.99.2
77,
81,
93,
99,
80,
56,4.1.2.14;4.1.3.43;1.1.1.38;4.1.1.3;2.1.2.11;4.1.99.12;4.2.1.155;4.2.99.21;1.3.8.6;3.1.1.82
79,
94,
57,
90,
52,3.5.1.40;3.5.5.1;3.4.13.4;3.5.3.12;3.5.2.20;2.3.2.2;4.2.1.48;3.1.1.1;3.4.14.13;3.4.17.21;3.4.11.1;3.4.19.13;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.5.4.1;3.13.1.6;1.2.7.12;3.5.99.8;3.8.1.8;2.1.2.3;4.3.2.4
71,
51,2.3.1.28;6.2.1.1;2.3.3.13;2.3.2.14;2.1.2.13;6.3.4.10;6.1.2.2;2.1.3.12;6.3.1.20;1.2.1.95
67,
82,
97,
91,
92,1.11.1.21
87,
88,
86,
58,
101,1.1.1.84;1.2.1.72;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;4.1.1.104;5.4.99.3;1.1.5.4;1.1.99.9;1.1.3.21;1.4.3.5;4.2.1.155
53,1.1.1.146;5.3.3.1;1.2.1.3;2.3.1.85;1.3.1.20;1.17.1.4;1.1.3.16;4.1.1.56;1.1.99.18;5.4.99.3;1.1.5.4;1.4.3.5;4.2.1.155
85,1.13.12.4;1.13.11.54;1.13.99.1;1.14.13.239
73,
65,3.6.1.41;3.6.3.55;3.6.4.1;3.6.5.1;3.1.3.81
63,
72,2.3.1.191;1.2.1.95;6.2.1.51;2.1.2.3;2.1.3.12;2.3.2.19;6.3.4.10;6.1.2.2;2.3.3.14;6.3.1.20
83,
84,
411,3.5.1.2;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;2.3.2.2;3.5.5.1;3.4.19.13;3.4.14.13;4.2.1.48;3.4.13.18;3.5.2.11;3.4.17.21;3.4.11.1;3.1.1.1;3.5.3.10;3.13.1.6;1.2.7.12;3.5.4.1;3.5.99.6;3.8.1.8;2.1.2.3;4.3.2.4
413,
441,1.1.1.408;1.2.1.72;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;4.1.1.104;5.4.99.3;1.1.99.9;1.1.5.4;1.1.3.39;1.4.3.5;4.2.1.155
410,
418,1.13.11.57;1.13.12.4;1.13.99.1;1.14.13.239
421,
429,3.2.2.5;3.3.1.1;3.3.2.1;3.2.1.86;3.1.2.6;4.2.1.22;1.14.14.1;3.7.1.8;3.1.1.55;2.5.1.18;2.3.1.85;2.1.1.246
455,1.11.1.21
442,
438,
428,
450,
434,
448,
415,2.5.1.41;1.3.1.96;2.4.1.178;2.4.2.34;2.1.3.12;4.4.1.20
432,2.3.1.122;2.1.3.12;2.3.2.19;2.3.3.17;6.1.2.2;2.1.2.13;6.2.1.11;6.3.1.20;6.3.4.10;1.2.1.95
436,
443,
452,1.1.1.282;1.2.1.89;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;5.4.99.3;1.1.3.39;4.1.1.5;1.1.99.9;1.1.5.4;1.4.3.5;4.2.1.155
424,
416,
444,
437,1.13.12.2;1.13.11.54;1.13.99.1;1.14.13.239
456,
446,3.1.3.21;3.1.4.46;4.2.3.1;3.6.1.7;3.11.1.1;3.1.7.6;3.1.1.79;3.1.5.1;4.6.1.13;3.2.1.42;2.4.1.17;5.1.3.14;3.1.6.17;3.1.2.16;2.3.1.85;4.2.1.155;3.7.1.8
454,1.1.1.156;1.2.1.49;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.99.9;4.1.1.5;1.1.3.39;5.4.99.3;1.4.3.5;4.2.1.155;1.1.5.4
417,
414,1.1.5.4;1.1.3.27;4.1.1.5;1.1.1.38;5.4.99.3;4.2.1.155;1.4.3.5;1.1.99.9;1.2.1.72;2.3.1.85;1.3.1.20;5.3.3.1;1.17.1.4
425,
449,
422,2.6.1.107;2.6.99.2;2.7.8.29
409,1.14.13.44;1.14.14.9;1.14.12.9;1.14.18.1;1.2.3.9;1.14.15.3;1.14.21.11;1.14.99.2;1.14.16.4;1.10.3.4;1.14.11.28;1.14.19.19
427,3.1.3.3;3.1.4.13;4.2.3.1;3.6.1.7;3.11.1.2;3.1.7.6;3.1.1.28;3.1.5.1;4.6.1.13;3.2.1.183;5.1.3.14;2.4.1.17;3.1.6.17;3.1.2.14;2.3.1.85;4.2.1.155;3.7.1.8
440,
445,
457,2.5.1.29;1.3.1.96;2.4.1.178;2.4.2.34;4.4.1.20;2.1.3.12
439,
426,
458,3.2.2.5;3.3.2.4;3.2.1.86;1.14.14.1;3.3.1.1;3.1.1.35;4.2.1.139;3.7.1.8;3.1.2.5;2.3.1.85;2.5.1.18;2.1.1.246
420,1.1.1.51;5.3.3.1;1.2.1.3;2.3.1.85;1.3.1.20;1.17.1.4;1.1.3.16;4.1.1.56;5.4.99.3;1.1.99.9;1.1.5.4;1.4.3.5;4.2.1.155
431,1.14.13.1;1.14.12.12;1.2.3.9;1.14.18.1;1.14.14.9;1.14.15.3;1.14.21.11;1.14.99.2;1.10.3.4;1.14.16.4;1.14.11.28;1.14.19.19
423,
419,1.2.3.1;1.2.4.4;1.1.3.39;1.1.1.208;1.2.1.3;2.3.1.85;1.2.5.1;1.3.1.20;1.8.1.4;1.17.1.9
430,
412,
433,
453,
451,
408,
447,
435,1.1.1.408;1.2.1.72;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;4.1.1.104;1.1.3.8;5.4.99.3;1.1.99.18;1.1.5.4;1.4.3.5;4.2.1.155
132,
136,
116,
146,3.1.7.6;3.1.5.1;3.1.3.74;3.6.1.7;3.2.1.42;2.4.1.17;4.2.3.1;5.1.3.14;3.1.4.46;3.11.1.1;3.1.1.59;4.6.1.13;3.1.2.28;3.7.1.8;3.1.6.1;2.3.1.85;4.2.1.155
133,
112,2.5.1.39;1.3.1.96;2.4.1.326;2.4.2.34;2.1.3.12;4.4.1.20
152,
147,4.2.1.98;1.14.13.197;3.1.7.12;4.2.3.141;4.3.3.3;4.2.99.20;3.7.1.21;1.1.1.394;2.3.1.85;3.2.1.186;5.5.1.6;4.1.1.56;4.3.1.9;1.2.1.31;1.4.1.18;3.3.1.1;2.5.1.119;3.5.5.4;1.17.98.2;1.3.8.6;1.1.3.47;3.5.1.110;2.7.8.23
123,3.1.3.3;3.1.4.13;3.6.1.7;4.2.3.1;3.11.1.1;3.1.7.6;3.1.5.1;3.1.1.28;4.6.1.13;3.2.1.183;5.1.3.14;2.4.1.17;4.2.1.155;3.1.2.11;3.1.6.17;2.3.1.85;3.7.1.8
109,
139,1.13.11.1;1.13.12.23;1.13.99.1;1.14.13.239
141,1.1.3.15;1.1.5.4;4.2.1.155;4.1.1.4;1.1.1.38;5.4.99.3;1.4.3.5;1.1.99.9;1.2.1.3;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1
150,1.5.3.7;1.3.3.10;2.6.1.82;1.4.3.3;1.21.3.3;1.5.1.1;2.5.1.46
127,1.1.1.2;1.2.1.49;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.99.9;1.1.3.39;4.1.1.94;5.4.99.3;1.4.3.5;4.2.1.155;1.1.5.4
134,
115,6.2.1.25;3.1.2.23;4.2.1.155;2.3.1.85
144,
122,
120,
148,3.1.3.25;3.1.4.44;4.6.1.13;4.2.3.1;3.6.1.20;3.1.7.3;3.1.1.42;3.2.1.42;3.1.5.1;2.4.1.17;3.1.6.1;5.1.3.14;3.11.1.3;3.1.2.31;2.3.1.85;3.7.1.8;4.2.1.155
143,
128,2.8.3.17;2.8.2.14;2.3.1.187
106,
151,
126,
103,
110,
138,
117,1.13.11.84;1.13.12.2;1.13.99.1;1.14.13.239
119,
149,
107,
121,
137,
129,
105,
135,
113,
104,2.5.1.80;1.3.1.96;2.4.1.311;4.4.1.20;2.4.2.27;2.1.3.12
124,3.2.2.3;4.3.3.5;3.2.1.22;3.1.1.93
108,
145,
118,
140,2.5.1.39;1.3.1.96;2.4.1.192;2.4.2.34;2.1.3.12;4.4.1.20
111,1.13.12.4;1.13.11.59;1.13.99.1;1.14.13.239
131,
114,
142,
125,
130,
102,
279,1.14.13.69;1.14.14.1;1.14.15.3;1.14.12.12;1.14.18.1;1.2.3.9;1.14.21.11;1.14.99.2;1.14.11.28;1.10.3.4;1.14.16.4;1.14.19.18
256,
296,
262,2.7.4.14;2.7.1.82;2.7.2.6;6.3.5.5;2.7.3.8;2.7.11.15;2.7.14.1;2.7.7.14;2.7.10.1;2.7.12.1;2.7.6.5;2.7.8.28;2.7.99.1
274,6.2.1.2;3.1.2.18;4.2.1.155;2.3.1.85
276,
305,3.1.7.8;3.1.1.37;3.1.5.1;3.1.6.2;3.1.3.76;3.2.1.42;2.4.1.17;5.1.3.14;3.6.1.57;3.1.4.44;4.2.3.1;4.6.1.13;3.11.1.3;3.7.1.8;3.1.2.27;2.3.1.85;4.2.1.155
300,
299,2.7.1.40;2.7.3.10;2.7.14.1;2.7.2.14;6.3.5.5;2.7.11.7;2.7.7.4;2.7.4.26;2.7.6.3;2.7.10.1;2.7.12.1;2.7.99.1;2.7.8.28
283,
267,1.1.1.226;1.2.1.49;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.99.9;5.4.99.3;4.1.1.5;1.1.3.39;1.4.3.5;4.2.1.155;1.1.5.4
261,
286,3.1.7.3;3.1.3.75;3.6.1.7;3.11.1.1;4.2.3.1;3.1.4.46;3.1.5.1;3.1.1.64;3.2.1.42;2.4.1.17;3.1.2.16;3.1.6.1;5.1.3.14;4.2.1.155;3.7.1.8;2.3.1.85;4.6.1.13
259,1.2.1.22;1.1.1.2;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.99.9;4.1.1.56;1.1.3.39;5.4.99.3;1.4.3.5;4.2.1.155;1.1.5.4
258,
282,2.4.99.12;2.4.1.92;2.4.2.27
277,1.14.13.239;1.13.11.52;1.13.12.23;1.13.99.1
290,
264,1.1.1.254;1.2.1.49;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;5.4.99.3;1.1.99.9;4.1.1.3;1.1.3.39;1.4.3.5;4.2.1.155;1.1.5.4
304,1.1.1.392;5.3.3.1;1.2.1.3;2.3.1.85;1.3.1.20;1.17.1.4;1.1.3.16;4.1.1.56;5.4.99.3;1.1.99.9;1.4.3.5;4.2.1.155;1.1.5.4
271,
266,
275,
