reaction_id,SIMMER_SIMMER pred,merged_output_SIMMER_SIMMER pred,merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_ec,merged_output_merged_output_theia_Prediction,merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_ec,merged_output_theia_Prediction,merged_output_SelenzymeRF_All ECs,merged_output_BEC-Pred_Prediction,merged_output_CLAIRE_predictions,merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_Scaffold_ground_truth_true_EC,merged_output_ec,theia_Prediction,SelenzymeRF_All ECs,BEC-Pred_Prediction,CLAIRE_predictions,Scaffold_ground_truth_REACTION_ID,Scaffold_ground_truth_true_EC,ec
25174,2.1.4,2.1.4,2.1.4,2.1.4,2.1.4,2.1.4,2.1.4,,3.5.1,,,3.5.3.18,3.5.1,,,3.5.3.18,3.5.1,,,3.5.3.18,"3.5.1,0.6360501646995544;3.5.3,0.1216026023030281;6.3.4,0.05166617035865784;1.14.13,0.044540125876665115;2.1.3,0.03547624871134758",1.14.13.39;1.14.14.47;1.5.8.1;2.1.1.248;2.1.1.249;1.4.9.1;6.3.1.2|6.3.4.12,3.5.1,3.11.1;4.3.2;4.1.2;4.3.1,,,3.5.3.18,3.5.1;3.5.3;6.3.4;1.14.13;2.1.3,1.14.13.39;1.14.14.47;1.5.8.1;2.1.1.248;2.1.1.249;1.4.9.1;6.3.1.2|6.3.4.12,3.5.1,3.11.1;4.3.2;4.1.2;4.3.1,,,3.5.3.18,3.5.1;3.5.3;6.3.4;1.14.13;2.1.3,1.14.13.39;1.14.14.47;1.5.8.1;2.1.1.248;2.1.1.249;1.4.9.1;6.3.1.2|6.3.4.12,3.5.1,3.4.17;3.4.19;3.5.1;3.5.3,,,3.5.3.18,3.5.1;3.5.3;6.3.4;1.14.13;2.1.3,1.14.13.39;1.14.14.47;1.5.8.1;2.1.1.248;2.1.1.249;1.4.9.1;6.3.1.2|6.3.4.12,3.5.1,3.4.17;3.4.19;3.5.1;3.5.3,,,3.5.3.18,3.5.1;3.5.3;6.3.4;1.14.13;2.1.3,1.14.13.39;1.14.14.47;1.5.8.1;2.1.1.248;2.1.1.249;1.4.9.1;6.3.1.2|6.3.4.12,3.5.1,3.4.17;3.4.19;3.5.1;3.5.3,,,3.5.3.18
67817,3.5.1,3.5.1,3.5.1,3.5.1,3.5.1,3.5.1,3.5.1,,3.5.1,,,3.5.1.108,3.5.1,,,3.5.1.108,3.5.1,,,3.5.1.108,"3.5.1,0.9998641014099121;3.5.4,4.205160803394392e-05;6.3.1,3.298453157185577e-05;2.3.1,2.7515434339875355e-05;1.13.12,1.204132513521472e-05",3.5.1.108,3.5.1,4.3.1;4.2.1;3.5.99;3.5.5,,,3.5.1.108,3.5.1;3.5.4;6.3.1;2.3.1;1.13.12,3.5.1.108,3.5.1,4.3.1;4.2.1;3.5.99;3.5.5,,,3.5.1.108,3.5.1;3.5.4;6.3.1;2.3.1;1.13.12,3.5.1.108,3.5.1,3.5.5;3.5.1;3.3.2;3.13.1,,,3.5.1.108,3.5.1;3.5.4;6.3.1;2.3.1;1.13.12,3.5.1.108,3.5.1,3.5.5;3.5.1;3.3.2;3.13.1,,,3.5.1.108,3.5.1;3.5.4;6.3.1;2.3.1;1.13.12,3.5.1.108,3.5.1,3.5.5;3.5.1;3.3.2;3.13.1,,,3.5.1.108
45169,2.3.1,2.3.1,2.3.1,2.3.1,2.3.1,2.3.1,2.3.1,,2.3.1,,,2.3.1.248,2.3.1,,,2.3.1.248,2.3.1,,,2.3.1.248,"2.3.1,0.9875869750976562;6.2.1,0.004304973874241114;3.1.2,0.003690793178975582;4.3.2,0.0014881736133247614;2.3.2,0.0011139316484332085",2.3.1.57;2.3.1.110;2.3.1.138;2.3.1.57|2.6.1.29;2.3.1.64;2.3.1.302;2.3.1.229;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,2.3.1,2.3.2;3.1.2;2.3.1;2.8.3,,,2.3.1.248,2.3.1;6.2.1;3.1.2;4.3.2;2.3.2,2.3.1.57;2.3.1.110;2.3.1.138;2.3.1.57|2.6.1.29;2.3.1.64;2.3.1.302;2.3.1.229;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,2.3.1,2.3.2;3.1.2;2.3.1;2.8.3,,,2.3.1.248,2.3.1;6.2.1;3.1.2;4.3.2;2.3.2,2.3.1.57;2.3.1.110;2.3.1.138;2.3.1.57|2.6.1.29;2.3.1.64;2.3.1.302;2.3.1.229;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,2.3.1,2.4.1;2.4.99;2.3.1;2.8.3,,,2.3.1.248,2.3.1;6.2.1;3.1.2;4.3.2;2.3.2,2.3.1.57;2.3.1.110;2.3.1.138;2.3.1.57|2.6.1.29;2.3.1.64;2.3.1.302;2.3.1.229;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,2.3.1,2.4.1;2.4.99;2.3.1;2.8.3,,,2.3.1.248,2.3.1;6.2.1;3.1.2;4.3.2;2.3.2,2.3.1.57;2.3.1.110;2.3.1.138;2.3.1.57|2.6.1.29;2.3.1.64;2.3.1.302;2.3.1.229;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,2.3.1,2.4.1;2.4.99;2.3.1;2.8.3,,,2.3.1.248
74280,2.3.1,2.3.1,2.3.1,2.3.1,2.3.1,2.3.1,2.3.1,,2.3.1,,,2.3.1.251,2.3.1,,,2.3.1.251,2.3.1,,,2.3.1.251,"2.3.1,0.9832594394683838;2.4.1,0.0026316007133573294;2.7.8,0.0010882593924179673;2.7.1,0.0010804394260048866;2.7.4,0.001048284932039678",2.3.1.62;2.3.1.135;3.1.1.32;2.3.1.23;2.3.1.158;2.7.8.27;2.3.1.43;3.1.1.5,2.3.1,2.3.1;2.3.2;2.4.1;2.4.99,,,2.3.1.251,2.3.1;2.4.1;2.7.8;2.7.1;2.7.4,2.3.1.62;2.3.1.135;3.1.1.32;2.3.1.23;2.3.1.158;2.7.8.27;2.3.1.43;3.1.1.5,2.3.1,2.3.1;2.3.2;2.4.1;2.4.99,,,2.3.1.251,2.3.1;2.4.1;2.7.8;2.7.1;2.7.4,2.3.1.62;2.3.1.135;3.1.1.32;2.3.1.23;2.3.1.158;2.7.8.27;2.3.1.43;3.1.1.5,2.3.1,2.4.1;2.3.1;2.8.3;2.3.2,,,2.3.1.251,2.3.1;2.4.1;2.7.8;2.7.1;2.7.4,2.3.1.62;2.3.1.135;3.1.1.32;2.3.1.23;2.3.1.158;2.7.8.27;2.3.1.43;3.1.1.5,2.3.1,2.4.1;2.3.1;2.8.3;2.3.2,,,2.3.1.251,2.3.1;2.4.1;2.7.8;2.7.1;2.7.4,2.3.1.62;2.3.1.135;3.1.1.32;2.3.1.23;2.3.1.158;2.7.8.27;2.3.1.43;3.1.1.5,2.3.1,2.4.1;2.3.1;2.8.3;2.3.2,,,2.3.1.251
19318,6.3.1;6.3.2,6.3.1;6.3.2,6.3.1;6.3.2,6.3.1;6.3.2,6.3.1;6.3.2,6.3.1;6.3.2,6.3.1;6.3.2,,6.3.2,,,6.3.4.18,6.3.2,,,6.3.4.18,6.3.2,,,6.3.4.18,"6.3.4,0.30176427960395813;6.4.1,0.23688313364982605;6.3.3,0.12411250174045563;6.3.2,0.08548275381326675;6.3.1,0.029168525710701942",6.3.4.16|6.3.5.5,6.3.2,1.14.11;1.14.14;1.14.20;4.1.1,,,6.3.4.18,6.3.4;6.4.1;6.3.3;6.3.2;6.3.1,6.3.4.16|6.3.5.5,6.3.2,1.14.11;1.14.14;1.14.20;4.1.1,,,6.3.4.18,6.3.4;6.4.1;6.3.3;6.3.2;6.3.1,6.3.4.16|6.3.5.5,6.3.2,2.1.3;4.1.99;1.14.20;4.1.1,,,6.3.4.18,6.3.4;6.4.1;6.3.3;6.3.2;6.3.1,6.3.4.16|6.3.5.5,6.3.4,2.1.3;4.1.99;1.14.20;4.1.1,,,6.3.4.18,6.3.4;6.4.1;6.3.3;6.3.2;6.3.1,6.3.4.16|6.3.5.5,6.3.4,2.1.3;4.1.99;1.14.20;4.1.1,,,6.3.4.18
11689,6.1.1,6.1.1,6.1.1,6.1.1,6.1.1,6.1.1,6.1.1,,2.7.7,,,6.1.1.4,2.7.7,,,6.1.1.4,2.7.7,,,6.1.1.4,"6.1.1,0.8689051270484924;3.6.1,0.06427108496427536;6.2.1,0.018811911344528198;2.7.7,0.008294163271784782;6.3.2,0.007280868012458086",6.3.1.14;6.1.1.4,6.3.2,6.3.1;2.6.99;4.5.1;2.7.2,,,6.1.1.4,6.1.1;3.6.1;6.2.1;2.7.7;6.3.2,6.3.1.14;6.1.1.4,6.3.2,6.3.1;2.6.99;4.5.1;2.7.2,,,6.1.1.4,6.1.1;3.6.1;6.2.1;2.7.7;6.3.2,6.3.1.14;6.1.1.4,6.3.2,6.3.2;4.3.3;6.2.1;6.1.1,,,6.1.1.4,6.1.1;3.6.1;6.2.1;2.7.7;6.3.2,6.3.1.14;6.1.1.4,6.3.4,6.3.2;4.3.3;6.2.1;6.1.1,,,6.1.1.4,6.1.1;3.6.1;6.2.1;2.7.7;6.3.2,6.3.1.14;6.1.1.4,6.3.4,6.3.2;4.3.3;6.2.1;6.1.1,,,6.1.1.4
19746,1.1.3,1.1.3,1.1.3,1.1.3,1.1.3,1.1.3,1.1.3,,1.17.99,,,1.21.99.4,1.17.99,,,1.21.99.4,1.17.99,,,1.21.99.4,"1.3.99,0.670512318611145;1.12.99,0.05699794366955757;1.1.99,0.04754156619310379;1.14.99,0.03479728475213051;1.21.99,0.026302801445126534",1.21.99.4|1.97.1.10;1.21.99.3;2.5.1.18,1.3.99,1.21.99;1.17.99;1.3.99;1.14.99,,,1.21.99.4,1.3.99;1.12.99;1.1.99;1.14.99;1.21.99,1.21.99.4|1.97.1.10;1.21.99.3;2.5.1.18,1.3.99,1.21.99;1.17.99;1.3.99;1.14.99,,,1.21.99.4,1.3.99;1.12.99;1.1.99;1.14.99;1.21.99,1.21.99.4|1.97.1.10;1.21.99.3;2.5.1.18,1.3.99,1.3.99;1.21.99;5.3.3;1.17.99,,,1.21.99.4,1.3.99;1.12.99;1.1.99;1.14.99;1.21.99,1.21.99.4|1.97.1.10;1.21.99.3;2.5.1.18,2.1.1,1.3.99;1.21.99;5.3.3;1.17.99,,,1.21.99.4,1.3.99;1.12.99;1.1.99;1.14.99;1.21.99,1.21.99.4|1.97.1.10;1.21.99.3;2.5.1.18,2.1.1,1.3.99;1.21.99;5.3.3;1.17.99,,,1.21.99.4
28111,2.1.1,2.1.1,2.1.1,2.1.1,2.1.1,2.1.1,2.1.1,,2.1.1,,,2.5.1.94,2.1.1,,,2.5.1.94,2.1.1,,,2.5.1.94,"2.1.1,0.4140370786190033;1.21.98,0.15372981131076813;4.5.1,0.09305672347545624;1.17.98,0.0801638811826706;3.13.2,0.07320437580347061",2.5.1.120;2.8.1.6,2.1.1,4.4.1;4.5.1;3.13.1;4.3.2,,,2.5.1.94,2.1.1;1.21.98;4.5.1;1.17.98;3.13.2,2.5.1.120;2.8.1.6,2.1.1,4.4.1;4.5.1;3.13.1;4.3.2,,,2.5.1.94,2.1.1;1.21.98;4.5.1;1.17.98;3.13.2,2.5.1.120;2.8.1.6,2.1.1,4.5.1;4.4.1;2.5.1;4.3.3,,,2.5.1.94,2.1.1;1.21.98;4.5.1;1.17.98;3.13.2,2.5.1.120;2.8.1.6,2.1.1,4.5.1;4.4.1;2.5.1;4.3.3,,,2.5.1.94,2.1.1;1.21.98;4.5.1;1.17.98;3.13.2,2.5.1.120;2.8.1.6,2.1.1,4.5.1;4.4.1;2.5.1;4.3.3,,,2.5.1.94
19146,5.4.2;3.1.3,5.4.2;3.1.3,5.4.2;3.1.3,5.4.2;3.1.3,5.4.2;3.1.3,5.4.2;3.1.3,5.4.2;3.1.3,,3.1.1,,,3.1.6.3,3.1.1,,,3.1.6.3,3.1.1,,,3.1.6.3,"3.1.6,0.9771274924278259;2.8.2,0.004670006223022938;3.13.1,0.0035739345476031303;3.6.2,0.0031209387816488743;3.1.5,0.0015849063638597727",3.1.6.14;3.2.1.147;2.7.7.5;2.7.7.4,3.6.1,3.1.6;3.1.3;3.12.1;3.3.2,,,3.1.6.3,3.1.6;2.8.2;3.13.1;3.6.2;3.1.5,3.1.6.14;3.2.1.147;2.7.7.5;2.7.7.4,3.6.1,3.1.6;3.1.3;3.12.1;3.3.2,,,3.1.6.3,3.1.6;2.8.2;3.13.1;3.6.2;3.1.5,3.1.6.14;3.2.1.147;2.7.7.5;2.7.7.4,3.6.1,3.1.6;3.6.2;1.8.99;1.16.1,,,3.1.6.3,3.1.6;2.8.2;3.13.1;3.6.2;3.1.5,3.1.6.14;3.2.1.147;2.7.7.5;2.7.7.4,3.1.4,3.1.6;3.6.2;1.8.99;1.16.1,,,3.1.6.3,3.1.6;2.8.2;3.13.1;3.6.2;3.1.5,3.1.6.14;3.2.1.147;2.7.7.5;2.7.7.4,3.1.4,3.1.6;3.6.2;1.8.99;1.16.1,,,3.1.6.3
31432,4.2.3,4.2.3,4.2.3,4.2.3,4.2.3,4.2.3,4.2.3,,4.2.3,,,4.2.3.83,4.2.3,,,4.2.3.83,4.2.3,,,4.2.3.83,"4.2.3,0.9997237324714661;2.5.1,0.00023328926181420684;5.3.3,3.280667806393467e-05;5.5.1,4.752029781229794e-06;5.4.99,4.134596565563697e-06",4.2.3.-|4.2.3.129;4.2.3.68;4.2.3.90;4.2.3.181;4.2.3.204;4.2.3.62;4.2.3.164|4.2.3.ek;4.2.3.199;4.2.3.198|4.2.3.66;2.5.1|2.5.1.31|2.5.1.M1;2.5.1.88;4.2.3.37;4.2.3.197;2.5.1.87;4.2.3.21;4.2.3|4.2.3.-|4.2.3.56;4.2.3.7;4.2.3.56|4.2.3.58;4.2.3.96;4.2.3.82;4.2.3.22;4.2.3.55;4.2.3.169;4.2.3.136;4.2.3.172;4.2.3.69;4.2.3.79;4.2.3.54;4.2.3.81;4.2.3.160;4.2.3.6;4.2.3.86;4.2.3.73;4.2.3.74;4.2.3.-|4.2.3.127;4.2.3.24,4.2.3,4.2.3;4.2.1;2.5.1;5.5.1,,,4.2.3.83,4.2.3;2.5.1;5.3.3;5.5.1;5.4.99,4.2.3.-|4.2.3.129;4.2.3.68;4.2.3.90;4.2.3.181;4.2.3.204;4.2.3.62;4.2.3.164|4.2.3.ek;4.2.3.199;4.2.3.198|4.2.3.66;2.5.1|2.5.1.31|2.5.1.M1;2.5.1.88;4.2.3.37;4.2.3.197;2.5.1.87;4.2.3.21;4.2.3|4.2.3.-|4.2.3.56;4.2.3.7;4.2.3.56|4.2.3.58;4.2.3.96;4.2.3.82;4.2.3.22;4.2.3.55;4.2.3.169;4.2.3.136;4.2.3.172;4.2.3.69;4.2.3.79;4.2.3.54;4.2.3.81;4.2.3.160;4.2.3.6;4.2.3.86;4.2.3.73;4.2.3.74;4.2.3.-|4.2.3.127;4.2.3.24,4.2.3,4.2.3;4.2.1;2.5.1;5.5.1,,,4.2.3.83,4.2.3;2.5.1;5.3.3;5.5.1;5.4.99,4.2.3.-|4.2.3.129;4.2.3.68;4.2.3.90;4.2.3.181;4.2.3.204;4.2.3.62;4.2.3.164|4.2.3.ek;4.2.3.199;4.2.3.198|4.2.3.66;2.5.1|2.5.1.31|2.5.1.M1;2.5.1.88;4.2.3.37;4.2.3.197;2.5.1.87;4.2.3.21;4.2.3|4.2.3.-|4.2.3.56;4.2.3.7;4.2.3.56|4.2.3.58;4.2.3.96;4.2.3.82;4.2.3.22;4.2.3.55;4.2.3.169;4.2.3.136;4.2.3.172;4.2.3.69;4.2.3.79;4.2.3.54;4.2.3.81;4.2.3.160;4.2.3.6;4.2.3.86;4.2.3.73;4.2.3.74;4.2.3.-|4.2.3.127;4.2.3.24,4.2.3,2.5.1;4.2.3;5.4.99;4.1.99,,,4.2.3.83,4.2.3;2.5.1;5.3.3;5.5.1;5.4.99,4.2.3.-|4.2.3.129;4.2.3.68;4.2.3.90;4.2.3.181;4.2.3.204;4.2.3.62;4.2.3.164|4.2.3.ek;4.2.3.199;4.2.3.198|4.2.3.66;2.5.1|2.5.1.31|2.5.1.M1;2.5.1.88;4.2.3.37;4.2.3.197;2.5.1.87;4.2.3.21;4.2.3|4.2.3.-|4.2.3.56;4.2.3.7;4.2.3.56|4.2.3.58;4.2.3.96;4.2.3.82;4.2.3.22;4.2.3.55;4.2.3.169;4.2.3.136;4.2.3.172;4.2.3.69;4.2.3.79;4.2.3.54;4.2.3.81;4.2.3.160;4.2.3.6;4.2.3.86;4.2.3.73;4.2.3.74;4.2.3.-|4.2.3.127;4.2.3.24,4.2.3,2.5.1;4.2.3;5.4.99;4.1.99,,,4.2.3.83,4.2.3;2.5.1;5.3.3;5.5.1;5.4.99,4.2.3.-|4.2.3.129;4.2.3.68;4.2.3.90;4.2.3.181;4.2.3.204;4.2.3.62;4.2.3.164|4.2.3.ek;4.2.3.199;4.2.3.198|4.2.3.66;2.5.1|2.5.1.31|2.5.1.M1;2.5.1.88;4.2.3.37;4.2.3.197;2.5.1.87;4.2.3.21;4.2.3|4.2.3.-|4.2.3.56;4.2.3.7;4.2.3.56|4.2.3.58;4.2.3.96;4.2.3.82;4.2.3.22;4.2.3.55;4.2.3.169;4.2.3.136;4.2.3.172;4.2.3.69;4.2.3.79;4.2.3.54;4.2.3.81;4.2.3.160;4.2.3.6;4.2.3.86;4.2.3.73;4.2.3.74;4.2.3.-|4.2.3.127;4.2.3.24,4.2.3,2.5.1;4.2.3;5.4.99;4.1.99,,,4.2.3.83
57997,2.4.1,2.4.1,2.4.1,2.4.1,2.4.1,2.4.1,2.4.1,,2.4.1,,,2.4.1.364,2.4.1,,,2.4.1.364,2.4.1,,,2.4.1.364,"2.4.1,0.9833362102508545;2.4.2,0.01601618155837059;3.2.1,0.00041861290810629725;2.7.8,7.273242226801813e-05;3.6.1,6.581695924978703e-05",2.4.1.364;2.4.1.368|2.4.1.dx;2.4.1.363;2.4.1.350;2.4.1.366|2.4.1.367|2.4.1.dv;2.4.1.173;2.4.1.192;2.4.1.365;2.4.1.210;2.4.1.90;2.4.1.38|2.4.1.90;2.4.1.-|2.4.1.284;2.4.1.324;2.4.1.-|2.4.1.323;2.4.1.338;2.4.1.22;2.4.1.245;2.4.1.87;2.4.1.276;2.4.1.-|2.4.1.301;2.4.1.15,2.4.1,3.1.1;2.4.2;4.2.99;4.2.3,,,2.4.1.364,2.4.1;2.4.2;3.2.1;2.7.8;3.6.1,2.4.1.364;2.4.1.368|2.4.1.dx;2.4.1.363;2.4.1.350;2.4.1.366|2.4.1.367|2.4.1.dv;2.4.1.173;2.4.1.192;2.4.1.365;2.4.1.210;2.4.1.90;2.4.1.38|2.4.1.90;2.4.1.-|2.4.1.284;2.4.1.324;2.4.1.-|2.4.1.323;2.4.1.338;2.4.1.22;2.4.1.245;2.4.1.87;2.4.1.276;2.4.1.-|2.4.1.301;2.4.1.15,2.4.1,3.1.1;2.4.2;4.2.99;4.2.3,,,2.4.1.364,2.4.1;2.4.2;3.2.1;2.7.8;3.6.1,2.4.1.364;2.4.1.368|2.4.1.dx;2.4.1.363;2.4.1.350;2.4.1.366|2.4.1.367|2.4.1.dv;2.4.1.173;2.4.1.192;2.4.1.365;2.4.1.210;2.4.1.90;2.4.1.38|2.4.1.90;2.4.1.-|2.4.1.284;2.4.1.324;2.4.1.-|2.4.1.323;2.4.1.338;2.4.1.22;2.4.1.245;2.4.1.87;2.4.1.276;2.4.1.-|2.4.1.301;2.4.1.15,2.4.1,2.4.1;2.4.2;2.4.99;2.3.1,,,2.4.1.364,2.4.1;2.4.2;3.2.1;2.7.8;3.6.1,2.4.1.364;2.4.1.368|2.4.1.dx;2.4.1.363;2.4.1.350;2.4.1.366|2.4.1.367|2.4.1.dv;2.4.1.173;2.4.1.192;2.4.1.365;2.4.1.210;2.4.1.90;2.4.1.38|2.4.1.90;2.4.1.-|2.4.1.284;2.4.1.324;2.4.1.-|2.4.1.323;2.4.1.338;2.4.1.22;2.4.1.245;2.4.1.87;2.4.1.276;2.4.1.-|2.4.1.301;2.4.1.15,2.4.1,2.4.1;2.4.2;2.4.99;2.3.1,,,2.4.1.364,2.4.1;2.4.2;3.2.1;2.7.8;3.6.1,2.4.1.364;2.4.1.368|2.4.1.dx;2.4.1.363;2.4.1.350;2.4.1.366|2.4.1.367|2.4.1.dv;2.4.1.173;2.4.1.192;2.4.1.365;2.4.1.210;2.4.1.90;2.4.1.38|2.4.1.90;2.4.1.-|2.4.1.284;2.4.1.324;2.4.1.-|2.4.1.323;2.4.1.338;2.4.1.22;2.4.1.245;2.4.1.87;2.4.1.276;2.4.1.-|2.4.1.301;2.4.1.15,2.4.1,2.4.1;2.4.2;2.4.99;2.3.1,,,2.4.1.364
54833,1.14.14,1.14.14,1.14.14,1.14.14,1.14.14,1.14.14,1.14.14,,1.14.14,,,1.14.14.48,1.14.14,,,1.14.14.48,1.14.14,,,1.14.14.48,"1.14.14,0.9914759397506714;1.14.19,0.008138386532664299;1.3.8,0.00010771692177513614;1.17.8,5.685503492713906e-05;1.14.99,5.043532291892916e-05",1.14.14.-|1.14.14.13;1.14.14.3;1.14.14.28;1.14.14.5;1.14.19.56;1.14.14.15;1.14.14.46;1.14.14.8;1.5.1.39;1.14.99.46;1.14.14.30;1.14.14.48;1.14.14.108;1.13.12.16;1.14.19.9,1.14.14,1.14.14;1.21.3;1.14.20;1.14.11,,,1.14.14.48,1.14.14;1.14.19;1.3.8;1.17.8;1.14.99,1.14.14.-|1.14.14.13;1.14.14.3;1.14.14.28;1.14.14.5;1.14.19.56;1.14.14.15;1.14.14.46;1.14.14.8;1.5.1.39;1.14.99.46;1.14.14.30;1.14.14.48;1.14.14.108;1.13.12.16;1.14.19.9,1.14.14,1.14.14;1.21.3;1.14.20;1.14.11,,,1.14.14.48,1.14.14;1.14.19;1.3.8;1.17.8;1.14.99,1.14.14.-|1.14.14.13;1.14.14.3;1.14.14.28;1.14.14.5;1.14.19.56;1.14.14.15;1.14.14.46;1.14.14.8;1.5.1.39;1.14.99.46;1.14.14.30;1.14.14.48;1.14.14.108;1.13.12.16;1.14.19.9,1.14.14,1.14.14;1.14.18;1.14.15;1.14.13,,,1.14.14.48,1.14.14;1.14.19;1.3.8;1.17.8;1.14.99,1.14.14.-|1.14.14.13;1.14.14.3;1.14.14.28;1.14.14.5;1.14.19.56;1.14.14.15;1.14.14.46;1.14.14.8;1.5.1.39;1.14.99.46;1.14.14.30;1.14.14.48;1.14.14.108;1.13.12.16;1.14.19.9,1.14.14,1.14.14;1.14.18;1.14.15;1.14.13,,,1.14.14.48,1.14.14;1.14.19;1.3.8;1.17.8;1.14.99,1.14.14.-|1.14.14.13;1.14.14.3;1.14.14.28;1.14.14.5;1.14.19.56;1.14.14.15;1.14.14.46;1.14.14.8;1.5.1.39;1.14.99.46;1.14.14.30;1.14.14.48;1.14.14.108;1.13.12.16;1.14.19.9,1.14.14,1.14.14;1.14.18;1.14.15;1.14.13,,,1.14.14.48
18398,6.1.1,6.1.1,6.1.1,6.1.1,6.1.1,6.1.1,6.1.1,,6.2.1,,,6.1.1.24,6.2.1,,,6.1.1.24,6.2.1,,,6.1.1.24,"6.1.1,0.5658019781112671;3.6.1,0.15850287675857544;2.7.4,0.08252182602882385;6.3.2,0.05112055689096451;2.7.7,0.0491214320063591",6.1.1|6.1.1.17|6.1.1.24,6.3.2,6.3.1;1.1.99;4.2.1;4.3.2,,,6.1.1.24,6.1.1;3.6.1;2.7.4;6.3.2;2.7.7,6.1.1|6.1.1.17|6.1.1.24,6.3.2,6.3.1;1.1.99;4.2.1;4.3.2,,,6.1.1.24,6.1.1;3.6.1;2.7.4;6.3.2;2.7.7,6.1.1|6.1.1.17|6.1.1.24,6.3.2,4.3.3;6.3.2;6.3.4;6.1.1,,,6.1.1.24,6.1.1;3.6.1;2.7.4;6.3.2;2.7.7,6.1.1|6.1.1.17|6.1.1.24,6.1.1,4.3.3;6.3.2;6.3.4;6.1.1,,,6.1.1.24,6.1.1;3.6.1;2.7.4;6.3.2;2.7.7,6.1.1|6.1.1.17|6.1.1.24,6.1.1,4.3.3;6.3.2;6.3.4;6.1.1,,,6.1.1.24
