reaction_id,SelenzymeRF,BEC-Pred,SIMMER,BridgIT,CLAIRE,SelenzymeRF2_SelenzymeRF2,CLAIRE2_CLAIRE_EC,E-zyme1,E-zyme2,Theia,EC Number
R01980,5.4.2.2;5.4.2.6;2.7.1.157|2.7.1.162;2.7.1.1;2.7.1.1|2.7.1.55;3.6.1.21|3.6.1.9,2.7.1,2.7.1,2.7.1.43;2.7.7.44;6.3.5.5;2.7.2.7;2.7.3.3;2.7.14.1;2.7.11.15;2.7.4.23;2.7.10.1;2.7.12.1;2.7.6.5;2.7.8.19;2.7.99.1,2.7.4;2.7.7;2.4.2;2.7.1,2.7.1.1;2.7.1.157|2.7.1.162;2.7.1.1|2.7.1.55;3.6.1.21|3.6.1.9;5.4.2.2;5.4.2.6,2.7.7,,,2.7.1;2.7.7;2.3.1;2.7.4;2.1.1,2.7.1.44
R01989,2.6.1.57;4.1.1.95;3.5.1.114;3.4.13.18|3.4.13.4;3.4.11.1|3.4.11.2|3.4.11.23|3.4.13.-,2.1.4,3.5.3,,3.5.1;3.5.3;5.1.1;3.4.17,2.6.1.57;3.4.11.1|3.4.11.2|3.4.11.23|3.4.13.-;3.4.13.18|3.4.13.4;3.5.1.114;4.1.1.95,3.5.1,3.5.3;2.1.4;1.14.13;3.5.3;2.1.4;1.14.13,2.1.4.1|2.1.4.2|3.5.3.1;3.5.3.23;3.5.3.11;3.5.3.22;2.1.4.1|3.5.3.7;2.1.3.3;2.1.4.1|3.5.3.7;3.5.3.11;2.1.2.5|3.5.3.8;3.5.3.23;2.1.4.1|2.1.4.2|3.5.3.1;2.1.4.1,2.3.1;2.7.4;2.4.1;5.1.3;2.7.8,2.1.4.1
R01999,2.3.1.24|2.3.1.291|2.3.1.297|2.3.1.298;2.3.1.76;2.3.1.180,2.3.1,3.1.2;2.3.1,2.3.1.75;2.3.3.9;6.2.1.1;2.1.2.13;2.1.3.12;6.1.2.2;1.2.1.95;2.3.2.19;6.3.4.10;6.3.1.20,2.3.1;2.7.8;3.1.1;3.1.2,2.3.1.180;2.3.1.24|2.3.1.291|2.3.1.297|2.3.1.298;2.3.1.76,2.3.1,2.3.1;6.2.1;3.1.1;3.1.2;1.2.1;6.1.1;2.3.3;2.3.2;3.5.1;1.2.7;3.7.1;3.2.1;1.2.4;1.8.1;2.1.3;1.1.1;4.1.3;2.3.-;2.8.3;2.5.1;4.4.1;2.1.1;1.-.-;1.2.3;2.6.1;6.1.2;3.5.3;6.3.1;6.3.4;2.1.2;2.2.1;6.3.2;3.4.11,2.3.1.24;2.3.1.-|2.3.1.121|2.3.1.15|2.3.1.16|2.3.1.164|2.3.1.198|2.3.1.199|2.3.1.20|2.3.1.23|2.3.1.24|2.3.1.26|2.3.1.42|2.3.1.51|2.3.1.63|2.3.1.75|2.3.1.76;1.1.1.-|1.2.1.10|1.2.1.18|1.2.1.27|1.2.7.-|1.2.7.1|2.1.1.258|2.3.-.-|2.3.1.-|2.3.1.1|2.3.1.102|2.3.1.107|2.3.1.12|2.3.1.150|2.3.1.157|2.3.1.16|2.3.1.160|2.3.1.162|2.3.1.167|2.3.1.169|2.3.1.175|2.3.1.178|2.3.1.180|2.3.1.182|2.3.1.183|2.3.1.201|2.3.1.202|2.3.1.203|2.3.1.29|2.3.1.30|2.3.1.31|2.3.1.38|2.3.1.4|2.3.1.5|2.3.1.54|2.3.1.57|2.3.1.6|2.3.1.67|2.3.1.7|2.3.1.8|2.3.1.85|2.3.1.86|2.3.1.87|2.3.1.89|2.3.1.9|2.3.3.-|2.3.3.1|2.3.3.10|2.3.3.13|2.3.3.14|2.3.3.3|2.3.3.8|2.3.3.9|3.1.2.1|6.2.1.1|6.2.1.13;1.2.1.27|1.2.7.1|1.2.7.2|2.3.1.-|2.3.1.222|2.3.1.54|2.3.1.8|2.3.1.94|2.3.3.5|6.2.1.1|6.2.1.13|6.2.1.17;1.2.1.-|3.1.2.2;1.2.1.10|1.2.1.57|2.3.1.-|2.3.1.16|2.3.1.19|2.3.1.9|6.2.1.2;3.1.2.4|6.2.1.-|6.2.1.36;6.2.1.-;2.3.1.-;6.2.1.16;2.3.1.-;1.2.7.7|2.3.1.168;2.3.1.16;3.1.2.4;1.2.7.7|2.3.1.168;1.2.1.-|1.2.1.18|1.2.1.75|2.3.1.-|2.3.1.115|2.3.1.146|2.3.1.159|2.3.1.170|2.3.1.171|2.3.1.172|2.3.1.211|2.3.1.214|2.3.1.39|2.3.1.74|2.3.1.85|2.3.1.86|2.3.1.95;1.2.7.7|2.3.1.168;1.2.1.76|1.2.4.2|1.2.7.3|1.8.1.4|2.3.1.-|2.3.1.109|2.3.1.117|2.3.1.16|2.3.1.174|2.3.1.37|2.3.1.46|2.3.1.61|6.2.1.4|6.2.1.5;2.3.1.16;1.2.4.2|1.8.1.4|2.3.1.-|2.3.1.61;1.2.1.18;6.2.1.9;6.2.1.5;2.3.1.93;2.3.1.47|6.2.1.14;2.3.1.16;6.2.1.-;2.3.1.16,2.3.1;1.2.1;3.1.2;2.5.1;2.3.3,2.3.1.75
R02003,2.5.1.20;2.5.1.-|2.5.1.31;2.5.1.103|2.5.1.21|2.5.1.96;2.5.1.89;5.5.1.-|5.5.1.18;2.5.1.39,2.5.1,2.5.1;4.2.3,2.5.1.20;1.3.1.96;2.4.1.137;2.4.2.34;2.1.3.12;4.4.1.20,2.5.1;5.3.99;2.2.1;4.4.1,2.5.1.-|2.5.1.31;2.5.1.103|2.5.1.21|2.5.1.96;2.5.1.20;2.5.1.39;2.5.1.89;5.5.1.-|5.5.1.18,2.5.1,2.5.1;1.5.3;4.4.1;4.2.1;1.5.99;2.3.1;1.14.15;1.5.1;3.1.1;3.3.1;2.1.2;4.1.99;4.1.3;3.3.2;3.5.99;1.4.3;4.3.3;3.5.-;1.3.1;3.7.1;1.1.1;1.8.3,2.5.1.92;2.5.1.10;2.5.1.68;2.5.1.29;2.5.1.1;2.5.1.87;2.5.1.82|2.5.1.83;2.5.1.30;5.3.3.2;2.5.1.90;1.17.1.2;2.5.1.84|2.5.1.85;2.5.1.91;2.5.1.89;2.5.1.31,2.5.1;5.3.3;1.17.1;2.7.1;4.1.1,2.5.1.10
R02009,2.5.1.20;2.5.1.39,4.2.3,4.2.3,2.5.1.41;1.3.1.96;2.4.1.269;2.4.2.34;2.1.3.12;4.4.1.20,2.5.1;5.3.99;5.5.1;4.4.1,2.5.1.20;2.5.1.39,4.5.1,4.2.3;4.1.99;3.1.7,4.2.3.15;4.2.3.47;4.2.3.27;4.2.3.46,4.2.3;3.1.7;5.5.1;5.3.3;2.5.1,4.2.3.15
R02016,1.8.1.9;1.2.1.50;1.8.1.12;1.2.1.106;1.2.1.-|1.2.1.103|1.2.1.ag;1.1.1.-|1.1.1.100,1.8.1,,,1.8.1;1.7.1;1.16.1;1.1.1,1.1.1.-|1.1.1.100;1.2.1.-|1.2.1.103|1.2.1.ag;1.2.1.106;1.2.1.50;1.8.1.12;1.8.1.9,1.8.1,1.1.1;1.1.99;1.1.3;2.3.1;1.1.5;1.6.5;1.6.99;1.1.-;1.14.13;1.1.2;1.6.3;1.6.1;1.14.-;1.11.1;1.14.11;1.1.98;1.4.3;1.-.-;4.2.1;1.14.15;1.2.1;1.1.9;1.3.1,1.-.-.-|1.1.1.-|1.1.1.1|1.1.1.10|1.1.1.100|1.1.1.101|1.1.1.102|1.1.1.120|1.1.1.130|1.1.1.133|1.1.1.137|1.1.1.146|1.1.1.149|1.1.1.153|1.1.1.154|1.1.1.157|1.1.1.169|1.1.1.170|1.1.1.179|1.1.1.184|1.1.1.187|1.1.1.188|1.1.1.189|1.1.1.193|1.1.1.194|1.1.1.195|1.1.1.2|1.1.1.206|1.1.1.207|1.1.1.208|1.1.1.209|1.1.1.21|1.1.1.213|1.1.1.215|1.1.1.216|1.1.1.218|1.1.1.219|1.1.1.220|1.1.1.234|1.1.1.236|1.1.1.243|1.1.1.247|1.1.1.248|1.1.1.25|1.1.1.261|1.1.1.264|1.1.1.266|1.1.1.267|1.1.1.270|1.1.1.271|1.1.1.272|1.1.1.281|1.1.1.282|1.1.1.294|1.1.1.295|1.1.1.298|1.1.1.299|1.1.1.3|1.1.1.300|1.1.1.302|1.1.1.307|1.1.1.312|1.1.1.313|1.1.1.314|1.1.1.318|1.1.1.319|1.1.1.329|1.1.1.330|1.1.1.338|1.1.1.34|1.1.1.341|1.1.1.342|1.1.1.348|1.1.1.351|1.1.1.36|1.1.1.40|1.1.1.42|1.1.1.43|1.1.1.44|1.1.1.47|1.1.1.48|1.1.1.49|1.1.1.50|1.1.1.51|1.1.1.60|1.1.1.62|1.1.1.64|1.1.1.65|1.1.1.71|1.1.1.72|1.1.1.79|1.1.1.81|1.1.1.82|1.1.1.86|1.1.1.94|1.13.12.-|1.14.-.-|1.14.12.-|1.14.12.1|1.14.12.10|1.14.12.18|1.14.12.20|1.14.12.22|1.14.13.-|1.14.13.100|1.14.13.101|1.14.13.104|1.14.13.106|1.14.13.107|1.14.13.109|1.14.13.11|1.14.13.112|1.14.13.117|1.14.13.118|1.14.13.119|1.14.13.12|1.14.13.121|1.14.13.122|1.14.13.123|1.14.13.124|1.14.13.125|1.14.13.126|1.14.13.13|1.14.13.132|1.14.13.133|1.14.13.136|1.14.13.137|1.14.13.138|1.14.13.139|1.14.13.140|1.14.13.143|1.14.13.144|1.14.13.145|1.14.13.148|1.14.13.149|1.14.13.15|1.14.13.154|1.14.13.159|1.14.13.165|1.14.13.168|1.14.13.169|1.14.13.17|1.14.13.2|1.14.13.20|1.14.13.21|1.14.13.22|1.14.13.25|1.14.13.28|1.14.13.30|1.14.13.33|1.14.13.36|1.14.13.38|1.14.13.39|1.14.13.40|1.14.13.41|1.14.13.47|1.14.13.48|1.14.13.49|1.14.13.50|1.14.13.53|1.14.13.59|1.14.13.60|1.14.13.63|1.14.13.68|1.14.13.7|1.14.13.70|1.14.13.71|1.14.13.72|1.14.13.73|1.14.13.76|1.14.13.77|1.14.13.78|1.14.13.79|1.14.13.8|1.14.13.81|1.14.13.84|1.14.13.88|1.14.13.89|1.14.13.9|1.14.13.90|1.14.13.93|1.14.13.95|1.14.13.98|1.14.13.99|1.14.14.1|1.14.15.3|1.14.21.-|1.14.21.1|1.14.21.3|1.14.21.4|1.14.21.5|1.14.21.6|1.14.99.10|1.14.99.9|1.17.1.1|1.17.1.2|1.17.1.3|1.17.1.7|1.17.1.8|1.18.1.2|1.18.1.6|1.2.1.-|1.2.1.11|1.2.1.13|1.2.1.16|1.2.1.18|1.2.1.26|1.2.1.28|1.2.1.3|1.2.1.31|1.2.1.38|1.2.1.4|1.2.1.41|1.2.1.43|1.2.1.44|1.2.1.5|1.2.1.59|1.2.1.63|1.2.1.68|1.2.1.7|1.2.1.70|1.2.1.75|1.2.1.76|1.2.1.79|1.2.1.8|1.2.1.9|1.23.1.-|1.3.1.-|1.3.1.10|1.3.1.13|1.3.1.2|1.3.1.20|1.3.1.21|1.3.1.22|1.3.1.24|1.3.1.3|1.3.1.32|1.3.1.33|1.3.1.38|1.3.1.42|1.3.1.45|1.3.1.54|1.3.1.70|1.3.1.71|1.3.1.72|1.3.1.77|1.3.1.78|1.3.1.79|1.3.1.8|1.3.1.80|1.3.1.81|1.3.1.82|1.3.1.83|1.3.1.84|1.3.1.85|1.3.1.93|1.3.1.96|1.3.1.98|1.3.3.9|1.3.99.6|1.4.1.13|1.4.1.16|1.4.1.21|1.4.1.3|1.4.1.4|1.4.1.8|1.5.1.-|1.5.1.1|1.5.1.10|1.5.1.12|1.5.1.19|1.5.1.2|1.5.1.20|1.5.1.21|1.5.1.3|1.5.1.30|1.5.1.34|1.5.1.38|1.5.1.39|1.5.1.41|1.5.1.43|1.5.1.45|1.5.1.47|1.5.1.5|1.5.1.6|1.5.1.8|1.6.1.1|1.6.1.2|1.6.99.1|1.7.1.-|1.7.1.13|1.7.1.14|1.7.1.2|1.7.1.3|1.7.1.4|1.7.1.7|1.8.1.12|1.8.1.2|1.8.1.7|1.8.1.9|2.1.1.148|2.3.1.170|2.3.1.85|2.3.1.86|2.3.1.94|2.5.1.21|4.2.1.-;1.-.-.-|1.1.1.-|1.1.1.1|1.1.1.103|1.1.1.105|1.1.1.11|1.1.1.121|1.1.1.122|1.1.1.125|1.1.1.127|1.1.1.130|1.1.1.132|1.1.1.136|1.1.1.137|1.1.1.14|1.1.1.140|1.1.1.144|1.1.1.145|1.1.1.149|1.1.1.15|1.1.1.152|1.1.1.154|1.1.1.157|1.1.1.17|1.1.1.175|1.1.1.178|1.1.1.18|1.1.1.181|1.1.1.187|1.1.1.202|1.1.1.205|1.1.1.209|1.1.1.21|1.1.1.211|1.1.1.213|1.1.1.218|1.1.1.22|1.1.1.223|1.1.1.23|1.1.1.239|1.1.1.24|1.1.1.244|1.1.1.245|1.1.1.251|1.1.1.256|1.1.1.26|1.1.1.261|1.1.1.262|1.1.1.27|1.1.1.272|1.1.1.275|1.1.1.28|1.1.1.281|1.1.1.282|1.1.1.284|1.1.1.286|1.1.1.288|1.1.1.29|1.1.1.290|1.1.1.294|1.1.1.295|1.1.1.299|1.1.1.3|1.1.1.30|1.1.1.302|1.1.1.303|1.1.1.305|1.1.1.306|1.1.1.309|1.1.1.31|1.1.1.310|1.1.1.311|1.1.1.312|1.1.1.315|1.1.1.316|1.1.1.329|1.1.1.335|1.1.1.336|1.1.1.337|1.1.1.35|1.1.1.350|1.1.1.37|1.1.1.38|1.1.1.39|1.1.1.4|1.1.1.41|1.1.1.43|1.1.1.45|1.1.1.46|1.1.1.47|1.1.1.48|1.1.1.50|1.1.1.51|1.1.1.53|1.1.1.56|1.1.1.57|1.1.1.58|1.1.1.6|1.1.1.60|1.1.1.61|1.1.1.62|1.1.1.67|1.1.1.71|1.1.1.72|1.1.1.77|1.1.1.78|1.1.1.79|1.1.1.8|1.1.1.81|1.1.1.83|1.1.1.85|1.1.1.87|1.1.1.88|1.1.1.9|1.1.1.90|1.1.1.93|1.1.1.94|1.1.1.95|1.12.1.2|1.12.1.5|1.13.11.-|1.13.12.-|1.14.-.-|1.14.12.-|1.14.12.1|1.14.12.10|1.14.12.11|1.14.12.12|1.14.12.13|1.14.12.18|1.14.12.19|1.14.12.22|1.14.12.3|1.14.12.7|1.14.13.-|1.14.13.1|1.14.13.107|1.14.13.111|1.14.13.113|1.14.13.114|1.14.13.127|1.14.13.129|1.14.13.131|1.14.13.135|1.14.13.141|1.14.13.142|1.14.13.151|1.14.13.163|1.14.13.25|1.14.13.40|1.14.13.72|1.14.13.83|1.14.13.90|1.14.14.1|1.14.14.9|1.14.15.-|1.14.18.1|1.14.19.7|1.14.21.6|1.16.1.3|1.17.1.1|1.17.1.2|1.17.1.4|1.17.1.8|1.18.1.1|1.18.1.3|1.18.1.4|1.2.1.-|1.2.1.10|1.2.1.12|1.2.1.16|1.2.1.18|1.2.1.19|1.2.1.2|1.2.1.20|1.2.1.21|1.2.1.22|1.2.1.23|1.2.1.24|1.2.1.27|1.2.1.28|1.2.1.29|1.2.1.3|1.2.1.31|1.2.1.32|1.2.1.36|1.2.1.39|1.2.1.46|1.2.1.47|1.2.1.5|1.2.1.53|1.2.1.54|1.2.1.57|1.2.1.59|1.2.1.60|1.2.1.64|1.2.1.65|1.2.1.68|1.2.1.71|1.2.1.72|1.2.1.8|1.2.1.86|1.2.4.2|1.3.1.-|1.3.1.12|1.3.1.19|1.3.1.21|1.3.1.24|1.3.1.25|1.3.1.28|1.3.1.29|1.3.1.31|1.3.1.32|1.3.1.43|1.3.1.44|1.3.1.56|1.3.1.58|1.3.1.62|1.3.1.67|1.3.1.68|1.3.1.76|1.3.1.79|1.3.1.87|1.3.1.9|1.3.1.93|1.3.1.98|1.3.8.1|1.4.1.1|1.4.1.14|1.4.1.2|1.4.1.20|1.4.1.21|1.4.1.23|1.4.1.24|1.4.1.3|1.4.1.4|1.4.1.9|1.4.4.2|1.5.1.-|1.5.1.1|1.5.1.12|1.5.1.15|1.5.1.2|1.5.1.20|1.5.1.21|1.5.1.3|1.5.1.34|1.5.1.37|1.5.1.39|1.5.1.41|1.5.1.42|1.5.1.45|1.5.1.7|1.5.1.9|1.5.99.8|1.6.1.1|1.6.1.2|1.6.2.2|1.6.5.2|1.6.5.4|1.7.1.1|1.7.1.10|1.7.1.14|1.7.1.15|1.7.1.2|1.7.1.4|1.7.99.1|1.8.1.4|1.8.1.6|1.8.1.7|2.1.2.10|2.3.1.61|2.3.1.86|3.7.1.-|5.3.3.1,1.8.1;1.6.4;1.8.4;1.11.1;1.21.4,1.8.1.9
R02018,1.17.4.1;1.17.4.2,1.17.4,,1.17.4.1;1.17.1.1;1.17.7.3;1.17.3.2,1.17.4;2.8.1;1.8.4;3.13.1,1.17.4.1;1.17.4.2,1.8.4,1.8.1;1.8.4;1.11.1;1.8.98;1.17.4;1.8.3;2.8.1;1.8.5;2.8.4;1.5.4,1.11.1.20|1.17.4.1|1.17.4.2|1.8.1.9|1.8.4.13|1.8.4.14|1.8.4.8|2.5.1.47|2.5.1.49;1.8.4.2,1.17.4;1.8.4;1.11.1;1.8.1;5.3.4,1.17.4.1
R02021,1.17.4.1;1.17.4.2,2.8.2,,1.8.4.8;1.8.1.9,1.17.4;1.8.4;2.7.3;2.7.1,1.17.4.1;1.17.4.2,1.17.4,,,1.8.4;1.8.5;5.3.4;1.8.3;1.8.1,1.8.4.8
R02024,1.17.4.1;1.17.4.2,1.17.4,,1.17.4.1;1.17.1.1;1.17.7.3;1.17.3.2,1.17.4;2.8.1;3.13.1;1.8.4,1.17.4.1;1.17.4.2,4.4.1,1.8.1;1.8.4;1.11.1;1.8.98;1.17.4;1.8.3;2.8.1;1.8.5;2.8.4;1.5.4,1.11.1.20|1.17.4.1|1.17.4.2|1.8.1.9|1.8.4.13|1.8.4.14|1.8.4.8|2.5.1.47|2.5.1.49;1.8.4.2,1.17.4;1.8.4;1.11.1;1.8.1;5.3.4,1.17.4.1
R02027,3.1.4.-|3.1.4.3;2.7.8.20;3.1.3.4|3.1.3.81;3.1.4.11|3.1.4.3|4.6.1.13,3.1.1,3.1.3,3.1.4.3;3.1.3.4;4.6.1.13;3.6.1.20;4.2.3.1;3.1.1.32;3.1.5.1;3.2.1.42;2.4.1.17;3.1.7.11;3.11.1.2;5.1.3.14;3.1.6.3;3.1.2.4;2.3.1.85;3.7.1.8;4.2.1.155,3.6.1;3.1.1;3.1.3;3.2.1,2.7.8.20;3.1.3.4|3.1.3.81;3.1.4.-|3.1.4.3;3.1.4.11|3.1.4.3|4.6.1.13,3.6.1,2.7.1;3.1.3;3.6.1;2.7.8;2.7.4;2.7.7;3.6.3;2.7.11;3.1.4;2.7.2;2.7.6;2.7.3;3.6.4;3.1.7;4.6.1;2.7.9;3.6.5;3.2.1;2.7.12;2.7.13;2.6.-;2.7.-;4.1.1;2.7.10;1.3.7;1.18.6;4.2.3;3.1.5;2.7.99;2.4.1;5.1.3;1.19.6;3.-.-,3.1.4.3;2.7.8.20;2.7.8.1|3.1.4.3;2.7.-.-;2.7.1.107|2.7.1.174|3.1.3.4|3.1.3.81;2.7.8.1;2.7.8.1|3.1.4.3;2.7.8.2|2.7.8.27|3.1.4.3;2.7.8.1;3.1.4.2|3.1.4.46;3.1.3.4;2.7.8.2;2.7.1.94;3.1.4.39;2.7.8.2;2.7.8.-;2.7.8.2;3.1.4.2|3.1.4.46;3.1.4.-;3.1.3.27,3.1.4;3.6.1;3.1.3;3.2.1;3.1.1,3.1.4.3|3.1.4.-
R02030,2.7.8.41;3.6.1.26;2.7.8.20;3.1.3.27;3.1.4.-|3.1.4.3;5.4.2.2,2.7.8,5.3.1;2.7.7,2.7.7.68;2.7.2.6;2.7.1.94;6.3.5.5;2.7.3.8;2.7.4.26;2.7.11.15;2.7.14.1;2.7.10.1;2.7.12.1;2.7.8.1;2.7.6.1;2.7.99.1,4.2.1;4.4.1;5.4.4;2.3.1,2.7.8.20;2.7.8.41;3.1.3.27;3.1.4.-|3.1.4.3;3.6.1.26;5.4.2.2,2.7.8,,,2.7.8;2.7.1;3.6.1;3.1.3;2.3.1,2.7.8.41
R02037,2.1.1.17;2.1.1.354|2.1.1.355|2.1.1.59|2.1.1.60;2.1.1.60;2.1.1.59;2.1.1.103|2.1.1.16|2.1.1.71;2.1.1.127;2.1.1.15;2.1.1.197,2.1.1,2.1.1,2.1.1.103;2.8.4.4;2.1.3.2;2.3.1.32;2.1.2.13,2.1.1;2.5.1;2.3.1;4.4.1,2.1.1.103|2.1.1.16|2.1.1.71;2.1.1.127;2.1.1.15;2.1.1.17;2.1.1.197;2.1.1.354|2.1.1.355|2.1.1.59|2.1.1.60;2.1.1.59;2.1.1.60,2.1.1,2.1.1;1.14.14;3.1.1;2.3.1;1.5.3;1.14.11;1.5.8;2.-.-;1.16.1;1.14.99;1.14.13;1.2.7;1.5.99;3.7.1,2.-.-.-|2.1.1.-|2.1.1.1|2.1.1.10|2.1.1.101|2.1.1.102|2.1.1.103|2.1.1.104|2.1.1.107|2.1.1.11|2.1.1.111|2.1.1.114|2.1.1.115|2.1.1.116|2.1.1.117|2.1.1.118|2.1.1.12|2.1.1.122|2.1.1.128|2.1.1.130|2.1.1.131|2.1.1.132|2.1.1.133|2.1.1.140|2.1.1.141|2.1.1.143|2.1.1.146|2.1.1.150|2.1.1.151|2.1.1.152|2.1.1.156|2.1.1.157|2.1.1.158|2.1.1.159|2.1.1.16|2.1.1.160|2.1.1.161|2.1.1.162|2.1.1.163|2.1.1.17|2.1.1.171|2.1.1.172|2.1.1.173|2.1.1.174|2.1.1.181|2.1.1.187|2.1.1.188|2.1.1.195|2.1.1.196|2.1.1.197|2.1.1.2|2.1.1.20|2.1.1.201|2.1.1.210|2.1.1.212|2.1.1.222|2.1.1.234|2.1.1.235|2.1.1.239|2.1.1.240|2.1.1.241|2.1.1.254|2.1.1.267|2.1.1.271|2.1.1.28|2.1.1.37|2.1.1.38|2.1.1.4|2.1.1.41|2.1.1.43|2.1.1.49|2.1.1.53|2.1.1.59|2.1.1.6|2.1.1.60|2.1.1.64|2.1.1.67|2.1.1.68|2.1.1.71|2.1.1.76|2.1.1.8|2.1.1.95|2.1.1.96|2.1.1.98;2.5.1.16|2.5.1.22;2.3.1.184|4.4.1.14,2.1.1;4.3.3;1.4.3;1.3.98;1.5.8,2.1.1.103
