reaction_id,BEC-Pred_Prediction,SIMMER_SIMMER pred,SelenzymeRF_All ECs,Scaffold_ground_truth_REACTION_ID,Scaffold_ground_truth_true_EC,merged_output_BEC-Pred_Prediction,merged_output_SIMMER_SIMMER pred,merged_output_SelenzymeRF_All ECs,merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_ec,merged_output_merged_output_theia_Prediction,merged_output_merged_output_ec,merged_output_theia_Prediction,merged_output_ec,theia_Prediction,ec
21473,6.2.1,6.2.1,6.2.1.18;2.3.3.8|4.1.3.6;6.2.1.5,,,6.2.1,6.2.1,6.2.1.18;2.3.3.8|4.1.3.6;6.2.1.5,,,6.2.1,6.2.1,6.2.1.18;2.3.3.8|4.1.3.6;6.2.1.5,,,6.2.1,6.2.1,6.2.1.18;2.3.3.8|4.1.3.6;6.2.1.5,,,6.2.1,6.2.1,6.2.1.18;2.3.3.8|4.1.3.6;6.2.1.5,,,6.2.1,6.2.1,,,6.2.1,6.2.1,,,6.2.1,,,,6.2.1.18,6.2.1.18,6.2.1.18,"6.2.1,0.7708762288093567;2.3.1,0.12047785520553589;3.1.2,0.051754921674728394;2.3.3,0.021343816071748734;1.2.1,0.00872864667326212",6.2.1.18,6.2.1;2.3.1;3.1.2;2.3.3;1.2.1,6.2.1.18,6.2.1;2.3.1;3.1.2;2.3.3;1.2.1,6.2.1.18,6.2.1;2.3.1;3.1.2;2.3.3;1.2.1,6.2.1.18,6.2.1;2.3.1;3.1.2;2.3.3;1.2.1,6.2.1.18
21505,4.1.2,5.3.1,2.3.1.190;2.2.1.1;4.1.2|4.1.2.52|4.1.2.n4|4.1.3.17|4.1.3.39,,,4.1.2,5.3.1,2.3.1.190;2.2.1.1;4.1.2|4.1.2.52|4.1.2.n4|4.1.3.17|4.1.3.39,,,2.6.1,5.3.1,2.3.1.190;2.2.1.1;4.1.2|4.1.2.52|4.1.2.n4|4.1.3.17|4.1.3.39,,,2.6.1,5.3.1,2.3.1.190;2.2.1.1;4.1.2|4.1.2.52|4.1.2.n4|4.1.3.17|4.1.3.39,,,2.6.1,5.3.1,2.3.1.190;2.2.1.1;4.1.2|4.1.2.52|4.1.2.n4|4.1.3.17|4.1.3.39,,,2.6.1,5.3.1,,,2.6.1,5.3.1,,,2.6.1,,,,2.2.1.4,2.2.1.4,2.2.1.4,"2.3.1,0.3902096152305603;4.1.2,0.15852071344852448;5.1.3,0.11498017609119415;2.7.8,0.09229207783937454;2.5.1,0.05321956053376198",2.2.1.4,2.3.1;4.1.2;5.1.3;2.7.8;2.5.1,2.2.1.4,2.3.1;4.1.2;5.1.3;2.7.8;2.5.1,2.2.1.4,2.3.1;4.1.2;5.1.3;2.7.8;2.5.1,2.2.1.4,2.3.1;4.1.2;5.1.3;2.7.8;2.5.1,2.2.1.4
21541,5.3.1,4.1.1,2.4.2.18|4.1.3.27,,,5.3.1,4.1.1,2.4.2.18|4.1.3.27,,,5.3.1,4.1.1,2.4.2.18|4.1.3.27,,,5.3.1,4.1.1,2.4.2.18|4.1.3.27,,,5.3.1,4.1.1,2.4.2.18|4.1.3.27,,,5.1.3,4.1.1,,,5.1.3,4.1.1,,,5.1.3,,,,5.3.1.24,5.3.1.24,5.3.1.24,"5.3.1,0.5204805135726929;1.1.1,0.07346562296152115;4.1.2,0.06119269132614136;2.2.1,0.04751865938305855;5.1.3,0.04743998497724533",5.3.1.24,5.3.1;1.1.1;4.1.2;2.2.1;5.1.3,5.3.1.24,5.3.1;1.1.1;4.1.2;2.2.1;5.1.3,5.3.1.24,5.3.1;1.1.1;4.1.2;2.2.1;5.1.3,5.3.1.24,5.3.1;1.1.1;4.1.2;2.2.1;5.1.3,5.3.1.24
21573,1.13.11,4.1.1,1.13.11.48;1.13.11.53;1.13.11.24;1.13.11.47;1.14.14.18,,,1.13.11,4.1.1,1.13.11.48;1.13.11.53;1.13.11.24;1.13.11.47;1.14.14.18,,,1.13.11,4.1.1,1.13.11.48;1.13.11.53;1.13.11.24;1.13.11.47;1.14.14.18,,,1.13.11,4.1.1,1.13.11.48;1.13.11.53;1.13.11.24;1.13.11.47;1.14.14.18,,,1.13.11,4.1.1,1.13.11.48;1.13.11.53;1.13.11.24;1.13.11.47;1.14.14.18,,,1.13.11,4.1.1,,,1.13.11,4.1.1,,,1.13.11,,,,1.13.11.48,1.13.11.48,1.13.11.48,"1.13.11,0.9337180852890015;4.1.99,0.025746824219822884;1.13.12,0.01016882061958313;1.14.12,0.0063790432177484035;4.1.1,0.005803719162940979",1.13.11.48,1.13.11;4.1.99;1.13.12;1.14.12;4.1.1,1.13.11.48,1.13.11;4.1.99;1.13.12;1.14.12;4.1.1,1.13.11.48,1.13.11;4.1.99;1.13.12;1.14.12;4.1.1,1.13.11.48,1.13.11;4.1.99;1.13.12;1.14.12;4.1.1,1.13.11.48
21601,2.3.1,2.3.1,2.3.1.118;2.3.1.84;2.3.1.302;2.3.1.196;2.3.1.230;2.3.1.71;2.3.1.5;6.2.1.2|6.2.1.25|6.2.1.33;1.2.1.58;2.3.1.177;3.1.2.23;2.3.1.180,,,2.3.1,2.3.1,2.3.1.118;2.3.1.84;2.3.1.302;2.3.1.196;2.3.1.230;2.3.1.71;2.3.1.5;6.2.1.2|6.2.1.25|6.2.1.33;1.2.1.58;2.3.1.177;3.1.2.23;2.3.1.180,,,2.3.1,2.3.1,2.3.1.118;2.3.1.84;2.3.1.302;2.3.1.196;2.3.1.230;2.3.1.71;2.3.1.5;6.2.1.2|6.2.1.25|6.2.1.33;1.2.1.58;2.3.1.177;3.1.2.23;2.3.1.180,,,2.3.1,2.3.1,2.3.1.118;2.3.1.84;2.3.1.302;2.3.1.196;2.3.1.230;2.3.1.71;2.3.1.5;6.2.1.2|6.2.1.25|6.2.1.33;1.2.1.58;2.3.1.177;3.1.2.23;2.3.1.180,,,2.3.1,2.3.1,2.3.1.118;2.3.1.84;2.3.1.302;2.3.1.196;2.3.1.230;2.3.1.71;2.3.1.5;6.2.1.2|6.2.1.25|6.2.1.33;1.2.1.58;2.3.1.177;3.1.2.23;2.3.1.180,,,2.3.1,2.3.1,,,2.3.1,2.3.1,,,2.3.1,,,,2.3.1.144,2.3.1.144,2.3.1.144,"2.3.1,0.9963986873626709;6.2.1,0.0021502093877643347;3.1.2,0.0005947980680502951;2.3.2,0.0002826330892276019;2.3.3,0.00012088326184311882",2.3.1.144,2.3.1;6.2.1;3.1.2;2.3.2;2.3.3,2.3.1.144,2.3.1;6.2.1;3.1.2;2.3.2;2.3.3,2.3.1.144,2.3.1;6.2.1;3.1.2;2.3.2;2.3.3,2.3.1.144,2.3.1;6.2.1;3.1.2;2.3.2;2.3.3,2.3.1.144
21617,2.4.3,2.4.3;2.4.1,2.4.99.1;2.4.99.2;2.4.99.4;2.4.99.3;2.4.99.6;2.4.99.15;2.4.99.14;2.7.8.46;2.4.99.7;2.7.8.14;2.4.99.13;2.4.99.8;2.4.99.11|2.4.99.9;2.7.8.32;2.7.8.11;3.5.4.12;3.2.2.10;2.7.8.39;6.1.2.2;2.7.8.45;2.4.99.12;2.4.1.132;3.2.1.85,,,2.4.3,2.4.3;2.4.1,2.4.99.1;2.4.99.2;2.4.99.4;2.4.99.3;2.4.99.6;2.4.99.15;2.4.99.14;2.7.8.46;2.4.99.7;2.7.8.14;2.4.99.13;2.4.99.8;2.4.99.11|2.4.99.9;2.7.8.32;2.7.8.11;3.5.4.12;3.2.2.10;2.7.8.39;6.1.2.2;2.7.8.45;2.4.99.12;2.4.1.132;3.2.1.85,,,2.7.4,2.4.3;2.4.1,2.4.99.1;2.4.99.2;2.4.99.4;2.4.99.3;2.4.99.6;2.4.99.15;2.4.99.14;2.7.8.46;2.4.99.7;2.7.8.14;2.4.99.13;2.4.99.8;2.4.99.11|2.4.99.9;2.7.8.32;2.7.8.11;3.5.4.12;3.2.2.10;2.7.8.39;6.1.2.2;2.7.8.45;2.4.99.12;2.4.1.132;3.2.1.85,,,2.7.4,2.4.3;2.4.1,2.4.99.1;2.4.99.2;2.4.99.4;2.4.99.3;2.4.99.6;2.4.99.15;2.4.99.14;2.7.8.46;2.4.99.7;2.7.8.14;2.4.99.13;2.4.99.8;2.4.99.11|2.4.99.9;2.7.8.32;2.7.8.11;3.5.4.12;3.2.2.10;2.7.8.39;6.1.2.2;2.7.8.45;2.4.99.12;2.4.1.132;3.2.1.85,,,2.7.4,2.4.3;2.4.1,2.4.99.1;2.4.99.2;2.4.99.4;2.4.99.3;2.4.99.6;2.4.99.15;2.4.99.14;2.7.8.46;2.4.99.7;2.7.8.14;2.4.99.13;2.4.99.8;2.4.99.11|2.4.99.9;2.7.8.32;2.7.8.11;3.5.4.12;3.2.2.10;2.7.8.39;6.1.2.2;2.7.8.45;2.4.99.12;2.4.1.132;3.2.1.85,,,1.3.1,2.4.3;2.4.1,,,1.3.1,2.4.3;2.4.1,,,1.3.1,,,,2.4.3.4,2.4.3.4,2.4.3.4,"2.4.3,0.9426210522651672;2.4.99,0.04959063231945038;3.1.4,0.0018262286903336644;2.7.1,0.0012320720124989748;2.7.8,0.0009550779359415174",2.4.3.4,2.4.3;2.4.99;3.1.4;2.7.1;2.7.8,2.4.3.4,2.4.3;2.4.99;3.1.4;2.7.1;2.7.8,2.4.3.4,2.4.3;2.4.99;3.1.4;2.7.1;2.7.8,2.4.3.4,2.4.3;2.4.99;3.1.4;2.7.1;2.7.8,2.4.3.4
21633,1.10.3,,1.13.11.1;1.10.3.2;1.13.11.2,,,1.10.3,,1.13.11.1;1.10.3.2;1.13.11.2,,,1.13.11,,1.13.11.1;1.10.3.2;1.13.11.2,,,1.13.11,,1.13.11.1;1.10.3.2;1.13.11.2,,,1.13.11,,1.13.11.1;1.10.3.2;1.13.11.2,,,1.14.99,,,,1.14.99,,,,1.14.99,,,,1.10.3.1,1.10.3.1,1.10.3.1,"1.13.11,0.8278971910476685;1.10.3,0.08752959221601486;1.21.3,0.024371838197112083;1.14.15,0.0089564248919487;5.4.4,0.007788908202201128",1.10.3.1,1.13.11;1.10.3;1.21.3;1.14.15;5.4.4,1.10.3.1,1.13.11;1.10.3;1.21.3;1.14.15;5.4.4,1.10.3.1,1.13.11;1.10.3;1.21.3;1.14.15;5.4.4,1.10.3.1,1.13.11;1.10.3;1.21.3;1.14.15;5.4.4,1.10.3.1
21693,3.1.4,2.7.8,2.7.7.39;2.7.8.45;2.7.8.-|2.7.8.44;2.7.8.39;6.3.2.5;2.7.8.8;2.7.8.11;2.7.8.38;2.7.8.1;2.7.8.2;2.5.1.143;2.7.6.1,,,3.1.4,2.7.8,2.7.7.39;2.7.8.45;2.7.8.-|2.7.8.44;2.7.8.39;6.3.2.5;2.7.8.8;2.7.8.11;2.7.8.38;2.7.8.1;2.7.8.2;2.5.1.143;2.7.6.1,,,3.6.1,2.7.8,2.7.7.39;2.7.8.45;2.7.8.-|2.7.8.44;2.7.8.39;6.3.2.5;2.7.8.8;2.7.8.11;2.7.8.38;2.7.8.1;2.7.8.2;2.5.1.143;2.7.6.1,,,3.6.1,2.7.8,2.7.7.39;2.7.8.45;2.7.8.-|2.7.8.44;2.7.8.39;6.3.2.5;2.7.8.8;2.7.8.11;2.7.8.38;2.7.8.1;2.7.8.2;2.5.1.143;2.7.6.1,,,3.6.1,2.7.8,2.7.7.39;2.7.8.45;2.7.8.-|2.7.8.44;2.7.8.39;6.3.2.5;2.7.8.8;2.7.8.11;2.7.8.38;2.7.8.1;2.7.8.2;2.5.1.143;2.7.6.1,,,3.6.1,2.7.8,,,3.6.1,2.7.8,,,3.6.1,,,,3.6.1.16,3.6.1.16,3.6.1.16,"3.6.1,0.9502239227294922;3.1.4,0.03020816296339035;2.7.9,0.005318241193890572;3.1.7,0.0027433065697550774;2.7.1,0.0014004725962877274",3.6.1.16,3.6.1;3.1.4;2.7.9;3.1.7;2.7.1,3.6.1.16,3.6.1;3.1.4;2.7.9;3.1.7;2.7.1,3.6.1.16,3.6.1;3.1.4;2.7.9;3.1.7;2.7.1,3.6.1.16,3.6.1;3.1.4;2.7.9;3.1.7;2.7.1,3.6.1.16
21729,1.1.1,1.1.1,1.11.1.1|1.14.12.17;1.12.1.2|1.12.1.5;1.1.1.22;1.11.1.1|1.11.1.2;1.12.1.3|1.12.1.5;1.3.1.44;1.1.1.-|1.1.1.211|1.1.1.35,,,1.1.1,1.1.1,1.11.1.1|1.14.12.17;1.12.1.2|1.12.1.5;1.1.1.22;1.11.1.1|1.11.1.2;1.12.1.3|1.12.1.5;1.3.1.44;1.1.1.-|1.1.1.211|1.1.1.35,,,1.1.1,1.1.1,1.11.1.1|1.14.12.17;1.12.1.2|1.12.1.5;1.1.1.22;1.11.1.1|1.11.1.2;1.12.1.3|1.12.1.5;1.3.1.44;1.1.1.-|1.1.1.211|1.1.1.35,,,1.1.1,1.1.1,1.11.1.1|1.14.12.17;1.12.1.2|1.12.1.5;1.1.1.22;1.11.1.1|1.11.1.2;1.12.1.3|1.12.1.5;1.3.1.44;1.1.1.-|1.1.1.211|1.1.1.35,,,1.1.1,1.1.1,1.11.1.1|1.14.12.17;1.12.1.2|1.12.1.5;1.1.1.22;1.11.1.1|1.11.1.2;1.12.1.3|1.12.1.5;1.3.1.44;1.1.1.-|1.1.1.211|1.1.1.35,,,1.1.1,1.1.1,,,1.1.1,1.1.1,,,1.1.1,,,,1.1.1.132,1.1.1.132,1.1.1.132,"1.1.1,0.8599501252174377;1.2.1,0.05377623438835144;1.12.1,0.025319620966911316;1.16.1,0.015500092878937721;1.7.1,0.00422632833942771",1.1.1.132,1.1.1;1.2.1;1.12.1;1.16.1;1.7.1,1.1.1.132,1.1.1;1.2.1;1.12.1;1.16.1;1.7.1,1.1.1.132,1.1.1;1.2.1;1.12.1;1.16.1;1.7.1,1.1.1.132,1.1.1;1.2.1;1.12.1;1.16.1;1.7.1,1.1.1.132
21737,5.1.1,5.4.99,5.4.3.3;2.3.1.264;1.4.1.11;5.4.3.5;5.1.1.10|5.1.1.12|5.1.1.9;2.6.1.13;2.3.2.30;2.6.1.36;3.5.1.132;2.6.1.21;3.4.13.4;5.1.1.5|5.1.1.9;5.4.99.58;3.5.1.17;3.4.11.15|3.4.11.6;3.4.16.6|3.4.17.10|3.4.17.12|3.4.17.2|3.4.17.20|3.4.17.22,,,5.1.1,5.4.99,5.4.3.3;2.3.1.264;1.4.1.11;5.4.3.5;5.1.1.10|5.1.1.12|5.1.1.9;2.6.1.13;2.3.2.30;2.6.1.36;3.5.1.132;2.6.1.21;3.4.13.4;5.1.1.5|5.1.1.9;5.4.99.58;3.5.1.17;3.4.11.15|3.4.11.6;3.4.16.6|3.4.17.10|3.4.17.12|3.4.17.2|3.4.17.20|3.4.17.22,,,5.4.99,5.4.99,5.4.3.3;2.3.1.264;1.4.1.11;5.4.3.5;5.1.1.10|5.1.1.12|5.1.1.9;2.6.1.13;2.3.2.30;2.6.1.36;3.5.1.132;2.6.1.21;3.4.13.4;5.1.1.5|5.1.1.9;5.4.99.58;3.5.1.17;3.4.11.15|3.4.11.6;3.4.16.6|3.4.17.10|3.4.17.12|3.4.17.2|3.4.17.20|3.4.17.22,,,5.4.99,5.4.99,5.4.3.3;2.3.1.264;1.4.1.11;5.4.3.5;5.1.1.10|5.1.1.12|5.1.1.9;2.6.1.13;2.3.2.30;2.6.1.36;3.5.1.132;2.6.1.21;3.4.13.4;5.1.1.5|5.1.1.9;5.4.99.58;3.5.1.17;3.4.11.15|3.4.11.6;3.4.16.6|3.4.17.10|3.4.17.12|3.4.17.2|3.4.17.20|3.4.17.22,,,5.4.99,5.4.99,5.4.3.3;2.3.1.264;1.4.1.11;5.4.3.5;5.1.1.10|5.1.1.12|5.1.1.9;2.6.1.13;2.3.2.30;2.6.1.36;3.5.1.132;2.6.1.21;3.4.13.4;5.1.1.5|5.1.1.9;5.4.99.58;3.5.1.17;3.4.11.15|3.4.11.6;3.4.16.6|3.4.17.10|3.4.17.12|3.4.17.2|3.4.17.20|3.4.17.22,,,5.4.99,5.4.99,,,5.4.99,5.4.99,,,5.4.99,,,,5.4.3.3,5.4.3.3,5.4.3.3,"2.6.1,0.9792714715003967;2.1.4,0.004485971760004759;2.3.2,0.0030803873669356108;6.3.2,0.0025083539076149464;1.4.1,0.0015852573560550809",5.4.3.3,2.6.1;2.1.4;2.3.2;6.3.2;1.4.1,5.4.3.3,2.6.1;2.1.4;2.3.2;6.3.2;1.4.1,5.4.3.3,2.6.1;2.1.4;2.3.2;6.3.2;1.4.1,5.4.3.3,2.6.1;2.1.4;2.3.2;6.3.2;1.4.1,5.4.3.3
21745,4.4.1,,2.3.1.184;2.3.1.228;2.3.1.229;2.5.1.152|2.5.1.cg;2.5.1.43;2.5.1.38;2.1.1.342;2.1.1.326;2.3.1.244;2.6.1.62;2.3.1.161;2.1.1.11;2.1.1.294;2.5.1.108;2.5.1.25,,,4.4.1,,2.3.1.184;2.3.1.228;2.3.1.229;2.5.1.152|2.5.1.cg;2.5.1.43;2.5.1.38;2.1.1.342;2.1.1.326;2.3.1.244;2.6.1.62;2.3.1.161;2.1.1.11;2.1.1.294;2.5.1.108;2.5.1.25,,,2.5.1,,2.3.1.184;2.3.1.228;2.3.1.229;2.5.1.152|2.5.1.cg;2.5.1.43;2.5.1.38;2.1.1.342;2.1.1.326;2.3.1.244;2.6.1.62;2.3.1.161;2.1.1.11;2.1.1.294;2.5.1.108;2.5.1.25,,,2.5.1,,2.3.1.184;2.3.1.228;2.3.1.229;2.5.1.152|2.5.1.cg;2.5.1.43;2.5.1.38;2.1.1.342;2.1.1.326;2.3.1.244;2.6.1.62;2.3.1.161;2.1.1.11;2.1.1.294;2.5.1.108;2.5.1.25,,,2.5.1,,2.3.1.184;2.3.1.228;2.3.1.229;2.5.1.152|2.5.1.cg;2.5.1.43;2.5.1.38;2.1.1.342;2.1.1.326;2.3.1.244;2.6.1.62;2.3.1.161;2.1.1.11;2.1.1.294;2.5.1.108;2.5.1.25,,,2.5.1,,,,2.5.1,,,,2.5.1,,,,4.4.1.14,4.4.1.14,4.4.1.14,"2.1.1,0.4950290024280548;2.5.1,0.43489453196525574;4.4.1,0.033328671008348465;1.17.98,0.005346055142581463;4.3.1,0.0048042465932667255",4.4.1.14,2.1.1;2.5.1;4.4.1;1.17.98;4.3.1,4.4.1.14,2.1.1;2.5.1;4.4.1;1.17.98;4.3.1,4.4.1.14,2.1.1;2.5.1;4.4.1;1.17.98;4.3.1,4.4.1.14,2.1.1;2.5.1;4.4.1;1.17.98;4.3.1,4.4.1.14
21881,1.1.3,4.1.1,1.2.2.4;4.1.1.109;4.1.1.108;4.1.1.107;1.3.3.3,,,1.1.3,4.1.1,1.2.2.4;4.1.1.109;4.1.1.108;4.1.1.107;1.3.3.3,,,1.14.11,4.1.1,1.2.2.4;4.1.1.109;4.1.1.108;4.1.1.107;1.3.3.3,,,1.14.11,4.1.1,1.2.2.4;4.1.1.109;4.1.1.108;4.1.1.107;1.3.3.3,,,1.14.11,4.1.1,1.2.2.4;4.1.1.109;4.1.1.108;4.1.1.107;1.3.3.3,,,4.1.1,4.1.1,,,4.1.1,4.1.1,,,4.1.1,,,,1.2.3.4,1.2.3.4,1.2.3.4,"1.2.3,0.6153185367584229;4.1.1,0.12778332829475403;1.15.1,0.08240018784999847;1.1.3,0.07158082723617554;1.2.2,0.029630277305841446",1.2.3.4,1.2.3;4.1.1;1.15.1;1.1.3;1.2.2,1.2.3.4,1.2.3;4.1.1;1.15.1;1.1.3;1.2.2,1.2.3.4,1.2.3;4.1.1;1.15.1;1.1.3;1.2.2,1.2.3.4,1.2.3;4.1.1;1.15.1;1.1.3;1.2.2,1.2.3.4
21909,1.1.1,1.1.1,1.1.1.252;1.11.1.1|1.11.1.2;1.7.1.14;1.12.1.3|1.12.1.5;1.3.1.77;1.8.1.15|1.8.1.9;1.14.13.240;1.6.5.2,,,1.1.1,1.1.1,1.1.1.252;1.11.1.1|1.11.1.2;1.7.1.14;1.12.1.3|1.12.1.5;1.3.1.77;1.8.1.15|1.8.1.9;1.14.13.240;1.6.5.2,,,1.3.1,1.1.1,1.1.1.252;1.11.1.1|1.11.1.2;1.7.1.14;1.12.1.3|1.12.1.5;1.3.1.77;1.8.1.15|1.8.1.9;1.14.13.240;1.6.5.2,,,1.3.1,1.1.1,1.1.1.252;1.11.1.1|1.11.1.2;1.7.1.14;1.12.1.3|1.12.1.5;1.3.1.77;1.8.1.15|1.8.1.9;1.14.13.240;1.6.5.2,,,1.3.1,1.1.1,1.1.1.252;1.11.1.1|1.11.1.2;1.7.1.14;1.12.1.3|1.12.1.5;1.3.1.77;1.8.1.15|1.8.1.9;1.14.13.240;1.6.5.2,,,1.1.1,1.1.1,,,1.1.1,1.1.1,,,1.1.1,,,,1.1.1.252,1.1.1.252,1.1.1.252,"1.1.1,0.39825260639190674;1.14.13,0.30462008714675903;1.3.1,0.20337368547916412;4.1.99,0.01613481529057026;1.5.1,0.010933819226920605",1.1.1.252,1.1.1;1.14.13;1.3.1;4.1.99;1.5.1,1.1.1.252,1.1.1;1.14.13;1.3.1;4.1.99;1.5.1,1.1.1.252,1.1.1;1.14.13;1.3.1;4.1.99;1.5.1,1.1.1.252,1.1.1;1.14.13;1.3.1;4.1.99;1.5.1,1.1.1.252
21969,4.2.3,,4.2.3.154;3.1.3.29;2.5.1.57;2.5.1.54|2.5.1.55,,,4.2.3,,4.2.3.154;3.1.3.29;2.5.1.57;2.5.1.54|2.5.1.55,,,4.2.3,,4.2.3.154;3.1.3.29;2.5.1.57;2.5.1.54|2.5.1.55,,,4.2.3,,4.2.3.154;3.1.3.29;2.5.1.57;2.5.1.54|2.5.1.55,,,4.2.3,,4.2.3.154;3.1.3.29;2.5.1.57;2.5.1.54|2.5.1.55,,,4.2.3,,,,4.2.3,,,,4.2.3,,,,4.2.3.4,4.2.3.4,4.2.3.4,"3.1.3,0.8620601296424866;4.2.1,0.05940204858779907;4.2.3,0.025271836668252945;4.1.3,0.00999403279274702;6.4.1,0.007078072987496853",4.2.3.4,3.1.3;4.2.1;4.2.3;4.1.3;6.4.1,4.2.3.4,3.1.3;4.2.1;4.2.3;4.1.3;6.4.1,4.2.3.4,3.1.3;4.2.1;4.2.3;4.1.3;6.4.1,4.2.3.4,3.1.3;4.2.1;4.2.3;4.1.3;6.4.1,4.2.3.4
22029,2.3.1,2.3.1,2.3.1.180,,,2.3.1,2.3.1,2.3.1.180,,,2.3.1,2.3.1,2.3.1.180,,,2.3.1,2.3.1,2.3.1.180,,,2.3.1,2.3.1,2.3.1.180,,,2.3.1,2.3.1,,,2.3.1,2.3.1,,,2.3.1,,,,2.3.1.162,2.3.1.162,2.3.1.162,"2.3.1,0.9996645450592041;3.1.2,0.00010077739716507494;2.3.2,8.852668543113396e-05;2.3.3,7.743291644146666e-05;6.2.1,3.4783457522280514e-05",2.3.1.162,2.3.1;3.1.2;2.3.2;2.3.3;6.2.1,2.3.1.162,2.3.1;3.1.2;2.3.2;2.3.3;6.2.1,2.3.1.162,2.3.1;3.1.2;2.3.2;2.3.3;6.2.1,2.3.1.162,2.3.1;3.1.2;2.3.2;2.3.3;6.2.1,2.3.1.162
22089,2.7.4,2.7.9,2.7.6.5;2.7.7.79;6.3.4.19,,,2.7.4,2.7.9,2.7.6.5;2.7.7.79;6.3.4.19,,,2.7.4,2.7.9,2.7.6.5;2.7.7.79;6.3.4.19,,,2.7.4,2.7.9,2.7.6.5;2.7.7.79;6.3.4.19,,,2.7.4,2.7.9,2.7.6.5;2.7.7.79;6.3.4.19,,,2.7.4,2.7.9,,,2.7.4,2.7.9,,,2.7.4,,,,2.7.6.5,2.7.6.5,2.7.6.5,"2.7.7,0.9038478136062622;2.7.4,0.08355706930160522;2.5.1,0.007113697938621044;3.1.7,0.0011929384199902415;4.6.1,0.0010161293903365731",2.7.6.5,2.7.7;2.7.4;2.5.1;3.1.7;4.6.1,2.7.6.5,2.7.7;2.7.4;2.5.1;3.1.7;4.6.1,2.7.6.5,2.7.7;2.7.4;2.5.1;3.1.7;4.6.1,2.7.6.5,2.7.7;2.7.4;2.5.1;3.1.7;4.6.1,2.7.6.5
