Reaction ID,Theia
R09385,"1.14.13,0.9999094009399414;1.14.14,4.6217679482651874e-05;3.3.2,1.961894304258749e-05;3.1.7,1.6460038750665262e-05;1.14.15,2.493695319571998e-06"
R00424,"3.5.4,0.9999822378158569;3.5.99,7.946224286570214e-06;4.2.1,3.503549805827788e-06;1.5.99,1.3906500271332334e-06;1.14.14,1.0965229648718378e-06"
R10549,"1.2.1,0.9988009929656982;1.3.1,0.0010792287066578865;1.1.1,5.296220479067415e-05;1.8.1,3.8101796235423535e-05;1.5.1,9.214129931933712e-06"
R08603,"3.7.1,0.9946194887161255;4.2.1,0.002900063991546631;1.1.1,0.0014012244064360857;1.2.3,0.0002330701390746981;1.11.1,0.00010809100785991177"
R07673,"5.1.3,0.84605473279953;1.1.1,0.07962549477815628;5.3.1,0.017672223970294;2.3.1,0.010803736746311188;2.7.4,0.009074919857084751"
R02718,"2.5.1,0.762090265750885;2.3.1,0.11424656957387924;5.1.1,0.04689604416489601;2.7.1,0.013232733123004436;2.7.4,0.010243697091937065"
R11881,"1.16.3,0.9999774694442749;1.9.3,8.986784450826235e-06;1.13.12,2.1764410575997317e-06;1.14.15,1.8262045387018588e-06;1.14.19,1.3634363540404593e-06"
R12866,"2.5.1,0.9970834851264954;2.3.1,0.0017160424031317234;4.2.1,0.000684552185703069;5.3.99,0.0003247527056373656;1.14.13,8.399735816055909e-05"
R10292,"2.4.2,0.9999837875366211;2.3.1,1.4307495803222992e-05;2.7.6,9.913154599416885e-07;5.1.3,5.289118121254432e-07;2.4.-,2.486994219452754e-07"
R10469,"4.3.3,0.5838412642478943;1.5.5,0.19057266414165497;4.1.99,0.07569166272878647;1.2.5,0.027391137555241585;1.1.5,0.017873823642730713"
R00710,"1.2.1,0.9983389377593994;1.1.1,0.0010514239547774196;1.2.3,0.0001739303261274472;1.5.1,8.13967635622248e-05;1.4.1,5.704214709112421e-05"
R09251,"2.5.1,0.5552419424057007;5.3.3,0.43925556540489197;1.17.1,0.002744365483522415;2.7.1,0.0008159137796610594;4.1.1,0.0002686071675270796"
R03898,"3.6.1,0.9993664622306824;3.1.4,0.0002551956567913294;4.2.1,0.00022105869720689952;3.1.3,6.179400224937126e-05;3.4.11,4.517480556387454e-05"
R08237,"2.4.2,0.5010387301445007;2.7.8,0.48880666494369507;2.3.1,0.0028677748050540686;3.2.2,0.002294392790645361;1.1.1,0.002183847827836871"
R12683,"1.3.-,0.9953774213790894;4.4.1,0.001820137957111001;4.99.1,0.0013320960570126772;1.14.14,0.0005736381281167269;4.2.1,0.00035150538315065205"
R02227,"2.7.1,0.8437520265579224;2.7.4,0.13096526265144348;2.1.1,0.019621189683675766;6.2.1,0.0037144599482417107;2.7.2,0.00035106210270896554"
R13189,"3.5.1,0.7462674379348755;2.7.1,0.25053173303604126;2.7.4,0.0016097967745736241;2.7.11,0.0011449053417891264;2.1.1,0.00029175891540944576"
R03094,"2.4.1,0.9914761185646057;2.3.1,0.00776757812127471;3.1.1,0.0003152400895487517;6.2.1,0.00020959282119292766;2.7.7,6.71881643938832e-05"
R00928,"2.3.1,0.7901533842086792;2.8.3,0.13743579387664795;3.1.1,0.06668836623430252;2.7.2,0.00217134109698236;1.2.3,0.001280199154280126"
R07796,"2.3.1,0.7317163348197937;2.8.3,0.24833978712558746;4.2.1,0.019096817821264267;4.1.2,0.0006351616466417909;3.1.2,5.707553282263689e-05"
R12298,"2.3.1,0.9299901723861694;2.5.1,0.04444260150194168;1.1.1,0.022358058020472527;4.1.3,0.0011138387490063906;2.6.1,0.0009217524202540517"
R02473,"6.2.1,0.9391313791275024;6.3.1,0.01472529862076044;2.7.1,0.011235825717449188;4.1.1,0.009703990072011948;6.3.2,0.008184264414012432"
R12879,"1.14.99,0.7474444508552551;1.14.13,0.24859122931957245;1.14.14,0.0021377992816269398;1.14.15,0.00068660854594782;1.6.3,0.00041120086098089814"
R12686,"3.5.1,0.298260360956192;1.4.3,0.2458939105272293;3.5.4,0.2378651201725006;3.5.99,0.10333319753408432;2.4.2,0.022747790440917015"
R11426,"1.3.1,0.9999802112579346;1.1.1,8.487007107760292e-06;1.6.5,3.357353762112325e-06;2.5.1,1.2360724213067442e-06;5.3.3,9.34319473344658e-07"
R09417,"3.3.2,0.918600857257843;3.1.3,0.04212627559900284;4.2.1,0.02553618885576725;1.14.14,0.007056435104459524;3.4.11,0.0018605489749461412"
R12188,"4.4.1,0.9998434782028198;4.1.99,8.736112795304507e-05;2.5.1,2.9720378734054975e-05;1.4.1,1.1613034075708129e-05;1.8.2,9.73076112131821e-06"
R12329,"3.1.2,0.9997444748878479;6.2.1,0.00014347716933116317;3.1.1,6.682037928840145e-05;2.3.1,4.217448440613225e-05;1.2.1,2.1205942175583914e-06"
R12941,"3.1.2,0.5456306338310242;2.5.1,0.16737578809261322;3.4.19,0.11386074870824814;3.13.1,0.053963057696819305;4.4.1,0.047471784055233"
R00483,"6.3.1,0.683338463306427;3.5.1,0.1567608267068863;6.3.5,0.13138101994991302;3.4.19,0.02166876383125782;2.3.2,0.0016768540954217315"
R06978,"2.3.1,0.9872892498970032;6.2.1,0.010464353486895561;2.6.1,0.0017904856940731406;6.3.4,0.00013210379984229803;2.3.3,7.653591455891728e-05"
R01377,"4.1.1,0.9997957348823547;1.1.1,0.0001036973117152229;2.3.1,3.297397415735759e-05;1.2.7,1.726741720631253e-05;4.1.3,9.831669558479916e-06"
R03390,"2.3.1,0.9448970556259155;1.2.7,0.04291350394487381;3.5.1,0.008093683049082756;2.1.2,0.00249657710082829;2.7.8,0.00022920816263649613"
R11340,"1.14.11,0.956980288028717;4.1.1,0.026804540306329727;1.4.11,0.007358465809375048;1.14.20,0.00631289929151535;2.6.1,0.0021927827037870884"
R10303,"2.4.1,0.9972565770149231;3.2.1,0.0012686398113146424;2.4.2,0.0006112330593168736;2.7.7,0.00021811018814332783;2.3.1,0.00019205178250558674"
R02930,"3.5.1,0.7918772101402283;6.3.4,0.207565039396286;3.5.3,0.00010336026025470346;6.3.5,9.529678209219128e-05;3.4.11,5.1211849495302886e-05"
R09752,"2.7.7,0.5440545082092285;2.7.4,0.4110555350780487;3.1.3,0.012259234674274921;2.1.1,0.007213984150439501;2.4.2,0.006615284830331802"
R06110,"1.1.1,0.8115343451499939;5.3.1,0.15767022967338562;4.2.1,0.010126287117600441;1.1.-,0.004007096868008375;1.-.-,0.0039931307546794415"
R03503,"2.7.6,0.9434592127799988;2.5.1,0.014614476822316647;2.7.1,0.012593396939337254;2.4.2,0.010311459191143513;4.1.2,0.007473554462194443"
R03688,"4.2.1,0.9908932447433472;5.3.99,0.004351549316197634;1.1.1,0.002925010398030281;5.5.1,0.0008651192765682936;3.2.1,0.00027223469805903733"
R11143,"2.1.1,0.3390214741230011;1.14.14,0.204014852643013;2.7.4,0.17305666208267212;1.97.1,0.06483040750026703;1.14.99,0.060422156006097794"
R11143,"2.1.1,0.3390214741230011;1.14.14,0.204014852643013;2.7.4,0.17305666208267212;1.97.1,0.06483040750026703;1.14.99,0.060422156006097794"
R08667,"1.14.-,0.9273030757904053;4.4.1,0.06823449581861496;4.3.1,0.0020633742678910494;2.5.1,0.0009900913573801517;1.1.1,0.0003426739131100476"
R10539,"1.14.11,0.9967619180679321;1.14.20,0.0029732463881373405;1.4.11,0.0001882012002170086;1.1.5,1.61281022883486e-05;1.2.4,9.894611139316112e-06"
R01621,"4.1.2,0.989367663860321;2.2.1,0.008901434950530529;1.2.99,0.0005214140401221812;1.2.1,0.0003228902642149478;1.2.7,0.00015745617565698922"
R03177,"1.2.1,0.9182432293891907;1.1.1,0.07613247632980347;1.5.1,0.0025635624770075083;1.2.3,0.0012541664764285088;1.4.1,0.000716918264515698"
R12559,"3.2.1,0.9651577472686768;5.1.3,0.014238025061786175;3.1.1,0.005104734096676111;2.4.1,0.0034672904293984175;2.7.7,0.002140530152246356"
R04339,"1.5.1,0.9993934631347656;1.1.1,0.00022945122327655554;2.3.1,0.0001046764082275331;1.2.1,9.310148016083986e-05;1.14.13,7.28897939552553e-05"
R01930,"3.1.6,0.5482607483863831;3.12.1,0.38936540484428406;3.10.1,0.019427910447120667;3.7.1,0.012527033686637878;3.4.17,0.002113627502694726"
R11150,"1.14.13,0.9998132586479187;1.14.12,0.0001130219388869591;1.14.14,7.060049392748624e-05;1.14.-,9.850712103798287e-07;1.13.12,7.881726560299285e-07"
R02769,"2.5.1,0.999854326248169;4.2.1,5.1905648433603346e-05;2.3.1,4.477914990275167e-05;4.1.3,2.6723275368567556e-05;5.3.99,6.209724688233109e-06"
R03393,"3.1.3,0.9409447312355042;3.6.1,0.033975761383771896;3.2.1,0.012618903070688248;3.1.4,0.0035861434880644083;3.1.1,0.0031487459782510996"
R11266,"1.1.1,0.9933797121047974;1.-.-,0.0013436535373330116;1.8.1,0.0010521534131839871;1.6.5,0.0007448745309375226;1.14.13,0.0007093259482644498"
R02011,"4.2.3,0.94728022813797;5.5.1,0.052704550325870514;4.3.2,9.71929603110766e-06;3.1.7,3.0127216632536147e-06;4.2.1,1.8141687405659468e-06"
R00483,"6.3.1,0.683338463306427;3.5.1,0.1567608267068863;6.3.5,0.13138101994991302;3.4.19,0.02166876383125782;2.3.2,0.0016768540954217315"
R06207,"3.2.1,0.9797835350036621;4.2.1,0.014457355253398418;2.3.1,0.004841563757508993;5.3.1,0.0005058027454651892;3.1.3,0.0001367817458231002"
R10075,"1.1.1,0.493580162525177;1.3.1,0.47410860657691956;1.2.1,0.03171483427286148;1.6.5,0.00022679341782350093;5.3.3,0.00013805289927404374"
R01870,"2.4.2,0.9912464022636414;2.7.8,0.004171231761574745;2.3.1,0.00261530838906765;3.2.2,0.0016612057806923985;2.6.1,8.944409637479112e-05"
R02925,"1.1.99,0.9666492342948914;5.4.99,0.021262826398015022;3.2.1,0.003800655947998166;1.3.8,0.002269031712785363;1.14.14,0.0018293324392288923"
R06976,"2.7.3,0.999874472618103;3.9.1,0.00012386545131448656;2.1.1,1.2757865306411986e-06;3.-.-,1.1178966019542713e-07;2.7.13,4.6522000474169545e-08"
R01054,"3.2.1,0.7179991602897644;3.6.1,0.26172441244125366;3.1.4,0.010821443982422352;3.1.3,0.004746528342366219;3.1.1,0.0022606218699365854"
R02430,"2.7.1,0.9978252649307251;2.7.2,0.0008844862459227443;2.1.1,0.00046578911133110523;3.6.1,0.00016982709348667413;3.1.3,0.0001420000771759078"
R06831,"1.14.12,0.9999878406524658;1.3.1,9.777190825843718e-06;1.14.13,1.8137475308321882e-06;1.14.-,4.46755791472242e-07;1.14.19,3.3819208766772135e-08"
R13305,"2.6.1,0.5735475420951843;5.1.1,0.1517224758863449;5.1.99,0.09990367293357849;2.3.1,0.0850239098072052;2.7.8,0.03597511723637581"
R05354,"1.14.12,0.5047078728675842;1.3.1,0.3978254199028015;1.1.1,0.07936743646860123;1.-.-,0.014257481321692467;5.4.4,0.0018265731632709503"
R00733,"1.3.1,0.9997475743293762;5.4.99,0.00023068067093845457;1.1.1,9.746348951011896e-06;1.3.99,5.789679107692791e-06;4.2.1,2.823589056788478e-06"
R12734,"2.3.1,0.9999099969863892;4.1.1,6.476142152678221e-05;1.1.1,1.2330476238275878e-05;3.1.2,5.792519459646428e-06;1.2.4,1.726313939798274e-06"
R07945,"1.14.14,0.641907811164856;1.14.13,0.3455357849597931;1.17.3,0.0043168808333575726;1.17.5,0.0013991936575621367;1.-.-,0.0008296449086628854"
R07779,"1.14.13,0.9924375414848328;1.14.18,0.0057030958123505116;1.14.19,0.00046472373651340604;1.14.14,0.0003663356474135071;1.14.15,0.0003127843083348125"
R02478,"2.4.1,0.999995231628418;2.4.2,3.1732197385281324e-06;2.7.7,5.903752935410012e-07;3.1.1,4.41542397311423e-07;3.2.1,2.548828490489541e-07"
R04051,"2.6.1,0.9574229717254639;1.4.11,0.026062684133648872;1.4.1,0.01183411292731762;2.3.1,0.0007676940876990557;2.1.1,0.00046608183765783906"
R07242,"2.1.1,1.0;1.-.-,4.369789807778801e-10;2.3.1,1.909834616842243e-11;6.3.2,1.5925574661096453e-12;4.1.1,8.935226690487408e-13"
R11199,"2.3.1,0.998845100402832;6.2.1,0.0011471746256574988;2.5.1,2.1468690647452604e-06;6.3.2,1.050193191076687e-06;1.3.1,9.34329307256121e-07"
R12198,"3.1.1,0.7909296751022339;3.5.1,0.13223661482334137;3.4.17,0.028875751420855522;3.2.1,0.010958405211567879;3.1.2,0.006860041059553623"
R04641,"1.14.19,0.5412691235542297;3.5.1,0.2892056703567505;3.2.1,0.0704759731888771;3.5.4,0.04236815124750137;3.6.1,0.021353453397750854"
R02428,"3.1.1,0.996594250202179;3.7.1,0.002335327910259366;3.1.2,0.000396098243072629;3.5.1,0.00012984707427676767;3.1.8,8.28630436444655e-05"
R03429,"2.7.1,0.9999059438705444;2.7.4,4.368315057945438e-05;4.6.1,2.808832323353272e-05;3.1.3,7.124756393750431e-06;2.3.1,5.444453563541174e-06"
R11942,"3.2.1,0.9999963045120239;2.4.1,1.7042186755134026e-06;3.7.1,5.414051429397659e-07;5.1.3,2.4482716298734886e-07;3.1.4,2.3731226406198402e-07"
R05684,"1.1.1,0.9996956586837769;1.1.99,0.00016908188990782946;1.3.1,3.845747050945647e-05;2.7.1,2.4616112568764947e-05;1.-.-,1.6060181224020198e-05"
R00265,"1.2.4,0.6349050402641296;1.2.1,0.23463119566440582;2.3.1,0.10413703322410583;1.8.1,0.022465545684099197;1.1.1,0.0024351433385163546"
R12329,"3.1.2,0.9997444748878479;6.2.1,0.00014347716933116317;3.1.1,6.682037928840145e-05;2.3.1,4.217448440613225e-05;1.2.1,2.1205942175583914e-06"
R09911,"5.4.99,0.9999985694885254;1.14.13,9.902378224069253e-07;4.2.1,2.1864552479655686e-07;5.4.4,6.391184825815799e-08;5.4.1,2.222167516663376e-08"
R03828,"2.3.1,0.13771121203899384;2.7.4,0.1075223982334137;2.4.1,0.07033617049455643;5.1.3,0.06864075362682343;2.7.8,0.04989010840654373"
R07250,"2.3.1,0.9999982118606567;3.1.2,1.4358571434058831e-06;1.2.3,2.6855354917643126e-07;3.1.1,4.737499281759483e-08;6.2.1,1.608413313647361e-08"
R11862,"2.3.2,0.7397663593292236;4.3.2,0.23154327273368835;2.3.1,0.011309231631457806;6.2.1,0.003271280089393258;4.1.1,0.0015162734780460596"
R09946,"2.7.1,0.6015014052391052;2.7.4,0.31134673953056335;2.1.1,0.08211225271224976;2.7.7,0.0018705002730712295;6.2.1,0.001184621243737638"
R05114,"2.4.99,0.8211253881454468;3.1.3,0.1252744495868683;2.7.7,0.023213323205709457;2.3.2,0.02229170873761177;3.1.4,0.0020035146735608578"
R09552,"1.1.99,0.9993699193000793;1.1.2,0.0005529093323275447;1.1.1,4.118337528780103e-05;1.1.5,2.2367066776496358e-05;1.-.-,3.4857785067288205e-06"
R10105,"1.2.1,0.9306342601776123;1.1.1,0.05672765150666237;1.5.1,0.008678833022713661;1.4.1,0.0006315120845101774;1.14.13,0.0005912478663958609"
R06690,"1.14.13,0.7225483655929565;1.14.14,0.196898952126503;1.14.99,0.07722683995962143;1.14.15,0.0012053794926032424;1.14.-,0.0005885494174435735"
R03438,"2.3.1,0.9997653365135193;3.1.2,0.0001983043912332505;3.1.1,3.3719414204824716e-05;6.2.1,1.3292327594172093e-06;2.5.1,3.187792287917546e-07"
R11926,"6.2.1,0.9929592609405518;2.3.1,0.006755474489182234;3.1.2,0.00015778967645019293;5.1.99,7.043311052257195e-05;6.3.2,1.1064647878811229e-05"
R09613,"2.1.1,1.0;2.3.1,2.2570162405699534e-10;2.5.1,2.1087548374154608e-11;1.3.98,6.264863194188619e-12;4.3.3,5.753239464695303e-12"
R03032,"4.2.1,0.9812255501747131;3.2.1,0.007994068786501884;3.7.1,0.0041119735687971115;1.1.1,0.0018808587919920683;4.1.3,0.0009065328631550074"
R02631,"2.7.1,0.9999960660934448;2.7.3,2.1339044451451628e-06;2.7.13,1.3273781860334566e-06;2.7.11,2.8639405513786187e-07;2.3.1,5.886574072633266e-08"
R02349,"1.1.1,0.9899795055389404;1.3.1,0.006660068407654762;2.3.1,0.0011964223813265562;1.14.14,0.0005644472548738122;1.-.-,0.00040522607741877437"
R03592,"1.1.1,0.9999814033508301;1.3.1,7.391348844976164e-06;1.-.-,2.7376070192985935e-06;1.8.1,1.9839171727653593e-06;1.6.5,1.241918084815552e-06"
R00421,"1.1.1,0.9927622675895691;1.2.1,0.004656151868402958;1.14.13,0.00034717106609605253;1.8.1,0.00029103420092724264;1.17.1,0.00027324233087711036"
R07376,"2.7.8,0.9995155334472656;3.1.4,0.00022514161537401378;3.1.3,8.769200940150768e-05;2.6.1,7.182190893217921e-05;2.3.1,2.2163536414154805e-05"
R10242,"1.3.1,0.769719660282135;1.3.99,0.22459305822849274;1.1.1,0.00513802096247673;1.3.3,0.00021926536282990128;1.3.8,0.00010118998761754483"
R02119,"2.4.2,0.9999760389328003;2.4.-,1.1806841030193027e-05;2.7.6,5.406942364061251e-06;3.2.2,2.296681941515999e-06;2.3.1,1.1303764040349051e-06"
R05757,"2.1.1,1.0;2.3.1,5.461671696502246e-13;4.3.3,1.808331181194292e-13;6.3.2,7.814069351427463e-14;2.5.1,5.837528811031278e-14"
R00434,"4.6.1,0.8670641183853149;3.1.4,0.10802365094423294;2.7.1,0.018792152404785156;3.6.1,0.003550740424543619;6.2.1,0.0006504441262222826"
R05635,"1.1.1,0.4499073922634125;1.11.1,0.27970173954963684;3.1.1,0.16229398548603058;2.3.1,0.06865805387496948;2.5.1,0.019883062690496445"
R13133,"4.99.1,0.4059334099292755;3.5.5,0.1531798392534256;4.2.1,0.1444031298160553;5.3.99,0.0832320898771286;5.99.1,0.048162586987018585"
R08190,"3.1.2,0.9574896693229675;3.1.1,0.016434019431471825;2.3.1,0.010376030579209328;1.2.1,0.005117138382047415;1.2.3,0.0035724169574677944"
R05864,"4.2.1,0.999272882938385;3.7.1,0.0007019355543889105;4.1.3,7.527883553848369e-06;5.4.4,4.9778768698161e-06;1.1.1,3.5873522392648738e-06"
R12749,"3.1.4,0.9543442726135254;3.6.1,0.041828833520412445;3.1.26,0.0018115289276465774;4.6.1,0.0009041449520736933;3.2.1,0.00023956953373271972"
R02489,"4.1.1,0.9989625215530396;2.7.11,9.711979510029778e-05;1.13.11,9.125578799284995e-05;1.2.3,8.593200618634e-05;2.7.1,7.046599057503045e-05"
R11051,"1.1.1,0.9983515739440918;5.3.1,0.0009478338761255145;1.-.-,0.00019043197971768677;1.2.1,9.516565478406847e-05;4.2.1,8.161372534232214e-05"
R10016,"2.1.1,0.9923737645149231;6.5.1,0.007581536192446947;1.8.5,1.4606498552893754e-05;2.3.1,1.1860987797263078e-05;1.14.13,5.680617960024392e-06"
R00669,"3.5.1,0.9918031096458435;2.3.1,0.0031577832996845245;3.1.1,0.002525649731978774;3.4.11,0.0008867584983818233;3.1.2,0.0003840631106868386"
R03178,"4.1.1,0.9964447617530823;2.6.1,0.0022758187260478735;1.1.1,0.0003544639330357313;4.1.3,0.0001814320421544835;1.1.-,0.00016056674940045923"
R10350,"1.14.13,0.9528063535690308;1.14.14,0.041477836668491364;1.14.99,0.004544073715806007;1.-.-,0.0005615350091829896;1.14.-,0.00027200477779842913"
R10442,"3.6.1,0.9950509667396545;3.1.3,0.0027286869008094072;3.-.-,0.0016529234126210213;3.1.4,0.0003993396821897477;3.6.2,0.00011871416063513607"
R01064,"4.1.2,0.9924282431602478;2.2.1,0.0072262887842953205;4.1.3,0.00021942453167866915;4.4.1,3.080124588450417e-05;2.7.6,2.3318303647101857e-05"
R02465,"4.2.2,0.9998160004615784;3.2.1,0.0001840279728639871;2.3.1,2.2680293199073276e-08;5.4.1,1.4027283778972333e-09;2.4.1,3.5460304137480136e-10"
R04024,"2.3.1,0.9999911785125732;2.4.1,3.4487566153984517e-06;6.2.1,2.3164325284597e-06;3.1.2,1.442533857698436e-06;3.1.1,1.025678102450911e-06"
R01914,"1.4.3,0.9378770589828491;1.5.3,0.051395807415246964;4.1.99,0.0033314027823507786;1.14.18,0.0013281527208164334;3.5.4,0.0012572240084409714"
R03996,"2.7.7,0.6173999309539795;2.4.1,0.3785878121852875;1.1.3,0.0009273742325603962;2.7.8,0.0005643012700602412;5.3.1,0.0005375631735660136"
R03095,"6.3.2,0.684579610824585;2.3.2,0.11783871054649353;6.2.1,0.05562279000878334;2.7.1,0.03184911981225014;3.5.1,0.030453061684966087"
R02238,"6.3.4,0.9963361024856567;3.5.4,0.0009853802621364594;1.5.1,0.0007060850039124489;2.1.2,0.0005264744395390153;3.5.1,0.0004704507009591907"
R01739,"1.1.1,0.9401779770851135;1.1.99,0.054401107132434845;1.1.5,0.004843490663915873;1.1.3,0.0003356554370839149;1.1.-,6.191545980982482e-05"
R00635,"1.2.3,0.9225852489471436;1.17.3,0.014748734422028065;1.11.1,0.011573736555874348;1.2.1,0.01082929503172636;1.11.2,0.0062327915802598"
R07279,"2.7.1,0.9796172976493835;2.7.4,0.015891099348664284;3.1.3,0.0041977716609835625;3.6.1,0.00012880620488431305;2.1.1,3.286320134066045e-05"
R08404,"3.1.1,0.5807546973228455;2.7.1,0.1500699818134308;2.3.1,0.13229775428771973;5.4.2,0.07600221782922745;2.7.2,0.03778165206313133"
R12995,"2.4.1,0.999961256980896;2.7.7,3.1024388590594754e-05;2.4.2,1.6858137996678124e-06;2.3.1,1.3422073834590265e-06;2.7.1,1.1207569059479283e-06"
R01941,"1.2.1,0.9989715814590454;1.3.1,0.0008155922405421734;1.1.1,8.090904884738848e-05;1.8.1,6.884740287205204e-05;1.6.5,1.3391173524723854e-05"
R01385,"2.3.1,0.8213480710983276;1.1.1,0.07380978018045425;5.1.3,0.05547608807682991;4.2.1,0.012443545274436474;5.3.1,0.008421390317380428"
R12821,"2.1.1,0.9999573230743408;4.3.99,2.0802563085453585e-05;2.5.1,6.160525117593352e-06;1.3.-,5.346744728740305e-06;1.-.-,5.1272782002342865e-06"
R00892,"1.8.1,0.9127000570297241;1.6.4,0.05364476144313812;1.11.1,0.022822104394435883;1.8.4,0.0032109932508319616;1.1.1,0.0022554637398570776"
R07295,"2.3.1,0.13771121203899384;2.7.4,0.1075223982334137;2.4.1,0.07033617049455643;5.1.3,0.06864075362682343;2.7.8,0.04989010840654373"
R02709,"2.4.1,0.9947308301925659;3.2.1,0.004061083775013685;2.7.7,0.0006622352520935237;5.1.3,0.000327433692291379;2.4.2,9.74425274762325e-05"
R10470,"6.3.3,0.9970394968986511;1.4.99,0.001194919808767736;2.7.3,0.0007650761981494725;1.5.99,0.0006329615716822445;1.4.3,0.0002655576099641621"
R01669,"2.1.2,0.9929976463317871;3.5.4,0.00552619993686676;3.5.99,0.00032577087404206395;3.2.1,0.00026666856138035655;6.3.4,0.0002618456492200494"
R06131,"4.3.1,0.9971791505813599;1.4.3,0.0021834850776940584;1.4.1,0.0003663492389023304;2.5.1,7.680210546823218e-05;2.6.1,7.574809569632635e-05"
R03478,"2.7.1,0.5946652293205261;2.7.4,0.3466925323009491;6.2.1,0.020394545048475266;2.1.1,0.00891904253512621;2.7.2,0.007206223905086517"
R00846,"1.1.3,0.9430089592933655;1.1.99,0.04704318940639496;1.1.5,0.00923122651875019;1.3.3,0.00016913886065594852;1.7.3,0.00014448861475102603"
R00004,"3.6.1,0.9723233580589294;3.1.3,0.01423106249421835;3.1.4,0.006104655098170042;3.-.-,0.004182765726000071;3.6.2,0.001120632397942245"
