reaction_id,SIMMER_SIMMER pred,SelenzymeRF2_All ECs,SelenzymeRF_Top EC,Theia_predicted_label,Theia_confidence,Theia_timestamp,BEC-Pred_Prediction,ec
MNXR185910,1.14.19,1.14.19.52;1.2.2.4;1.14.14.156;1.14.14.36;1.14.14.42;1.13.12.24;1.14.14.117;1.14.14.43;1.14.14.103;1.14.14.89;1.14.14.140;1.14.14.48;1.13|1.13.12.19;1.14.14.55;1.2.3.4;1.13.12.6;1.2.3.3;1.14.14.98;1.14.14.81;1.14.19.76;1.14.14.80;1.14.14.17;1.14.14.82;1.14.14.90,1.14.19.52,1.14.19,0.99999976,2025-05-02 10:32:37,1.14.19,1.14.19.52
MNXR189231,2.7.4|2.7.1,2.7.1.127;2.7.1.151;2.7.1.127|2.7.1.159;2.7.1.134|2.7.4.21;2.7.1.158;2.3.1.193;2.7.1.72;2.7.1.130,2.7.1.127,2.7.1,0.9995981,2025-05-02 10:32:37,2.7.1,2.7.1.151
MNXR176886,1.13.99|1.1.3,1.1.99.31;1.1.1.110;1.1.1.397;1.1.1.112|1.1.1.184|1.1.1.213|1.1.1.50|1.1.1.62|1.3.1.20;1.1.1.112|1.1.1.184|1.1.1.51;1.1.1.184|1.1.1.209|1.1.1.213|1.1.1.50;1.1.1.112;1.1.1|1.1.1.79|1.1.1.81|1.1.1.86,1.1.99.31,1.13.99,0.9317426,2025-05-02 10:32:37,4.1.2,1.13.99.3
MNXR181300,1.1.1,1.1.1.71;1.1.1.168|1.1.1.214|1.1.1.358;1.1.1.-|1.1.1.100|2.3.1.85|2.3.1.86;1.14.13.105;1.1.1.417;1.1.1.1,1.1.1.71,1.1.1,0.9999863,2025-05-02 10:32:37,1.1.1,1.1.1.71
MNXR146865,6.3.2,2.7.10.2|2.7.11.1|2.7.11.12|2.7.11.13|2.7.11.17,2.7.10.2|2.7.11.1|2.7.11.12|2.7.11.13|2.7.11.17,2.7.11,0.80707145,2025-05-02 10:32:37,2.7.11,2.7.11|2.7.11.1|2.7.11.13|2.7.11.24|7.2.2.8
MNXR107895,1.14.12,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.12.23;1.14.13.29|1.14.13.n7;1.14.12.10;1.14.13.223;1.6.5.4;1.14.13.69;1.14.13.87;1.14.13.25;1.14.13.26;1.14.13.113,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3,1.14.13,0.9963098,2025-05-02 10:32:37,1.14.13,1.14.13.29
MNXR147407,5.3.1,5.3.1.5,5.3.1.5,5.3.1,0.99998784,2025-05-02 10:32:37,5.3.1,5.3.1.4
MNXR181006,1.17.5,1.6.5.2|1.6.99.6,1.6.5.2|1.6.99.6,1.17.5,0.94364876,2025-05-02 10:32:37,2.8.3,1.17.5.1
MNXR146284,1.14.99,1.14.14.94;1.14.14.154;1.14.14.19;1.14.14.16;1.14.14.48;1.14.14.17;1.14.14.43;1.14.14.80;1.14.14.177;1.14.14.81,1.14.14.94,1.14.14,0.9501852,2025-05-02 10:32:37,1.14.14,1.14.14.94
MNXR112007,3.1.1,2.4.1.210;2.5.1.64;3.1.1.109;3.1.1.81;2.4.1.326;5.5.1.27;3.1.1.107;2.4.1.17;2.3.1.-|2.3.1.243,2.4.1.210,3.1.1,0.9982418,2025-05-02 10:32:37,4.2.1,3.1.1.36
MNXR133052,1.1.1,1.2.1.-|1.2.1.3;1.14.14.22;1.14.12|1.14.12.12;1.14.12.22;1.14.13.44;1.2.1.78;1.1.1.256;1.1.1.1,1.2.1.-|1.2.1.3,1.2.1,0.9647955,2025-05-02 10:32:37,1.2.1,1.2.1.3
MNXR166757,5.3.2,5.3.2.6;3.5.99.11;3.5.99.5;4.1.1.77;1.13.11.2;4.1.1.68;3.7.1.8;2.8.3.12;1.2.1.85;1.2.1.32|1.2.1.85;5.3.3.10;3.7.1.9;5.2.1.1;4.2.1.132;1.13.11.39;5.3.2.2;1.1.1.37,5.3.2.6,5.3.2,0.82778144,2025-05-02 10:32:37,5.3.2,5.3.2.-
MNXR188207,1.1.1,1.1.1.211|1.1.1.35,1.1.1.211|1.1.1.35,1.1.1,0.9991924,2025-05-02 10:32:37,1.1.1,1.1.1.211|1.1.1.35
MNXR163963,1.3.3,1.14.14.48;1.14.14.49;1.14.14.43;1.14.14.16;1.14.14.19;1.14.14.154;1.14.14.80;1.14.14.42;1.14.14.55;1.14.14.103;1.14.14.81;1.14.14.140;1.14.19.76;1.14.14.177;1.14.14.98;1.14.14.89;1.14.14.17,1.14.14.48,1.14.14,0.9993278,2025-05-02 10:32:37,1.14.14,1.14.14.49
MNXR169194,6.2.1,6.2.1.1|6.2.1.17,6.2.1.1|6.2.1.17,6.2.1,0.99969983,2025-05-02 10:32:37,6.2.1,6.2.1.2
MNXR187046,1.14.99,1.14.99.60;1.10.3.11;1.14.11.60;1.8.3.5;1.14.13.240;1.14.14.154,1.14.99.60,1.14.-,0.7049915,2025-05-02 10:32:37,1.14.99,1.14.99.60
MNXR192211,,1.14.14.15;1.14.19.56;1.3.99.3;2.1.1.74,1.14.14.15,1.17.99,0.9799921,2025-05-02 10:32:37,1.17.99,1.17.99.5
MNXR180021,2.4.1,2.4.1.252;2.4.1.132;2.4.1.142;2.4.1.131;2.4.1.83;2.4.1.13;2.4.1.-|2.4.1.32;2.4.1.-|2.4.1.266;2.4.1.232;2.4.1.217;2.4.1.270;2.4.1.36;2.4.1.251;2.4.1.346;2.4.1.345;2.4.1.269;2.4.1.370;2.4.1.348;2.4.1.361;2.4.1.246;2.4.1.221,2.4.1.252,2.4.1,0.9991479,2025-05-02 10:32:37,2.4.1,2.4.1.131
MNXR192712,2.8.1,6.2.1.68;6.2.1.67;6.2.1.63;6.2.1.66;6.2.1.50;6.2.1.62;6.2.1.57;6.2.1.51;6.2.1.53;2.3.1.244;1.2.1.31|1.2.1.95;6.2.1.46;6.2.1.20;6.2.1.47;2.3.1.161;6.2.1.35;6.2.1.22;6.2.1.1|6.2.1.17,6.2.1.68,6.2.1,0.9996412,2025-05-02 10:32:37,2.3.1,6.2.1.63
MNXR172513,2.3.1,2.3.1.87;2.3.1.180,2.3.1.87,2.3.1,0.97248656,2025-05-02 10:32:37,2.3.1,2.3.1.87
MNXR133647,1.1.1,1.1.1.168|1.1.1.214|1.1.1.358;1.1.1.169|1.1.1.86,1.1.1.168|1.1.1.214|1.1.1.358,1.1.1,0.99830747,2025-05-02 10:32:37,1.1.1,1.1.1.184
MNXR191311,1.1.1,1.1.1.211|1.1.1.35,1.1.1.211|1.1.1.35,1.1.1,0.99956864,2025-05-02 10:32:37,1.1.1,1.1.1|1.1.1.35
MNXR181993,1.1.1,1.1.1.124;1.11.1.1|1.11.1.2;1.6.3.2;1.12.1.3|1.12.1.5;1.1.1.14;1.1.1.346;1.1.1.120;1.6.5.4;1.1.1.359;1.1.1.413;1.1.1.179;1.1.1.-|1.1.1.215;1.1.1.21;1.1.1.-|1.1.1.274;1.1.1.47|1.1.1.49,1.1.1.124,1.1.1,0.69452643,2025-05-02 10:32:37,1.1.1,1.1.1.124
MNXR129131,1.3.1,1.3.1.48;1.11.1.1|1.11.1.2;1.6.3.2;1.12.1.3|1.12.1.5;1.3.1.10;1.1.1.-|1.1.1.100|2.3.1.85|2.3.1.86;1.3.1.-|1.3.1.10|1.3.1.104|1.3.1.39|2.3.1.86;1.1.1.184,1.3.1.48,1.3.1,0.9767363,2025-05-02 10:32:37,1.1.1,1.3.1.48
MNXR182604,2.4.1,2.4.1.241;2.4.1.46;2.4.1.274;2.4.1.315;2.4.1.80;2.4.1.228;2.4.1.47;2.4.1.62;2.4.1.86;2.4.1.275;2.4.1.208;2.4.1.134;2.4.1.66;2.4.1.186;2.4.1.87;2.4.1.133;2.4.1.38;2.4.1.37;2.4.1.315|2.4.1.336,2.4.1.241,2.4.1,0.99695337,2025-05-02 10:32:37,2.4.1,2.4.1.241
MNXR144965,2.1.2,2.1.2.10,2.1.2.10,2.1.2,0.9999894,2025-05-02 10:32:37,2.1.2,2.1.2.10
MNXR140617,1.14.99,1.14.99.63;5.2.1.-|5.2.1.14;1.14.15.24;1.3.99.39;1.3.99.40;5.5.1.19;1.14.13.90;1.13.11.75;5.2.1.-|5.2.1.13;1.3.5.6;5.5.1.18;1.3.8.2;1.13.11.51,5.2.1.-|5.2.1.14,1.3.99,0.9018251,2025-05-02 10:32:37,1.3.99,1.1.99
MNXR177726,1.8.7,2.5.1.47|2.5.1.49;1.8.5.5|1.8.5.8;2.8.1.5;1.8.2.5;2.8.1.3;2.8.1.1,2.5.1.47|2.5.1.49,1.8.7,0.76873857,2025-05-02 10:32:37,2.8.1,2.8.1.-
MNXR192044,3.5.1,3.5.1.108,3.5.1.108,2.3.1,0.99388784,2025-05-02 10:32:37,3.1.1,3.5.1.108
MNXR170772,2.7.8,2.5.1.145;3.1.4.3,2.5.1.145,2.7.8,0.99797636,2025-05-02 10:32:37,2.7.8,2.5.1.145
MNXR113301,5.3.2,5.1.3.13;5.1.3.27;5.1.3.25;2.6.1.33;2.4.1.325;5.1.3.2;2.6.1.90;4.2.1.-|4.2.1.159;1.1.1.133;1.1.1.364;1.1.1.344;1.1.1.266;4.2.1.46,5.1.3.13,5.3.2,0.5265076,2025-05-02 10:32:37,5.1.3,5.3.2.3
MNXR150986,1.1.99,1.14.14.130;1.14.14.80;1.14.14.177;1.14.14.154;1.14.14.48;1.14.14.19;1.14.14.16;1.14.14.43;1.14.14.42;1.14.14.103;1.14.14.17;1.14.14.98;1.14.14.89;1.14.14.55;1.14.14.81,1.14.14.130,1.14.14,0.99567246,2025-05-02 10:32:37,1.14.14,1.14.14.130
MNXR193771,3.1.3,2.3.1.241;2.3.1.242;2.4.1.329;3.1.4.57;2.4.1.31;2.4.1.279;2.5.1.54;2.7.1.130,2.3.1.241,3.1.3,0.9899671,2025-05-02 10:32:37,3.1.3,3.1.3.M11
MNXR195408,3.1.3,3.1.3.25;3.1.3.25|3.1.3.57;2.7.1.64;2.4.1.20;2.4.1.8;2.4.1.31;2.4.1.279;2.4.1.320;2.4.1.281;3.1.4.57;3.1.3.62;3.1.3.57|3.1.3.7;2.4.1.282;2.4.1.230;3.1.3.64,3.1.3.25,3.1.3,0.9934069,2025-05-02 10:32:37,3.1.3,3.1.3.25
MNXR120404,1.1.1|1.14.13,1.8.1.15|1.8.1.9;1.1.1.318;1.6.99.1;1.1.1.346;1.1.1.272;1.1.1.375;1.6.5.2,1.8.1.15|1.8.1.9,1.1.1,0.99654084,2025-05-02 10:32:37,1.1.1,1.1.1
MNXR116226,,1.14.15.4;1.14.15.36;1.14.19.27;1.14.19.23;1.14.19.42;1.14.19.35;1.14.19.43;1.14.19.45;1.14.19.36;1.14.19.28;1.14.19.2;1.14.19.26;1.14.19.11;1.14.15.38;1.14.15.14;1.14.15.35;1.14.15.30;1.2.7.11;1.14.15.33;1.14.99.22;1.2.7.12,1.14.15.4,1.14.-,0.75138646,2025-05-02 10:32:37,1.14.15,1.14.15
MNXR165706,2.3.1,2.3.1|2.3.1.39|2.3.1.74,2.3.1|2.3.1.39|2.3.1.74,2.3.1,0.9953616,2025-05-02 10:32:37,2.3.1,2.3.1.78
MNXR188922,2.5.1,2.5.1.3,2.5.1.3,2.5.1,0.99995244,2025-05-02 10:32:37,2.5.1,2.5.1.3
MNXR148457,,4.2.1.22;5.1.1.1|5.1.1.10|5.1.1.18,4.2.1.22,4.4.1,0.31888273,2025-05-02 10:32:37,5.1.1,2.8.1.4
MNXR193196,2.1.1,2.1.1.132;2.1.1.28;2.1.1.53;2.1.1.103;2.1.1.163,2.1.1.132,2.1.1,0.99999964,2025-05-02 10:32:37,2.1.1,2.1.1.M76
MNXR107636,1.1.1,1.1.1.130;1.1.1.346;1.6.3.2;1.11.1.1|1.11.1.2;1.12.1.3|1.12.1.5;1.6.5.4;1.1.1.21;1.1.1.-|1.1.1.215;1.1.1.179;1.1.1.272;1.1.1.375;1.1.1.25,1.1.1.130,1.1.1,0.99923193,2025-05-02 10:32:37,1.1.1,1.1.1.130
MNXR173592,2.3.1,2.3.1.72;3.2.1.74;2.4.1.25|2.4.1.8|3.2.1.20|4.2.1.131;3.2.1.20|3.2.1.70;4.2.2.12;3.2.1.114;2.4.1.99;3.2.1.107;3.2.1.23,2.3.1.72,2.3.1,0.9945833,2025-05-02 10:32:37,2.3.1,2.3.1.-
MNXR103361,2.7.11|2.7.1,2.7.1.35;2.7.1.49;2.7.1.29;2.7.1.217;2.7.1.209;2.7.1.231,2.7.1.35,2.7.1,0.9997986,2025-05-02 10:32:37,2.7.1,2.7.1.35
MNXR117106,1.3.1|1.2.1,1.2.1.80;1.2.1.42;1.2.1|1.2.1.50;1.1.1.100|2.3.1.-;2.3.1.86;1.1.1.100|2.3.1.85|2.3.1.86;1.2.1.84;1.3.1.10|1.3.1.39|2.3.1.85|2.3.1.86;1.3.1.10|1.3.1.104|1.3.1.39;1.1.1.212;1.3.1.9,1.2.1.80,1.2.1,0.99889934,2025-05-02 10:32:37,1.2.1,1.2.1.80
MNXR130361,1.8.1,2.3.1.41;1.7.1.4;1.14.14.18|1.14.99.3;1.8.1.2|1.8.2.2;1.14.99.9;1.8.2.2,2.3.1.41,1.1.1,0.38169459,2025-05-02 10:32:37,1.3.1,1.1.1
MNXR149347,2.7.4|2.7.1,2.7.4.21|2.7.4.24;2.7.4.23;6.5.1.9;2.7.1.66;2.7.4.1,2.7.4.21|2.7.4.24,2.7.4,0.8394512,2025-05-02 10:32:37,2.7.4,2.7.4.21
MNXR147424,2.3.1,2.3.1.207;2.3.1.301;2.3.1.51;2.3.1.23;2.3.1.41;2.3.1.119;2.3.1.26,2.3.1.207,2.3.1,0.9814519,2025-05-02 10:32:37,2.3.1,2.3.1.70
MNXR145190,2.4.1,2.4.1.58;2.4.1.44|2.4.1.73;2.7.1.166;2.7.1.130,2.4.1.58,2.4.1,0.9989436,2025-05-02 10:32:37,2.4.1,2.4.1.56
MNXR135228,2.7.1,2.7.1.107;2.7.4.6,2.7.1.107,2.7.1,0.99973196,2025-05-02 10:32:37,2.7.1,2.7.1.67
MNXR116932,3.4.19,3.4.19.16;6.3.2.2,3.4.19.16,3.4.19,0.96443796,2025-05-02 10:32:37,3.4.19,3.4.19.16
MNXR181516,1.1.1,1.1.1.71;1.14.13.240;1.14.13.105;1.1.1.1,1.1.1.71,1.1.1,0.99960405,2025-05-02 10:32:37,1.1.1,1.1.1.71
MNXR111485,2.3.2|2.3.1,2.3.1.16,2.3.1.16,3.1.2,0.99547774,2025-05-02 10:32:37,3.1.2,3.1.2.20|3.2.1.-
MNXR151705,2.7.1|2.7.2,2.7.1.4;6.3.2.34;2.7.1.76;2.7.1.3;2.7.1.81;2.7.1.74;2.7.2.2;6.2.1.13;2.7.1.113;2.7.1.190;2.7.4.6,2.7.1.4,2.7.11,0.53930223,2025-05-02 10:32:37,2.7.1,2.7.1.81
MNXR146006,2.5.1|4.2.3,2.5.1.-|2.5.1.31;2.5.1.32;4.2.3.17;3.1.7.4;4.2.3.8;2.5.1.41;4.2.3.144,2.5.1.-|2.5.1.31,2.5.1,0.87763315,2025-05-02 10:32:37,2.5.1,2.5.1.32|2.5.1.99
MNXR173388,2.3.1,2.4.1.299|2.4.1.300;3.2.1.175;3.2.1.161|3.2.1.21,2.4.1.299|2.4.1.300,2.3.1,0.9970401,2025-05-02 10:32:37,2.3.1,2.3.1.143
MNXR172903,2.1.1,2.1.1.144|2.1.1.145;2.1.1.373;2.1.1.326;2.1.1.141;2.1.1.80;2.1.1.77;2.1.1.12,2.1.1.144|2.1.1.145,2.1.1,0.99908245,2025-05-02 10:32:37,2.1.1,2.1.1.145
MNXR108734,2.7.4,2.1.2|2.1.2.-|6.3.1.21,2.1.2|2.1.2.-|6.3.1.21,6.3.3,0.9954645,2025-05-02 10:32:37,6.3.4,6.3.3.1
MNXR112737,1.1.1,1.1.1|1.8.1.9;1.14.13.240;1.8.1.15|1.8.1.9;1.1.1.100,1.1.1|1.8.1.9,1.1.1,0.995178,2025-05-02 10:32:37,1.1.1,1.1.1.-
MNXR183578,2.3.1,2.3.1.51;2.3.1.23;2.3.1.301;2.3.1.22;2.3.1.207;2.3.1.41,2.3.1.51,2.3.1,0.99999857,2025-05-02 10:32:37,2.3.1,2.3.1.51
MNXR113271,2.1.1,2.1.1.240;2.1.1.232;2.1.1.6;2.1.1.303;2.1.1.302;2.1.1.279;2.1.1.339;2.1.1.155|2.1.1.75;2.1.1.231;2.1.1.212;2.1.1.132;2.1.1.212|2.1.1.46;2.1.1.42;2.1.1.146;2.1.1.270;2.1.1.94;2.1.1.38;2.1.1.241;2.1.1.293;2.1.1.338;2.1.1.169|2.1.1.68;2.1.1.104;2.1.1.128;2.1.1.336;2.1.1.88;2.1.1.65;2.1.1.267;2.1.1.53,2.1.1.240,2.1.1,0.99896955,2025-05-02 10:32:37,2.1.1,2.1.1.240
MNXR146653,,1.3.1.98,1.3.1.98,2.5.1,0.71685326,2025-05-02 10:32:37,2.5.1,2.5.1.7
MNXR143972,2.4.2|2.4.1,2.4.2.50;2.4.1.239;2.4.1.-|2.4.1.297;2.4.1.13;2.4.1.271;2.4.1.236;2.4.2.51;2.4.1.254;2.4.1.90;2.4.1.287;2.4.1.264;2.4.1.309;2.4.1.22;2.4.1.293;2.4.1.203|2.4.2.40;2.4.2.40;2.4.1.159;2.4.1.-|2.4.1.291;2.4.1.-|2.4.1.292;2.4.1|2.4.1.58;2.4.1.141;2.4.1|2.4.1.44;2.4.1.288;2.4.1.227,2.4.2.50,2.4.1,0.99993014,2025-05-02 10:32:37,2.4.1,2.4.1
MNXR109062,1.5.3,1.6.3.1;1.1.3.15;1.4.3.3;1.3.3.6;1.8.3.5;1.3.3.16;1.4.3.13;1.2.3.1,1.6.3.1,1.5.3,0.9999715,2025-05-02 10:32:37,1.3.3,1.3.3.8|1.5.3.12
MNXR184628,2.7.8,2.7.8.26,2.7.8.26,2.7.8,1.0,2025-05-02 10:32:37,2.7.8,2.7.8.26
MNXR120826,2.4.1,2.4.1.83;2.4.1.54;2.7.7.69|2.7.7.78;2.7.7.22|2.7.7.69;2.4.1.142;2.4.1.251;2.4.1.132;2.4.1.131;2.4.1.117;2.4.1.153;2.4.1.308;2.7.7.13;2.7.4.8,2.4.1.83,2.4.1,0.5721128,2025-05-02 10:32:37,2.4.1,2.4.1.M6
MNXR112783,1.1.1|1.14.13,1.1.1.170|1.1.1.270|1.14.13.72|1.14.18.9;1.6.3.2;1.14.12.1;1.14.13.175;1.14.-.-|1.14.13.232|1.14.13.233;1.14.13.224;1.14.13.217;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.-|1.14.13.168,1.1.1.170|1.1.1.270|1.14.13.72|1.14.18.9,1.14.13,0.7131114,2025-05-02 10:32:37,1.14.13,1.14.13.-
MNXR110190,1.3.99,1.14.13.105;1.1.1.275;1.1.1|1.1.1.243;1.2.1.5;4.2.3.87;1.3.1.82;1.1.1.71;1.14.14.99;4.2.3.159;4.2.3.21;4.2.3.164|4.2.3.ek;4.2.3.199;4.2.3.117;4.2.3.61;4.2.3.9;1.14.13.107;4.2.3.51;1.14.20.-|1.14.20.3;4.2.3.73;4.2.3.-|4.2.3.126;4.2.3.62;4.2.3.116;4.2.3.83;4.2.3.-|4.2.3.129;4.2.3.161;4.2.3.139;4.2.3.198|4.2.3.66;4.2.3.90;4.2.3.37;1.3.1.105;4.2.3.120;4.2.3.24;4.2.3.195;1.17.99.3;4.2.3.7;4.2.3.172;4.2.3.98;4.2.3.64;4.2.1.-|4.2.1.137;1.3.1.81;4.2.3.204;4.2.3.110;4.2.3.109;4.2.3.22,1.14.13.105,1.3.99,0.9975017,2025-05-02 10:32:37,1.3.99,1.3.99.25
MNXR121955,2.6.1,1.4.99.6;1.4.3.-|1.4.3.2|1.4.3.25;1.4.3.3;1.4.1.25;2.6.1.84;4.4.1.1;4.3.1.12;2.6.1.21;4.3.1.15|4.3.1.18,1.4.99.6,1.4.99,0.979891,2025-05-02 10:32:37,1.4.99,1.4.99.-|1.4.99.6
MNXR153745,5.1.3,5.1.3.3;5.1.3.44;3.2.1.22;2.7.1.1|2.7.1.15;2.7.1.204,5.1.3.3,5.1.3,0.8631429,2025-05-02 10:32:37,5.1.3,5.1.3.3
MNXR148613,2.3.1,2.3.1.43;2.3.1.23;3.1.1.4,2.3.1.43,2.3.1,0.7884257,2025-05-02 10:32:37,2.3.1,2.3.1.83
MNXR119853,2.5.1|2.5.1,2.5.1.137;2.5.1.136;2.5.1.75,2.5.1.137,2.5.1,0.9991781,2025-05-02 10:32:37,2.5.1,2.5.1
