Reaction ID,Isomeric_SMILES,EC Number
59573,[NH3+]CCCC(=O)N[C@@H](CC1=CNC=N1)C(=O)[O-].[H]O[H]>>[NH3+]CCCC(=O)[O-].[NH3+][C@@H](CC1=CNC=N1)C(=O)[O-],3.4.13.20
19966,C[S+](C)CCC(=O)[O-]>>C=CC(=O)[O-].CSC.[H+],4.4.1.3
53641,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]>>[H][C@@]12CCC(C)=C[C@]1([H])[C@H](C(C)C)CC=C2C.O=P([O-])([O-])OP(=O)([O-])O,4.2.3.162
74472,COC1=CC=C(/C=C2/C(=O)NC3=C(C=CC=C3)C(=O)N2C)C=C1.O=C([O-])CCC(=O)[O-].O=C=O.[H]O[H]>>COC1=CC=C(C[C@H]2C(=O)NC3=C(C=CC=C3)C(=O)N2C)C=C1.O=C([O-])CCC(=O)C(=O)[O-].O=O,1.14.11.81
22237,O=P([O-])([O-])OC[C@H]1OC(O)C[C@@H](O)[C@@H]1O.[H]O[H]>>OC[C@H]1OC(O)C[C@@H](O)[C@@H]1O.O=P([O-])([O-])O,3.1.3.68
19262,C=CC1=C(C)/C2=C/C3=C(C=C)C(C)=C4/C=C5/C(C)=C(CCC(=O)[O-])C6=[N+]5[Fe-2]5(N43)N3C(=C6)C(CCC(=O)[O-])=C(C)/C3=C/C1=[N+]25.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H]O[H]>>C=CC1=C(C)/C2=C/C3=C(C=C)C(C)=C4/C=C5/C(C)=C(CCC(=O)[O-])C6=[N+]5[Fe-2]5(N43)N3C(=C6)C(CCC(=O)[O-])=C(C)/C3=C/C1=[N+]25.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.O=P([O-])([O-])O.[H+],7.6.2.5
41577,CC1=CN([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O[C@@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)O2)C(=O)NC1=O.CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C>>CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C.CC1=CN([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O2)C(=O)NC1=O.[H+],2.4.1.328
12802,*N[C@@H](COP(=O)([O-])[O-])C(*)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+]>>*N[C@@H](CO)C(*)=O.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,2.7.11.26
16314,CC(=O)OCC(O)C#CC1=CC=C(C2=CC=CS2)S1.CC(=O)[O-].[H+]>>CC(=O)OCC(C#CC1=CC=C(C2=CC=CS2)S1)OC(C)=O.[H]O[H],3.1.1.66
74476,COC1=CC=C(/C=C2/C(=O)NC3=C(C=CC=C3)C(=O)N2C)C=C1.O=C([O-])CCC(=O)C(=O)[O-].O=O>>COC1=CC=C([C@H]2O[C@]23C(=O)NC2=CC=CC=C2C(=O)N3C)C=C1.O=C([O-])CCC(=O)[O-].O=C=O,1.14.11.81
21889,CC/C=C\C[C@@H]1C(=O)C=C[C@@H]1CCCCCCCC(=O)[O-].NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+]>>CC/C=C\C[C@@H]1C(=O)CC[C@@H]1CCCCCCCC(=O)[O-].NC(=O)C1=CC=C[N+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](N4C=NC5=C4N=CN=C5N)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)=C1,1.3.1.42
19942,COC1=CC2=C(C=C1O)C(CC1=CC=C(O)C=C1)[NH2+]CC2.NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O.[H+]>>OC1=CC=C(CC2[NH2+]CCC3=C2C=C(O)C(O)=C3)C=C1.C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1O,2.1.1.128
51801,CCC(C)C(=O)C1=C([O-])C(CC=C(C)C)=C(O)C(CC=C(C)C)(CC=C(C)C)C1=O.O=P([O-])([O-])OP(=O)([O-])O.[H+]>>CCC(C)C(=O)C1=C(O)C(CC=C(C)C)=C(O)C(CC=C(C)C)=C1O.CC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-],2.5.1.137
24249,[H]C(=O)C(=O)[O-].C[C@H]([NH3+])C(=O)[O-]>>[NH3+]CC(=O)[O-].CC(=O)C(=O)[O-],2.6.1.44
19990,CSC[C@H]1O[C@H](OP(=O)([O-])[O-])[C@H](O)[C@@H]1O>>CSC[C@@H](O)[C@@H](O)C(=O)COP(=O)([O-])[O-],5.3.1.23
43565,[H]C(=O)C1=CC(COP(=O)([O-])[O-])=CO1.C[C@H]([NH3+])C(=O)[O-]>>[NH3+]CC1=CC(COP(=O)([O-])[O-])=CO1.CC(=O)C(=O)[O-],2.6.1.108
24065,[NH3+]CC1=C(CC(=O)[O-])C(CCC(=O)[O-])=CN1.[H]O[H].[H]O[H].[H+]>>[NH3+]CC(=O)CCC(=O)[O-].[NH3+]CC(=O)CCC(=O)[O-],4.2.1.24
16054,CC(=O)N[C@@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)[C@@H](OP(=O)([O-])OP(=O)([O-])OC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)O[C@@H]2CO)O[C@H](CO)[C@@H](O)[C@@H]1O.O=C1C=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)C(=O)N1.[H+]>>CC(=O)N[C@@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](N3C=CC(=O)NC3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O.CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)O[C@H](CO)[C@@H](O)[C@@H]1O,2.4.1.187
75260,O=C1C=C(C2=CC(O)=C(O)C=C2)OC2=C1C(O)=C([C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C([O-])=C2.O=O>>O=C1C=C(C2=CC(O)=C(O)C=C2)OC2=C1C(O)=C([C@@H]1O[C@H](CO)[C@@H](O)C(=O)[C@H]1O)C([O-])=C2.[H]OO[H],1.1.3.50
13270,*C(=O)N[C@@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)/C=C/CCCCCCCCCCCCC.[H]O[H]>>[1*]C(=O)N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCCC.OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,3.2.1.45
18338,O=C1NC=C([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)C(=O)N1.[H]O[H]>>O=P([O-])([O-])OC[C@H]1OC(O)[C@H](O)[C@@H]1O.O=C1C=CNC(=O)N1,4.2.1.70
10709,NC1=NC2=C(/N=C\N2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)C(=O)N1.O=P([O-])([O-])OP(=O)([O-])O>>O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)C(=O)N1.[H+],2.7.7.34
49145,CC1=CN([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O[C@@H]3CCC(=O)[C@@H](C)O3)O2)C(=O)NC1=O.[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]>>CC1=CN([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O[C@@H]3CC[C@H]([NH3+])[C@@H](C)O3)O2)C(=O)NC1=O.O=C([O-])CCC(=O)C(=O)[O-],2.6.1.110
28419,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC[N+](C)(C)C.C[N+](C)(C)C[C@H](O)CC(=O)[O-]>>CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@@H](O)C[N+](C)(C)C.C[N+](C)(C)CCCC(=O)[O-],2.8.3.21
18258,CC1=C2CC3=C(C)C(CCC(=O)[O-])=C(CC4=C(CCC(=O)[O-])C(C)=C(CC5=C(CCC(=O)[O-])C(C)=C(CC(=C1CCC(=O)[O-])N2)N5)N4)N3.O=O.[H+].[H+]>>C=CC1=C2CC3=C(C)C(C=C)=C(CC4=C(C)C(CCC(=O)[O-])=C(CC5=C(CCC(=O)[O-])C(C)=C(CC(=C1C)N2)N5)N4)N3.O=C=O.O=C=O.[H]O[H].[H]O[H],1.3.3.3
42133,[NH3+][C@@H](C(=O)N[C@H]1CN([C@@H](C(=O)[O-])C2=CC=C(O)C=C2)C1=O)C1=CC=C(OCC[C@@H]([NH3+])C(=O)[O-])C=C1>>[NH3+][C@@H](C(=O)N[C@H]1CN([C@@H](C(=O)[O-])C2=CC=C(O)C=C2)C1=O)C1=CC=C(OCC[C@H]([NH3+])C(=O)[O-])C=C1,5.1.1.14
56949,C=C(OP(=O)([O-])[O-])C(=O)[O-].O=C1C=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)C(=O)N1.[H+]>>O=C1C=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)C(=O)N1.CC(=O)C(=O)[O-],2.7.1.40
14266,[NH3+]CC(=O)CCC(=O)[O-]>>[H]C(=O)[C@@H]([NH3+])CCC(=O)[O-],5.4.3.8
13086,O=C([O-])C1=N[C@H](C(=O)[O-])CCC1.CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-].[H]O[H]>>CC(=O)N[C@@H](CCCC(=O)C(=O)[O-])C(=O)[O-].CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS,2.3.1.89
10121,*O[C@H]1[C@@H](O)[C@H](N2C=NC3C(=O)N=CN=C32)O[C@@H]1COP(*)(=O)[O-].[H][N+]([H])([H])[H]>>*O[C@H]1[C@@H](O)[C@H](N2C=NC3=C2N=CN=C3N)O[C@@H]1COP(*)(=O)[O-].[H]O[H].[H+],3.5.4.37
30952,CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-].[H]O[H]>>[H][C@@]12C[C@H](C(C)(C)O)CC[C@@]1(C)CCC=C2C.O=P([O-])([O-])OP(=O)([O-])O,4.2.3.85
