reaction_id,Stratified_ground_truth_REACTION_ID,Stratified_ground_truth_true_EC,merged_output_Stratified_ground_truth_REACTION_ID,merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Stratified_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_ec,merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_theia_Prediction,merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_ec,merged_output_SIMMER_SIMMER pred,merged_output_SelenzymeRF_All ECs,merged_output_CLAIRE_predictions,merged_output_theia_Prediction,merged_output_BEC-Pred_Prediction,merged_output_ec,SIMMER_SIMMER pred,SelenzymeRF_All ECs,CLAIRE_predictions,theia_Prediction,BEC-Pred_Prediction,ec
11257-2.4.1.210-Q,11257,2.4.1.210,11257,2.4.1.210,11257,2.4.1.210,11257,2.4.1.210,11257,2.4.1.210,11257,2.4.1.210,11257,2.4.1.210,11257,2.4.1.210,2.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11265-1.6.3.1-Q,11265,1.6.3.1,11265,1.6.3.1,11265,1.6.3.1,11265,1.6.3.1,11265,1.6.3.1,11265,1.6.3.1,11265,1.6.3.1,11265,1.6.3.1,1.12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11265-1.6.3.3-Q,11265,1.6.3.3,11265,1.6.3.3,11265,1.6.3.3,11265,1.6.3.3,11265,1.6.3.3,11265,1.6.3.3,11265,1.6.3.3,11265,1.6.3.3,1.12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11273-1.1.5.10-Q,11273,1.1.5.10,11273,1.1.5.10,11273,1.1.5.10,11273,1.1.5.10,11273,1.1.5.10,11273,1.1.5.10,11273,1.1.5.10,11273,1.1.5.10,1.1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11349-7.3.2.7-Q,11349,7.3.2.7,11349,7.3.2.7,11349,7.3.2.7,11349,7.3.2.7,11349,7.3.2.7,11349,7.3.2.7,11349,7.3.2.7,11349,7.3.2.7,7.3.2;7.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11481-1.14.13.23-Q,11481,1.14.13.23,11481,1.14.13.23,11481,1.14.13.23,11481,1.14.13.23,11481,1.14.13.23,11481,1.14.13.23,11481,1.14.13.23,11481,1.14.13.23,1.14.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11497-2.5.1.53-Q,11497,2.5.1.53,11497,2.5.1.53,11497,2.5.1.53,11497,2.5.1.53,11497,2.5.1.53,11497,2.5.1.53,11497,2.5.1.53,11497,2.5.1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11525-1.3.1.3-Q,11525,1.3.1.3,11525,1.3.1.3,11525,1.3.1.3,11525,1.3.1.3,11525,1.3.1.3,11525,1.3.1.3,11525,1.3.1.3,11525,1.3.1.3,1.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11537-1.1.3.17-Q,11537,1.1.3.17,11537,1.1.3.17,11537,1.1.3.17,11537,1.1.3.17,11537,1.1.3.17,11537,1.1.3.17,11537,1.1.3.17,11537,1.1.3.17,1.1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11541-1.1.1.233-Q,11541,1.1.1.233,11541,1.1.1.233,11541,1.1.1.233,11541,1.1.1.233,11541,1.1.1.233,11541,1.1.1.233,11541,1.1.1.233,11541,1.1.1.233,1.3.1;1.14.12;1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11565-2.4.1.321-Q,11565,2.4.1.321,11565,2.4.1.321,11565,2.4.1.321,11565,2.4.1.321,11565,2.4.1.321,11565,2.4.1.321,11565,2.4.1.321,11565,2.4.1.321,2.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11597-4.1.1.23-Q,11597,4.1.1.23,11597,4.1.1.23,11597,4.1.1.23,11597,4.1.1.23,11597,4.1.1.23,11597,4.1.1.23,11597,4.1.1.23,11597,4.1.1.23,4.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11629-4.1.1.1-Q,11629,4.1.1.1,11629,4.1.1.1,11629,4.1.1.1,11629,4.1.1.1,11629,4.1.1.1,11629,4.1.1.1,11629,4.1.1.1,11629,4.1.1.1,4.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11697-2.1.1.139-Q,11697,2.1.1.139,11697,2.1.1.139,11697,2.1.1.139,11697,2.1.1.139,11697,2.1.1.139,11697,2.1.1.139,11697,2.1.1.139,11697,2.1.1.139,2.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11709-1.1.1.205-Q,11709,1.1.1.205,11709,1.1.1.205,11709,1.1.1.205,11709,1.1.1.205,11709,1.1.1.205,11709,1.1.1.205,11709,1.1.1.205,11709,1.1.1.205,1.3.1;1.14.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11801-3.6.1.22-Q,11801,3.6.1.22,11801,3.6.1.22,11801,3.6.1.22,11801,3.6.1.22,11801,3.6.1.22,11801,3.6.1.22,11801,3.6.1.22,11801,3.6.1.22,3.6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11837-2.4.3.1-Q,11837,2.4.3.1,11837,2.4.3.1,11837,2.4.3.1,11837,2.4.3.1,11837,2.4.3.1,11837,2.4.3.1,11837,2.4.3.1,11837,2.4.3.1,2.4.3;2.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11877-1.1.1.141-Q,11877,1.1.1.141,11877,1.1.1.141,11877,1.1.1.141,11877,1.1.1.141,11877,1.1.1.141,11877,1.1.1.141,11877,1.1.1.141,11877,1.1.1.141,1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11881-1.5.3.5-Q,11881,1.5.3.5,11881,1.5.3.5,11881,1.5.3.5,11881,1.5.3.5,11881,1.5.3.5,11881,1.5.3.5,11881,1.5.3.5,11881,1.5.3.5,1.5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11897-1.1.1.181-Q,11897,1.1.1.181,11897,1.1.1.181,11897,1.1.1.181,11897,1.1.1.181,11897,1.1.1.181,11897,1.1.1.181,11897,1.1.1.181,11897,1.1.1.181,1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11901-1.1.1.286-Q,11901,1.1.1.286,11901,1.1.1.286,11901,1.1.1.286,11901,1.1.1.286,11901,1.1.1.286,11901,1.1.1.286,11901,1.1.1.286,11901,1.1.1.286,1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11901-1.1.1.87-Q,11901,1.1.1.87,11901,1.1.1.87,11901,1.1.1.87,11901,1.1.1.87,11901,1.1.1.87,11901,1.1.1.87,11901,1.1.1.87,11901,1.1.1.87,1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11941-3.5.1.20-Q,11941,3.5.1.20,11941,3.5.1.20,11941,3.5.1.20,11941,3.5.1.20,11941,3.5.1.20,11941,3.5.1.20,11941,3.5.1.20,11941,3.5.1.20,3.5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11961-2.6.1.17-Q,11961,2.6.1.17,11961,2.6.1.17,11961,2.6.1.17,11961,2.6.1.17,11961,2.6.1.17,11961,2.6.1.17,11961,2.6.1.17,11961,2.6.1.17,2.6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11977-1.14.13.38-Q,11977,1.14.13.38,11977,1.14.13.38,11977,1.14.13.38,11977,1.14.13.38,11977,1.14.13.38,11977,1.14.13.38,11977,1.14.13.38,11977,1.14.13.38,1.14.13;1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12073-3.8.1.11-Q,12073,3.8.1.11,12073,3.8.1.11,12073,3.8.1.11,12073,3.8.1.11,12073,3.8.1.11,12073,3.8.1.11,12073,3.8.1.11,12073,3.8.1.11,3.8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12093-5.1.2.4-Q,12093,5.1.2.4,12093,5.1.2.4,12093,5.1.2.4,12093,5.1.2.4,12093,5.1.2.4,12093,5.1.2.4,12093,5.1.2.4,12093,5.1.2.4,5.1.3;5.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12101-4.2.1.110-Q,12101,4.2.1.110,12101,4.2.1.110,12101,4.2.1.110,12101,4.2.1.110,12101,4.2.1.110,12101,4.2.1.110,12101,4.2.1.110,12101,4.2.1.110,4.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12145-2.4.1.116-Q,12145,2.4.1.116,12145,2.4.1.116,12145,2.4.1.116,12145,2.4.1.116,12145,2.4.1.116,12145,2.4.1.116,12145,2.4.1.116,12145,2.4.1.116,2.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12169-1.1.1.54-Q,12169,1.1.1.54,12169,1.1.1.54,12169,1.1.1.54,12169,1.1.1.54,12169,1.1.1.54,12169,1.1.1.54,12169,1.1.1.54,12169,1.1.1.54,1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12197-4.1.2.22-Q,12197,4.1.2.22,12197,4.1.2.22,12197,4.1.2.22,12197,4.1.2.22,12197,4.1.2.22,12197,4.1.2.22,12197,4.1.2.22,12197,4.1.2.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12281-2.7.1.149-Q,12281,2.7.1.149,12281,2.7.1.149,12281,2.7.1.149,12281,2.7.1.149,12281,2.7.1.149,12281,2.7.1.149,12281,2.7.1.149,12281,2.7.1.149,2.7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12297-3.5.99.16-Q,12297,3.5.99.16,12297,3.5.99.16,12297,3.5.99.16,12297,3.5.99.16,12297,3.5.99.16,12297,3.5.99.16,12297,3.5.99.16,12297,3.5.99.16,3.5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12321-1.3.1.73-Q,12321,1.3.1.73,12321,1.3.1.73,12321,1.3.1.73,12321,1.3.1.73,12321,1.3.1.73,12321,1.3.1.73,12321,1.3.1.73,12321,1.3.1.73,1.1.1;1.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12333-7.2.2.7-Q,12333,7.2.2.7,12333,7.2.2.7,12333,7.2.2.7,12333,7.2.2.7,12333,7.2.2.7,12333,7.2.2.7,12333,7.2.2.7,12333,7.2.2.7,7.3.2;7.2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12369-1.1.99.4-Q,12369,1.1.99.4,12369,1.1.99.4,12369,1.1.99.4,12369,1.1.99.4,12369,1.1.99.4,12369,1.1.99.4,12369,1.1.99.4,12369,1.1.99.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501-1.5.1.25-Q,12501,1.5.1.25,12501,1.5.1.25,12501,1.5.1.25,12501,1.5.1.25,12501,1.5.1.25,12501,1.5.1.25,12501,1.5.1.25,12501,1.5.1.25,1.5.1;1.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12581-1.5.1.23-Q,12581,1.5.1.23,12581,1.5.1.23,12581,1.5.1.23,12581,1.5.1.23,12581,1.5.1.23,12581,1.5.1.23,12581,1.5.1.23,12581,1.5.1.23,1.5.1;1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12602-2.6.1.39-Q,12602,2.6.1.39,12602,2.6.1.39,12602,2.6.1.39,12602,2.6.1.39,12602,2.6.1.39,12602,2.6.1.39,12602,2.6.1.39,12602,2.6.1.39,2.6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12654-1.1.1.38-Q,12654,1.1.1.38,12654,1.1.1.38,12654,1.1.1.38,12654,1.1.1.38,12654,1.1.1.38,12654,1.1.1.38,12654,1.1.1.38,12654,1.1.1.38,1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12654-1.1.1.39-Q,12654,1.1.1.39,12654,1.1.1.39,12654,1.1.1.39,12654,1.1.1.39,12654,1.1.1.39,12654,1.1.1.39,12654,1.1.1.39,12654,1.1.1.39,1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12702-1.17.4.2-Q,12702,1.17.4.2,12702,1.17.4.2,12702,1.17.4.2,12702,1.17.4.2,12702,1.17.4.2,12702,1.17.4.2,12702,1.17.4.2,12702,1.17.4.2,1.17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12802-2.7.11.26-Q,12802,2.7.11.26,12802,2.7.11.26,12802,2.7.11.26,12802,2.7.11.26,12802,2.7.11.26,12802,2.7.11.26,12802,2.7.11.26,12802,2.7.11.26,2.7.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12826-1.21.4.3-Q,12826,1.21.4.3,12826,1.21.4.3,12826,1.21.4.3,12826,1.21.4.3,12826,1.21.4.3,12826,1.21.4.3,12826,1.21.4.3,12826,1.21.4.3,1.21.4;1.8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12890-1.1.1.45-Q,12890,1.1.1.45,12890,1.1.1.45,12890,1.1.1.45,12890,1.1.1.45,12890,1.1.1.45,12890,1.1.1.45,12890,1.1.1.45,12890,1.1.1.45,1.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12906-2.7.7.22-Q,12906,2.7.7.22,12906,2.7.7.22,12906,2.7.7.22,12906,2.7.7.22,12906,2.7.7.22,12906,2.7.7.22,12906,2.7.7.22,12906,2.7.7.22,2.7.7;2.4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12946-3.13.1.3-Q,12946,3.13.1.3,12946,3.13.1.3,12946,3.13.1.3,12946,3.13.1.3,12946,3.13.1.3,12946,3.13.1.3,12946,3.13.1.3,12946,3.13.1.3,1.13.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12970-3.1.4.46-Q,12970,3.1.4.46,12970,3.1.4.46,12970,3.1.4.46,12970,3.1.4.46,12970,3.1.4.46,12970,3.1.4.46,12970,3.1.4.46,12970,3.1.4.46,3.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13038-3.5.4.17-Q,13038,3.5.4.17,13038,3.5.4.17,13038,3.5.4.17,13038,3.5.4.17,13038,3.5.4.17,13038,3.5.4.17,13038,3.5.4.17,13038,3.5.4.17,3.5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13038-3.5.4.18-Q,13038,3.5.4.18,13038,3.5.4.18,13038,3.5.4.18,13038,3.5.4.18,13038,3.5.4.18,13038,3.5.4.18,13038,3.5.4.18,13038,3.5.4.18,3.5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
