REACTION_ID	EC_NUMBERS
16846	2.3.3.1;2.3.3.16;2.3.3.3
16958	3.1.4.17;3.1.4.35
16990	3.1.3.62;3.1.3.8
17082	2.1.1.146;2.1.1.279
17090	4.1.2.14;4.1.2.55
17602	2.7.1.16;2.7.1.47
17738	1.1.1.25;1.1.1.282
17826	2.7.1.1;2.7.1.2
17906	1.1.1.29;1.1.1.81
17914	1.7.1.1;1.7.1.2
17926	1.1.1.359;1.1.1.376;1.1.1.46
17990	2.7.11.1;2.7.11.11;2.7.11.12;2.7.11.13;2.7.11.17;2.7.11.21;2.7.11.22;2.7.11.24;2.7.11.25;2.7.11.34;2.7.11.35;2.7.11.36;2.7.11.37;2.7.11.38;2.7.11.39;2.7.12.1;2.7.12.2
18322	2.6.1.42;2.6.1.6
18598	1.18.1.1;1.18.1.4
18626	1.1.1.120;1.1.1.359;1.1.1.360
18638	1.12.1.3;1.12.1.5
18650	4.2.1.140;4.2.1.6
18982	1.1.1.168;1.1.1.214;1.1.1.358
19062	1.7.1.2;1.7.1.3
19130	2.7.1.145;2.7.1.21
19202	2.7.1.113;2.7.1.145
19258	1.1.1.184;1.1.1.2
19378	1.5.1.30;1.5.1.41
19478	1.14.13.2;1.14.13.33
19502	3.5.3.17;3.5.3.7
19626	2.1.2.1;4.1.2.48;4.1.2.5
19670	3.6.5.1;3.6.5.2;3.6.5.3;3.6.5.4;3.6.5.5;3.6.5.6;3.6.5.n1
19818	1.5.1.20;1.5.1.53
19822	1.5.1.20;1.5.1.54
19922	1.1.1.137;1.1.1.405
19994	1.8.4.11;1.8.4.13
20126	1.18.1.2;1.18.1.7
20310	1.11.1.21;1.11.1.6
20318	1.5.1.1;1.5.1.21;1.5.1.49
20322	1.5.1.1;1.5.1.49
20458	1.1.1.116;1.1.1.117
20961	3.1.3.26;3.1.3.62
21017	3.5.1.1;3.5.1.38
21173	1.1.1.264;1.1.1.366
21229	5.1.3.21;5.1.3.3
21241	2.5.1.59;2.5.1.60
21273	6.3.1.8;6.3.1.9
21385	4.3.1.24;4.3.1.25
21433	1.1.1.299;1.1.1.37
21613	4.2.1.140;4.2.1.39
21621	1.5.1.39;1.5.1.42
21625	1.5.1.38;1.5.1.39
21893	1.1.1.117;1.1.1.427
22001	1.1.1.179;1.1.1.359
22069	1.1.1.383;1.1.1.86
22157	3.6.1.42;3.6.1.6
22189	3.8.1.10;3.8.1.9
22365	1.1.1.24;1.1.1.282
22445	1.1.1.194;1.1.1.195
22565	1.3.1.10;1.3.1.104;1.3.1.39
22637	3.6.1.12;3.6.1.65;3.6.1.9
22777	1.11.1.13;1.11.1.16
23109	3.1.1.120;3.1.1.30
23453	2.7.1.145;2.7.1.76
23537	5.4.2.2;5.4.2.5
23593	1.1.1.372;1.1.1.72
23633	1.1.1.286;1.1.1.41
23649	1.1.1.134;1.1.1.344
24197	1.4.1.12;1.4.1.26
24389	2.4.2.2;2.4.2.3
24401	2.7.4.14;2.7.4.22
24461	4.1.1.124;4.1.1.87
24465	4.1.2.21;4.1.2.55
24537	1.13.11.11;1.13.11.52
24605	2.1.1.159;2.1.1.160
24629	1.7.1.15;1.7.1.4
24637	1.12.1.2;1.12.1.5
24675	2.7.1.213;2.7.1.48
24711	2.6.1.87;2.6.1.92
24907	4.3.1.23;4.3.1.25
24932	4.4.1.1;4.4.1.28
25095	2.7.4.14;2.7.4.25
25153	2.6.1.5;2.6.1.57
25222	4.1.1.122;4.1.1.29
25278	3.1.4.17;3.1.4.53
25465	4.2.3.56;4.2.3.58
25801	1.5.3.13;1.5.3.17
25805	1.5.3.13;1.5.3.16;1.5.3.17
25809	1.5.3.13;1.5.3.17
25813	1.5.3.13;1.5.3.17
25973	1.5.3.15;1.5.3.17
26210	4.1.2.48;4.1.2.49
27442	1.1.1.307;1.1.1.430
27446	1.1.1.307;1.1.1.431
27763	3.6.1.65;3.6.1.8;3.6.1.9
28163	2.7.1.213;2.7.1.48
28343	3.6.1.66;3.6.1.9
28611	3.6.1.66;3.6.1.9
28796	1.16.1.10;1.16.1.9
29392	3.6.1.8;3.6.1.9
29396	3.6.1.8;3.6.1.9
29400	3.6.1.66;3.6.1.8;3.6.1.9
29484	4.2.3.198;4.2.3.66
29900	7.5.2.10;7.5.2.13
30008	7.5.2.12;7.5.2.13
30148	1.5.1.37;1.5.1.45
30232	1.8.3.5;1.8.3.6
30340	4.1.1.105;4.1.1.28
30388	2.7.7.69;2.7.7.78
30528	3.6.1.41;3.6.1.61
30628	1.1.1.382;1.1.1.383
32964	3.5.1.111;3.5.1.3
33024	1.1.1.343;1.1.1.351
34448	1.1.1.339;1.1.1.344
34556	1.1.1.337;1.1.1.375
34776	1.1.1.170;1.1.1.418
34780	1.1.1.213;1.1.1.357;1.1.1.50
34784	1.1.1.213;1.1.1.357;1.1.1.50
35208	3.6.1.6;3.6.1.64
35640	4.1.3.16;4.1.3.42
36108	2.1.1.275;2.1.1.276
36116	2.1.1.275;2.1.1.276
36120	2.1.1.275;2.1.1.276
36128	2.1.1.275;2.1.1.276
36856	3.5.1.114;3.5.1.14
37800	1.6.3.2;1.6.3.4
38216	1.1.1.363;1.1.1.388
41509	1.14.13.195;1.14.13.196
42361	5.1.3.30;5.1.3.31
42669	1.1.1.377;1.1.1.378
42941	2.1.1.202;2.1.1.203
44905	3.1.3.58;3.1.3.9
46041	2.7.1.145;2.7.1.74
46161	1.6.5.2;1.6.5.9
46165	1.6.5.10;1.6.5.2
46609	2.7.11.1;2.7.11.11;2.7.11.12;2.7.11.13;2.7.11.17;2.7.11.21;2.7.11.22;2.7.11.24;2.7.11.25;2.7.11.34;2.7.11.35;2.7.11.36;2.7.11.37;2.7.11.38;2.7.11.39;2.7.12.1;2.7.12.2
50245	1.14.14.19;1.14.14.32
50521	2.3.1.256;2.3.1.258
50529	2.3.1.256;2.3.1.258
50533	2.3.1.256;2.3.1.258
51009	1.1.2.10;1.1.2.7
52645	3.1.1.104;3.1.1.25
52649	3.1.1.104;3.1.1.25
55333	2.1.1.267;2.1.1.42
56857	1.2.99.6;1.2.99.7
58009	2.4.1.366;2.4.1.367
59361	3.4.13.20;3.4.13.5
59573	3.4.13.20;3.4.13.5
59577	3.4.13.20;3.4.13.5
61437	3.6.1.53;3.6.1.6
63349	6.2.2.2;6.2.2.3
