Reaction ID,Theia
R09087,"2.7.4,0.9838788509368896;2.7.1,0.014560949057340622;2.1.1,0.000783788796979934;6.3.2,0.00010656096128514037;1.6.1,9.912360837915912e-05"
R06693,"2.1.1,1.0;1.-.-,3.119867984292292e-15;2.3.1,5.205711299975485e-17;1.14.21,3.493389860220084e-17;2.5.1,3.087813610590229e-17"
R07021,"1.14.14,0.9987323880195618;1.14.13,0.001200605882331729;1.14.-,3.318167364341207e-05;1.14.99,1.1082694072683807e-05;4.2.1,3.957879016525112e-06"
R08075,"2.4.1,0.9999997615814209;2.4.2,1.7984042699481506e-07;2.7.7,5.3745963235485306e-09;5.2.1,4.719034496503127e-09;6.2.1,3.1681797185711957e-09"
R04707,"2.1.1,1.0;1.-.-,1.6173521411033676e-09;1.14.21,9.905942732757467e-11;2.5.1,3.770586620710503e-11;1.3.1,3.3823051998060905e-11"
R07082,"3.3.2,0.8924779295921326;3.1.3,0.09528692066669464;4.2.1,0.002539664041250944;3.1.4,0.001549617387354374;3.2.1,0.0012993578566238284"
R08550,"1.3.1,0.9539430737495422;1.1.1,0.011356819421052933;3.1.1,0.010982549749314785;2.5.1,0.008147629909217358;2.3.1,0.0038080906961113214"
R00103,"3.6.1,0.963445246219635;3.1.4,0.0181755218654871;3.1.26,0.01352013647556305;3.-.-,0.002622140571475029;3.1.3,0.0011303829960525036"
R12345,"3.1.3,0.7385655045509338;3.1.4,0.1884147673845291;3.2.1,0.04804321750998497;3.6.1,0.018387338146567345;3.4.11,0.0021685545798391104"
R06516,"4.1.2,0.9964631199836731;4.2.1,0.0013427225640043616;2.3.1,0.0006251086015254259;3.1.3,0.00034427185892127454;4.1.1,0.00017644569743424654"
R07503,"5.5.1,0.998496413230896;1.6.5,0.0007552947499789298;4.5.1,0.0001908452541101724;1.3.5,0.00010804785415530205;1.14.99,0.00010773157555377111"
R11469,"2.1.1,1.0;2.3.1,2.6067910850746667e-12;2.5.1,2.3703375416975203e-13;6.3.2,1.4139092728657904e-13;3.3.1,8.133766013149191e-14"
R11838,"4.2.3,0.9907628893852234;4.2.1,0.00922767911106348;4.3.2,3.40654446517874e-06;5.5.1,3.113542788923951e-06;3.1.7,1.1287361303402577e-06"
R11309,"3.2.1,0.7878217697143555;2.4.1,0.09408220648765564;2.3.1,0.08977266401052475;3.1.1,0.027017205953598022;1.1.1,0.000680752913467586"
R12984,"1.14.13,0.3135818839073181;2.3.1,0.24545779824256897;1.14.99,0.06041519716382027;3.1.1,0.036229271441698074;2.4.1,0.030522126704454422"
R11500,"1.1.1,0.9976945519447327;1.3.1,0.0012982101179659367;1.-.-,0.00029596846434287727;1.6.5,0.0001833994610933587;1.18.1,0.0001306948543060571"
R11618,"1.1.3,0.9999057054519653;1.1.99,5.8625388192012906e-05;1.8.3,2.0990144548704848e-05;1.21.3,5.142752797837602e-06;1.7.3,4.906079084321391e-06"
R06811,"2.4.2,0.9993987083435059;2.3.1,0.00047288474161177874;2.7.6,4.4124582927906886e-05;5.1.3,3.719473534147255e-05;2.7.7,3.286896753706969e-05"
R00647,"1.1.3,0.9977874755859375;1.14.13,0.0008620266453363001;1.1.5,0.0006241424707695842;1.14.15,0.00019729416817426682;1.8.3,0.00010357600694987923"
R11398,"2.4.1,0.9982548356056213;3.1.3,0.001424779649823904;3.6.1,0.0001564455305924639;2.7.1,8.62092783791013e-05;2.7.3,6.140802724985406e-05"
R10307,"2.1.1,0.9999995231628418;2.3.1,1.9330893508140434e-07;4.2.1,6.74655495913612e-08;2.6.1,2.3582705566127515e-08;4.3.3,1.9318701305337527e-08"
R06564,"2.1.1,1.0;1.-.-,7.515316147177487e-11;2.3.1,1.0455454210744897e-11;2.5.1,5.687720260050266e-12;6.3.2,1.874591627759603e-12"
R05087,"4.1.1,0.999980092048645;2.7.8,9.62551621341845e-06;2.3.1,3.365797510923585e-06;4.1.2,1.0161061254621018e-06;4.3.1,8.500432500113675e-07"
R12695,"2.7.1,0.9935913681983948;5.3.1,0.006360069382935762;5.1.3,2.5041812477866188e-05;1.1.1,2.1431063942145556e-05;4.1.1,4.418888579493796e-07"
R11228,"1.14.15,0.4841306209564209;1.14.13,0.3718470335006714;1.1.1,0.05080261453986168;1.-.-,0.03937697783112526;1.14.-,0.017825454473495483"
R02797,"3.5.1,0.9999994039535522;3.5.3,1.757417322778565e-07;3.1.2,7.447869165844168e-08;3.4.11,7.12609420361332e-08;3.1.1,5.3447266168404894e-08"
R01978,"2.3.3,0.9251618385314941;4.1.3,0.05578790232539177;3.1.2,0.01717989332973957;2.3.1,0.001233249087817967;4.2.1,0.0005486870068125427"
R12004,"5.5.1,0.9999974966049194;4.2.1,8.5826582107984e-07;4.5.1,7.243994559757994e-07;1.3.-,2.1700731167584308e-07;4.1.2,1.5026139976725972e-07"
R00032,"1.13.11,0.5059772729873657;1.14.99,0.4706019163131714;1.14.14,0.010510406456887722;1.13.12,0.004952489864081144;6.2.1,0.0015175400767475367"
R05244,"1.6.5,0.5629062652587891;1.1.1,0.27873775362968445;1.8.1,0.09882482886314392;1.11.1,0.018949231132864952;1.10.99,0.012224618345499039"
R10357,"1.14.13,0.9950527548789978;1.14.14,0.004063676577061415;1.6.5,0.00029867340344935656;3.3.2,7.874840230215341e-05;1.14.15,5.795616743853316e-05"
R02013,"4.2.3,0.9626691937446594;5.5.1,0.03382406011223793;5.3.3,0.0019883899949491024;3.1.7,0.001150552649050951;2.5.1,0.00017003588436637074"
R12514,"3.4.11,0.9891265034675598;3.4.13,0.008389133028686047;3.4.19,0.0014427907299250364;3.4.21,0.00042699158075265586;3.4.18,0.00010167137224925682"
R02628,"2.7.1,0.9758196473121643;2.7.3,0.02392086759209633;2.7.9,0.00014206203923095018;4.1.1,7.30753963580355e-05;2.7.11,3.383494549780153e-05"
R11630,"5.1.1,0.42928841710090637;4.2.2,0.18613040447235107;5.1.99,0.13619202375411987;2.4.1,0.07857672870159149;2.7.8,0.06330335140228271"
R07021,"1.14.14,0.9987323880195618;1.14.13,0.001200605882331729;1.14.-,3.318167364341207e-05;1.14.99,1.1082694072683807e-05;4.2.1,3.957879016525112e-06"
R11282,"2.7.7,0.7510359287261963;2.4.1,0.2395067662000656;6.2.1,0.0022684272844344378;2.7.4,0.0012769903987646103;2.7.1,0.0008245868957601488"
R09376,"1.1.1,0.9998877048492432;1.8.1,2.3941320250742137e-05;1.2.1,1.7005635527311824e-05;1.3.1,1.6335578038706444e-05;2.5.1,1.0927130460913759e-05"
R13299,"5.4.99,0.5368034839630127;2.8.3,0.41172441840171814;1.3.99,0.01454070396721363;1.3.8,0.009774384088814259;1.3.1,0.005383098963648081"
R09750,"1.5.1,0.9356833696365356;1.14.13,0.024398203939199448;1.19.1,0.01828901469707489;1.6.99,0.008291260339319706;1.14.14,0.007162074092775583"
R05500,"1.21.99,0.4241390526294708;1.97.1,0.2615393400192261;2.5.1,0.08687398582696915;1.21.1,0.02867618203163147;3.8.1,0.027392050251364708"
R12405,"1.1.1,0.9996808767318726;1.14.-,0.00018735561752691865;1.3.1,6.956290599191561e-05;1.14.13,2.6929967134492472e-05;1.-.-,9.268210305890534e-06"
R01168,"4.3.1,0.9996833801269531;4.2.1,8.235900168074295e-05;2.1.2,4.175578578724526e-05;1.4.1,3.76637872250285e-05;1.4.3,3.2258401915896684e-05"
R08342,"1.14.13,0.9044502377510071;1.14.14,0.09049484133720398;2.1.1,0.0012275160988792777;1.14.-,0.0008941645501181483;1.5.1,0.0006253938190639019"
R03245,"2.7.4,0.7740060091018677;2.7.1,0.19946995377540588;2.1.1,0.01891961507499218;6.2.1,0.002652202034369111;2.7.2,0.0017209263751283288"
R09191,"2.1.1,1.0;2.3.1,1.698003337935461e-08;2.5.1,7.267601187521677e-09;6.3.2,6.967102894606114e-09;1.-.-,2.4393147501911017e-09"
R01825,"1.2.1,0.9892470240592957;1.1.1,0.009852653369307518;1.17.1,0.0002403431135462597;1.5.1,0.0001578025403432548;1.2.3,0.00011350221757311374"
R12212,"4.1.1,0.9941242337226868;1.2.7,0.0020067854784429073;1.2.4,0.0009996599983423948;4.1.3,0.0009044440812431276;1.1.1,0.0003867549530696124"
R09639,"2.5.1,0.9902605414390564;2.1.1,0.00879744254052639;4.4.1,0.000290772964945063;4.2.99,0.00014920932881068438;4.3.3,8.658136357553303e-05"
R07175,"1.8.1,0.9802398085594177;1.8.4,0.009222491644322872;1.6.4,0.006145050749182701;1.6.2,0.0011992264771834016;1.1.1,0.0006787956808693707"
R08584,"1.3.1,0.5445041656494141;3.1.1,0.45545902848243713;1.3.99,1.3211161785875447e-05;5.3.3,9.474397302255966e-06;4.2.99,4.709219410869991e-06"
R02499,"1.1.1,0.647005021572113;5.3.3,0.3517443835735321;1.3.1,0.000777627166826278;1.14.13,0.0001931106235133484;1.6.5,0.0001003769866656512"
R03881,"2.7.8,0.5403112769126892;5.1.3,0.40046897530555725;2.7.7,0.021574867889285088;2.7.1,0.007651354651898146;2.4.1,0.0062444875948131084"
R08139,"5.1.3,0.6028637290000916;5.3.1,0.2144077718257904;2.6.1,0.14791998267173767;5.1.1,0.0089250598102808;5.-.-,0.006427458953112364"
R10957,"2.1.1,0.9999998807907104;2.3.1,6.223287130069366e-08;2.5.1,9.927362931705375e-09;6.3.2,4.3543080252561595e-09;2.6.1,3.0656432947751e-09"
R03917,"2.5.1,0.9421831369400024;5.3.3,0.05168380215764046;1.13.11,0.0056501636281609535;5.3.2,0.00012454880925361067;1.14.99,0.00011718591849785298"
R03760,"2.3.-,0.8005940914154053;2.3.1,0.19590777158737183;6.2.1,0.002869060030207038;1.14.-,0.00031988657428883016;2.3.3,0.00012832570064347237"
R09558,"4.2.3,0.9957540035247803;5.5.1,0.0035070215817540884;5.3.3,0.0005677908193320036;4.2.1,6.12179865129292e-05;1.3.99,3.495414784993045e-05"
R08050,"1.14.11,0.9988214373588562;1.14.20,0.0011296061566099524;4.1.1,2.3013586542219855e-05;2.6.1,9.785653674043715e-06;1.1.99,7.4794456850213464e-06"
R09593,"2.7.3,0.6185028553009033;2.7.1,0.15020878612995148;6.3.2,0.09993831813335419;1.1.1,0.06047430261969566;2.3.1,0.02670322358608246"
R04421,"2.1.1,1.0;1.-.-,2.0752917162525364e-09;2.3.1,4.790721638836537e-11;2.5.1,1.8371814486384253e-11;3.3.1,1.340339731564777e-11"
R09665,"2.4.1,0.9999549388885498;2.7.7,1.8242983060190454e-05;3.2.1,1.533546128484886e-05;2.4.2,9.423014489584602e-06;6.2.1,5.150822630639595e-07"
R02769,"2.5.1,0.999854326248169;4.2.1,5.1905648433603346e-05;2.3.1,4.477914990275167e-05;4.1.3,2.6723275368567556e-05;5.3.99,6.209724688233109e-06"
R12576,"6.2.1,0.7729471921920776;3.6.1,0.11748269200325012;2.7.1,0.08339960128068924;3.-.-,0.008595782332122326;6.3.2,0.007123863790184259"
R12262,"2.1.1,0.9999995231628418;2.3.1,2.367086295862464e-07;2.5.1,1.55558907977138e-07;4.3.3,3.415832949826836e-08;6.3.2,3.221456168489567e-08"
R11450,"2.3.1,0.9943570494651794;1.2.1,0.005353104788810015;1.3.1,0.0002526464231777936;4.2.1,1.6182875697268173e-05;3.1.2,1.4960063708713278e-05"
R07955,"1.14.13,0.5040253400802612;1.13.12,0.46846556663513184;1.14.14,0.02156468853354454;4.1.99,0.0023911376483738422;1.3.98,0.0006478367140516639"
R10039,"3.2.1,0.9999599456787109;2.4.1,9.529738235869445e-06;3.4.13,7.1615872911934275e-06;4.1.2,5.507752121047815e-06;2.3.1,2.745622168731643e-06"
R05190,"2.3.1,0.9987898468971252;1.2.1,0.0011123507283627987;1.2.4,3.775989534915425e-05;4.1.1,1.9624392734840512e-05;1.1.1,1.1764887858589645e-05"
R01780,"2.3.1,0.988628089427948;3.1.1,0.005676157772541046;2.8.3,0.004991080611944199;3.1.2,0.0004977278877049685;3.2.1,7.604459096910432e-05"
R07919,"2.1.1,1.0;2.3.1,7.0144645647474135e-09;2.4.2,2.291764555906184e-09;2.5.1,1.8284194158724176e-09;4.3.3,7.351793063214984e-10"
R02315,"1.5.1,0.9542815089225769;1.2.1,0.04048413783311844;1.5.99,0.0009687468409538269;1.14.13,0.0009672601008787751;1.4.1,0.0008645350462757051"
R09352,"2.4.1,0.9906435608863831;2.3.1,0.0053108446300029755;2.7.7,0.0023043411783874035;2.4.2,0.0012983048800379038;6.2.1,0.0001621948176762089"
R01245,"3.2.2,0.9997552037239075;2.4.2,0.00024245455279015005;3.5.1,7.166423188209592e-07;3.1.1,6.71824977871438e-07;2.3.1,2.1835458596797253e-07"
R02159,"2.8.2,1.0;2.7.8,1.337012705410201e-11;3.1.6,1.618355623123069e-12;3.4.19,1.3202967365233409e-12;1.8.4,1.0361427427857395e-12"
R08094,"1.1.1,0.9988688826560974;1.14.13,0.0007384531199932098;2.3.1,0.00025850586825981736;1.2.1,3.9962924347491935e-05;1.3.1,2.5530454877298325e-05"
R07416,"6.2.1,0.7951684594154358;2.3.1,0.18528719246387482;3.1.2,0.008693520911037922;2.8.3,0.007476216182112694;2.7.2,0.0021793534979224205"
R02406,"6.2.1,0.9823906421661377;2.3.1,0.01482645608484745;3.1.2,0.001270091743208468;6.3.2,0.0005669067031703889;2.7.3,0.00031522958306595683"
R04558,"4.3.1,0.6984696388244629;4.3.2,0.16500139236450195;2.4.2,0.06558170914649963;4.1.3,0.05435208976268768;4.2.1,0.008887462317943573"
R07430,"1.14.13,0.9934954643249512;1.14.18,0.004046520218253136;1.14.14,0.002125110710039735;1.14.12,0.00012829250772483647;1.6.99,5.202562897466123e-05"
R08198,"1.1.1,0.9911511540412903;1.1.99,0.005123310722410679;1.1.-,0.002532379934564233;1.4.1,0.000437887036241591;1.8.1,0.00012178815086372197"
R04469,"2.4.2,0.9935559630393982;2.7.7,0.004443952813744545;2.7.6,0.0009288383298553526;5.1.3,0.0007300098077394068;2.3.1,0.00012690127186942846"
R04398,"2.1.1,1.0;1.-.-,1.0000750227945332e-10;2.3.1,1.6196009811064727e-11;2.5.1,1.1959466403310692e-11;6.3.2,4.679742270780052e-12"
R09987,"1.1.1,0.9990046620368958;1.14.13,0.0009600688354112208;5.3.3,1.0077193110191729e-05;1.-.-,5.758272891398519e-06;1.3.1,4.740223175758729e-06"
R07313,"4.1.1,0.9997941851615906;5.3.3,0.00018568352970760316;4.2.1,6.625320111197652e-06;1.14.18,4.429754426382715e-06;1.17.2,2.3723318918200675e-06"
R12545,"1.14.99,0.8121100068092346;1.14.14,0.1743624061346054;1.3.1,0.004839118104428053;4.3.2,0.002915018005296588;3.5.1,0.001580459764227271"
R02004,"4.2.3,0.5707811713218689;4.2.1,0.35268282890319824;5.5.1,0.055833879858255386;1.1.1,0.018450694158673286;4.3.2,0.0007705243770033121"
R00437,"2.7.1,0.6800951957702637;2.7.7,0.19180898368358612;2.4.2,0.094169981777668;2.4.1,0.0055498699657619;2.7.4,0.004200258757919073"
R03198,"1.1.1,0.9922813773155212;1.2.1,0.007634475827217102;4.2.1,2.490637962182518e-05;1.-.-,1.844330290623475e-05;1.5.1,1.1352818546583876e-05"
R08147,"2.1.1,1.0;2.3.1,1.098929724996367e-09;2.5.1,1.5095360725303486e-11;3.1.1,1.4441755083471897e-11;6.3.2,7.0194462221950804e-12"
R05783,"3.5.1,0.9995044469833374;3.5.3,0.00027698182384483516;3.5.5,4.9160811613546684e-05;3.2.1,3.0142015020828694e-05;3.4.11,2.288011455675587e-05"
R06595,"1.1.1,0.7253060936927795;4.2.1,0.20914308726787567;1.2.1,0.05388714000582695;1.1.5,0.00803700927644968;1.1.-,0.0012336059007793665"
R02820,"1.1.1,0.9999425411224365;1.-.-,2.0237463104422204e-05;1.2.1,1.025073288474232e-05;1.3.1,9.427202712686267e-06;1.12.1,4.6389377530431375e-06"
R11339,"1.1.1,0.9999327659606934;2.3.1,6.209166895132512e-05;2.4.1,1.5130227666304563e-06;2.7.1,9.411493806510407e-07;1.-.-,8.943903253566532e-07"
R04234,"2.6.1,0.9998490810394287;4.1.1,6.619946361752227e-05;1.4.1,4.1344905184814706e-05;5.4.3,2.2532145521836355e-05;2.3.1,1.2001557479379699e-05"
R02246,"1.1.1,0.9999740123748779;1.14.13,2.160776966775302e-05;1.-.-,1.5953299907778273e-06;1.1.5,1.4047810736883548e-06;1.1.-,5.185930831430596e-07"
R03493,"4.2.1,0.9967514276504517;5.4.4,0.0020254424307495356;4.1.3,0.0007117705536074936;5.3.3,0.00015212272410281003;2.3.3,0.00013628587475977838"
R09672,"3.2.1,0.996595561504364;3.1.1,0.0012379192048683763;3.1.4,0.0010195847135037184;3.5.1,0.00045404135016724467;3.2.2,0.000279499712632969"
R11341,"1.1.1,0.9993709921836853;2.7.1,0.00033038121182471514;5.1.3,0.0002578538842499256;4.1.99,7.13676490704529e-06;1.3.1,4.905803507426754e-06"
R00714,"1.2.1,0.964704155921936;1.1.1,0.020609775558114052;1.5.1,0.005846797022968531;1.4.1,0.004664913285523653;4.1.99,0.002218906069174409"
R00838,"3.2.1,0.9999979734420776;2.4.1,1.2261393749213312e-06;3.7.1,4.142123088968219e-07;5.1.3,1.3692582001567644e-07;5.4.1,1.0338769840245732e-07"
R04386,"2.1.3,0.9342736005783081;6.4.1,0.0566064678132534;6.3.4,0.006118070799857378;2.3.1,0.0010123489191755652;3.5.2,0.0007235462544485927"
R03868,"5.3.2,0.3350506126880646;2.3.1,0.1967872530221939;3.7.1,0.12420861423015594;5.2.1,0.07150329649448395;5.3.3,0.044736724346876144"
R10809,"3.2.1,0.999998927116394;3.1.4,6.709455533382425e-07;3.6.1,2.0365828845569922e-07;3.1.3,8.531873163519776e-08;5.1.3,4.382008711445451e-08"
R06150,"1.14.13,0.5009332299232483;1.14.-,0.19029118120670319;1.-.-,0.18895062804222107;1.14.15,0.03890962526202202;1.1.3,0.02053982764482498"
R00001,"3.2.1,0.8814548850059509;3.4.11,0.029092630371451378;3.1.4,0.019690625369548798;3.1.1,0.011712104082107544;3.4.13,0.010398097336292267"
R04537,"2.3.1,0.8623210191726685;4.2.1,0.13723188638687134;5.4.4,0.00013885012594982982;3.1.1,7.933465531095862e-05;1.14.13,6.432839290937409e-05"
R07583,"3.1.3,0.9813186526298523;2.6.1,0.010726944543421268;5.1.1,0.002136453054845333;3.6.1,0.0007314218673855066;5.4.2,0.0005728357355110347"
R12430,"2.3.1,0.9738033413887024;6.2.1,0.014846517704427242;3.1.2,0.008308745920658112;1.2.1,0.0029167456086724997;1.1.1,1.5840527339605615e-05"
R00195,"4.3.1,0.9999383687973022;1.4.3,1.4668921721749939e-05;1.4.1,1.1098902177764103e-05;3.5.99,8.397496458201203e-06;4.4.1,7.507307600462809e-06"
R01132,"2.4.2,0.9297593832015991;3.2.2,0.06576863676309586;2.7.8,0.0038822281640022993;2.7.7,0.00021813565399497747;5.1.3,9.886670159175992e-05"
R09666,"2.4.1,0.9995296001434326;2.4.-,0.0003523239283822477;2.7.7,6.030443910276517e-05;3.2.1,4.5372384192887694e-05;6.2.1,2.5216197627742076e-06"
R05438,"1.14.12,0.999543309211731;1.14.13,0.00036452795029617846;1.13.11,6.364489672705531e-05;1.14.-,1.1597541742958128e-05;1.6.3,7.016335075604729e-06"
R04345,"5.5.1,0.9999866485595703;3.1.1,7.579770226584515e-06;1.3.1,1.5557938013444073e-06;5.3.3,1.3046312687947648e-06;2.3.1,1.131259750764002e-06"
R13248,"2.5.1,0.9761201739311218;3.4.22,0.010469164699316025;1.14.12,0.007667604833841324;3.4.21,0.004455020651221275;5.3.3,0.00021210542763583362"
R10543,"2.1.3,0.9647659659385681;6.1.2,0.028689641505479813;2.3.1,0.002845820738002658;2.7.8,0.0012514591217041016;4.6.1,0.0006542819319292903"
R11722,"5.3.1,0.9328947067260742;1.1.99,0.024764280766248703;1.1.3,0.021259745582938194;5.1.3,0.008377364836633205;2.6.1,0.006285069510340691"
R04189,"3.5.1,0.4253384470939636;4.1.1,0.236160010099411;2.5.1,0.07773788273334503;3.5.3,0.054255351424217224;4.3.1,0.05386609956622124"
R02338,"1.13.11,0.9998970031738281;4.1.1,3.950110112782568e-05;1.14.14,2.126659092027694e-05;1.13.12,1.739014078339096e-05;1.14.13,8.668595910421573e-06"
R11046,"5.1.3,0.5733352303504944;5.3.1,0.09648297727108002;1.1.3,0.06740214675664902;5.4.2,0.052766863256692886;2.6.1,0.02374105714261532"
R07529,"2.1.1,0.9999992847442627;2.3.1,3.5555419231059204e-07;4.2.1,2.4199678705372207e-07;2.5.1,7.392869605382657e-08;4.4.1,1.1580119085863316e-08"
R08266,"1.14.13,0.9877045154571533;1.14.14,0.012233810499310493;1.5.1,1.7629081412451342e-05;4.2.1,1.4676631508336868e-05;1.14.15,1.134994272433687e-05"
R09550,"1.1.99,0.5703936815261841;1.1.98,0.405348539352417;1.1.3,0.006939886137843132;1.1.5,0.0064816721715033054;1.1.1,0.002399581018835306"
R11053,"1.14.11,0.9157556891441345;4.1.1,0.030697016045451164;2.6.1,0.03019140474498272;1.14.20,0.01133569236844778;1.1.3,0.009531846269965172"
R02762,"1.1.1,0.7859084606170654;1.2.1,0.199540913105011;3.7.1,0.00742756575345993;5.3.2,0.004881752654910088;1.3.1,0.001262027071788907"
R09634,"2.4.1,0.9991162419319153;4.6.1,0.0004123986582271755;3.2.1,0.0001741670275805518;2.7.7,0.00017007210408337414;3.1.1,3.3256721508223563e-05"
R03627,"1.14.99,0.385128378868103;1.14.19,0.29468390345573425;5.2.1,0.263934850692749;5.3.3,0.03730551898479462;4.2.1,0.0041651977226138115"
R00985,"4.1.3,0.6010974645614624;1.4.-,0.37177765369415283;5.4.4,0.00639987550675869;2.3.3,0.004824438598006964;4.4.1,0.0021216589957475662"
R09697,"4.2.1,0.9738933444023132;1.1.1,0.012438192963600159;3.1.3,0.0020308142993599176;5.4.4,0.0014208690263330936;3.1.1,0.0012470678193494678"
R09877,"3.6.1,0.9950509667396545;3.1.3,0.0027286869008094072;3.-.-,0.0016529234126210213;3.1.4,0.0003993396821897477;3.6.2,0.00011871416063513607"
R12075,"5.5.1,0.2875959873199463;1.13.11,0.19624672830104828;1.14.14,0.1653289794921875;1.-.-,0.15522423386573792;2.1.1,0.08451718837022781"
R05759,"2.1.1,1.0;2.3.1,5.686120463366251e-10;2.5.1,3.521571922959765e-11;3.5.1,1.8164636461648342e-11;3.1.1,1.7461797632845055e-11"
R08693,"1.1.1,0.9153409004211426;1.1.99,0.035520926117897034;1.1.2,0.013271301053464413;1.14.13,0.006572759710252285;5.1.3,0.005403958261013031"
R05878,"1.5.1,0.999914288520813;1.14.14,2.4125571144395508e-05;1.14.13,1.4099267900746781e-05;1.2.1,5.891029559279559e-06;1.5.99,5.633737600874156e-06"
R09895,"4.2.3,0.9956808090209961;2.5.1,0.002343416213989258;5.5.1,0.0018906497862190008;4.2.99,3.234052928746678e-05;4.3.2,1.8585635189083405e-05"
R02051,"3.1.4,0.9502013325691223;3.1.3,0.046157944947481155;3.6.1,0.003536091884598136;3.1.1,5.806231274618767e-05;2.7.8,8.88480462890584e-06"
R03332,"3.1.3,0.5134201645851135;3.1.4,0.2501663565635681;4.6.1,0.2186962515115738;3.6.1,0.017360499128699303;4.2.1,0.00020096263324376196"
R10676,"5.1.3,0.9911786913871765;2.3.1,0.0034965332597494125;1.1.1,0.0019347395282238722;2.7.7,0.00043578556505963206;5.3.3,0.00032189986086450517"
R08542,"4.2.3,0.996522068977356;5.5.1,0.003354777581989765;4.3.2,7.021638884907588e-05;3.1.7,1.6858506569406018e-05;2.5.1,1.0961119187413715e-05"
R09843,"2.7.7,0.74260014295578;2.7.1,0.09708835184574127;2.4.99,0.08315200358629227;2.3.2,0.0351102277636528;2.7.4,0.015109989792108536"
R00332,"2.7.4,0.7740060091018677;2.7.1,0.19946995377540588;2.1.1,0.01891961507499218;6.2.1,0.002652202034369111;2.7.2,0.0017209263751283288"
R08229,"2.4.2,0.9999957084655762;3.2.2,3.70969837604207e-06;6.3.4,1.3232212836555846e-07;3.1.3,8.509662308142651e-08;2.7.8,7.972084858920425e-08"
R02010,"4.2.3,0.9658148288726807;5.5.1,0.03395497798919678;4.3.2,8.585031901020557e-05;5.3.3,8.409513247897848e-05;1.3.1,2.529539415263571e-05"
R00305,"2.1.1,0.9773614406585693;4.2.1,0.01060498971492052;2.5.1,0.008707975037395954;4.3.1,0.0012666191905736923;4.1.2,0.0005440122913569212"
R05125,"1.1.1,0.49417844414711;4.1.2,0.48010513186454773;5.3.3,0.018500249832868576;2.3.1,0.001810666173696518;4.2.1,0.0013246730668470263"
R01626,"2.3.1,0.9738033413887024;6.2.1,0.014846517704427242;3.1.2,0.008308745920658112;1.2.1,0.0029167456086724997;1.1.1,1.5840527339605615e-05"
R12272,"2.3.2,0.45251503586769104;2.3.1,0.35704660415649414;2.7.3,0.1109742522239685;2.7.1,0.05475998669862747;6.3.2,0.01860329881310463"
