Reaction,SelenzymeRF
R00603,2.2.1.3;1.14.14.34|1.14.14.5|1.14.14.ah;1.13.12.-|1.14.13.179;1.13.12.-|1.14.13.178;3.8.1.5;1.7.2.5;1.2.1.29|1.2.3.1;1.4.3.4
R00608,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1;1.4.3.19|1.4.3.3;1.4.3.4
R00615,2.7.7.14|2.7.7.an;2.5.1.78
R00624,1.1.1.1
R00637,1.2.3.1;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.17.3.2;1.4.3.21|1.4.3.22
R00643,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1;1.4.3.19|1.4.3.3;1.14.13.-|1.17.3|1.17.3.-|1.17.3.2
R00648,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1;1.4.3.19|1.4.3.3;1.14.13.-|1.17.3|1.17.3.-|1.17.3.2
R00652,2.6.1.88;4.3.1.15;2.6.1.22;2.6.1.57;1.1.99.14;2.6.1.21;3.5.1.114;3.5.1.114|3.5.1.14;1.2.1.19|1.2.1.22|1.2.1.23|1.2.1.3
R00662,2.7.4.6
R00664,2.3.1.180
R00665,1.4.4.2
R00684,2.6.1.27;2.6.1.21;2.6.1|2.6.1.1;2.6.1|2.6.1.42
R00686,3.6.1.21|3.6.1.9
R00688,1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4;1.6.5.2
R00693,2.3.1.36;2.3.1.180
R00700,1.8.1.7;1.1.1.145|5.3.3.1;1.2.1.32|1.2.1.85;1.2.1.23|1.2.1.3;1.5.1.12|1.5.1.2
R00703,1.1.1|1.1.1.10|1.1.1.153|1.2.1.3;1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4
R00705,1.1.1.36;1.1.1.211|1.1.1.35
R00706,1.1.1.36;1.1.1.330;1.3.1.93;1.1.1.211|1.1.1.35
R00707,1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4;1.2.1.48
R00710,1.2.1.3|1.2.1.5;1.2.1.32|1.2.1.85;1.2.1.23;1.1.1.312|1.2.1.60;1.2.1.48;1.2.1.28|1.2.1.7;1.1.1.337|1.1.1.375
R00715,1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4;2.5.1.46
R00723,2.7.7.91;6.3.5.9;2.7.7.14|2.7.7.an;3.6.1.15|3.6.1.5
R00725,5.4.2.2;2.7.1.1;2.7.1.1|2.7.1.55;2.7.1.199;2.7.1.191|2.7.1.69
R00734,2.6.1.103;2.6.1.21;2.6.1.27;2.6.1|2.6.1.1;2.6.1|2.6.1.42
R00735,6.3.5.9;3.4.13.18|3.4.13.4;6.3.2.-|6.3.2.45;6.2.1.33;6.3.2.32;3.6.1.21|3.6.1.9
R00739,5.1.2.2;2.6.1.103;2.7.10.1|2.7.10.2|2.7.12.1|2.7.12.2
R00743,2.8.3.-|2.8.3.8;2.8.3.10;2.1.3.1;2.8.3.5;4.2.1.17;4.2.1.-|4.2.1.134
R00767,2.7.1.11
R00772,5.3.1.6
R00805,2.7.7.91;2.7.1.211;3.2.1.22;3.1.3.5
R00809,2.4.1.159;2.4.1.87;5.4.2.2;2.7.1.211;2.4.1.15
R00821,4.1.1.55;1.14.13.1;1.3.1.25;4.1.1.98;4.1.1.77;4.1.1.68;2.3.1.180
R00832,2.3.1.207;2.3.1.61;2.3.1.-|2.3.1.183;2.3.1.180
R00833,2.3.1.199;1.1.1.36;4.2.1.17;4.2.1.-|4.2.1.134
R00836,2.4.1.15;2.4.1.245;3.2.1.74;2.4.1.230;2.4.1.87;5.4.2.2
R00838,3.2.1.108|3.2.1.23
R00846,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1;1.4.3.19|1.4.3.3;1.14.13.-|1.17.3|1.17.3.-|1.17.3.2
R00850,5.4.2.2;2.7.1.1;2.7.1.1|2.7.1.55;2.7.1.191|2.7.1.69;2.7.1.199
R00853,2.4.1.173;2.4.1.15;2.4.1.87;2.4.1.239;2.4.1.210;2.4.1.17
R00866,2.7.1.3;2.7.1.5;2.7.1.1|2.7.1.4
R00873,1.10.3.11;1.1.5.2;1.1.5.3;1.1.1.124|1.14.13.50|2.5.1.18|2.7.1.59|3.2.1.14|3.2.1.165|4.1.3.3|4.2.1.66|5.1.3.8
R00908,2.6.1.57;4.3.1.15;4.1.1.95;2.6.1.14;2.6.1|2.6.1.1;2.6.1|2.6.1.42
R00909,3.5.1.114|3.5.1.14;3.1.1.3
R00911,3.4.13.18|3.4.13.4;2.3.1.-|2.3.1.183;4.3.1.15;6.2.1.19;3.5.1.130|3.5.1.ai;3.5.2.2;6.3.2.11;2.3.2.4|4.3.2.9;3.5.1.114;2.6.1.57;3.4.11.1|3.4.11.2|3.4.11.23|3.4.13.-
R00912,6.3.5.9;3.4.13.18|3.4.13.4;6.3.2.11;6.3.2.-|6.3.2.45;3.6.1.21|3.6.1.9
R00914,6.2.1.2;2.3.1.68;3.1.2.18|3.1.2.19|3.1.2.20;2.8.3.5;2.3.1.22;2.3.1.198;2.3.1.13;2.3.1.15
R00919,1.1.1.36;1.1.1.330;1.3.1.93;1.3.8.1|1.3.99.3;1.3.1.-|1.3.1.10|1.3.1.104|1.3.1.39;1.1.1.-|1.1.1.100
R00923,2.3.1.199;2.3.1.226|4.1.1.9;4.2.1.17;4.2.1.-|4.2.1.134
R00931,2.3.1.207;2.3.1.180
R00944,1.5.1.3;1.5.1.3|1.5.1.33;2.3.1.24|2.3.1.291|2.3.1.297|2.3.1.298;3.5.1.88
R00957,5.4.2.2;5.1.3.11;2.7.7.91;2.4.1|2.4.1.297;2.4.1.230;2.4.1.266;5.4.2.6;3.6.1.21;3.6.1.21|3.6.1.9
R00959,5.4.2.2;5.4.2.6;2.7.1.1;2.7.1.1|2.7.1.55;3.2.1.21
R00980,1.14.13.69;1.14.13.25;1.14.13.26;1.14.12.10;1.14.12|1.14.12.12;1.14.13.25|1.14.14.-|1.14.14.1
R00982,6.2.1.33;6.2.1|6.2.1.-|6.2.1.32;6.2.1.12;6.2.1.7;6.2.1.5
R00985,2.6.1.21;2.7.1.40;1.14.12.10;1.14.12|1.14.12.12;1.14.14.-|1.14.14.1
R00990,4.1.1.55;1.14.13.1;4.1.1.98;1.3.1.25;4.1.1.77;2.3.1.180
R00997,2.3.3.-|2.3.3.17;2.3.3.13|4.1.3.-
R01003,5.4.2.2;2.5.1.78
R01008,2.7.7.99;2.7.7.37|2.7.7.64;2.7.4.10;4.6.1.15;2.7.4.6
R01010,5.4.2.2;2.5.1.78
R01015,4.1.2.19;2.2.1.1|2.2.1.3;2.3.1.42;1.1.5.3
R01018,2.7.4.6
R01028,2.7.8.24;3.1.1.8;3.1.4.4;3.1.4.41;2.3.1.135;2.8.2.1;2.3.1.198;2.3.1.15
R01029,3.1.1.8;3.1.1.5;3.1.1.32
R01030,3.1.4.4;2.7.8.24;3.1.4.41;3.1.1.8;2.3.1.135;5.4.2.2
R01031,4.3.1.15;4.1.99.1|4.4.1.1|4.4.1.13|4.5.1.2;2.6.1.21;2.6.1.57;3.5.1.114;1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4
R01050,5.4.2.2;5.4.2.6;3.6.1.21|3.6.1.9
R01055,5.3.1.6
R01064,2.5.1.54|2.5.1.55
R01066,2.2.1.1;3.6.1.5;3.1.4.17;3.1.3.5
R01082,1.3.1.32;5.5.1.1;3.5.1.132;6.3.2.60|6.3.2.M4;3.5.1.130|3.5.1.ai;4.1.1.68;3.1.2.6
R01083,6.3.5.9;2.3.1.24;2.3.1.76;2.3.1.26;3.2.2.19;3.2.2.24;2.7.8.8;2.7.8.24;2.3.1.24|2.3.1.291|2.3.1.297|2.3.1.298;2.7.7.89
R01090,2.6.1.57;2.6.1|2.6.1.1;2.6.1|2.6.1.42
R01106,1.9.6.1;1.7.1.2|1.7.1.3;1.7.1.1|1.7.1.2;1.7.5.1
R01109,2.6.1.57;3.1.2.6
R01113,2.6.1.57;3.1.2.6
R01122,3.5.4.33;3.5.4.34;2.3.1.24;5.4.2.2;2.7.7.91;2.5.1.78
R01134,1.1.1.36;1.3.1.93;1.1.1.330;1.1.1.233;1.1.1.211|1.1.1.35
R01138,2.7.1.40;2.7.4.6
R01152,1.4.4.2
R01153,2.1.1.354|2.1.1.355|2.1.1.59|2.1.1.60;2.1.1.60;2.1.1.59;2.1.1.127;2.1.1.17;2.1.1.297|2.1.1.298
R01160,2.3.1.180
R01169,2.1.1.98;2.1.1.85;2.1.1.127;2.1.1.354|2.1.1.355|2.1.1.59|2.1.1.60;2.1.1.77
R01171,1.1.1.36;1.1.1.330;1.3.1.93;1.3.1.-|1.3.1.9|2.3.1.-
R01185,2.7.8.11;2.7.7.91;5.4.2.2;3.1.3.62;3.1.3.57|3.1.3.7;2.7.1.163;3.2.1.22
R01203,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1;1.14.13.-|1.17.3|1.17.3.-|1.17.3.2;1.4.3.19|1.4.3.3
R01204,2.3.1.180
R01211,1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4;1.1.1.337|1.1.1.375
R01227,5.4.2.2;5.4.2.6;2.4.99.6;2.5.1.78
R01231,6.3.5.9;6.3.1.2;3.6.1.-|3.6.1.19;6.2.1.19;6.2.1.33;6.3.4.11;3.5.4.5;6.2.1.20
R01259,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1;1.4.3.21|1.4.3.22
R01261,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;2.6.1.14;2.6.1.88;2.6.1.21;3.1.1.43;4.1.1.1;4.3.1.15;2.6.1.57;3.7.1.5;3.5.1.114
R01268,3.5.1.4;2.4.99.20;1.3.1.119|1.3.1.19|1.3.1.an;1.13.11.39;1.2.1.3|1.2.1.5
R01280,2.3.1.-|2.3.1.86;2.3.1.225
R01288,2.6.1.57;2.5.1.48;3.5.1.132;3.5.1.114;3.5.1.130|3.5.1.ai;6.2.1.19;3.4.11.1|3.4.11.2|3.4.11.23|3.4.13.-
R01299,1.14.13.69;1.14.13.1;1.14.12.10;1.14.13.25;1.14.13.26;1.14.13.25|1.14.14.-|1.14.14.1
R01302,2.6.1.21;1.14.12.10;2.7.1.40;3.7.1.5;2.6.1.14;1.13.11.-|1.13.11.66;1.14.14.-|1.14.14.1
R01316,3.1.1.32;3.1.1.4
R01319,2.3.1.62;2.3.1.23;2.3.1.20
R01320,2.1.1.16|2.1.1.71;2.1.1.17;2.1.1.354|2.1.1.355|2.1.1.59|2.1.1.60;2.1.1.80;2.1.1.77
R01321,3.1.4.3;2.3.1.22;2.3.1.20
R01325,4.2.1.114;4.2.1.83;2.3.3.13|4.1.3.-
R01327,5.4.2.2;2.7.1.1;2.7.1.1|2.7.1.55;2.7.1.199;2.7.1.191|2.7.1.69
R01332,3.2.1.21
R01336,2.3.1.42;5.5.1.6;5.5.1.1;2.7.8.8;2.7.1.193|2.7.1.69;2.3.1.198;2.3.1.15
R01340,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1;1.4.3.21|1.4.3.22
R01344,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;2.6.1.14;2.6.1.88;2.6.1.21;3.1.1.43;4.1.1.1;4.3.1.15;2.6.1.57;3.7.1.5;3.5.1.114
R01349,2.1.1.15;2.1.1.25|2.1.1.6;2.1.1.6|2.1.1.68;2.1.1.4;2.1.1.146;2.1.1.197;2.1.1.42;2.1.1.155|2.1.1.231;2.1.1.150;2.1.1.212|2.1.1.46;2.1.1.276;2.1.1.50;2.1.1.109;2.1.1.94;2.1.1.128;2.1.1.116|2.1.1.121;2.1.1.292;2.1.1|2.1.1.291;2.1.1.38;2.1.1.11;2.1.1.77
R01350,3.1.1.3
R01374,4.3.1.15;5.5.1.6;1.1.1.222|1.1.1.237|1.1.1.28;1.1.5.4
R01376,2.6.1.21;2.6.1.27;2.6.1.103;1.1.1.222|1.1.1.237|1.1.1.28;1.14.12|1.14.12.12;1.13.11.15;1.2.1.19|1.2.1.5;1.13.11.52
R01393,4.1.1.1;4.1.1.55;4.1.1.77;2.3.1.180
R01401,2.4.1.-|2.4.1.118;2.4.2.8;2.4.99.20;2.3.1.26;2.3.1.24|2.3.1.291|2.3.1.297|2.3.1.298;2.7.8.11;1.1.1.113;3.2.1.74;2.4.1.245
R01409,4.1.2.10|4.1.2.11|4.1.2.47;4.1.2.47;4.1.2.10|4.1.2.11|4.1.2.46|4.1.2.47;3.2.1.21
R01415,1.3.1.2;1.2.1.50;1.1.1.-|1.1.1.100|2.3.1.85|2.3.1.86;1.3.1.10;1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4;1.1.1.375;1.1.1.272
R01424,3.5.1.13;3.5.1.6;3.1.1.1|3.5.1.-
R01431,1.1.1.287;1.2.1.19|1.2.1.23|1.2.1.49;1.2.1.28|1.2.1.7;1.1.1.2|1.1.1.21;1.2.1.19|1.2.1.22|1.2.1.23|1.2.1.3
R01432,5.3.1.5
R01441,2.7.1.207;2.7.1.208|2.7.1.69;5.4.2.2;2.7.1.1;2.7.1.1|2.7.1.55;5.1.3.11
R01446,1.2.1.23|1.2.1.3;1.2.1.5;1.1.1.345;1.1.1.337|1.1.1.375;1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4
R01451,1.3.1.21;1.1.1.145|5.3.3.1;1.14.13.26;1.3.1.9|2.3.1.-
R01460,2.3.1.26;3.2.1.74;2.3.1.72;3.2.1.21|3.2.1.74
R01470,3.1.4.39;5.4.2.2;3.1.4.4;3.1.4.46
R01472,2.7.7.37|2.7.7.64;2.7.4.10;4.6.1.15;2.7.4.6
R01473,2.4.2.51;2.4.2.40;2.7.7.37|2.7.7.64;2.4.1.87;2.4.1.241;2.4.1.239;2.4.1.91;2.4.1.46;2.4.1.15;2.4.1.38;2.4.1.50;2.4.1.63;2.4.1|2.4.1.-|2.4.1.298;2.4.1.47;2.4.1.35
R01488,1.1.1|1.1.1.19|1.1.1.2|1.1.1.21|1.1.1.91;1.1.1.21|1.1.1.90;1.6.5.2
R01492,2.3.1.24;2.3.1.26;6.3.5.9;2.3.1.76;2.4.99.20;2.3.1.24|2.3.1.291|2.3.1.297|2.3.1.298;2.5.1.17;2.7.7.91;3.2.2.19;3.2.2.24;3.6.1.21|3.6.1.9
R01494,3.5.1.23;2.7.8.27;3.1.3.-|3.1.3.4;3.2.1.46|3.2.1.62;3.2.1.45|3.2.1.62;3.1.4.12
R01495,2.7.8.27;3.1.3.-|3.1.3.4;3.2.1.46|3.2.1.62;3.2.1.45|3.2.1.62;3.1.4.12;3.5.1.23
R01498,3.2.1.46|3.2.1.62;3.2.1.45|3.2.1.62;3.2.1.23
R01503,2.7.8.27;3.1.4.12;3.1.3.-|3.1.3.4;3.2.1.46|3.2.1.62;3.2.1.45|3.2.1.62;3.5.1.23
R01504,1.2.1.31|1.2.1.95;6.2.1.33;6.3.5.9;3.6.1.21|3.6.1.9
R01520,1.1.1.119|1.1.1.179;1.1.1.120|1.1.1.179|1.1.1.376|1.1.1.48;1.1.1.363|1.1.1.388;1.1.5.9;1.1.1.363|1.1.1.49;1.1.99.35;1.1.1.107|1.1.1.122;1.1.1.203;1.1.1.233;1.1.1.21;1.14.13.25;1.1.1.1
R01525,1.1.1.124|1.14.13.50|2.5.1.18|2.7.1.59|3.2.1.14|3.2.1.165|4.1.3.3|4.2.1.66|5.1.3.8
R01544,1.1.99.3;4.2.1.40;5.1.3.3;3.2.1.21
R01556,2.3.1.79;2.3.1.180
R01561,5.4.2.2;2.4.2.3|2.4.2.4
R01563,2.3.1.180
R01573,6.3.5.9;2.7.1.101;2.7.1.1;2.7.1.1|2.7.1.55;5.3.1.15;2.7.1.5;2.7.1.60
R01574,1.1.1.113;1.1.1.233;1.1.1.21;1.1.1.119|1.1.1.179;1.1.1.120|1.1.1.179|1.1.1.376|1.1.1.48;1.1.1.1
R01579,6.3.1.2;2.3.1.68;2.3.3.13|4.1.3.-
R01582,2.6.1.21;2.6.1.27;2.6.1|2.6.1.1;2.6.1|2.6.1.42
R01586,3.4.13.18|3.4.13.4;3.5.1.132;3.5.1.130|3.5.1.ai;2.3.1.-|2.3.1.183;4.3.1.15;3.1.1.61
R01596,1.14.14.-|1.14.14.1
R01600,2.7.1.1|2.7.1.55;2.7.1.1;5.4.2.2;2.7.1.147;2.7.1.1|2.7.1.2
R01609,1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.2.3.1;1.4.3.22|1.4.3.4
R01627,1.13.11.1;1.13.11.15;1.13.11.-|1.13.11.3;1.13.11.2;1.3.1.25;1.13.11.57|1.13.11.8;1.3.1.87;1.14.12.-|1.14.12.26;1.3.1.29;1.13.11.-|1.13.11.16|1.13.11.2|1.13.11.39
R01632,1.13.11.1;1.13.11.-|1.13.11.3;1.13.11.-|1.13.11.8;1.13.11.2;1.13.11.38;1.13.11.15;1.13.11.57|1.13.11.8;1.13.11.-|1.13.11.16|1.13.11.2|1.13.11.39;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7
R01633,1.3.1.25;1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4;1.1.1.345;1.1.1.337|1.1.1.375
R01648,4.3.1.15;2.6.1.57;4.1.1.95;2.6.1.22;1.5.5.2;2.6.1.94;3.5.1.132;2.6.1.-|2.6.1.11
R01649,4.1.1.77;2.3.1.180
R01659,2.5.1.20;2.5.1.-|2.5.1.31;2.5.1.39
