Reaction ID,Theia
R10283,"4.1.3,0.9972852468490601;4.1.2,0.0017500888789072633;1.1.99,0.0006214496097527444;4.2.1,7.612579793203622e-05;1.1.3,5.932337080594152e-05"
R00209,"1.2.4,0.7908132076263428;1.2.1,0.09676063805818558;1.8.1,0.06131318211555481;2.3.1,0.03559465706348419;1.1.1,0.011521614156663418"
R12413,"4.1.1,0.2345966100692749;2.3.2,0.17154183983802795;6.3.2,0.14464901387691498;1.3.1,0.1359526365995407;6.2.1,0.05272383987903595"
R10576,"1.13.11,0.9976207613945007;1.14.12,0.0013420094037428498;1.14.99,0.0009926671627908945;1.14.18,1.4018073670740705e-05;5.4.4,7.409541467495728e-06"
R01155,"2.6.1,0.9871302247047424;1.4.1,0.012494570575654507;1.2.-,0.00017795611347537488;4.1.2,3.649638165370561e-05;4.1.1,3.14368044200819e-05"
R12248,"3.1.1,0.996594250202179;3.7.1,0.002335327910259366;3.1.2,0.0003960974863730371;3.5.1,0.00012984669592697173;3.1.8,8.286264346679673e-05"
R06908,"2.3.1,0.9983116388320923;2.8.3,0.0014185168547555804;5.4.99,0.00014662744069937617;3.1.2,3.7806446925969794e-05;1.2.1,2.597014099592343e-05"
R05684,"1.1.1,0.9996956586837769;1.1.99,0.00016908188990782946;1.3.1,3.845747050945647e-05;2.7.1,2.4616112568764947e-05;1.-.-,1.6060181224020198e-05"
R02174,"2.1.1,0.9999974966049194;1.4.3,2.5029764856299153e-06;1.3.98,3.972840900701158e-08;2.3.1,1.7304920163496718e-08;4.3.3,8.393816308682744e-09"
R00509,"2.7.4,0.740511417388916;2.7.1,0.20748527348041534;2.1.1,0.0456983745098114;2.7.2,0.002086911117658019;1.6.2,0.0005935762892477214"
R00181,"3.5.4,0.9997425675392151;3.5.99,0.00010668826871551573;3.3.1,2.5677174562588334e-05;3.4.17,2.2250964320846833e-05;1.11.1,1.3485072486218996e-05"
R13355,"1.14.13,0.7344425916671753;1.13.12,0.06920969486236572;1.4.11,0.06602530181407928;1.3.98,0.05096490681171417;1.4.99,0.02410835213959217"
R00484,"3.5.1,0.9991499185562134;3.5.3,0.0006513746338896453;3.4.19,3.3502645237604156e-05;3.4.17,2.936618147941772e-05;4.3.2,1.290361524297623e-05"
R09774,"2.4.2,0.9020369648933411;2.4.1,0.09397710859775543;5.1.3,0.0007996475324034691;2.7.7,0.0007052740547806025;5.4.2,0.0006209511193446815"
R10596,"2.4.1,0.9989010095596313;3.2.1,0.00045618737931363285;2.7.7,0.0001863116049207747;5.4.99,0.00013322940503712744;2.4.2,8.80930238054134e-05"
R04016,"3.5.1,0.9429160356521606;2.3.1,0.05623617395758629;2.4.2,0.0002811855520121753;2.1.2,0.00013497374311555177;6.3.4,8.16344836493954e-05"
R10155,"1.14.13,0.9998780488967896;1.14.11,4.439416079549119e-05;1.14.14,3.004939208040014e-05;1.1.1,9.171261808660347e-06;1.14.12,8.298180546262302e-06"
R08966,"2.7.4,0.7740060091018677;2.7.1,0.19946995377540588;2.1.1,0.01891961507499218;6.2.1,0.002652202034369111;2.7.2,0.0017209263751283288"
R09426,"2.4.1,0.999178946018219;2.7.7,0.0006915557314641774;5.1.3,6.338956154650077e-05;2.4.2,2.3315400540013798e-05;1.1.1,8.856366548570804e-06"
R03770,"2.7.1,0.9471428990364075;3.1.3,0.016721101477742195;2.7.4,0.014572517946362495;2.7.11,0.007120843511074781;3.1.4,0.00673526618629694"
R08222,"2.4.2,0.9999957084655762;3.2.2,3.70969837604207e-06;6.3.4,1.3232212836555846e-07;3.1.3,8.509662308142651e-08;2.7.8,7.972084858920425e-08"
R08104,"1.14.12,0.9999352693557739;1.3.1,5.6930755818029866e-05;1.14.13,2.822032683980069e-06;6.2.1,2.357123094043345e-06;1.14.14,1.4751132084711571e-06"
R05338,"4.1.2,0.9225890040397644;5.3.1,0.05819908529520035;1.1.99,0.005531868431717157;1.1.1,0.003905448131263256;5.1.3,0.0038207187317311764"
R06894,"1.1.1,0.9738909602165222;1.2.1,0.012598926201462746;4.2.1,0.002940709237009287;1.14.14,0.0027310396544635296;1.17.1,0.002300277119502425"
R07648,"4.2.3,0.9701502919197083;5.5.1,0.02179730124771595;5.3.3,0.0068345749750733376;4.2.1,0.0007205423316918314;1.3.-,0.0001318699651164934"
R00705,"1.2.1,0.9899237751960754;1.1.1,0.009451009333133698;4.1.1,0.00016615218191873282;1.8.1,0.00010109742288477719;1.2.4,8.794157474767417e-05"
R10257,"2.4.2,0.9999837875366211;2.3.1,1.4307441233540885e-05;2.7.6,9.913107987813419e-07;5.1.3,5.289082878334739e-07;2.4.-,2.4869800085980387e-07"
R04279,"3.1.1,0.3685902953147888;1.1.1,0.35842663049697876;1.2.1,0.2717713415622711;1.3.1,0.00033458677353337407;1.1.3,0.00022942156647332013"
R10762,"4.2.3,0.9305049180984497;4.2.1,0.05417463928461075;1.14.13,0.00961014162749052;4.1.99,0.0024285500403493643;1.14.15,0.0014067183947190642"
R05386,"4.5.1,0.9999517202377319;3.8.1,4.4241256546229124e-05;5.5.1,3.240260184611543e-06;1.97.1,4.5046252239444584e-07;4.1.2,2.2514781505833525e-07"
R03422,"3.1.4,0.9881356954574585;3.1.3,0.009894133545458317;3.6.1,0.0017158323898911476;3.2.1,4.3820826249429956e-05;3.1.11,3.6044275475433096e-05"
R09765,"2.4.99,0.9358320832252502;2.3.2,0.0441952683031559;2.4.1,0.007430389057844877;2.7.7,0.005059209652245045;3.1.3,0.004887493792921305"
R09723,"3.2.1,0.5502119064331055;3.1.1,0.41771021485328674;2.3.1,0.02480568177998066;2.4.1,0.007129069417715073;3.7.1,5.734194564865902e-05"
R11882,"1.16.3,0.9999871253967285;1.11.1,7.128338893380715e-06;3.1.4,1.4718395959789632e-06;3.4.17,5.721313982576248e-07;1.9.3,5.397345148594468e-07"
R04125,"2.1.2,0.9984297156333923;1.4.4,0.0014976351521909237;4.3.1,6.945649511180818e-05;3.5.4,2.2535496100317687e-06;3.5.99,5.52036510725884e-07"
R12151,"4.2.1,0.5112318992614746;4.1.99,0.48519760370254517;4.1.2,0.0031510712578892708;4.4.1,0.0001336711284238845;4.3.3,7.787389040458947e-05"
R11842,"5.5.1,0.5417822003364563;4.2.3,0.34928953647613525;5.3.3,0.05206664651632309;2.5.1,0.019215961918234825;4.3.2,0.01137633342295885"
R12662,"1.13.11,0.8571231961250305;6.2.1,0.09989645332098007;1.14.99,0.04132910072803497;1.14.14,0.0004152830224484205;1.14.12,0.0004143695696257055"
R03462,"1.13.11,0.6975347995758057;1.1.1,0.11754836142063141;5.3.3,0.06483525782823563;1.1.99,0.04539371654391289;1.-.-,0.021419981494545937"
R11704,"2.4.1,0.6682451367378235;2.7.7,0.3146185874938965;6.2.1,0.0035875337198376656;1.14.13,0.003080940106883645;2.4.2,0.0016418976010754704"
R08391,"1.14.13,0.5903121829032898;1.14.14,0.39725908637046814;5.3.99,0.009815981611609459;3.1.7,0.0005588560597971082;1.5.1,0.00040022892062552273"
R04431,"2.7.7,0.4783138036727905;2.4.2,0.38755354285240173;5.1.3,0.056304771453142166;2.3.1,0.05459905415773392;2.4.1,0.014341888949275017"
R07259,"4.2.2,0.9937217831611633;2.4.1,0.00531045813113451;5.4.99,0.0004819374589715153;1.1.1,0.0001676730316830799;3.4.14,0.00010908028343692422"
R02975,"1.1.1,0.9999901056289673;1.14.13,2.55915892921621e-06;1.-.-,2.3386760403809603e-06;2.3.1,2.0412151116033783e-06;1.8.1,9.336908988188952e-07"
R11462,"2.8.3,0.994961142539978;4.2.1,0.0030524260364472866;2.3.1,0.0007385514909401536;1.1.99,0.0005549685447476804;3.1.1,0.00018672198348212987"
R10002,"4.3.99,0.9931733012199402;1.5.1,0.0018917534034699202;1.5.99,0.0017823349917307496;4.3.1,0.0006336253718473017;3.5.4,0.0004264772869646549"
R12575,"6.2.1,0.9998716115951538;2.7.2,5.3682942962041125e-05;2.7.1,4.1602692363085225e-05;2.8.3,2.101031714119017e-05;2.1.1,4.492079369811108e-06"
R06336,"1.4.11,0.9802724719047546;1.14.11,0.019612956792116165;1.14.20,4.386525324662216e-05;1.14.-,3.805416781688109e-05;1.14.13,1.7971797205973417e-05"
R08540,"4.2.3,0.8544358015060425;5.5.1,0.09718626737594604;2.5.1,0.022546835243701935;4.2.1,0.01464955322444439;5.3.3,0.008149622939527035"
R12973,"1.1.3,0.9965168237686157;1.8.3,0.0026154043152928352;1.1.99,0.00030461899586953223;5.3.1,8.043622074183077e-05;4.2.99,8.008871373021975e-05"
R02770,"5.1.3,0.9997033476829529;2.7.8,0.00011990078928647563;5.4.99,2.9657327104359865e-05;5.-.-,2.4101511371554807e-05;2.3.1,1.3410686733550392e-05"
R05281,"1.14.13,0.7385603189468384;1.14.99,0.15714077651500702;1.14.15,0.05718928202986717;1.14.14,0.028537200763821602;1.-.-,0.009675988927483559"
R01393,"4.1.1,0.6253295540809631;1.1.1,0.11653167009353638;2.2.1,0.10235666483640671;5.3.1,0.08820945024490356;2.6.1,0.053798746317625046"
R08692,"2.4.1,0.666908323764801;2.7.7,0.32236695289611816;2.4.2,0.004364145919680595;2.3.1,0.0013134526088833809;6.2.1,0.0011727632954716682"
R11892,"2.7.4,0.7740060091018677;2.7.1,0.19946995377540588;2.1.1,0.01891961507499218;6.2.1,0.002652202034369111;2.7.2,0.0017209263751283288"
R12086,"2.3.1,0.9999430179595947;2.3.2,2.239120840386022e-05;3.1.2,1.2638261978281662e-05;2.5.1,7.713026207056828e-06;6.2.1,6.074369139241753e-06"
R11306,"2.4.1,0.999127209186554;5.4.99,0.0008337068138644099;3.2.1,2.5483243007329293e-05;2.3.1,8.40088523546001e-06;5.4.1,2.8426782137103146e-06"
R09521,"1.22.1,0.9746212363243103;1.21.1,0.019399743527173996;1.11.1,0.005156569182872772;1.8.1,0.0003059637383557856;1.14.12,0.0001326622732449323"
R08968,"2.7.1,0.9923823475837708;2.7.7,0.004625973757356405;2.7.4,0.0023590123746544123;2.1.1,0.0003837038530036807;2.3.1,4.562161484500393e-05"
R10368,"1.14.21,0.9999071359634399;1.14.19,3.622438453021459e-05;1.3.3,2.680815669009462e-05;1.6.99,8.264588359452318e-06;1.10.99,3.3897879347932758e-06"
R02219,"1.3.1,0.7536909580230713;1.3.99,0.20769797265529633;1.1.1,0.03738664835691452;1.3.3,0.00033063587034121156;1.3.8,0.00019239123503211886"
R10857,"1.1.3,0.999977707862854;1.8.3,1.7457898138673045e-05;1.1.99,3.872363322443562e-06;1.14.18,3.3985486425081035e-07;1.21.3,2.51691176345048e-07"
R00428,"3.5.4,0.999350368976593;4.3.2,0.00022888403327669948;2.1.2,0.000150869891513139;3.2.2,6.112384289735928e-05;2.4.2,4.903926674160175e-05"
R10401,"3.1.1,0.9999525547027588;3.1.2,1.7365435269312002e-05;4.2.1,1.4895275853632484e-05;2.3.1,9.229285751644056e-06;3.5.1,3.816888693108922e-06"
R12467,"2.3.1,0.6682994365692139;1.2.1,0.3310569226741791;1.3.1,0.00047588362940587103;4.1.1,5.600884469458833e-05;3.1.2,4.453480869415216e-05"
R04818,"1.1.1,0.9992032647132874;1.3.1,0.0005871293251402676;2.3.1,7.57325833546929e-05;1.14.13,4.3696101784007624e-05;1.-.-,2.9710981834796257e-05"
R01258,"1.4.1,0.9663702845573425;1.7.1,0.013103586621582508;1.1.1,0.004988376051187515;1.12.1,0.004041555803269148;1.5.1,0.002893260680139065"
R10217,"1.1.1,0.9998074173927307;1.2.1,9.721815877128392e-05;1.3.1,4.969506335328333e-05;1.1.3,2.0528852473944426e-05;1.-.-,1.808222987165209e-05"
R01424,"3.5.1,0.9889251589775085;3.1.1,0.00819431059062481;3.7.1,0.0014620146248489618;3.4.11,0.0003717167128343135;3.4.13,0.00026747205993160605"
R00953,"2.4.1,0.9759666323661804;2.4.2,0.013767746277153492;3.1.3,0.005724071059376001;2.7.1,0.003689434379339218;2.7.3,0.0006013712845742702"
R11867,"5.4.99,0.9965769648551941;5.5.1,0.0014235423877835274;5.3.3,0.0005862152902409434;4.2.1,0.00044721996528096497;5.4.1,0.0003831693611573428"
R02780,"2.7.1,0.9999257326126099;2.7.13,3.9718874177196994e-05;2.7.3,3.0913008231436834e-05;2.7.4,1.6925599766182131e-06;2.7.11,1.0356066013628151e-06"
R00400,"2.6.1,0.9999675750732422;1.4.7,7.933243068691809e-06;2.1.3,6.5050226112362e-06;4.1.3,4.516692115430487e-06;5.1.1,3.4067161323037e-06"
R03423,"3.1.4,0.997852087020874;3.1.3,0.001346478471532464;3.6.1,0.0007871599518693984;5.6.1,4.63724609289784e-06;3.6.2,3.190578127032495e-06"
R01437,"4.1.1,0.6431335210800171;2.6.1,0.32402101159095764;2.3.1,0.013151014223694801;4.3.1,0.011361760087311268;4.3.2,0.001396479201503098"
R12285,"2.5.1,0.9255449175834656;4.2.1,0.055611129850149155;5.3.99,0.010586830787360668;4.2.3,0.001840510405600071;5.4.4,0.001449262024834752"
R05641,"1.3.1,0.9993355870246887;1.1.1,0.0004226079036016017;1.2.1,0.0001343091862509027;1.3.99,6.255542393773794e-05;1.14.21,2.306809437868651e-05"
R01451,"1.3.1,0.9931856393814087;5.3.3,0.0038570649921894073;1.1.1,0.002414290327578783;1.6.5,0.0001594527711858973;1.2.1,7.509666465921327e-05"
R06871,"3.1.3,0.9910111427307129;3.1.4,0.007091304287314415;3.6.1,0.0009908063802868128;2.7.1,0.0008132077055051923;4.2.3,4.954878022545017e-05"
R00397,"4.1.1,0.9745352268218994;1.1.1,0.007735211867839098;3.4.16,0.00333125120960176;2.3.1,0.0025919214822351933;1.2.2,0.002221721690148115"
R12498,"2.7.7,0.5440191030502319;2.7.1,0.2534911036491394;2.7.4,0.18583692610263824;3.6.3,0.004472077824175358;6.2.1,0.004259916488081217"
R08832,"1.14.18,0.9960235357284546;1.10.3,0.002036369638517499;1.14.13,0.0015558452578261495;1.14.16,0.0003475859994068742;1.3.98,1.527029053249862e-05"
R09445,"1.7.1,0.5960888266563416;1.6.5,0.1431775987148285;3.8.1,0.104832224547863;1.10.3,0.07693328708410263;1.6.99,0.031615208834409714"
R00277,"1.4.3,0.999955415725708;3.5.4,1.5860687199165113e-05;3.5.99,1.4631211342930328e-05;1.4.9,9.180897905025631e-06;1.5.99,1.1833272992589627e-06"
R10920,"1.14.11,0.9063215851783752;1.17.3,0.021855590865015984;1.14.20,0.01976407878100872;1.4.11,0.019341683015227318;1.13.12,0.01590457186102867"
R10239,"2.3.1,0.999902606010437;4.2.1,5.185808549867943e-05;3.1.2,3.1892825063550845e-05;1.13.12,9.307160325988661e-06;1.2.1,2.8634860882448265e-06"
R10622,"3.1.3,0.9453105330467224;3.6.1,0.04591559246182442;3.1.4,0.003171434160321951;2.7.1,0.0020836694166064262;3.2.1,0.0020522221457213163"
R04748,"1.1.1,0.8492395877838135;2.3.1,0.14983037114143372;4.2.1,0.00039311638101935387;1.14.13,0.00011703343625413254;1.-.-,0.00010366214701207355"
R05052,"2.6.1,0.9808789491653442;2.3.1,0.006667222362011671;2.5.1,0.0023772146087139845;6.2.1,0.0014964606380090117;5.1.3,0.00112991314381361"
R10657,"2.7.1,0.8191468119621277;2.7.4,0.17068782448768616;2.1.1,0.008581539615988731;6.2.1,0.000503646966535598;2.7.2,0.0003995201550424099"
R03482,"3.1.1,0.8450679183006287;3.5.1,0.07362533360719681;2.3.1,0.04297797381877899;2.7.1,0.016191566362977028;2.4.1,0.013126969337463379"
R02056,"2.1.1,1.0;4.3.3,2.591021841524821e-09;1.4.3,2.5836834893766536e-09;1.3.98,1.4739955922493664e-09;1.5.8,1.0063248012670556e-09"
R12970,"3.5.1,0.6342053413391113;3.2.1,0.36399832367897034;2.3.1,0.0010535508627071977;3.2.2,0.0003190756542608142;3.1.1,0.00030348976724781096"
R01371,"1.1.1,0.9410210847854614;2.3.1,0.0578836090862751;1.3.1,0.00039661049959249794;1.14.13,0.00026949611492455006;4.2.1,0.00016185556887649"
R10451,"2.1.1,1.0;2.3.1,1.7349725036633e-14;6.-.-,5.139631811305564e-16;2.5.1,3.8984236117170024e-16;6.3.2,2.483089260974598e-16"
R07860,"1.14.13,0.9498644471168518;1.1.1,0.012341481633484364;1.14.14,0.008949057199060917;2.3.1,0.006380826234817505;3.1.4,0.005625010468065739"
R08045,"1.7.1,0.9998199343681335;1.7.-,3.5973127523902804e-05;1.1.1,2.5760791686479934e-05;1.6.6,1.6361973393941298e-05;1.19.1,1.4773158909520134e-05"
R07145,"1.1.1,0.9730554819107056;2.3.1,0.01872451789677143;1.3.1,0.005064793396741152;2.7.1,0.0015937909483909607;1.2.1,0.0005626480560749769"
R06447,"5.3.3,0.5661337971687317;2.5.1,0.42915722727775574;2.7.1,0.0006991998525336385;2.7.8,0.0005514448275789618;1.14.99,0.0005449616000987589"
R04218,"2.5.1,0.9929347634315491;4.2.3,0.0025688987225294113;5.5.1,0.0012245775433257222;4.2.99,0.0010478782933205366;1.3.1,0.0007412976701743901"
R09715,"5.5.1,0.9993177652359009;5.4.99,0.00026001784135587513;1.3.99,0.0001050273422151804;4.2.3,9.136602602666244e-05;1.3.-,3.6580702726496384e-05"
R06759,"1.-.-,0.932738184928894;1.13.12,0.022780464962124825;1.14.13,0.013789795339107513;1.14.-,0.0133158965036273;1.1.3,0.003653100924566388"
R08274,"1.14.14,0.5591974854469299;1.14.13,0.4397432804107666;1.14.99,0.0009137470624409616;1.13.12,5.440392851596698e-05;1.14.-,3.9504993765149266e-05"
R08536,"1.1.1,0.9999873638153076;5.1.3,9.879510798782576e-06;1.2.1,9.682904646979296e-07;1.-.-,8.275532081825077e-07;2.2.1,1.6564548843689408e-07"
R02594,"2.4.1,0.9998335838317871;2.7.7,7.829243986634538e-05;3.2.1,1.9653183699119836e-05;3.1.1,1.432178214599844e-05;2.1.1,1.343452913715737e-05"
R12492,"2.3.1,0.7317155599594116;2.8.3,0.2483406960964203;4.2.1,0.019096780568361282;4.1.2,0.0006351597257889807;3.1.2,5.707552554667927e-05"
R01558,"6.2.1,0.9178624153137207;2.3.1,0.038161128759384155;2.7.4,0.016401277855038643;3.2.1,0.01286129467189312;2.7.1,0.003904906567186117"
R03950,"2.1.1,1.0;2.3.1,1.9099468673289266e-08;2.5.1,4.7414780435239834e-11;6.3.2,3.343863033689054e-11;4.4.1,9.687306512518035e-12"
R10797,"4.1.1,0.29165905714035034;1.17.98,0.2239089161157608;1.3.98,0.18581901490688324;4.3.3,0.10156743973493576;4.2.1,0.04604368284344673"
R05880,"3.1.1,0.9802643060684204;3.1.2,0.0067667230032384396;3.3.2,0.0029168943874537945;3.4.11,0.002832995727658272;3.1.4,0.001797978300601244"
R03058,"1.13.11,0.994906485080719;5.4.4,0.002430492080748081;3.3.2,0.0022093087900429964;1.14.12,0.00015271539450623095;4.2.1,0.00011041128891520202"
R09458,"1.2.-,0.9815459847450256;2.6.1,0.007007721345871687;4.1.2,0.0035356248263269663;4.1.99,0.0021582108456641436;4.1.1,0.0019612559117376804"
R04000,"2.8.3,0.7793237566947937;5.4.99,0.14017242193222046;4.2.1,0.06510962545871735;4.1.2,0.006183647084981203;2.3.1,0.003569734515622258"
R10695,"3.5.4,0.9995032548904419;3.5.99,0.00019024482753593475;1.11.1,4.5495846279663965e-05;3.3.1,4.526198245002888e-05;3.4.17,4.066151086590253e-05"
R13030,"6.2.1,0.944649338722229;1.2.1,0.04556206613779068;2.5.1,0.004653375130146742;2.3.1,0.002808165969327092;3.1.2,0.0013204682618379593"
R10846,"5.4.99,0.944221556186676;5.4.1,0.04336746782064438;3.2.1,0.010046959854662418;1.3.2,0.0004103909304831177;2.4.1,0.000304045039229095"
R03306,"1.14.12,0.8907104730606079;1.14.13,0.09520883858203888;1.14.-,0.007280257064849138;1.14.14,0.005350859370082617;1.3.1,0.0008434865740127861"
R11971,"1.8.2,0.9999793767929077;1.7.2,1.3878272511647083e-05;1.8.99,4.761398031405406e-06;1.11.1,2.63697586433409e-07;1.9.99,2.636588760651648e-07"
R07902,"3.1.2,0.45498567819595337;2.3.1,0.41619014739990234;3.1.1,0.09361952543258667;2.3.3,0.011247431859374046;3.2.1,0.007994016632437706"
R04695,"1.5.1,0.9999927282333374;1.5.99,3.9426608964276966e-06;1.19.1,1.1626619880189537e-06;1.14.13,4.33090718843232e-07;1.4.1,4.212336648379278e-07"
R04726,"2.3.1,0.9999086856842041;4.1.1,4.488475315156393e-05;3.1.1,1.6213896742556244e-05;3.1.2,1.0728593224484939e-05;1.2.7,7.468395779142156e-06"
R09351,"2.3.1,0.8067387342453003;2.4.1,0.19264112412929535;3.1.1,0.0004644116561394185;3.2.1,6.275042687775567e-05;2.4.2,4.604169225785881e-05"
R02490,"4.2.1,0.9971365928649902;3.2.1,0.0012828022008761764;3.7.1,0.0005479208775795996;5.4.4,0.00028174935141578317;2.3.3,0.00014303604257293046"
R07137,"1.1.1,0.9987599849700928;1.12.1,0.00035365388612262905;1.8.1,0.00018616400484461337;1.4.1,0.00012461957521736622;1.6.5,0.0001198841055156663"
R02216,"1.1.1,0.719983696937561;5.3.3,0.2772614657878876;1.3.1,0.0021612881682813168;1.14.13,0.00025328746414743364;2.5.1,8.226674981415272e-05"
R13398,"3.1.4,0.6287186145782471;4.2.1,0.1912076473236084;3.7.1,0.08936723321676254;3.2.1,0.06603354215621948;3.1.1,0.01397806778550148"
R01921,"1.1.1,0.9995854496955872;1.3.1,0.00022109005658421665;2.3.1,0.00013614131603389978;1.2.1,9.792326636670623e-06;1.-.-,7.523791737185093e-06"
R03803,"3.1.1,0.8272746801376343;2.3.1,0.043920744210481644;3.1.4,0.03812990337610245;3.1.2,0.015962857753038406;3.2.1,0.010945579968392849"
R03589,"2.4.1,0.9992874264717102;3.2.1,0.0004131291061639786;2.7.7,0.00011404712131479755;5.1.3,6.380476406775415e-05;2.4.2,5.615595728158951e-05"
R05167,"3.5.1,0.9999018907546997;3.1.1,1.7516877051093616e-05;3.4.17,1.668939512455836e-05;2.3.2,1.6435851648566313e-05;3.5.3,1.1701440598699264e-05"
R03332,"3.1.3,0.5134201645851135;3.1.4,0.2501663565635681;4.6.1,0.2186962515115738;3.6.1,0.017360499128699303;4.2.1,0.00020096263324376196"
R02691,"2.3.1,0.9967052340507507;2.7.8,0.0011551848147064447;2.7.7,0.001144256442785263;2.4.2,0.00048568789497949183;5.1.3,0.0003783998836297542"
R06703,"2.1.1,1.0;2.3.1,4.8206833490327394e-12;2.5.1,8.276428045510265e-14;6.3.2,1.7923183282583105e-14;3.1.1,1.3069958086457927e-14"
R04673,"2.2.1,0.9985544085502625;1.2.4,0.0008977677789516747;2.3.3,0.00037943432107567787;1.1.1,5.254419011180289e-05;1.1.2,2.5674922653706744e-05"
R07921,"2.1.1,1.0;2.3.1,2.8742604740727984e-08;2.5.1,5.49333867283508e-09;2.6.1,3.2165379248993986e-09;4.3.3,1.5270140707457358e-09"
R01497,"2.4.1,0.81831955909729;3.5.1,0.17842890322208405;2.4.2,0.0012644504895433784;3.2.1,0.0009809533366933465;2.3.1,0.00048802149831317365"
R02284,"3.5.2,0.9889045357704163;3.4.17,0.008333376608788967;1.3.98,0.0005421497044153512;4.3.2,0.0005073512438684702;3.4.22,0.0001838023163145408"
