Reaction name,SIMMER
MNXR153745,5.1.3
MNXR148613,2.3.1
MNXR119853,2.5.1|2.5.1
MNXR174731,2.7.3|6.3.4|2.7.11|3.6.3
MNXR153206,4.3.1
MNXR192364,1.14.15|4.2.1
MNXR148122,4.6.1|3.1.4
MNXR109752,2.3.1
MNXR122780,2.5.1
MNXR152192,3.4.16|3.4.17
MNXR97263,1.1.1
MNXR117447,1.13.12
MNXR182138,1.4.5
MNXR176964,2.1.1|2|2.1.1
MNXR151972,1.14.17
MNXR150794,4.2.1
MNXR109745,1.2.1
MNXR111570,2.3.1
MNXR122950,2.4.1
MNXR130350,2.7.1
MNXR118266,1.1.1
MNXR185502,2.5.1
MNXR184725,1.14.19
MNXR164398,1.11.1
MNXR188551,4.6.1
MNXR130623,4.3.1
MNXR116643,1.14.13
MNXR175315,1.1.1
MNXR170614,2.3.1
MNXR190292,1.5.99
MNXR116332,1.21.99
MNXR186799,1.14.11
MNXR166089,2.3.1
MNXR192237,1.3.8
MNXR166016,3.1.1
MNXR164784,2.3.1
MNXR195091,5.1.1
MNXR145483,6.1.1
MNXR191861,1.11.1
MNXR130701,3.5.2
MNXR175602,1.9.6|1.7.99
MNXR164480,2.3.3|2.3.1
MNXR131695,3.2.1|2.4.1
MNXR110231,2.3.1
MNXR163725,1.14.14|1.14.11
MNXR177985,4.4.1|2.8.1
MNXR164895,3.1.1
MNXR164326,6.2.1
MNXR114166,1.1.1
MNXR120420,1.3.1
MNXR110205,1.14.13|1.1.1
MNXR173728,1.1.5
MNXR181499,1.1.1
MNXR130814,3.5.1
MNXR174736,2.7.3|6.3.4|2.7.11|3.6.3
MNXR149521,1.14.11
MNXR132226,3.6.1|3.1.3
MNXR132215,3.4.21
MNXR126013,1.14.99|1.14.19
MNXR171269,4.1.1
MNXR111355,2.8.1
MNXR100064,2.1.2
MNXR165776,2.4.1
MNXR129489,3.2.2
MNXR152103,4.3.3
MNXR122056,1.3.1
MNXR119521,2.3.1
MNXR117945,2.1.1
MNXR120572,1.3.1|1.14.13
MNXR174386,3.2.1|2.4.1
MNXR129530,1.2.1
MNXR114338,1.1.1
MNXR119210,1.4.9
MNXR108089,1.2.4
MNXR147989,1.13.11
MNXR109409,1.1.1
MNXR117039,2.1.1
MNXR102013,No Significant EC
MNXR118690,2.3.1
MNXR132332,No Significant EC
MNXR188519,2.1.1
MNXR193704,6.3.5|2.7.3|2.7.1
MNXR174764,2.7.3|6.3.4|2.7.11|3.6.3
MNXR119448,5.1.3
MNXR134954,2.3.1
MNXR139258,1.97.1
MNXR183899,2.7.4
MNXR181945,1.2.1
MNXR108954,5.1.3
MNXR152379,5.3.2
MNXR174829,2.7.3|6.3.4|2.7.11|3.6.3
MNXR129811,No Significant EC
MNXR131460,2.1.1
MNXR119319,1.8.1|1.1.1
MNXR117864,1.14.13
MNXR131678,1.8.1|1.1.1
MNXR120058,1.2.1|2.3.1
MNXR113812,2.3.1
MNXR119809,2.1.1
MNXR188758,1.1.1
MNXR145034,2.3.1
MNXR165403,1.4.1|1.1.1
MNXR111321,1.1.1
MNXR117196,2.1.1
MNXR108946,1.1.1|1.14.13
MNXR143855,2.4.1|2|2.4.1
MNXR186191,3.1.3|2.3.1
MNXR175136,2.7.3|6.3.4|2.7.11|3.6.3
MNXR122909,1.1.99
MNXR186648,1.3.3
MNXR176705,2.7.8
MNXR132037,1.2.4
MNXR106868,1.14.12
MNXR175199,2.7.3|6.3.4|2.7.11|3.6.3
MNXR184647,3.2.1
MNXR125036,5.3.3|5|5.3.3
MNXR191833,1.2.1|1
MNXR150676,4.2.3
MNXR189376,1.14.99
MNXR133496,2.7.14|2.7.3
MNXR186610,1.1.3
MNXR190844,2.3.3|2.3.1
MNXR112902,7.1.1
MNXR178244,1.1.1
MNXR121815,2.4.1
MNXR187728,1.14.19
MNXR120714,6.3.2
MNXR177325,1.14.13
MNXR113480,1.2.1
MNXR150694,1.14.14
MNXR173135,2.3.3|2.3.1
MNXR182090,3.1.3
MNXR122460,1.14.13
MNXR173457,3.2.1
MNXR117561,1.11.1|1.5.1
MNXR149798,1.14.14
MNXR182393,1.1.5
MNXR192170,1.3.8|1.17.99
MNXR120346,2.1.1|2|2.1.1
MNXR112961,5.1.3
MNXR112794,2.1.1
MNXR135120,2.4.1|3.2.1
MNXR181759,1.2.1|1.1.1
MNXR178230,1.1.1
MNXR164240,4.1.99
MNXR131530,3.2.1
MNXR148460,2.4.1
MNXR191463,2.4.1
MNXR151477,No Significant EC
MNXR192390,5.3.3|1.3.8
MNXR118078,2.3.1
MNXR176901,1.14.13|1.8.1
MNXR163705,2.3.1
MNXR149066,1.8.1|1.1.1
MNXR148126,3.1.2|2.3.1
MNXR121133,3.1.4
MNXR163890,3.1.1
MNXR192073,1.1.1
MNXR108751,1.1.1|1|1.1.1
MNXR129796,3.8.1
MNXR165835,1.4.1|1.5.1
MNXR133677,1.11.1|1.3.1
MNXR174140,2.4.1
MNXR173736,5.1.3
MNXR109793,1.14.13
MNXR148505,3.1.2|2.3.1
MNXR118021,2.4.1
MNXR184309,2.5.1
MNXR164204,1.14.19
MNXR182657,2.4.1
MNXR135805,6.2.1
MNXR163950,1.3.1
MNXR189723,3.1.3
MNXR175535,1.1.1
MNXR99236,1.8.1
MNXR114562,5.1.3
MNXR188190,2.3.1|6.3.2
MNXR182382,1.14.13|1.1.1
MNXR149944,1.3.1
MNXR165970,3.1.4
MNXR114024,1.8.1
MNXR192115,2.7.1
MNXR108737,2.8.2
MNXR172471,6.1.1|2.7.7
MNXR148175,3.1.1
MNXR165668,1.3.8
MNXR175346,2.3.3|2.3.1
MNXR148757,3.2.1
MNXR117730,2.3.1
MNXR149203,3.7.1
MNXR173799,2.4.1
MNXR182054,1.6.5
MNXR142090,1.17.1
MNXR149104,2.3.3|2.3.1
MNXR179980,4.1.2
MNXR117473,1.3.1
MNXR145697,1.14.13
MNXR164828,2.3.3|2.3.1
MNXR174180,2.7.1
MNXR169683,1.3.1
MNXR110186,4.2.1
MNXR118239,3.4.19
MNXR176148,1.3.1
MNXR153279,4.1.1|1.14.14
MNXR120777,2.3.1
MNXR149137,3.2.1|2.4.99
MNXR105183,1.1.1
MNXR115481,3.4.22
MNXR194953,3.4.22|3.4.21
MNXR143698,2.4.1
MNXR188768,2.1.1
MNXR114152,2.4.2
MNXR173898,3.2.2
MNXR140120,3.7.1
MNXR148721,1.1.1
MNXR148970,1.11.1
MNXR150583,4.2.3
MNXR169530,2.3.1
MNXR174691,2.7.3|6.3.4|2.7.11|3.6.3
MNXR193597,1.3.1|1.1.1
MNXR108104,1.1.1
MNXR148725,1.3.1|1.8.1
MNXR147688,3.1.4
MNXR151848,6.3.2
MNXR113390,2.1.1
MNXR111303,1.14.13
MNXR148669,1.14.13
MNXR172602,2.3.1
MNXR142256,1.14.13
MNXR146084,2.3.1
MNXR182252,2.4.1
MNXR150460,2.3.1|2.5.1
MNXR181116,1.1.1
MNXR147797,2.7.1
MNXR192980,1.14.11
MNXR146639,2.4.1
MNXR95433,2.7.1
MNXR111781,1.1.1|1|1.1.1
MNXR134452,3.2.1|3.1.1
MNXR110941,2.4.1
MNXR188732,2.4.2
MNXR145895,3.1.1
MNXR181727,1.1.1|1.2.1
MNXR186871,3.2.1
MNXR131489,4.2.1
MNXR108667,1.3.1
MNXR151767,1.1.1
MNXR147953,2.1.1
MNXR192862,6.3.2
MNXR122589,2.1.1
MNXR110618,1.14.13
MNXR153437,2.3.1
MNXR179717,1.1.-|1.1.3
MNXR164416,2.4.1|2|2.4.1
MNXR112093,2.7.1
MNXR191890,1.14.17
MNXR117456,3.2.1|2.4.1
MNXR117433,3.6.1|2.4.1
MNXR184068,3.1.1
MNXR173167,2.7.1
MNXR129996,1.4.1
MNXR117177,1.11.2|4.99.1
MNXR145863,1.17.99
MNXR146437,2.7.4|2.7.11|3.6.3
MNXR115783,1.21.3
MNXR109937,3.2.1
MNXR145334,2.3.1
MNXR116996,1.14.-
MNXR117833,4.2.3
MNXR183837,2.7.1
MNXR143940,2.3.1
MNXR131047,1.8.3
MNXR186811,No Significant EC
MNXR121856,1.14.11|1|1.14.11
MNXR147311,2.8.3
MNXR100413,3.1.4|3.1.1
MNXR139777,2.4.1
MNXR121644,6.3|6.3
MNXR169456,2.4.2|2.4.1
MNXR165996,1.14.14
MNXR193805,2.1.1
MNXR174695,2.7.3|6.3.4|2.7.11|3.6.3
MNXR179765,2.4.1
MNXR173335,3.2.1|2.4.99|2.4.1
MNXR190501,2.3.1
MNXR173211,3.2.1
MNXR129845,3.4.13
MNXR141432,3.4.11
MNXR120355,1.14.-
MNXR166280,2.3.1|3.2.1
MNXR188714,2.3.1
MNXR134274,5.1.3
MNXR113927,2.8.3
MNXR132147,3.2.1
MNXR114348,2.1.1
MNXR135464,3.2.1
MNXR172720,1.1.1|1.14.12
MNXR129457,No Significant EC
MNXR187064,2.4.1
MNXR173215,3.1.1
MNXR102977,3.1.1
MNXR131649,1.13.11
MNXR131461,2.1.1|2|2.1.1
MNXR182044,1.6.5
MNXR130163,1.14.13
MNXR149443,1.6.5|1.1.1
MNXR123744,6.2.1
MNXR172328,2.4.1
MNXR113306,5.4.99
MNXR131744,1.18.1
MNXR146990,2.1.1
MNXR181387,1.1.1
MNXR182080,1.6.5
MNXR133519,2.7.1|3.6.3
MNXR148643,1.1.1
MNXR144157,1.1.5|1.3.5
MNXR145972,5.3.1
MNXR131757,3.4.11
MNXR174122,2.4.1
MNXR172444,5.1.3
MNXR115148,2.4.1
MNXR129416,1.1.1
MNXR109162,1.1.1
MNXR133573,1.4.9
MNXR143907,2.3.1
MNXR173104,2.4.1
MNXR120252,1.3.1
MNXR113377,1.1.1
MNXR129529,3.5.1
MNXR147659,3.1.1
MNXR174952,2.7.3|6.3.4|2.7.11|3.6.3
MNXR181504,1.1.1
MNXR113665,1.1.1
MNXR113001,1.14.13
MNXR182517,2.7.3|6.3.4|2.7.11|3.6.3
MNXR125906,3.7.1
MNXR121446,1.13.11
MNXR170511,1.14.14
MNXR117305,1.97.1|1.21.99
MNXR195416,1.1.1
MNXR184183,2.4.1
MNXR131195,1.1.99
MNXR187377,1.3.5
MNXR172578,1.11.1
MNXR174554,2.7.3|6.3.4|2.7.11|3.6.3
MNXR107775,2.7.1
MNXR107092,2.1.3
MNXR165782,1.8.1|1.1.1
MNXR186277,1.7.3
MNXR132219,3.4.21
MNXR119497,No Significant EC
MNXR172631,1.1.3
MNXR167149,2.7.8
MNXR146617,6.1.1
MNXR192979,1.14.11
MNXR181197,1.1.1
MNXR173606,6.2.1
MNXR113150,1.1.3|1.1.99
MNXR193878,2.7.3|6.3.4|2.7.11|3.6.3
MNXR131956,2.4.1
MNXR192657,1.5.1|1.14.99
MNXR165174,1.3.1|1.1.1
MNXR135618,2.4.2|2.7.8|2.4.1
MNXR131977,2.7.1|2.7.4
MNXR173012,2.7.4|2.7.11|3.6.3
MNXR163638,2.7.8|2.5.1
MNXR175973,1.14.13
MNXR148302,1.14.11|2.1.1
MNXR133180,No Significant EC
MNXR173260,4.2.1
MNXR166003,2.4.2|2.4.1
MNXR182409,1.1.5|1.3.5
MNXR132672,2.7.1
MNXR150028,1.7.3
MNXR135989,2.7.8
MNXR108662,1.1.1
MNXR131285,1.14.13
MNXR146402,No Significant EC
MNXR133250,4.3.1|4.4.1
MNXR134183,2.6.1|2|2.6.1
MNXR116261,6.5.1
MNXR165681,2.4.1
MNXR175055,2.7.3|6.3.4|2.7.11|3.6.3
MNXR111713,1.14.-
MNXR190728,6.2.1
MNXR152447,2.4.2|2|2.4.2|2.4.1
MNXR115707,2.3.2
MNXR148592,1.1.1
MNXR123627,4.2.1
MNXR120059,1.2.1|1|1.2.1|2.3.1
MNXR146969,3.1.2
MNXR130991,3.2.1
MNXR132130,2.3.1
MNXR120265,No Significant EC
MNXR113475,2.3.1|2|2.3.1
MNXR148952,2.3.1
MNXR133894,2.7.8|2.5.1
MNXR184325,6.1.1
MNXR119188,2.7.1
MNXR174944,2.7.3|6.3.4|2.7.11|3.6.3
MNXR109853,1.3.1|1.14.13
MNXR193061,3.5.1
MNXR119581,1.1.5
MNXR172798,3.8.1|3.3.2
MNXR165676,2.7.8
MNXR146581,3.1.3
MNXR135374,2.3.1
MNXR191301,4.2.1
MNXR122274,1.14.19
MNXR165014,1.1.99
MNXR133975,5.1.3
MNXR95097,1.14.12
MNXR147938,2.1.1|2|2.1.1
MNXR134346,1.1.1
MNXR119269,1.14.13
MNXR113284,4.2.3
MNXR153474,2.3.1
MNXR181788,1.2.1
MNXR109445,1.1.1|1.2.1
MNXR106829,1.8.4
MNXR129876,3.4.11
MNXR189798,3.1.3
MNXR176723,5.4.1|3.1.1
MNXR134085,1.6.5|1.14.12
MNXR115211,2.7.3
MNXR187648,3.1.3
MNXR163417,1.14.14
MNXR193719,2.4.1
MNXR187720,2.7.2|2.7.1
MNXR122775,2.5.1
MNXR134174,2.1.1
MNXR147220,3.1.4
MNXR174012,2.1.1
MNXR177946,1.7.3
MNXR192978,1.15.1
MNXR144324,4.1.2
MNXR115363,3.2.1
MNXR119378,1.14.14
MNXR111788,2.9.1
MNXR191336,No Significant EC
MNXR147496,1.2.1|1.1.1
MNXR152589,2.7.1|3.1.3
MNXR117611,3.2.1|2.4.1
MNXR179736,2.4.1
MNXR186644,2.3.1
MNXR164792,1.1.1
MNXR112918,1.1.5
MNXR150366,2.6.1
MNXR174040,2.3.1|2.5.1
MNXR176598,1.13.11
MNXR130446,4.3.1|1.1.2
MNXR150921,2.7.1
MNXR114872,2.1.1
MNXR120190,1.3.8
MNXR114037,1.5.1|1.1.1
MNXR181089,1.1.1
MNXR139137,4.3.2
MNXR176557,1.14.13
MNXR187165,6.1.1
MNXR115955,1.12.99
MNXR147552,3.5.1
MNXR123622,2.3.1|2|2.3.1
MNXR151670,No Significant EC
MNXR115345,3.2.1
MNXR114706,4.2.1
MNXR132897,1.1.1
MNXR113061,No Significant EC
MNXR123251,5.4.99|3.2.1
MNXR146376,2.1.1
MNXR185291,1.1.2|1.1.3
MNXR168367,No Significant EC
MNXR117536,1.3.99
MNXR137645,1.4.3
MNXR113317,1.1.1
MNXR152372,2.4.1
MNXR164963,2.1.1
MNXR119625,2.7.1
MNXR176621,1.14.13
MNXR182435,1.1.1|1|1.1.1
MNXR164307,2.4.1
MNXR104649,1.8.3
MNXR166274,1.17.99
MNXR174819,2.7.3|6.3.4|2.7.11|3.6.3
MNXR135484,1.1.3
MNXR195190,1.15.1
MNXR118833,1.14.11
MNXR186335,5.4.2|2.7.3
MNXR149437,4.3.1|2.6.1
MNXR111448,4.2.1
MNXR180976,1.1.1
MNXR110270,1.14.-
MNXR141605,1.14.14
MNXR131036,3.5.4
MNXR134443,1.14.13
MNXR149554,3.1.1
MNXR111523,1.14.14|3.5.1
MNXR151933,2.1.1
MNXR150069,2.7.7
MNXR110864,1.4.1|1.1.1
MNXR106334,2.7.3|6.3.4|2.7.11|3.6.3
MNXR121123,2.3.1
MNXR190952,2.7.1
MNXR166295,2.4.1|2.7.8
MNXR191440,1.1.1
MNXR150655,5.3.3
MNXR135241,2.8.2
MNXR152582,4.2.3
MNXR130017,1.1.1
MNXR193885,No Significant EC
MNXR153309,2.7.7
MNXR115833,1.3.1
MNXR193610,4.2.1
MNXR189385,1.17.3|1.13.11
MNXR113796,2.5.1
MNXR152629,2.3.1
MNXR174780,2.7.3|6.3.4|2.7.11|3.6.3
MNXR148270,3.2.1|2.4.1
MNXR130604,1.1.1
MNXR152448,2.4.1
MNXR189949,2.7.8
MNXR193630,2.6.1
MNXR117893,2.1.4|2.3.2
MNXR187714,3.1.21|2.7.7
MNXR152405,2.4.1
MNXR119162,3.1.1
MNXR164809,1.1.1
MNXR193640,2.4.1
MNXR120692,1.13.11
MNXR133816,1.1.1|1.3.1
MNXR114670,1.14.13
MNXR119968,2.3.1
MNXR110841,1.1.1
MNXR112446,No Significant EC
MNXR121717,No Significant EC
MNXR147330,2.4.2|2.4.1
MNXR136262,3.1.3
MNXR173391,3.2.1
MNXR150580,1.14.21|1.14.19
MNXR151441,4.2.1
MNXR151559,1.2.4
MNXR149172,1.14.19
MNXR152094,2.4.1
MNXR144482,6.2.1
MNXR170571,1.8.98
MNXR150098,3.1.1
MNXR164476,2.3.1
MNXR120443,2.1.1
MNXR119682,2.8.1
MNXR121584,2.4.1
MNXR115810,4.4.1
MNXR106952,2.6.1
MNXR186840,3.4.14|3.4.19
MNXR184220,1.1.1
MNXR174426,No Significant EC
MNXR132558,3.4.21
MNXR174977,2.7.3|6.3.4|2.7.11|3.6.3
MNXR174706,2.7.3|6.3.4|2.7.11|3.6.3
MNXR172571,1.1.1
MNXR194525,2.1.1
MNXR137607,6.3.1|6.2.1
MNXR175174,2.7.3|6.3.4|2.7.11|3.6.3
MNXR148424,3.5.2
MNXR167829,1.14.15
MNXR110766,1.14.13|1.14.14|1.3.1
MNXR117955,2.1.1
MNXR183590,1.14.19
MNXR131093,2.3.2
MNXR149304,1.1.1
MNXR119019,2.1.1
MNXR185963,2.1.1|2.5.1
MNXR166316,1.3.8
MNXR164242,4.1.99|3.2.2
MNXR107785,No Significant EC
MNXR166756,1.14.15|1.14.14
MNXR148572,2.3.2
MNXR139122,1.3.1
MNXR99654,5.1.3
MNXR112976,2.3.1
MNXR132617,3.1.3
MNXR181955,1.1.1
MNXR133505,1.1.1|1|1.1.1
MNXR110541,2.3.1
MNXR133781,2.4.1
MNXR123046,1.14.12
MNXR152413,2.4.1
MNXR139473,2.3.1
MNXR145002,No Significant EC
MNXR111245,6.1.1
MNXR172398,3.4.22
MNXR183567,3.4.11
MNXR164288,2.4.1
MNXR172622,1.1.1
MNXR120744,2.4.1
MNXR110299,2.4.1
MNXR115919,1.1.5
MNXR107249,2.6.1
MNXR113459,1.14.13
MNXR187688,5.5.1
MNXR123196,1.3.1|1.1.1
MNXR130517,2.3.1
MNXR148915,1.1.1
MNXR133434,1.5.3|1|1.5.3
MNXR108199,No Significant EC
MNXR129791,3.1.2
MNXR163402,4.1.2
MNXR132159,3.2.1|2.4.1
MNXR131603,2.5.1|2.7.7
MNXR175408,6.3.1|2.7.3
MNXR112882,1.2.-|1.1.-
MNXR184127,1.14.99|1.14.19
MNXR147171,1.2.1
MNXR183355,1.3.99|1.3.8
MNXR133841,6.3.2
MNXR172767,1.14.99|1.14.19
MNXR183302,1.9.6|1.7.99
MNXR147040,4.1.1
MNXR170107,4.2.3|4|4.2.3
MNXR171390,5.1.3
MNXR153144,2.7.2
MNXR173213,1.1.1|1|1.1.1
MNXR193172,1.17.99|1.3.99
MNXR122335,2.1.1
MNXR176927,7.1.1
MNXR131250,3.2.1
MNXR192048,4.2.1
MNXR151528,1.2.1
MNXR166731,1.17.7
MNXR176435,2.7.7
MNXR108880,5.1.3
MNXR164059,2.3.2
MNXR133287,6.3.2|2.7.1
MNXR113703,4.1.99|6.1.1
MNXR189207,4.3.2|2.1.2
MNXR172801,No Significant EC
MNXR122006,4.1.1
MNXR168250,2.1.1|2|2.1.1
MNXR115391,3.2.1
MNXR130042,1|1.1.1|1|1.1.1
MNXR172066,1.2.4|1.2.3
MNXR134956,1.8.1
MNXR147271,3.1.1
MNXR174718,2.7.3|6.3.4|2.7.11|3.6.3
MNXR95008,No Significant EC
MNXR194773,2.4.1|3.2.1
MNXR173289,3.2.2
MNXR150943,4.2.3
MNXR121061,5.1.3
MNXR181532,1.1.1
MNXR132811,3.4.-
MNXR185344,1.14.19
MNXR166958,1.8.1
MNXR131248,3.2.1
MNXR181203,1.1.1
MNXR130205,1.2.1|1.1.1
MNXR163624,1.14.14
MNXR135611,1.14.13|1.3.1
MNXR150339,2.3.2|6.1.1
MNXR113122,5.4.99
MNXR139512,1.14.-
MNXR178132,No Significant EC
MNXR131312,3.1.1
MNXR119901,1.14.19
MNXR116372,6.3.-
MNXR123610,1.1.1
MNXR165943,6.1.1|6.3.2
MNXR178141,2.1.1
MNXR148403,3.2.1
MNXR174222,2.8.2
MNXR113157,1.14.15|1.14.13
MNXR152040,5.3.1
MNXR146831,4.1.99|1.1.2
MNXR117686,2.3.1
MNXR153411,1.8.1
MNXR165662,3.1.3
MNXR185392,2.1.1
MNXR123641,1.3.1
MNXR179966,4.4.1
MNXR111725,2.1.1
MNXR148825,2.3.1
MNXR130820,3.2.1
MNXR176934,1.2.1|1.1.1
MNXR131127,2.7.1
MNXR97145,2.7.1
MNXR151763,1.10.99
MNXR126353,1.13.11
MNXR104357,2.5.1
MNXR124667,2.4.99|2.4.1
MNXR133423,3.1.4
MNXR177029,4.1.1
MNXR119976,1.14.13|1|1.14.-|1.1.1
MNXR195178,1.16.3
MNXR118738,2.5.1
MNXR174951,2.7.3|6.3.4|2.7.11|3.6.3
MNXR194746,2.7.4|2.7.11|3.6.3
MNXR130568,1.1.1|1.2.1
MNXR165052,3.1.8
MNXR132877,6.3.1
MNXR173126,1.1.99|5.3.1
MNXR123571,4.2.1
MNXR143702,2.6.1
MNXR184926,1.14.12
MNXR147091,1.1.99|5.3.1
MNXR189432,1.21.99
MNXR108646,1.2.7
MNXR166618,6.2.1|6|6.2.1
MNXR121165,1.1.1
MNXR149335,3.2.1
MNXR174787,2.7.3|6.3.4|2.7.11|3.6.3
MNXR174367,3.2.1
MNXR131498,No Significant EC
MNXR97863,1.3.1
MNXR108687,3.2.1
MNXR173184,3.2.1
MNXR131958,1.1.1|1.2.1
MNXR130812,3.4.11
MNXR113765,1.1.1|1|1.1.1
MNXR172917,2.1.1
MNXR132680,1.3.99
MNXR167590,1.1.1
MNXR185967,3.8.1
MNXR189054,6.2.1
MNXR177453,1.14.15
MNXR151228,1.1.3|1.1.99
MNXR130751,3.4.15
MNXR115973,1.5.99
MNXR120700,6.3.2
MNXR122372,4.2.3|4|4.2.3
MNXR112725,1.3.8
MNXR177813,2.3.1
MNXR169337,2.1.1
MNXR115062,2.3.1
MNXR104540,1.2.1
MNXR183962,No Significant EC
MNXR146096,1.8.1
MNXR147606,4.2.3
MNXR103186,1.14.11
MNXR121985,1.1.1
MNXR165762,5.1.3
MNXR119779,4.2.1
MNXR168416,2.3.1
MNXR123860,4.99.1
MNXR168970,1.3.1
MNXR131650,1.2.98
MNXR166673,5.5.1
MNXR152932,2.3.1
MNXR174201,2.7.3
MNXR175067,2.7.3|6.3.4|2.7.11|3.6.3
MNXR191932,2.4.1|2|2.4.1
MNXR144451,2.7.3|2.7.1
MNXR194270,1.1.1
MNXR123511,1.3.1
MNXR150677,4.2.3
MNXR181371,1.1.1
MNXR151288,3.2.1
MNXR192155,1.7.3
MNXR173075,4.1.2
MNXR186558,4.2.1
MNXR163961,1.3.3|1.13.12
MNXR116705,2.3.1
MNXR141434,1.1.3
MNXR117760,3.6.1
MNXR164163,1.8.3
MNXR164754,2.3.1
MNXR117910,1.14.13
MNXR183661,3.2.1
MNXR120026,1.14.13
MNXR131653,2.4.2
MNXR173752,No Significant EC
MNXR120326,6.2.1
MNXR192836,1.1.99
MNXR175615,1.10.3
MNXR166099,1.14.15
MNXR150047,1.14.11
MNXR143897,2.4.1
MNXR111786,2.4.2
MNXR175770,6.3.-
MNXR95945,3.5.3
MNXR177103,1.14.99
MNXR193531,2.4.1
MNXR163565,1.14.18
MNXR169625,1.1.9
MNXR120354,1.14.13
MNXR195152,1.14.18
MNXR118105,3.2.1
MNXR176798,1.14.13|2.1.1
MNXR175244,2.7.8
MNXR119754,6.3.3
MNXR163816,6.2.1
MNXR181568,1.1.1
MNXR174537,2.7.3|6.3.4|2.7.11|3.6.3
MNXR171960,2.7.7
MNXR148453,4.2.1
MNXR178557,6.2.1|6|6.2.1
MNXR188149,2.7.6
MNXR170366,1.1.1
MNXR188495,3.6.1|2.8.2
MNXR176066,1.1.1
MNXR117055,2.7.4
MNXR107132,1.2.4
MNXR192262,1.3.8
MNXR148830,1.17.99
MNXR120473,2.1.1
MNXR119806,1.14.99|1.14.19
MNXR176059,No Significant EC
MNXR193532,2.4.1
MNXR175475,2.7.1|3.2.1
MNXR119886,1.14.14|1.7.3
MNXR131468,3.1.1|3.2.1
MNXR148555,2.7.1
MNXR151756,1.8.-
MNXR192403,6.3.1
MNXR106830,3.1.2|2.3.1
MNXR111801,2.-.-|2.1.1
MNXR184272,2.1.1
MNXR173949,1.17.5
MNXR119907,6.1.1
MNXR165787,2.4.1
MNXR147140,3.1.1
MNXR118789,3.2.1
MNXR194887,3.1.3
MNXR190551,1.3.1
MNXR191329,1.14.15
MNXR169856,1.1.1
MNXR132922,4.4.1
MNXR111790,2.4.2
MNXR163544,6.2.1
MNXR186320,1.3.3|1.1.99
MNXR116881,2.1.1
MNXR117652,1.14.13|1.1.1
MNXR118848,1.14.-
MNXR144054,1.14.-|1.14.15
MNXR175179,2.7.3|6.3.4|2.7.11|3.6.3
MNXR149134,2.4.99
MNXR118840,1.14.13|1.1.1
MNXR194723,1.10.3|1.11.1
MNXR110457,1.14.13
MNXR182301,1.1.1
MNXR144461,1.1.1
MNXR115535,3.4.22
MNXR164098,1.2.1|1.1.1
MNXR110669,1.1.1
MNXR131434,No Significant EC
