Reaction,SelenzymeRF
MNXR102013,1.7.3.1;1.7.3.4|1.7.3.6;1.13.12.-|1.14.13.210;1.13.11.-|1.13.11.64;1.13.12.16;1.14.12.23;1.14.12.24;1.14.13.-|1.14.13.167;1.14.13.166;1.13.11.1;1.13.11.2;1.13.11.-|1.13.11.66;1.13.11.9;1.13.11.37;1.13.11.76;1.13.11.-|1.13.11.56;1.13.11.52;1.13.11.25|1.13.11.39;4.1.1.90;1.14.13.31;1.14.14.50;1.14.16.5
MNXR102035,2.7.1.21
MNXR102047,6.3.2.5;6.3.2.34;6.3.1.2
MNXR102068,1.6.6.-|1.7.1.15|1.7.1.4;1.7.1.10|1.7.99.1;1.14.99.32;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.99.31;1.14.12.12
MNXR102070,3.5.5.1;3.5.5.5;4.2.1.84;3.5.5.4;1.4.1.27;3.2.1.147;1.4.3.3
MNXR102253,1.6.3.2;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.54;1.14.14.25;1.14.15.16;1.14.14.1
MNXR102256,1.6.3.2;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.14.25;1.14.13.54;1.14.15.16;1.14.13.225;1.14.14.1
MNXR102257,4.1.2.30;1.14.13.225|1.6.3.1;1.6.3.5;1.6.3.2;1.14.99.9;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.54;1.14.14.25;1.14.15.16;1.14.14.1
MNXR102261,1.6.3.2;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.54;1.14.13.240;1.14.14.25;1.14.13.237;1.14.15.16;1.14.14.1|1.14.14.25
MNXR102303,1.5.1.2;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3
MNXR102371,2.7.8.13
MNXR102372,2.7.8.13
MNXR102977,2.3.1.40;3.1.1.32;2.3.1.251
MNXR103047,4.1.1.36;2.3.1|2.3.1.39|2.3.1.74
MNXR103186,1.14.11.56;1.14.11.28;1.14.11.67;1.14.11.27;1.14.11.68;1.14.11.66;1.14.11.69;1.14.11.65;1.14.11.1;1.14.11.33;1.14.11.2
MNXR103361,2.7.1.35;2.7.1.49;2.7.1.29;2.7.1.217;2.7.1.209;2.7.1.231
MNXR103400,2.3.1.277;4.1.2.13|4.1.2.40
MNXR103538,1.1.1.1|1.1.1.190
MNXR103600,3.1.3.4;6.3.5.9;3.1.1.116;3.1.3.76;6.3.4.22;4.2.3.154;2.6.99.2
MNXR104018,4.2.1.114;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16
MNXR104272,1.8.3.5;1.4.3.2;1.1.3.15;1.4.3.3;1.2.3.1
MNXR104315,4.4.1.1;4.4.1.1|4.4.1.11;4.3.1.17|4.3.1.19;4.3.1.18
MNXR104316,4.1.99.1|4.2.1.13|4.2.1.22|4.2.3.1|4.3.1.15|4.3.1.17|4.3.1.19;4.3.1.15|4.3.1.18
MNXR104357,1.13.11.18;2.5.1.18
MNXR104443,1.1.1.272|1.1.1.338;1.1.1.272|1.1.1.337|1.1.1.37;1.1.1.272|1.1.1.310
MNXR104531,1.1.1.213|1.1.1.50|1.3.1.-|1.3.1.3|1.3.1.M16|1.3.99.6;1.3.1.22|1.3.1.30;1.1.1|1.3.1.22|1.3.1.3|1.3.99.5;1.1.1|1.1.1.145|5.3.3.1;1.6.3.2;1.11.1.1|1.11.1.2;1.12.1.3|1.12.1.5;1.1.1.270;1.1.1.213|1.1.1.357|1.1.1.50;1.14.13.54;1.1.1.170;1.1.1.201;1.1.1.146;1.1.1.62
MNXR104540,1.1.1.21|1.2.1.16|1.2.1.26|1.2.1.79;1.2.1.-|1.2.1.26|1.2.1.3
MNXR104649,1.8.3.1;1.7.3.1;1.4.3.2;1.1.3.15;1.4.3.3;1.2.3.1
MNXR104719,4.2.1.41;1.1.1.-|1.1.1.85
MNXR104834,2.1.2.1|4.1.2.48|4.1.2.5
MNXR104964,6.3.4.6;6.3.4.16|6.3.5.5
MNXR105100,2.4.1.263;2.4.1.17;2.4.1.253;2.4.1.126;2.4.1.120|2.4.1.126;2.4.1.177;2.4.1.123;2.4.1.271;2.4.1.121;2.4.1.136;2.4.1.356;2.4.1.115;2.4.1.294;2.4.1.91
MNXR105183,1.4.1.1|1.4.1.10|1.4.1.12|1.4.1.15|1.4.1.19|1.4.1.2|1.4.1.20|1.4.1.3|1.4.1.4|1.4.1.5|1.4.1.7|1.4.1.8|1.4.1.9
MNXR105284,1.3.1.72;1.11.1.1|1.11.1.2;1.7.1.2|1.7.1.3;1.7.1.14;1.12.1.3|1.12.1.5;1.6.3.2;1.14.13.72;1.1.1.213|1.1.1.357|1.1.1.50;1.1.1.270;1.1.1.201;1.3.1.22;1.1.1.146;1.1.1.170;1.14.13.54;1.1.1.50|1.1.1.52;1.1.1.62
MNXR105303,1.8.1.6;1.8.1.10|1.8.1.9|1.8.4.2;1.6.3.2;1.14.19.48;1.12.1.3|1.12.1.5;1.11.1.21;1.11.1.1|1.11.1.2
MNXR105305,6.4.1.7;1.1.1.42;1.1.1.286|1.1.1.41;4.1.1.68;1.1.1.85
MNXR105348,1.6.5.4;1.11.1.1|1.14.12.17;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3
MNXR105441,2.3.1.26;2.3.1.301;2.3.1.207;2.3.1.41;2.3.1.23;2.3.1.51
MNXR106334,1.18.6.1;1.18.6.2;6.3.4.6;6.2.1.9
MNXR106354,1.14.19.68;1.14.19.64;1.14.19.72;1.14.19.74;1.1.3.38;1.14.18.1;1.14.19.65;1.2.3.1;1.1.3.15;1.13.12.24;1.14.14.139;1.14.14.25;1.14.14.26
MNXR106358,2.3.1.171;2.3.1.-|2.3.1.215;2.3.1.116;2.3.1.115;4.2.99.23;2.4.1.99;3.2.1.22;2.3.1.153;3.2.1.70;4.2.2.12;2.4.1.25;3.2.1.21
MNXR106361,3.5.2.6
MNXR106362,1.1.3.9;1.1.3.-|1.1.3.43;1.14.11.49;1.1.3.-|1.1.3.44;1.14.11.53;1.14.11.54;1.3.3.16|6.2.2.2;1.1.3.48;1.14.11.51;1.14.13.33;1.14.12.22;1.14.13.25;1.14.13.166;1.14.13.239;1.14.13.224;1.14.13.179;1.14.18.2;1.6.3.1;1.14.13.72;1.14.13.128;1.14.13.242;1.14.13.84;1.14.13.217;1.14.13.63;1.14.13.210;1.14.13.90;1.14.13.196;1.14.13.216;1.14.13.119;1.14.13.138;1.14.13.107;1.14.13.222;1.14.13.211;1.14.13.92;1.14.13.139;1.14.13.178;1.14.13.137
MNXR106401,6.3.2.3;6.3.2.2|6.3.2.3;6.3.4.6;6.4.1.8
MNXR106413,2.7.4.10|2.7.4.4|2.7.4.8
MNXR106475,1.2.5.2|1.2.99.3;2.8.3.18;1.2.3.1;1.2.1|1.2.1.19|1.2.1.24|1.2.1.3|1.2.1.31|1.2.1.36|1.2.1.48|1.2.1.5|1.2.1.69|1.2.1.88;1.2.7.5;1.2.99.6
MNXR106510,1.3.1.44;1.3.3.6;1.3.1.38;1.3.1.8;1.3.8.1;4.2.1.17;4.2.1.-|4.2.1.134
MNXR106519,2.7.7.23|2.7.7.64|2.7.7.83
MNXR106544,2.3.1.165;1.2.1.50;2.3.1.41;2.3.1.161;2.3.1.86;2.3.1.41|2.3.1.85;2.3.1.236;2.3.1.237;1.3.1.-|2.3.1.170|2.3.1.74;2.3.1.119;2.3.1.239
MNXR106567,2.8.2.15;2.8.2.15|2.8.2.4;2.8.2.1;1.8.4.8;2.8.2.1|2.8.2.3;2.8.2.25;2.8.2.27;2.8.2.36;2.8.2|2.8.2.14|2.8.2.15|2.8.2.2;2.8.2.-|2.8.2.39;2.8.2.24;2.8.2.-|2.8.2.38;2.8.2.10;2.8.2.20;2.8.2.17
MNXR106590,1.4.1.1|1.4.1.10|1.4.1.12|1.4.1.15|1.4.1.19|1.4.1.2|1.4.1.20|1.4.1.3|1.4.1.4|1.4.1.5|1.4.1.7|1.4.1.8|1.4.1.9
MNXR106591,2.7.1.226|2.7.1.bn;2.7.1.225|2.7.1.bm;2.7.8.8;2.7.1.90;6.3.5.9;6.3.5.10;6.3.5.11;6.3.5.-|6.3.5.13;6.3.4.16|6.3.5.5
MNXR106604,1.5.8.3;2.1.1.156|2.1.1.162|2.1.1.20;1.5.3.-|1.5.3.19;2.4.2.60;2.3.1.13;1.14.99.66;1.14.15.38;1.5.1.22;3.4.11.1|3.4.11.2|3.4.11.23|3.4.13.-
MNXR106629,4.1.1.86;4.1.1.17|4.1.1.19|4.1.1.86
MNXR106651,1.2.1.88;1.2.1.3|1.2.1.88|1.5.1.12
MNXR106683,3.5.3.1;3.5.1.5
MNXR106692,1.13.12.16;1.7.3.1;1.1.3.7;1.4.3.21;1.1.3.20;1.4.3.21|1.4.3.4;1.1.3.13;1.8.3.5;1.4.3.10|1.4.3.12|1.4.3.22|1.4.3.4|1.4.3.5|1.4.3.8
MNXR106710,1.14.13.31;1.6.3.2;1.14.12.23;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.240;1.14.13.84;1.14.14.91;1.14.13.8
MNXR106739,2.5.1.47;4.2.1.22|4.4.1.1;4.4.1.9;4.4.1.15
MNXR106799,1.14.12.1;1.14.12.13;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.12.10;1.14.13.1;1.14.13.223;1.14.18.9;1.14.13.69;1.6.5.4;1.14.13.25
MNXR106829,1.8.4.2;1.11.1.12;1.11.1.27;1.11.1.9;1.11.1.12|2.5.1.18
MNXR106830,1.8.4.2;1.11.1.27;1.11.1.12;1.11.1.9;1.11.1.12|2.5.1.18
MNXR106846,2.6.1.1|2.6.1.19|2.6.1.42|2.6.1.5|2.6.1.57;2.6.1.14
MNXR106868,1.1.1.41;1.1.1.417;1.1.1.170|1.1.1.418;5.3.3.1;1.3.1.25;1.1.1.337|1.1.1.375;1.1.1.345;1.4.1.1|1.4.1.10|1.4.1.12|1.4.1.15|1.4.1.19|1.4.1.2|1.4.1.20|1.4.1.3|1.4.1.4|1.4.1.5|1.4.1.7|1.4.1.8|1.4.1.9
MNXR106897,5.1.1.10;2.6.1.14;3.1.1.29
MNXR106952,2.8.3.9;1.1.1.30;1.1.1.45;1.1.99.24;2.8.3.5;2.6.1.19;1.1.2.3;1.1.99.6;4.1.1.64;4.4.1.13;3.7.1.5
MNXR106990,1.14.13.118|1.14.14.38;4.1.1.81;1.1.1.85
MNXR107031,1.13.11.-|1.13.11.1|1.13.11.M6;1.13.11.2;1.13.11.16;1.13.11.25|1.13.11.39;1.13.11.3;1.13.11.4;1.13.11.64;1.13.11.86;1.13.11.38;1.13.11.37;1.13.11.15;1.13.11.5
MNXR107034,2.7.1.31;5.4.2.1|5.4.2.11|5.4.2.12
MNXR107058,2.7.1.145|2.7.1.21|2.7.1.76
MNXR107071,3.5.1.3;6.3.1.2|6.3.4.12
MNXR107072,1.5.8.1;2.1.1.247|2.1.1.249;1.14.11.67;1.1.99.8;2.1.1.248;1.2.1.19|1.2.1.3|1.2.1.46|1.2.1.5;1.2.1.4;1.2.7.5;4.1.2.43;2.2.1.3
MNXR107083,1.2.1.15;1.2.1.3|1.2.1.36;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3
MNXR107092,2.1.3.3|2.1.3.8
MNXR107110,2.5.1.1|2.5.1.10|2.5.1.29
MNXR107132,1.2.4.4;1.2.4.2;1.2.4.1
MNXR107136,1.1.1.107;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
MNXR107148,1.1.1.414;1.1.1.58;1.1.1.57;1.1.1|1.1.1.264|1.1.1.366;1.1.1.380;1.1.1|1.1.1.69;1.1.1.45;1.6.5.4;1.1.1.12|1.1.1.14;1.1.1.12|1.1.1.124|1.1.1.138|1.1.1.14|1.1.1.67|1.1.1.9|1.1.99.11|1.14.13.50|2.5.1.18|2.7.1.59|3.2.1.14|3.2.1.165|4.1.3.3|4.2.1.66|5.1.3.8;1.1.1.14;1.1.1.15
MNXR107167,1.1.1.1|1.1.1.2|1.1.1.21
MNXR107236,2.7.8.2;2.7.8.1;2.7.1.91;2.7.8.8;2.7.8.45;2.7.8.38;3.1.4|3.6.1.53;2.7.8.-|2.7.8.44;2.7.8.11;2.7.8.46;2.7.8.39;2.4.99.15;2.4.99.14;2.7.6.1
MNXR107249,2.6.1.63|2.6.1.7;2.6.1.35;2.6.1.15|2.6.1.39;2.6.1.4|2.6.1.44|2.6.1.7;2.6.1.112;2.6.1.13;2.6.1.-|2.6.1.96;2.6.1.45;1.4.3.19|1.4.3.2|1.4.3.3
MNXR107251,3.5.1.33;2.7.7.5;1.8.2.2;3.1.6.4;5.1.3.9;6.3.5.11;6.3.5.9
MNXR107262,2.1.4.1;3.5.3.7;2.1.4.3;2.6.1.21;3.5.3.25;2.1.3.3
MNXR107276,4.2.3.52;4.2.3.51;2.5.1.10;2.5.1.20;4.2.3.110;4.2.3.109;4.2.3.120;4.2.3.47
MNXR107338,1.14.11.23;1.14.11.23|1.14.20.6;1.14.11.22;1.13|1.13.12.19;1.14.11.67;1.14.11.33;1.14.11.53;1.14.11.51;1.14.11.27|1.14.11.65|1.14.11.67;1.14.11.27|1.14.11.65|1.14.11.66|1.14.11.67;1.14.11.66|1.14.11.68|1.14.11.69
MNXR107340,1.3.5.1|1.3.5.4;1.3.1.6;1.3.98.1
MNXR107372,1.5.3.7;1.5.1.2;1.5.5.2;1.4.1.18;5.1.1.4|5.1.1.8;3.4.13.9
MNXR107378,1.14.13.54;1.14.14.19;1.14.14.16;1.4.3.13;1.8.3.3;1.3.3.6;1.8.3.5;1.1.3.15;1.14.14.1
MNXR107395,1.4.3.13;1.4.3.2;1.4.3.3;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7;1.4.3.21
MNXR107402,5.5.1.1;4.1.1.77;2.6.1.19;2.3.1.165;3.5.1.29;2.3.1.85;4.1.1.31
MNXR107466,2.3.1.41;1.7.1.4;1.14.14.18|1.14.99.3;1.8.1.2|1.8.2.2;1.14.99.9;1.8.2.2
MNXR107493,2.7.7.61|2.7.7.66;2.8.1.6;2.3.1.252;2.3.1.242;6.2.1.53;1.2.1.80;6.2.1.35;2.3.1.-|2.3.1.235;6.2.1.39;2.3.2.19;2.3.1.111;2.3.1.244;2.3.1.238;2.3.1.161;2.1.1.9;1.2.1.31|1.2.1.95;3.1.2.31;6.2.1.46
MNXR107514,1.2.1.104;1.2.1.25|1.2.1.M8|1.2.4.4|2.3.1.168;1.2.1.25|1.2.4.4|1.8.1.4|2.3.1.168|2.7.11.4;1.2.4.2|1.8.1.4|2.3.1.61
MNXR107520,3.5.3.1;3.5.3.7;2.1.4.1;2.1.4.3;3.5.3.-|3.5.3.24;3.5.3.25;3.5.3.17|3.5.3.7;3.5.3.22;2.1.3.3|6.3.4.16
MNXR107551,1.2.1.44;1.3.1.-|2.3.1.170|2.3.1.74
MNXR107558,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.63;1.14.13.3|1.14.14.9;1.14.13.223;1.14.12.-|1.14.12.10;1.6.5.4;1.14.13.87;1.14.13.25;1.14.13.113;1.14.13.26;1.14.13.246;1.14.18.9
MNXR107562,1.13|1.13.12.19;1.14.14.117;4.1.1.107;4.1.1.108;1.13.12.24;1.14.11.31;1.14.12.1;1.14.12.13;1.14.11.18;1.3.3.3
MNXR107574,3.5.1.133;4.1.1.90;2.3.1.177;2.3.1.151|2.3.1.177|2.3.1.220;2.3.1.146;2.6.1.19;4.1.1.84;3.5.1.54;3.5.1.20;1.1.98.6;2.3.1.165;1.17.98.3;2.3.1.236;2.3.1.156;1.17.2.3;2.3.1.237;2.3.1.85;2.3.1.161;1.2.5.3;1.1.5.6|1.17.5.3;2.3.1.206;2.3.1.-|2.3.1.74
MNXR107636,1.1.1.130;1.1.1.346;1.6.3.2;1.11.1.1|1.11.1.2;1.12.1.3|1.12.1.5;1.6.5.4;1.1.1.21;1.1.1.-|1.1.1.215;1.1.1.179;1.1.1.272;1.1.1.375;1.1.1.25
MNXR107659,1.17.9.1;1.1.3.38;1.5.99.12;1.1.5.4;1.8.5.2;1.10.99.2;1.1.5.8
MNXR107662,1.1.1.1|1.1.1.190
MNXR107684,6.3.1.1|6.3.5.4
MNXR107697,2.1.2.5;2.1.2.2;2.1.2.1
MNXR107759,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.13.223;1.14.12.-|1.14.12.10;1.6.5.4;1.14.13.69;1.14.13.87;1.14.13.25;1.11.1.1|1.14.12.17
MNXR107775,2.7.1.1|2.7.1.55;2.7.1.1|2.7.1.15;2.7.1.1|2.7.1.2
MNXR107785,3.5.99.2;2.5.1.3
MNXR107793,1.1.3.7;1.1.3.38;1.14.18.1;1.4.3.3;1.1.3.41;1.8.3.5;1.1.3.15;1.4.3.1|1.4.3.2|1.4.3.3|1.4.3.7
MNXR107797,2.1.1.69;2.1.1|2.1.1.76;2.1.1.114;2.1.1.163
MNXR107812,6.2.1|6.2.1.12;1.2.1.44;2.3.1.110;2.3.1.188;2.3.1.248;2.3.1.133;2.3.1.99;2.3.1.140;6.2.1.12|6.2.1.34;2.3.1.-|2.3.1.215;2.3.1.229;2.3.1.13;2.3.1.302;2.3.1.153;2.3.1.-|2.3.1.218;2.3.1.-|2.3.1.217;2.3.1.-|2.3.1.212;2.3.1.64;2.3.1.196
MNXR107828,3.5.1.1;3.5.4.11;3.4.22.40;4.4.1.13;2.3.2.13
MNXR107869,6.2.1.2|6.2.1.25|6.2.1.33;6.2.1.8;6.2.1.43;6.2.1.1|6.2.1.17
MNXR107870,2.8.3.8;2.3.1.86;1.3.1.38;1.3.1.8;1.3.8.8;1.3.99.13|1.3.99.3;1.3.1.44;2.3.1.199;2.3.1.16
MNXR107894,1.6.5.4;1.3.1.9|2.3.1.-|2.3.1.86
MNXR107895,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.12.23;1.14.13.29|1.14.13.n7;1.14.12.10;1.14.13.223;1.6.5.4;1.14.13.69;1.14.13.87;1.14.13.25;1.14.13.26;1.14.13.113
MNXR107904,2.3.2.11;2.3.2.3;2.3.2.10;2.3.2.20;2.3.2.17;2.3.2.18;2.7.8.41;2.3.2.6
MNXR107907,1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
MNXR107924,2.3.1.180
MNXR107929,1.7.6.1;1.9.6.1;1.7.1.1|1.7.1.2;1.7.1.2|1.7.1.3;1.7.7.2;1.13.12.16
MNXR108002,2.3.1.168;2.3.1.300;2.3.1.61;2.3.1.12;2.3.1.111;2.3.1.180
MNXR108032,1.1.1.213|1.1.1.357|1.1.1.50;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.11.1.1|1.14.12.17
MNXR108044,4.1.1.63;1.13.11.-|1.14.13.64;4.1.1.61;1.10.3.15;4.1.1.98;2.3.1.165;4.1.1.46;2.3.1.253;4.1.1.55;1.13|1.13.12.19;1.14.13.1;4.1.1.103
