reaction_id,Theia,confidence,timestamp
MNXR192902,6.2.1,0.99748397,2025-05-02 10:32:37
MNXR131127,2.7.1,0.7248604,2025-05-02 10:32:37
MNXR117911,1.14.13,0.78689915,2025-05-02 10:32:37
MNXR170765,1.14.19,0.9238615,2025-05-02 10:32:37
MNXR147900,2.4.1,0.9995684,2025-05-02 10:32:37
MNXR134290,2.7.1,0.9752643,2025-05-02 10:32:37
MNXR193367,2.7.7,0.9493013,2025-05-02 10:32:37
MNXR128747,3.2.1,0.997834,2025-05-02 10:32:37
MNXR113475,2.3.1,0.9994281,2025-05-02 10:32:37
MNXR165227,1.5.1,0.64447916,2025-05-02 10:32:37
MNXR129446,3.5.1,0.7129677,2025-05-02 10:32:37
MNXR151624,1.14.14,0.999928,2025-05-02 10:32:37
MNXR192306,1.14.19,0.510083,2025-05-02 10:32:37
MNXR123832,4.4.1,0.99999094,2025-05-02 10:32:37
MNXR189798,3.1.3,0.99975616,2025-05-02 10:32:37
MNXR111245,6.1.1,0.9928964,2025-05-02 10:32:37
MNXR174608,3.6.3,0.8956856,2025-05-02 10:32:37
MNXR109046,5.2.None,0.99909306,2025-05-02 10:32:37
MNXR119581,1.1.5,0.99834704,2025-05-02 10:32:37
MNXR112960,1.16.1,0.28672314,2025-05-02 10:32:37
MNXR108954,2.7.8,0.5098481,2025-05-02 10:32:37
MNXR112797,2.1.1,0.9987999,2025-05-02 10:32:37
MNXR180457,3.4.19,0.5906617,2025-05-02 10:32:37
MNXR190728,6.2.1,0.9999695,2025-05-02 10:32:37
MNXR195010,2.3.1,0.9953616,2025-05-02 10:32:37
MNXR129676,1.3.1,0.67789865,2025-05-02 10:32:37
MNXR152932,2.3.1,0.9931931,2025-05-02 10:32:37
MNXR166731,4.2.1,0.58779794,2025-05-02 10:32:37
MNXR129733,3.2.1,0.99999964,2025-05-02 10:32:37
MNXR194137,2.4.1,0.9999894,2025-05-02 10:32:37
MNXR135428,1.14.-,0.95551604,2025-05-02 10:32:37
MNXR166757,5.3.2,0.82778144,2025-05-02 10:32:37
MNXR148116,3.2.1,0.9980235,2025-05-02 10:32:37
MNXR131486,1.1.1,0.9783926,2025-05-02 10:32:37
MNXR149767,1.2.7,0.99828714,2025-05-02 10:32:37
MNXR180693,6.2.1,0.9459698,2025-05-02 10:32:37
MNXR120659,1.14.19,0.99187917,2025-05-02 10:32:37
MNXR170366,1.1.1,0.99989843,2025-05-02 10:32:37
MNXR113112,4.2.1,0.99999976,2025-05-02 10:32:37
MNXR179124,2.1.3,0.99999726,2025-05-02 10:32:37
MNXR183740,1.3.1,0.9998437,2025-05-02 10:32:37
MNXR118239,3.4.19,0.99225134,2025-05-02 10:32:37
MNXR114166,1.1.1,0.9988776,2025-05-02 10:32:37
MNXR170988,2.7.11,0.3339464,2025-05-02 10:32:37
MNXR177798,2.3.1,0.99935347,2025-05-02 10:32:37
MNXR121446,1.16.3,0.9793711,2025-05-02 10:32:37
MNXR108089,1.2.4,0.99965715,2025-05-02 10:32:37
MNXR116571,2.1.1,0.99977833,2025-05-02 10:32:37
MNXR119497,2.5.1,0.6778737,2025-05-02 10:32:37
MNXR115955,1.12.98,0.39540637,2025-05-02 10:32:37
MNXR149066,1.1.1,0.38169459,2025-05-02 10:32:37
MNXR130387,2.2.1,0.50950783,2025-05-02 10:32:37
MNXR166099,1.14.15,0.99035114,2025-05-02 10:32:37
MNXR165742,2.3.1,0.82868445,2025-05-02 10:32:37
MNXR123571,4.2.1,0.9881429,2025-05-02 10:32:37
MNXR175287,1.1.1,0.9999589,2025-05-02 10:32:37
MNXR152197,3.4.16,0.99767596,2025-05-02 10:32:37
MNXR111689,1.14.12,0.99535406,2025-05-02 10:32:37
MNXR148367,3.2.1,0.98430127,2025-05-02 10:32:37
MNXR189497,1.3.99,0.9914287,2025-05-02 10:32:37
MNXR131248,3.2.1,0.99992704,2025-05-02 10:32:37
MNXR111055,1.14.15,0.52965474,2025-05-02 10:32:37
MNXR130383,3.6.1,0.99599516,2025-05-02 10:32:37
MNXR192086,1.1.99,0.9984438,2025-05-02 10:32:37
MNXR123580,1.3.1,0.99161315,2025-05-02 10:32:37
MNXR116693,1.11.2,0.99984086,2025-05-02 10:32:37
MNXR130914,3.4.21,0.9941538,2025-05-02 10:32:37
MNXR183870,1.14.14,0.99842393,2025-05-02 10:32:37
MNXR147688,3.1.4,0.99470043,2025-05-02 10:32:37
MNXR132219,3.4.21,0.83107,2025-05-02 10:32:37
MNXR150738,1.14.14,0.99892163,2025-05-02 10:32:37
MNXR130896,1.17.3,0.85007256,2025-05-02 10:32:37
MNXR174180,2.7.1,0.9741887,2025-05-02 10:32:37
MNXR145857,1.14.14,0.98097503,2025-05-02 10:32:37
MNXR193506,2.3.1,0.99960655,2025-05-02 10:32:37
MNXR130568,1.1.1,0.9991233,2025-05-02 10:32:37
MNXR177049,1.14.20,0.7330729,2025-05-02 10:32:37
MNXR172439,2.3.1,0.9953616,2025-05-02 10:32:37
MNXR163802,1.14.18,0.9645934,2025-05-02 10:32:37
MNXR120181,1.14.19,0.99815613,2025-05-02 10:32:37
MNXR152403,2.4.1,0.99985135,2025-05-02 10:32:37
MNXR170071,1.1.1,0.9851127,2025-05-02 10:32:37
MNXR181695,1.2.1,0.99907994,2025-05-02 10:32:37
MNXR120663,4.2.1,0.9972531,2025-05-02 10:32:37
MNXR192432,3.1.3,0.8009475,2025-05-02 10:32:37
MNXR120640,1.10.3,0.9997086,2025-05-02 10:32:37
MNXR107058,2.3.1,0.18266293,2025-05-02 10:32:37
MNXR172092,2.4.1,0.9226666,2025-05-02 10:32:37
MNXR148406,1.14.14,0.81439245,2025-05-02 10:32:37
MNXR110497,1.4.3,0.99557436,2025-05-02 10:32:37
MNXR94903,1.14.13,0.9801223,2025-05-02 10:32:37
MNXR174951,3.6.3,0.8956856,2025-05-02 10:32:37
MNXR163950,1.3.1,0.8053858,2025-05-02 10:32:37
MNXR182077,1.6.5,0.8304372,2025-05-02 10:32:37
MNXR104649,1.8.3,0.8790456,2025-05-02 10:32:37
MNXR175973,1.14.99,0.46790612,2025-05-02 10:32:37
MNXR174554,3.6.3,0.8956856,2025-05-02 10:32:37
MNXR164264,2.4.2,0.9999118,2025-05-02 10:32:37
MNXR184632,2.4.1,0.9904356,2025-05-02 10:32:37
MNXR152934,2.7.7,0.88694644,2025-05-02 10:32:37
MNXR185192,1.3.1,0.9997508,2025-05-02 10:32:37
MNXR182152,1.3.5,0.97731006,2025-05-02 10:32:37
MNXR166567,1.2.2,0.36913916,2025-05-02 10:32:37
MNXR175329,3.2.1,0.999948,2025-05-02 10:32:37
MNXR147552,3.5.1,0.9999764,2025-05-02 10:32:37
MNXR189133,2.3.1,0.9997758,2025-05-02 10:32:37
MNXR165518,1.4.4,0.31584752,2025-05-02 10:32:37
MNXR121123,2.3.1,0.9999211,2025-05-02 10:32:37
MNXR181056,1.1.1,0.99990237,2025-05-02 10:32:37
MNXR114731,1.14.14,0.5204022,2025-05-02 10:32:37
MNXR170340,5.5.1,0.9925754,2025-05-02 10:32:37
MNXR123087,2.5.1,0.99926835,2025-05-02 10:32:37
MNXR108123,2.1.1,0.9999894,2025-05-02 10:32:37
MNXR131803,3.1.1,0.96585953,2025-05-02 10:32:37
MNXR176634,2.3.1,0.9992963,2025-05-02 10:32:37
MNXR131460,2.1.1,1.0,2025-05-02 10:32:37
MNXR148843,2.4.1,0.99457693,2025-05-02 10:32:37
MNXR111784,3.1.1,0.9997378,2025-05-02 10:32:37
MNXR145972,5.3.1,0.9980673,2025-05-02 10:32:37
MNXR113765,1.1.1,0.9848856,2025-05-02 10:32:37
MNXR151477,3.7.1,0.99999094,2025-05-02 10:32:37
MNXR116866,1.14.19,0.9931579,2025-05-02 10:32:37
MNXR101478,1.4.3,0.99774987,2025-05-02 10:32:37
MNXR191890,1.14.17,0.9999908,2025-05-02 10:32:37
MNXR174944,3.6.3,0.8956856,2025-05-02 10:32:37
MNXR146698,2.4.1,0.9999958,2025-05-02 10:32:37
MNXR166407,1.3.99,0.93262166,2025-05-02 10:32:37
MNXR116426,5.5.1,0.7679408,2025-05-02 10:32:37
MNXR153474,3.1.2,0.9739261,2025-05-02 10:32:37
MNXR146589,2.7.1,0.98858064,2025-05-02 10:32:37
MNXR139684,4.2.1,0.9980653,2025-05-02 10:32:37
MNXR115206,2.7.1,0.68239,2025-05-02 10:32:37
MNXR172312,3.4.11,0.9886763,2025-05-02 10:32:37
MNXR115667,3.4.19,0.95070344,2025-05-02 10:32:37
MNXR172246,1.14.13,0.9958931,2025-05-02 10:32:37
MNXR109293,2.6.1,0.77761775,2025-05-02 10:32:37
MNXR175489,1.14.16,0.9999925,2025-05-02 10:32:37
MNXR148453,3.5.1,0.9974215,2025-05-02 10:32:37
MNXR108783,1.2.1,0.5452381,2025-05-02 10:32:37
MNXR147726,3.5.3,0.99767166,2025-05-02 10:32:37
MNXR174012,2.1.1,0.99995685,2025-05-02 10:32:37
MNXR189058,1.1.1,0.99649173,2025-05-02 10:32:37
MNXR107034,3.1.3,0.9872361,2025-05-02 10:32:37
MNXR130820,3.2.1,0.9958474,2025-05-02 10:32:37
MNXR148501,2.3.2,0.99995136,2025-05-02 10:32:37
MNXR143855,2.4.1,0.9977035,2025-05-02 10:32:37
MNXR117910,1.14.13,0.72632647,2025-05-02 10:32:37
MNXR189209,5.3.1,0.9958443,2025-05-02 10:32:37
MNXR175794,2.3.1,0.99935347,2025-05-02 10:32:37
MNXR190200,2.7.7,0.8192041,2025-05-02 10:32:37
MNXR172237,2.1.1,0.99648285,2025-05-02 10:32:37
MNXR144419,2.6.1,0.9999964,2025-05-02 10:32:37
MNXR181674,1.2.1,0.9998832,2025-05-02 10:32:37
MNXR149784,1.14.14,0.99959785,2025-05-02 10:32:37
MNXR143874,2.4.1,0.9959109,2025-05-02 10:32:37
MNXR100482,4.1.1,0.9156167,2025-05-02 10:32:37
MNXR165676,2.7.8,0.9992132,2025-05-02 10:32:37
MNXR172163,1.1.99,0.999966,2025-05-02 10:32:37
MNXR133996,3.5.1,0.99118936,2025-05-02 10:32:37
MNXR145120,3.1.4,0.98600626,2025-05-02 10:32:37
MNXR185208,2.5.1,0.9999969,2025-05-02 10:32:37
MNXR121958,2.6.1,0.9964194,2025-05-02 10:32:37
MNXR150580,1.14.19,0.98400235,2025-05-02 10:32:37
MNXR192020,4.1.1,0.9985214,2025-05-02 10:32:37
MNXR176223,1.14.13,0.99986005,2025-05-02 10:32:37
MNXR147130,2.3.1,0.18266293,2025-05-02 10:32:37
MNXR119901,1.14.19,0.9977658,2025-05-02 10:32:37
MNXR101969,3.5.1,0.7841623,2025-05-02 10:32:37
MNXR135492,1.1.1,0.38169459,2025-05-02 10:32:37
MNXR146264,1.3.1,0.53565854,2025-05-02 10:32:37
MNXR195038,3.2.1,0.6132131,2025-05-02 10:32:37
MNXR111801,2.1.1,0.9997198,2025-05-02 10:32:37
MNXR120643,5.1.3,0.9840809,2025-05-02 10:32:37
MNXR182365,1.10.3,0.95789945,2025-05-02 10:32:37
MNXR143558,3.3.2,0.9989906,2025-05-02 10:32:37
MNXR114078,4.2.3,0.86399335,2025-05-02 10:32:37
MNXR122526,4.1.2,0.97645,2025-05-02 10:32:37
MNXR117570,2.1.1,0.99998474,2025-05-02 10:32:37
MNXR130814,3.4.16,0.81626153,2025-05-02 10:32:37
MNXR109937,2.4.1,0.8752307,2025-05-02 10:32:37
MNXR123641,1.3.1,0.7525789,2025-05-02 10:32:37
MNXR195211,1.5.3,0.99898785,2025-05-02 10:32:37
MNXR149791,1.14.13,0.93693733,2025-05-02 10:32:37
MNXR150766,2.1.1,0.99999225,2025-05-02 10:32:37
MNXR113998,6.3.2,0.9981798,2025-05-02 10:32:37
MNXR114099,1.1.1,0.9994006,2025-05-02 10:32:37
MNXR113774,2.4.1,0.9957825,2025-05-02 10:32:37
MNXR175295,2.7.1,0.99848336,2025-05-02 10:32:37
MNXR185392,2.1.1,0.99999833,2025-05-02 10:32:37
MNXR192458,1.14.19,0.99946004,2025-05-02 10:32:37
MNXR193463,2.4.1,0.9488095,2025-05-02 10:32:37
MNXR194492,2.3.1,0.9945205,2025-05-02 10:32:37
MNXR108186,4.1.1,0.96205294,2025-05-02 10:32:37
MNXR131473,1.14.14,0.66298836,2025-05-02 10:32:37
MNXR148270,3.2.1,0.9869511,2025-05-02 10:32:37
MNXR172622,1.1.1,0.9863007,2025-05-02 10:32:37
MNXR189949,2.7.8,0.91055745,2025-05-02 10:32:37
MNXR172602,2.3.1,0.9999418,2025-05-02 10:32:37
MNXR114512,4.2.1,0.9991652,2025-05-02 10:32:37
MNXR184372,2.1.1,0.98643816,2025-05-02 10:32:37
MNXR174602,3.6.3,0.8956856,2025-05-02 10:32:37
MNXR133841,6.3.2,0.99999905,2025-05-02 10:32:37
MNXR192760,2.1.1,0.99719185,2025-05-02 10:32:37
MNXR181391,1.1.1,0.9880393,2025-05-02 10:32:37
MNXR111520,2.3.1,0.99987054,2025-05-02 10:32:37
MNXR164689,2.1.1,0.9989261,2025-05-02 10:32:37
MNXR117177,1.11.2,0.7295183,2025-05-02 10:32:37
MNXR147753,3.1.1,0.98448193,2025-05-02 10:32:37
MNXR123331,1.6.5,0.9999374,2025-05-02 10:32:37
MNXR183861,3.2.1,0.989132,2025-05-02 10:32:37
MNXR130951,1.1.1,0.987379,2025-05-02 10:32:37
MNXR170670,3.2.1,0.9996797,2025-05-02 10:32:37
MNXR133520,2.7.1,0.99788123,2025-05-02 10:32:37
MNXR150655,5.3.3,0.99414474,2025-05-02 10:32:37
MNXR167601,2.3.1,0.99998116,2025-05-02 10:32:37
MNXR134402,4.5.1,0.9977506,2025-05-02 10:32:37
MNXR117040,2.1.1,0.9992053,2025-05-02 10:32:37
MNXR121802,1.1.1,0.9997396,2025-05-02 10:32:37
MNXR148950,2.3.1,0.99996376,2025-05-02 10:32:37
MNXR118050,1.1.1,0.38169459,2025-05-02 10:32:37
MNXR193487,2.4.1,0.961572,2025-05-02 10:32:37
MNXR165995,3.3.2,0.9999256,2025-05-02 10:32:37
MNXR117202,2.1.1,0.99998283,2025-05-02 10:32:37
MNXR120874,6.3.2,0.5703031,2025-05-02 10:32:37
MNXR174872,3.6.3,0.8956856,2025-05-02 10:32:37
MNXR166534,1.14.14,0.997799,2025-05-02 10:32:37
MNXR94976,3.1.2,0.99636686,2025-05-02 10:32:37
MNXR150054,1.14.19,0.97601515,2025-05-02 10:32:37
MNXR150627,2.4.2,0.9422729,2025-05-02 10:32:37
MNXR153720,2.8.2,0.9989692,2025-05-02 10:32:37
MNXR189499,1.3.99,0.9774509,2025-05-02 10:32:37
MNXR164416,2.4.1,0.99917465,2025-05-02 10:32:37
MNXR164059,2.3.2,0.99999464,2025-05-02 10:32:37
MNXR151187,2.8.2,0.99995494,2025-05-02 10:32:37
MNXR135554,1.14.-,0.92905444,2025-05-02 10:32:37
MNXR174426,3.4.17,0.99830735,2025-05-02 10:32:37
MNXR97863,1.3.1,0.6422075,2025-05-02 10:32:37
MNXR170511,1.14.14,0.99884343,2025-05-02 10:32:37
MNXR110845,1.1.1,0.99984324,2025-05-02 10:32:37
MNXR150670,1.14.13,0.85700476,2025-05-02 10:32:37
MNXR134687,1.14.13,0.5443175,2025-05-02 10:32:37
MNXR116785,1.2.1,0.99606186,2025-05-02 10:32:37
MNXR182605,2.4.1,0.9947843,2025-05-02 10:32:37
MNXR120173,1.3.8,0.992174,2025-05-02 10:32:37
MNXR119968,2.3.1,0.9741372,2025-05-02 10:32:37
MNXR107249,2.6.1,0.9999999,2025-05-02 10:32:37
MNXR147941,1.1.1,0.9810162,2025-05-02 10:32:37
MNXR122007,1.1.1,0.9996853,2025-05-02 10:32:37
MNXR177811,2.3.1,0.99935347,2025-05-02 10:32:37
MNXR114994,1.6.5,0.983669,2025-05-02 10:32:37
MNXR109500,1.1.1,0.9942127,2025-05-02 10:32:37
MNXR131819,3.2.1,0.99980813,2025-05-02 10:32:37
MNXR164288,2.4.1,0.9135612,2025-05-02 10:32:37
MNXR131893,3.2.1,0.9999343,2025-05-02 10:32:37
MNXR189383,1.1.99,0.9998952,2025-05-02 10:32:37
MNXR143940,2.3.1,0.9814679,2025-05-02 10:32:37
MNXR174947,3.6.3,0.8956856,2025-05-02 10:32:37
MNXR147340,3.2.1,0.9998822,2025-05-02 10:32:37
MNXR102047,3.6.3,0.8956856,2025-05-02 10:32:37
MNXR123853,1.14.11,0.99450654,2025-05-02 10:32:37
MNXR175824,2.1.1,0.9999831,2025-05-02 10:32:37
MNXR146759,2.7.1,0.9892837,2025-05-02 10:32:37
MNXR188609,6.2.1,0.99870706,2025-05-02 10:32:37
MNXR103538,1.1.1,0.9998983,2025-05-02 10:32:37
MNXR183483,2.1.1,0.99648285,2025-05-02 10:32:37
MNXR131637,1.1.1,0.9990914,2025-05-02 10:32:37
MNXR105441,2.3.1,0.9999902,2025-05-02 10:32:37
MNXR115504,3.4.11,0.5710885,2025-05-02 10:32:37
MNXR166827,1.14.15,0.49667582,2025-05-02 10:32:37
MNXR175184,3.6.3,0.8956856,2025-05-02 10:32:37
MNXR169904,3.1.1,0.99878675,2025-05-02 10:32:37
MNXR177166,1.14.99,0.9410718,2025-05-02 10:32:37
MNXR180456,3.6.1,0.90929794,2025-05-02 10:32:37
MNXR192329,1.7.1,0.9196984,2025-05-02 10:32:37
MNXR136352,6.2.1,0.9996604,2025-05-02 10:32:37
MNXR177585,2.8.1,0.93897337,2025-05-02 10:32:37
MNXR120579,2.3.1,0.99992585,2025-05-02 10:32:37
MNXR113306,5.4.99,0.9999409,2025-05-02 10:32:37
MNXR119521,2.3.1,0.99967635,2025-05-02 10:32:37
MNXR164181,6.2.1,0.99693143,2025-05-02 10:32:37
MNXR164770,2.3.1,0.998572,2025-05-02 10:32:37
MNXR183661,3.2.1,0.9999927,2025-05-02 10:32:37
MNXR176435,2.7.7,0.67755234,2025-05-02 10:32:37
MNXR164562,1.14.14,0.9999552,2025-05-02 10:32:37
MNXR110173,1.14.13,0.9983575,2025-05-02 10:32:37
MNXR117493,3.5.1,0.9999877,2025-05-02 10:32:37
MNXR103047,4.1.1,0.9978816,2025-05-02 10:32:37
MNXR177698,1.6.5,0.9984983,2025-05-02 10:32:37
MNXR114355,1.14.99,0.50555474,2025-05-02 10:32:37
MNXR129844,1.11.1,0.8993365,2025-05-02 10:32:37
MNXR178557,6.2.1,0.99370265,2025-05-02 10:32:37
MNXR163503,1.14.14,0.99999785,2025-05-02 10:32:37
MNXR112446,2.6.1,0.99996185,2025-05-02 10:32:37
MNXR132206,3.4.21,0.83107,2025-05-02 10:32:37
MNXR192590,6.3.2,0.9739974,2025-05-02 10:32:37
MNXR148830,1.3.99,0.9905614,2025-05-02 10:32:37
MNXR185339,3.4.16,0.67990094,2025-05-02 10:32:37
MNXR175486,3.1.2,0.9971607,2025-05-02 10:32:37
MNXR120753,2.3.1,0.9997446,2025-05-02 10:32:37
MNXR183956,6.1.3,0.9999821,2025-05-02 10:32:37
MNXR118500,1.14.15,0.99996316,2025-05-02 10:32:37
MNXR123415,1.17.4,0.99967647,2025-05-02 10:32:37
MNXR169700,2.1.1,0.99994004,2025-05-02 10:32:37
MNXR117088,1.14.19,0.99248743,2025-05-02 10:32:37
