reaction_id,CLAIRE
MNXR151624,1.13.12
MNXR192306,1.14.13
MNXR123832,4.4.1
MNXR189798,3.2.1
MNXR111245,6.1.1
MNXR145483,6.1.1
MNXR174608,2.7.7
MNXR109046,5.2.1
MNXR119581,1.6.5
MNXR112960,1.16.1
MNXR108954,5.2.1
MNXR112797,2.1.1
MNXR180457,3.A.1
MNXR190728,2.3.1
MNXR195010,2.3.1
MNXR169518,2.3.1
MNXR169523,2.3.1
MNXR169530,2.3.1
MNXR129676,1.1.1
MNXR152932,2.3.1
MNXR166731,1.14.15
MNXR129733,1.11.2
MNXR194137,2.4.1
MNXR135428,5.4.4
MNXR166757,5.3.3
MNXR148116,3.2.1
MNXR131486,1.1.1
MNXR149767,1.7.7
MNXR180693,6.2.1
MNXR120659,1.14.18
MNXR170366,1.1.1
MNXR113112,4.2.1
MNXR179124,2.1.3
MNXR183740,1.2.1
MNXR118239,6.3.1
MNXR114166,1.1.1
MNXR170988,3.6.1
MNXR177798,3.1.1
MNXR121446,1.13.11
MNXR108089,1.1.1
MNXR116571,2.1.1
MNXR119497,1.2.4
MNXR115955,1.7.2
MNXR149066,1.16.1
MNXR135492,1.16.1
MNXR129745,1.16.1
MNXR172694,1.16.1
MNXR172711,1.16.1
MNXR146851,1.16.1
MNXR172544,1.16.1
MNXR172476,1.16.1
MNXR172693,1.16.1
MNXR172715,1.16.1
MNXR134943,1.16.1
MNXR145229,1.16.1
MNXR134939,1.16.1
MNXR172702,1.16.1
MNXR165782,1.16.1
MNXR146852,1.16.1
MNXR130387,5.3.1
MNXR166099,1.14.15
MNXR165742,1.16.1
MNXR123571,4.2.1
MNXR175287,1.1.1
MNXR152197,3.2.1
MNXR111689,1.8.1
MNXR148367,1.14.99
MNXR189497,2.3.1
MNXR131248,2.4.2
MNXR111055,1.14.15
MNXR130383,3.6.1
MNXR192086,1.14.14
MNXR123580,1.3.1
MNXR116693,1.14.99
MNXR130914,3.9.1
MNXR183870,1.14.14
MNXR147688,3.1.3
MNXR132219,1.7.7
MNXR132206,1.7.7
MNXR130709,1.7.7
MNXR132558,1.7.7
MNXR132215,1.7.7
MNXR132555,1.7.7
MNXR150738,1.14.14
MNXR130896,7.2.2
MNXR174180,2.7.8
MNXR149348,2.7.8
MNXR145857,1.14.13
MNXR193506,2.3.1
MNXR130568,1.5.1
MNXR177049,1.14.13
MNXR172439,2.3.1
MNXR165706,2.3.1
MNXR163802,1.14.13
MNXR120181,1.14.14
MNXR152403,2.4.1
MNXR170071,1.16.1
MNXR181695,1.2.1
MNXR120663,4.2.1
MNXR192432,3.1.3
MNXR120640,1.13.11
MNXR107058,2.7.8
MNXR172092,2.4.1
MNXR148406,1.14.13
MNXR110497,1.2.3
MNXR94903,1.6.3
MNXR174951,2.7.7
MNXR163950,1.8.1
MNXR182077,1.8.1
MNXR104649,1.13.11
MNXR175973,1.11.1
MNXR174554,2.4.2
MNXR164264,2.4.2
MNXR184632,2.4.1
MNXR152934,2.3.1
MNXR185192,1.2.1
MNXR182152,1.6.5
MNXR166567,1.17.3
MNXR175329,3.2.1
MNXR147552,3.5.1
MNXR165941,3.5.1
MNXR189133,2.3.1
MNXR165518,1.8.3
MNXR121123,2.3.1
MNXR181056,1.1.1
MNXR114731,2.1.1
MNXR170340,5.5.1
MNXR123087,2.5.1
MNXR108123,2.1.1
MNXR131803,3.5.1
MNXR176634,4.4.1
MNXR131460,2.1.1
MNXR148843,2.4.1
MNXR111784,6.3.4
MNXR145972,5.3.1
MNXR113765,1.1.1
MNXR151477,3.1.1
MNXR116866,1.14.18
MNXR101478,1.11.1
MNXR191890,4.1.1
MNXR174944,7.2.2
MNXR146698,2.4.1
MNXR166407,4.1.1
MNXR116426,5.5.1
MNXR153474,3.1.2
MNXR146589,2.7.1
MNXR139684,4.2.1
MNXR115206,2.7.1
MNXR172312,3.4.11
MNXR115667,1.3.1
MNXR172246,1.6.3
MNXR109293,3.4.16
MNXR175489,2.7.8
MNXR148453,7.2.2
MNXR149441,7.2.2
MNXR108783,1.3.1
MNXR147726,3.5.3
MNXR174012,2.1.1
MNXR189058,1.1.1
MNXR107034,3.1.3
MNXR130820,4.2.2
MNXR148501,6.3.5
MNXR143855,2.4.1
MNXR117910,1.1.1
MNXR189209,5.3.1
MNXR175794,3.7.1
MNXR190200,2.3.1
MNXR172237,2.1.1
MNXR194277,2.1.1
MNXR171480,2.1.1
MNXR172515,2.1.1
MNXR144419,2.6.1
MNXR181674,1.2.1
MNXR149784,1.14.14
MNXR143874,2.4.2
MNXR100482,1.6.2
MNXR165676,2.7.1
MNXR172163,1.1.99
MNXR133996,1.11.2
MNXR145120,3.1.3
MNXR185208,2.1.1
MNXR121958,5.1.1
MNXR150580,1.21.3
MNXR192020,3.1.4
MNXR176223,1.1.1
MNXR147130,2.7.8
MNXR119901,1.14.18
MNXR101969,3.2.2
MNXR146264,1.3.1
MNXR195038,1.14.99
MNXR111801,2.1.1
MNXR120643,5.1.3
MNXR182365,1.14.18
MNXR143558,1.11.1
MNXR114078,2.5.1
MNXR122526,1.13.11
MNXR117570,2.1.1
MNXR117039,2.1.1
MNXR130814,1.11.2
MNXR109937,3.2.1
MNXR123641,1.8.1
MNXR195211,1.13.11
MNXR149791,1.14.13
MNXR150766,2.1.1
MNXR113998,6.3.2
MNXR114099,1.1.1
MNXR113774,2.4.2
MNXR175295,2.7.1
MNXR185392,2.1.1
MNXR192458,1.14.19
MNXR193463,2.7.7
MNXR194492,2.4.2
MNXR108186,4.1.1
MNXR131473,1.14.13
MNXR148270,3.2.1
MNXR172622,1.1.1
MNXR189949,2.7.8
MNXR172602,2.3.1
MNXR114512,3.7.1
MNXR184372,2.1.1
MNXR174602,7.2.2
MNXR133841,5.1.3
MNXR192760,2.1.1
MNXR181391,1.2.1
MNXR111520,2.8.3
MNXR164689,2.1.1
MNXR117177,1.11.1
MNXR147753,2.1.3
MNXR123331,1.3.1
MNXR183861,3.1.1
MNXR130951,1.1.1
MNXR170670,3.2.1
MNXR133520,2.7.4
MNXR150655,5.3.3
MNXR167601,2.3.1
MNXR134402,4.5.1
MNXR117040,2.1.1
MNXR121802,1.1.1
MNXR148950,2.3.1
MNXR193487,2.4.2
MNXR165995,4.2.2
MNXR117202,2.1.1
MNXR120874,2.7.8
MNXR174872,7.2.2
MNXR166534,1.14.99
MNXR94976,3.1.2
MNXR150054,1.21.3
MNXR150627,2.4.1
MNXR153720,2.8.2
MNXR135542,2.8.2
MNXR131432,2.8.2
MNXR172276,2.8.2
MNXR135241,2.8.2
MNXR189499,1.3.99
MNXR164416,2.4.1
MNXR164059,3.1.2
MNXR151187,2.8.2
MNXR135554,1.11.1
MNXR174426,3.4.17
MNXR97863,1.3.1
MNXR170511,1.11.1
MNXR110845,1.1.1
MNXR150670,1.14.14
MNXR134687,1.14.13
MNXR116785,1.1.1
MNXR182605,2.4.1
MNXR120173,1.14.14
MNXR119968,2.3.1
MNXR107249,2.6.1
MNXR147941,1.17.1
MNXR122007,1.1.1
MNXR177811,3.7.1
MNXR114994,1.1.1
MNXR109500,1.1.1
MNXR131819,2.7.7
MNXR164288,2.4.1
MNXR131893,3.2.1
MNXR189383,1.1.99
MNXR143940,2.7.1
MNXR174947,7.5.2
MNXR147340,1.13.11
MNXR147338,1.13.11
MNXR102047,7.2.2
MNXR123853,1.2.3
MNXR175824,2.1.1
MNXR146759,2.7.1
MNXR188609,6.2.1
MNXR103538,1.1.1
MNXR131637,1.1.1
MNXR105441,2.3.1
MNXR115504,2.3.2
MNXR166827,4.1.1
MNXR175184,7.6.2
MNXR169904,1.13.99
MNXR177166,1.14.99
MNXR180456,3.1.3
MNXR192329,1.14.13
MNXR136352,6.2.1
MNXR136347,6.2.1
MNXR134820,6.2.1
MNXR136348,6.2.1
MNXR136350,6.2.1
MNXR177585,1.8.3
MNXR120579,2.3.1
MNXR113306,5.4.99
MNXR119521,2.3.1
MNXR164181,2.7.1
MNXR164770,2.3.1
MNXR183661,3.2.1
MNXR174367,3.2.1
MNXR176435,2.7.7
MNXR164562,1.14.14
MNXR110173,1.14.13
MNXR117493,3.5.1
MNXR103047,4.1.1
MNXR177698,1.17.1
MNXR114355,5.5.1
MNXR129844,1.11.1
MNXR178557,2.7.1
MNXR163503,1.14.99
MNXR112446,1.17.1
MNXR192590,6.1.1
MNXR148830,1.14.14
MNXR185339,6.3.4
MNXR175486,3.1.2
MNXR146969,3.1.2
MNXR120753,1.1.1
MNXR183956,2.3.1
MNXR118500,1.1.1
MNXR123415,1.97.1
MNXR169700,2.1.1
MNXR117088,1.14.18
MNXR170614,2.3.1
MNXR132370,1.14.13
MNXR149203,1.2.3
MNXR181004,1.7.5
MNXR131958,1.14.13
MNXR119269,1.14.13
MNXR193597,1.16.1
MNXR172159,1.1.99
MNXR121815,2.4.1
MNXR165052,2.7.7
MNXR181300,1.1.1
MNXR174537,7.2.2
MNXR172995,2.4.2
MNXR106567,2.8.2
MNXR145834,2.3.1
MNXR146964,2.3.2
MNXR107870,4.1.1
MNXR114242,6.3.1
MNXR117547,3.2.1
MNXR152088,2.4.1
MNXR112964,1.8.1
MNXR122522,2.3.1
MNXR131619,2.7.1
MNXR149854,2.8.2
MNXR112737,1.1.1
MNXR146096,1.16.1
MNXR173898,3.6.1
MNXR176827,2.3.1
MNXR145429,6.1.1
MNXR107775,2.7.1
MNXR107662,1.2.1
MNXR164636,2.1.1
MNXR163448,1.4.3
MNXR147323,1.14.99
MNXR166169,1.14.99
MNXR189544,1.1.1
MNXR180054,4.99.1
MNXR132303,2.7.4
MNXR194748,2.7.4
MNXR170316,2.7.4
MNXR194746,2.7.4
MNXR132304,2.7.4
MNXR174194,2.7.4
MNXR195118,2.7.4
MNXR174196,2.7.4
MNXR166030,2.7.4
MNXR115547,3.1.1
MNXR116706,1.1.1
MNXR113703,3.5.4
MNXR115533,3.4.22
MNXR115468,3.4.22
MNXR115492,3.4.22
MNXR184359,3.2.2
MNXR129811,2.3.2
MNXR107514,2.5.1
MNXR131251,2.4.2
MNXR174994,1.14.99
MNXR164318,6.2.1
MNXR188296,1.1.1
MNXR164242,3.6.1
MNXR115998,1.14.99
MNXR140861,3.5.99
MNXR152748,3.1.3
MNXR185236,6.2.1
MNXR117501,2.3.1
MNXR147407,5.3.1
MNXR148970,5.5.1
MNXR150604,5.4.99
MNXR174055,2.3.2
MNXR108178,6.3.5
MNXR122568,1.14.14
MNXR188551,7.2.2
MNXR172801,3.5.1
MNXR133788,1.1.1
MNXR133009,1.11.2
MNXR106683,1.11.2
MNXR113230,3.1.3
MNXR113390,2.1.1
MNXR175346,2.3.1
MNXR173667,3.8.1
MNXR177942,1.14.13
MNXR109520,3.1.1
MNXR114212,5.5.1
MNXR149871,1.2.1
MNXR144332,2.3.3
MNXR145678,4.1.1
MNXR145241,1.13.11
MNXR115169,2.4.99
MNXR149833,2.3.1
MNXR164831,5.3.3
MNXR163705,3.1.1
MNXR106413,2.7.1
MNXR147923,1.1.1
MNXR110690,3.5.4
MNXR164393,1.14.14
MNXR131977,2.7.1
MNXR186591,1.14.14
MNXR173408,3.2.1
MNXR106952,4.4.1
MNXR171960,2.7.8
MNXR118078,1.1.1
MNXR147140,3.1.1
MNXR100949,1.4.3
MNXR163513,6.2.1
MNXR108600,3.1.3
MNXR190376,1.3.99
MNXR191426,7.5.2
MNXR181197,1.1.1
MNXR169242,3.6.1
MNXR131908,3.6.1
MNXR131434,3.5.1
MNXR125906,1.11.2
MNXR111448,4.2.1
MNXR148757,3.2.1
MNXR153206,4.2.1
MNXR134274,5.1.3
MNXR97424,1.1.1
MNXR119191,3.9.1
MNXR110231,2.3.1
MNXR193704,2.4.2
MNXR109266,1.14.13
MNXR110726,1.11.1
MNXR119429,2.1.1
MNXR170332,4.99.1
MNXR120777,2.3.1
MNXR109853,1.3.1
MNXR179762,1.7.1
MNXR176115,1.11.1
MNXR118750,2.1.1
MNXR152629,4.2.1
MNXR132961,1.3.3
MNXR144718,2.4.1
MNXR143897,2.4.1
MNXR172996,2.4.1
MNXR144725,2.4.1
MNXR144723,2.4.1
MNXR149917,1.14.14
MNXR123460,4.2.1
MNXR140906,5.3.1
MNXR106990,4.1.1
MNXR175270,1.11.2
MNXR164423,2.4.1
MNXR192215,1.6.3
MNXR149435,4.99.1
MNXR129478,1.1.1
MNXR131653,3.5.4
MNXR106846,2.6.1
MNXR192831,5.2.1
MNXR150339,2.3.2
MNXR111876,1.14.13
MNXR120473,2.1.1
MNXR113874,2.7.1
MNXR186706,2.4.1
MNXR175315,1.2.1
MNXR145340,2.7.1
MNXR164483,2.3.1
MNXR131288,3.4.11
MNXR114928,1.14.13
MNXR164035,2.8.3
MNXR171279,2.8.3
MNXR174020,1.5.1
MNXR112725,4.2.1
MNXR194887,2.8.1
MNXR147897,2.8.1
MNXR165545,2.8.1
MNXR116136,2.8.1
MNXR165662,2.8.1
MNXR132617,2.8.1
MNXR122709,1.1.1
MNXR100566,2.5.1
MNXR174731,2.7.7
MNXR131840,1.1.1
MNXR176964,2.1.1
MNXR173075,4.1.2
MNXR165316,2.3.1
MNXR119682,1.8.3
MNXR195268,2.8.2
MNXR150212,2.3.1
MNXR147681,1.17.7
MNXR134161,2.7.1
MNXR94806,1.11.1
MNXR193513,2.4.2
MNXR146082,3.1.1
MNXR148261,3.2.1
MNXR131649,1.11.2
MNXR183590,1.3.3
MNXR173010,2.7.4
MNXR180517,2.7.4
MNXR132285,2.7.4
MNXR173012,2.7.4
MNXR169213,2.7.4
MNXR132240,2.7.4
MNXR146437,2.7.4
MNXR145951,2.7.4
MNXR131408,2.7.4
MNXR131881,2.7.4
MNXR174197,2.7.4
MNXR166086,2.7.4
MNXR115827,2.7.4
MNXR96993,4.4.1
MNXR190750,2.3.1
MNXR111138,1.14.99
MNXR177924,1.14.13
MNXR168020,1.14.14
MNXR107262,5.1.1
MNXR121543,2.7.1
MNXR112563,2.5.1
MNXR175475,3.1.3
MNXR121817,2.4.1
MNXR172398,3.4.22
MNXR110357,1.1.1
MNXR123890,1.14.15
MNXR115748,5.1.2
MNXR185916,4.4.1
MNXR165644,3.1.1
MNXR108602,3.6.1
MNXR173167,7.5.2
MNXR195152,1.13.11
MNXR111177,4.2.1
MNXR123094,1.11.1
MNXR131331,2.7.7
MNXR112666,5.5.1
MNXR144384,2.4.1
MNXR122476,1.1.1
MNXR192237,1.3.8
MNXR133168,1.11.1
MNXR176987,4.4.1
MNXR177849,3.2.1
MNXR185326,1.1.1
MNXR166316,1.3.99
MNXR164046,1.8.5
MNXR107072,1.11.2
MNXR121867,3.5.1
MNXR189378,1.14.99
MNXR135805,2.3.1
MNXR191861,1.11.1
MNXR146001,6.1.1
MNXR194525,2.1.1
MNXR151516,1.2.1
MNXR193878,7.2.2
MNXR119853,2.5.1
MNXR120826,2.4.2
MNXR132485,2.6.1
MNXR172020,1.1.1
MNXR114851,2.7.8
MNXR163963,1.14.14
MNXR112660,1.1.1
MNXR116996,1.14.14
MNXR143881,2.4.1
MNXR137610,3.6.1
MNXR135406,3.6.1
MNXR137607,3.6.1
MNXR182080,1.1.1
MNXR112783,1.14.13
MNXR187325,1.14.14
MNXR135374,2.3.1
MNXR133325,7.6.2
MNXR163400,6.3.3
MNXR123880,1.1.5
MNXR183524,1.14.18
MNXR165454,1.14.18
MNXR147531,2.3.1
MNXR112614,2.1.1
MNXR177211,1.3.99
MNXR174187,3.1.6
MNXR148403,3.1.6
MNXR113302,3.1.7
MNXR116643,1.7.1
MNXR175192,7.2.2
MNXR173509,1.1.1
MNXR119809,2.1.1
MNXR118821,1.1.1
MNXR173832,2.5.1
MNXR133937,3.1.2
MNXR112487,3.1.2
MNXR173481,3.2.1
MNXR175110,7.2.2
MNXR194285,3.1.2
MNXR164480,2.3.1
MNXR194906,3.5.1
MNXR117106,1.2.1
MNXR186320,1.14.14
MNXR151353,7.6.2
MNXR163548,1.8.7
MNXR107558,1.6.3
MNXR147260,2.6.1
MNXR163694,1.1.3
MNXR116445,1.14.19
MNXR135464,3.2.1
MNXR96436,1.97.1
MNXR187695,3.1.1
MNXR147443,1.1.1
MNXR130163,1.14.13
MNXR147558,1.1.1
MNXR118738,2.1.1
MNXR174522,7.2.2
MNXR186401,1.1.1
MNXR119317,1.13.11
MNXR134150,2.4.1
MNXR113291,4.2.3
MNXR169683,1.5.1
MNXR107395,1.4.3
MNXR164792,4.1.1
MNXR184642,1.8.1
MNXR181732,1.8.1
MNXR123242,1.2.5
MNXR134173,1.4.3
MNXR118466,3.5.4
MNXR130319,3.5.1
MNXR183854,3.4.22
MNXR175423,1.11.1
MNXR135174,1.1.99
MNXR116612,3.6.1
MNXR101959,1.14.99
MNXR119386,1.1.1
MNXR171835,1.1.1
MNXR129777,3.3.2
MNXR116079,1.8.1
MNXR129962,1.14.18
MNXR104316,4.4.1
MNXR182108,4.1.1
MNXR165943,3.6.1
MNXR186335,3.6.1
MNXR148026,1.14.14
MNXR182677,1.14.13
MNXR182094,4.1.1
MNXR115062,2.3.1
MNXR133691,3.5.1
MNXR151228,1.1.3
MNXR148643,1.1.1
MNXR118105,3.2.1
MNXR131183,3.2.1
MNXR147095,5.3.1
MNXR133872,2.7.4
MNXR145697,1.14.13
MNXR133703,1.1.1
MNXR148460,2.7.8
MNXR135279,2.7.8
MNXR119971,3.2.1
MNXR146326,1.17.4
MNXR177577,2.3.1
MNXR150187,4.4.1
MNXR133208,1.11.2
MNXR149057,1.8.1
MNXR108944,2.5.1
MNXR144461,1.1.1
MNXR184219,4.4.1
MNXR187651,4.4.1
MNXR183678,4.4.1
MNXR163540,3.5.1
MNXR179289,3.5.2
MNXR121955,4.1.1
MNXR139258,4.1.1
MNXR165477,1.3.1
MNXR129131,1.8.1
MNXR111555,1.21.1
MNXR117833,5.5.1
MNXR173165,3.2.1
MNXR147823,2.4.1
MNXR185910,1.14.14
MNXR121133,2.7.1
MNXR181727,1.2.1
MNXR131869,3.6.3
MNXR175530,3.1.2
MNXR149205,1.7.3
MNXR116105,3.5.1
MNXR144097,2.4.1
MNXR143818,2.7.8
MNXR193552,2.7.7
MNXR152363,2.4.1
MNXR131978,2.7.1
MNXR142090,1.16.1
MNXR174914,7.2.2
MNXR106829,4.4.1
MNXR179750,2.5.1
MNXR186799,1.12.98
MNXR117447,1.14.13
MNXR193071,4.99.1
MNXR117922,1.16.1
MNXR173813,2.3.2
MNXR193805,2.1.1
MNXR182513,7.6.2
MNXR162386,3.1.3
MNXR192657,1.14.13
MNXR133748,1.14.18
MNXR110120,2.5.1
MNXR146335,2.8.1
MNXR195190,1.13.11
MNXR122962,1.17.3
MNXR119336,1.14.14
MNXR177029,1.11.2
MNXR168600,1.11.2
MNXR146980,2.1.1
MNXR122780,2.5.1
MNXR115029,1.14.13
MNXR136311,2.4.1
MNXR165811,2.4.1
MNXR136306,2.4.1
MNXR147473,2.4.1
MNXR131956,2.4.1
MNXR152666,1.3.1
MNXR173213,1.8.1
MNXR178132,3.1.1
MNXR165996,1.14.99
MNXR147547,3.5.1
MNXR174506,3.5.1
MNXR97145,2.7.1
MNXR170601,1.11.1
MNXR166756,1.6.3
MNXR117611,2.4.2
MNXR117434,3.2.1
MNXR168261,1.6.3
MNXR188048,1.1.1
MNXR108550,1.1.99
MNXR120797,4.1.1
MNXR174904,7.5.2
MNXR122396,4.2.3
MNXR186543,3.6.1
MNXR119234,1.8.3
MNXR110884,1.6.3
MNXR190575,1.1.1
MNXR107785,2.5.1
MNXR132922,2.3.2
MNXR152447,2.4.2
MNXR151414,1.13.11
MNXR174611,7.2.2
MNXR185860,1.14.14
MNXR131767,6.3.4
MNXR189626,3.2.1
MNXR191882,1.6.3
MNXR121174,2.3.1
MNXR144540,1.3.8
MNXR178010,2.1.1
MNXR133503,3.1.6
MNXR191059,2.3.1
MNXR107924,2.3.1
MNXR109123,1.13.11
MNXR146176,2.4.2
MNXR181096,1.1.1
MNXR180393,1.1.3
MNXR144325,3.1.3
MNXR192192,4.2.1
MNXR193982,2.1.1
MNXR163724,1.2.3
MNXR163792,6.3.4
MNXR110956,2.5.1
MNXR170008,1.14.18
MNXR149443,1.14.13
MNXR144406,2.4.1
MNXR183953,3.1.1
MNXR166065,1.5.1
MNXR173867,1.14.13
MNXR123842,2.8.2
MNXR150350,3.2.1
MNXR131277,1.14.13
MNXR193980,1.16.1
MNXR188696,6.3.2
MNXR129465,3.5.2
MNXR175176,7.5.2
MNXR131267,1.11.2
MNXR163838,2.3.1
MNXR165199,1.8.1
MNXR170848,1.13.11
MNXR181024,1.2.5
MNXR173367,2.7.3
MNXR181945,1.2.1
MNXR190320,3.1.1
MNXR168323,2.1.1
MNXR106739,4.4.1
MNXR97432,3.5.2
MNXR132745,1.5.1
MNXR182457,1.14.13
MNXR133164,1.6.3
MNXR129614,1.6.3
MNXR193013,1.6.3
MNXR145699,2.1.1
MNXR117874,3.5.1
MNXR181533,1.1.1
MNXR119322,1.11.1
MNXR169692,4.4.1
MNXR192129,2.3.1
MNXR175602,1.7.2
MNXR191276,2.7.3
MNXR147218,2.3.1
MNXR147220,2.3.1
MNXR107402,4.1.1
MNXR181607,1.3.1
MNXR122135,1.2.3
MNXR184647,3.2.1
MNXR188337,2.3.1
MNXR163626,1.8.4
MNXR147271,3.1.1
MNXR113150,3.5.1
MNXR135178,1.13.11
MNXR114918,1.14.13
MNXR118790,3.2.1
MNXR167829,1.14.14
MNXR142049,1.7.1
MNXR123913,1.8.3
MNXR132916,1.1.1
MNXR152636,4.2.1
MNXR190050,2.4.1
MNXR174397,4.2.2
MNXR182476,1.6.3
MNXR194953,3.4.11
MNXR144072,2.4.1
MNXR143850,2.4.1
MNXR116097,3.2.1
MNXR191311,1.1.1
MNXR130945,1.11.1
MNXR190046,2.3.1
MNXR100637,1.1.1
MNXR139487,1.11.1
MNXR151521,3.1.1
MNXR120067,1.14.15
MNXR148859,1.14.19
MNXR164999,4.3.3
MNXR172513,2.3.1
MNXR115707,1.8.3
MNXR123095,2.4.2
MNXR122151,2.3.1
MNXR132251,3.4.21
MNXR122653,2.5.1
MNXR131326,3.5.1
MNXR182109,4.1.1
MNXR121030,1.6.3
MNXR195184,1.11.1
MNXR111581,1.1.1
MNXR111703,6.2.1
MNXR151399,1.14.13
MNXR115639,3.1.2
MNXR120058,1.1.1
MNXR183629,2.3.1
MNXR146402,2.7.1
MNXR106897,4.2.1
MNXR104443,1.1.1
MNXR174048,3.1.1
MNXR163961,1.14.14
MNXR147131,2.4.1
MNXR193709,2.4.2
MNXR143972,4.2.2
MNXR173135,4.1.1
MNXR148175,3.1.1
MNXR174735,6.3.4
MNXR163550,2.4.1
MNXR146639,3.6.1
MNXR176487,1.6.3
MNXR175671,4.99.1
MNXR181804,1.8.1
MNXR123744,2.3.1
MNXR100413,3.1.4
MNXR150326,2.5.1
MNXR166646,4.1.1
MNXR173146,1.8.1
MNXR166251,2.4.1
MNXR175828,3.2.1
MNXR110476,2.1.1
MNXR175741,2.3.1
MNXR184168,2.3.1
MNXR148274,2.1.1
MNXR116732,3.2.1
MNXR163767,6.3.2
MNXR115553,2.7.7
