reaction_id,Prediction
10233,"2.4.2,0.9490035772323608;2.7.7,0.028817791491746902;2.5.1,0.009999347850680351;1.3.1,0.003375847125425935;2.4.1,0.002922241808846593"
23817,"2.6.1,0.9928690791130066;4.1.1,0.003511437913402915;1.4.1,0.0013277580728754401;5.4.3,0.0009348504827357829;4.4.1,0.00018637806351762265"
24025,"2.6.1,0.995381772518158;5.4.3,0.0015900838188827038;1.4.1,0.000638304278254509;4.4.1,0.0006086817011237144;4.3.1,0.0004500139912124723"
24449,"2.4.1,0.9882289171218872;2.4.2,0.011451526544988155;2.7.4,0.0001523840765003115;2.7.8,9.578241588314995e-05;2.7.7,1.3722586118092295e-05"
24830,"6.3.1,0.47929659485816956;6.3.4,0.33819153904914856;6.3.2,0.07446226477622986;3.5.2,0.02816079743206501;6.3.3,0.025435859337449074"
26157,"1.1.1,0.9948687553405762;5.1.3,0.0016235364601016045;1.17.1,0.0009205866954289377;1.12.1,0.00045625268830917776;1.4.1,0.00027933064848184586"
27611,"4.1.1,0.8155837059020996;1.2.2,0.06579239666461945;1.17.98,0.029059533029794693;1.2.3,0.00881802849471569;1.2.98,0.008056613616645336"
27651,"2.7.1,0.9969602227210999;2.7.4,0.0014330529375001788;2.7.8,0.0006627529510296881;2.7.12,0.0002975033421535045;2.7.11,0.00022492010612040758"
27711,"2.7.1,0.9969602227210999;2.7.4,0.0014330529375001788;2.7.8,0.0006627529510296881;2.7.12,0.0002975033421535045;2.7.11,0.00022492010612040758"
27759,"2.1.2,0.6531414985656738;1.5.1,0.3437972366809845;4.3.1,0.0026099374517798424;2.1.1,0.00022275742958299816;1.4.1,0.00010458093311171979"
27787,"2.3.1,0.4670567214488983;1.1.1,0.23581525683403015;1.2.1,0.20313526690006256;1.8.1,0.03374664485454559;1.4.1,0.02565336786210537"
28011,"2.8.3,0.9033710956573486;2.7.4,0.04062478616833687;2.3.1,0.007382087409496307;5.2.1,0.005204744171351194;6.2.1,0.0030790483579039574"
28043,"1.2.1,0.8176825642585754;1.1.1,0.11020474880933762;2.3.1,0.041883889585733414;1.8.1,0.015719331800937653;2.3.3,0.004135210998356342"
28051,"3.1.3,0.9746422171592712;3.6.1,0.007618575822561979;3.6.5,0.003617781214416027;3.6.4,0.002479902468621731;2.7.7,0.002038695616647601"
28191,"3.5.4,0.99993896484375;3.5.1,2.4269080313388258e-05;6.3.4,9.31487011257559e-06;3.5.5,7.065217687340919e-06;3.5.99,4.644640739570605e-06"
28331,"3.6.1,0.30846738815307617;3.6.5,0.28236863017082214;3.6.4,0.22018170356750488;6.3.5,0.06133836880326271;5.6.2,0.05911293625831604"
28375,"6.3.2,0.9866355061531067;2.7.7,0.002925511682406068;3.6.4,0.001508911605924368;3.6.5,0.0014810721622779965;6.3.1,0.00105384923517704"
28387,"2.7.4,0.1598474532365799;2.7.8,0.05540730059146881;2.3.1,0.052567701786756516;5.2.1,0.034546274691820145;2.6.1,0.0285967905074358"
28403,"2.7.1,0.4555974006652832;2.4.1,0.21595147252082825;2.7.4,0.11669489741325378;2.4.2,0.106731116771698;2.7.7,0.04591967165470123"
28407,"3.6.1,0.30846738815307617;3.6.5,0.28236863017082214;3.6.4,0.22018170356750488;6.3.5,0.06133836880326271;5.6.2,0.05911293625831604"
28539,"2.7.1,0.6162570714950562;2.7.4,0.10920432955026627;2.4.2,0.09796549379825592;2.7.7,0.05901821330189705;2.4.1,0.044603511691093445"
28676,"5.1.3,0.9750770330429077;3.2.1,0.020312853157520294;2.4.1,0.002713126828894019;5.3.1,0.0003883442550431937;2.3.1,0.0003497231809888035"
29768,"3.6.1,0.30846738815307617;3.6.5,0.28236863017082214;3.6.4,0.22018170356750488;6.3.5,0.06133836880326271;5.6.2,0.05911293625831604"
29776,"2.7.1,0.9949776530265808;2.7.4,0.0022045341320335865;2.7.8,0.0009044275502674282;5.4.2,0.0005991224898025393;2.7.12,0.0004701700818259269"
29780,"3.6.1,0.30846738815307617;3.6.5,0.28236863017082214;3.6.4,0.22018170356750488;6.3.5,0.06133836880326271;5.6.2,0.05911293625831604"
29792,"3.6.1,0.30846738815307617;3.6.5,0.28236863017082214;3.6.4,0.22018170356750488;6.3.5,0.06133836880326271;5.6.2,0.05911293625831604"
29796,"3.6.1,0.30846738815307617;3.6.5,0.28236863017082214;3.6.4,0.22018170356750488;6.3.5,0.06133836880326271;5.6.2,0.05911293625831604"
29800,"3.6.1,0.30846738815307617;3.6.5,0.28236863017082214;3.6.4,0.22018170356750488;6.3.5,0.06133836880326271;5.6.2,0.05911293625831604"
29812,"3.6.1,0.30846738815307617;3.6.5,0.28236863017082214;3.6.4,0.22018170356750488;6.3.5,0.06133836880326271;5.6.2,0.05911293625831604"
29996,"3.6.1,0.30846738815307617;3.6.5,0.28236863017082214;3.6.4,0.22018170356750488;6.3.5,0.06133836880326271;5.6.2,0.05911293625831604"
30000,"3.6.1,0.30846738815307617;3.6.5,0.28236863017082214;3.6.4,0.22018170356750488;6.3.5,0.06133836880326271;5.6.2,0.05911293625831604"
30084,"1.16.3,0.5294873118400574;1.4.9,0.09173817187547684;1.20.9,0.016318023204803467;1.15.1,0.015850486233830452;1.17.9,0.01516201626509428"
30112,"3.1.1,0.9991931319236755;4.2.1,0.00031328361365012825;3.8.1,0.00010561454837443307;3.3.2,9.117680747294798e-05;1.2.98,5.572580630541779e-05"
30392,"2.6.1,0.9782742857933044;2.7.4,0.003982119727879763;2.3.1,0.0033372321631759405;5.4.3,0.001424178248271346;2.7.8,0.0011853629257529974"
30688,"4.1.3,0.994866132736206;4.1.2,0.003261749166995287;1.1.99,0.000630839029327035;1.1.2,0.00016655340732540935;5.3.2,0.00014495092909783125"
30700,"2.6.1,0.9830868244171143;4.1.1,0.012736995704472065;5.4.3,0.002287979470565915;1.4.1,0.0008471404435113072;4.3.1,0.00026671457453630865"
30872,"2.7.1,0.9969602227210999;2.7.4,0.0014330529375001788;2.7.8,0.0006627529510296881;2.7.12,0.0002975033421535045;2.7.11,0.00022492010612040758"
31156,"1.2.1,0.8664085865020752;1.4.1,0.08715661615133286;1.17.1,0.010189655236899853;1.7.1,0.008605027571320534;1.3.1,0.006322373636066914"
31228,"2.4.1,0.9975612163543701;2.4.2,0.0013131484156474471;2.7.8,0.0005363110103644431;3.6.1,0.00011604678729781881;2.7.4,0.00010070576536236331"
31236,"2.6.1,0.8163390159606934;2.7.4,0.03464944660663605;2.3.1,0.01652783900499344;5.1.1,0.014914380386471748;2.7.8,0.008018974214792252"
31416,"4.2.3,0.9984027743339539;5.5.1,0.001563037047162652;5.3.3,2.2995145627646707e-05;5.4.99,6.812161245761672e-06;2.5.1,3.611544343584683e-06"
31424,"4.2.3,0.9987199306488037;5.5.1,0.0011833050521090627;5.4.99,4.888360854238272e-05;2.5.1,3.351458508404903e-05;5.3.3,7.980615919223055e-06"
32588,"1.14.13,0.951513946056366;1.1.1,0.03805607184767723;1.6.3,0.002724667079746723;1.14.19,0.002478739945217967;1.4.1,0.0009527051006443799"
32764,"6.3.2,0.7266477942466736;6.3.1,0.22315414249897003;6.3.4,0.006316097918897867;3.6.4,0.0045711505226790905;2.7.4,0.003907248843461275"
32980,"3.1.1,0.856647789478302;2.3.1,0.058256737887859344;2.7.1,0.01721629872918129;2.7.8,0.01701907441020012;3.2.1,0.014274139888584614"
33032,"1.1.1,0.9992584586143494;5.3.1,0.0003244907420594245;5.1.3,0.0002832124300766736;1.1.99,4.075823017046787e-05;1.17.1,2.1020312487962656e-05"
33088,"5.3.1,0.5848697423934937;4.1.3,0.1486271470785141;4.1.2,0.09473986178636551;5.5.1,0.05780252069234848;1.1.1,0.02276386320590973"
33148,"3.6.1,0.30846738815307617;3.6.5,0.28236863017082214;3.6.4,0.22018170356750488;6.3.5,0.06133836880326271;5.6.2,0.05911293625831604"
33156,"3.1.3,0.9959143996238708;2.7.8,0.0009789590258151293;3.6.1,0.0005557762924581766;3.1.7,0.0005535256350412965;4.2.3,0.0003849445201922208"
33276,"3.1.1,0.996605634689331;3.2.1,0.0011274210410192609;3.6.1,0.00038093014154583216;3.1.2,0.0003182860091328621;3.5.1,0.00014321287744678557"
33688,"2.3.1,0.9994274377822876;3.1.2,0.0002382281090831384;6.2.1,0.00019391224486753345;2.3.2,2.9315260690054856e-05;2.3.3,1.6343015886377543e-05"
33796,"3.2.1,0.9763466119766235;2.4.1,0.011535974219441414;5.1.3,0.005148626398295164;5.4.99,0.002636207267642021;4.2.1,0.0013253812212496996"
34800,"2.3.1,0.9977813363075256;2.3.3,0.00047144232667051256;4.1.3,0.0004353723779786378;5.4.99,0.00029326448566280305;5.3.3,0.00020834096358157694"
35264,"3.1.1,0.8950626850128174;2.7.1,0.02507816068828106;3.2.1,0.01880412921309471;4.2.1,0.007513098884373903;3.1.4,0.004824597388505936"
35580,"2.3.1,0.9894790053367615;2.3.2,0.0018918632995337248;5.4.99,0.0013966029509902;2.7.1,0.001272567198611796;2.7.8,0.0007262211875058711"
35816,"2.4.2,0.9810349345207214;4.1.1,0.01234752219170332;2.7.7,0.0024360099341720343;2.5.1,0.0021266289986670017;2.4.1,0.0007553913164883852"
36080,"2.7.8,0.978596568107605;2.4.1,0.007851198315620422;2.7.1,0.004294256214052439;2.3.1,0.0017618810525164008;2.7.11,0.0009640795760788023"
36228,"2.7.8,0.9934120774269104;2.7.1,0.0058006527833640575;4.6.1,0.0002674194984138012;3.1.4,0.00021919343271292746;2.4.3,9.134806168731302e-05"
36252,"6.2.1,0.9888688325881958;1.2.1,0.006034845486283302;2.3.1,0.0018909192876890302;3.1.2,0.0016220322577282786;2.7.4,0.0008322842186316848"
36308,"4.1.2,0.7531039714813232;2.3.1,0.12628312408924103;2.8.3,0.04627125337719917;4.2.1,0.02820233255624771;4.1.3,0.0071292719803750515"
38356,"4.2.1,0.5995036959648132;2.8.3,0.10759610682725906;4.1.2,0.04518049582839012;2.3.1,0.02883121185004711;1.3.1,0.0262855626642704"
38460,"2.3.1,0.9891820549964905;3.1.2,0.005023772828280926;6.2.1,0.0025924379006028175;2.3.3,0.0011867007706314325;2.3.2,0.0008165628532879055"
40720,"2.1.1,0.9979185461997986;2.5.1,0.000995307113043964;2.3.1,0.000747671234421432;2.7.8,0.00019621275714598596;1.8.4,7.060244388412684e-05"
41945,"2.7.2,0.9344425797462463;2.7.4,0.051262419670820236;2.7.1,0.005992069374769926;6.3.1,0.0007883749785833061;2.7.7,0.0007481473730877042"
41949,"1.2.1,0.9968754053115845;1.1.1,0.0012439136626198888;1.17.1,0.0002817249915096909;2.5.1,0.0002596788399387151;1.3.1,0.0001903282100101933"
41953,"2.6.1,0.9921412467956543;4.1.1,0.0037755421362817287;5.4.3,0.002556280232965946;1.4.1,0.0008990708156488836;2.3.1,0.0001691969227977097"
42213,"3.1.1,0.7507588863372803;4.2.1,0.05010906979441643;2.7.1,0.03562706708908081;3.2.1,0.029385900124907494;3.8.1,0.014997062273323536"
42269,"2.3.1,0.9578376412391663;4.1.1,0.039302658289670944;1.2.7,0.0009463177993893623;1.2.1,0.00033331612939946353;3.1.2,0.0002515034284442663"
42273,"2.3.1,0.9266194701194763;4.1.1,0.07167372852563858;1.2.7,0.0003555219736881554;1.2.3,0.00024678034242242575;3.1.2,0.00013072836736682802"
42277,"2.3.1,0.9964304566383362;4.1.1,0.0033261084463447332;1.2.7,5.960566340945661e-05;6.2.1,2.4439077606075443e-05;3.1.2,2.255357503599953e-05"
42409,"2.7.1,0.9949776530265808;2.7.4,0.0022045341320335865;2.7.8,0.0009044275502674282;5.4.2,0.0005991224898025393;2.7.12,0.0004701700818259269"
42413,"2.7.7,0.4697394371032715;2.7.1,0.27587971091270447;2.7.4,0.12272538989782333;2.7.6,0.017602205276489258;2.7.9,0.016843149438500404"
42441,"1.4.1,0.7560907006263733;1.5.1,0.06912840157747269;1.2.1,0.024740135297179222;1.16.1,0.02063526026904583;4.3.1,0.020300311967730522"
42489,"2.3.1,0.9219808578491211;3.1.2,0.039413608610630035;6.2.1,0.02546745166182518;2.3.3,0.005037556402385235;2.3.2,0.0034584139939397573"
42493,"1.14.14,0.9985666871070862;1.14.19,0.0011167679913342;1.19.6,8.371949661523104e-05;1.5.1,6.982229388086125e-05;1.14.99,5.136029722052626e-05"
42717,"2.5.1,0.8646152019500732;2.8.1,0.09364785999059677;3.1.7,0.017236921936273575;3.6.1,0.009079976938664913;2.7.6,0.00364438584074378"
43637,"2.3.1,0.5429951548576355;2.3.2,0.4223804175853729;3.5.1,0.019756408408284187;3.2.2,0.011891827918589115;3.5.4,0.00071787677006796"
43641,"2.3.1,0.990362823009491;4.1.1,0.009138340130448341;1.2.7,9.247310663340613e-05;1.2.3,5.745132875745185e-05;6.2.1,5.514207077794708e-05"
43765,"6.2.1,0.9983672499656677;1.2.1,0.0006401885184459388;3.1.2,0.000598257000092417;2.8.3,0.00013397610746324062;2.7.4,0.00010940360516542569"
44061,"2.3.1,0.9955216646194458;6.2.1,0.002216737950220704;3.1.2,0.0013855992583557963;2.3.3,0.00026771074044518173;2.8.3,0.0001923788368003443"
44141,"1.14.14,0.5613078474998474;2.3.3,0.11199241876602173;2.3.1,0.08987929672002792;3.1.2,0.039989881217479706;1.5.1,0.03765227273106575"
44181,"1.3.8,0.7079678773880005;1.14.14,0.18330876529216766;1.5.1,0.022246550768613815;1.5.8,0.021266579627990723;2.5.1,0.019967779517173767"
44649,"3.1.1,0.9934272766113281;3.2.1,0.0027417149394750595;2.3.1,0.001536137075163424;2.7.8,0.0010647911112755537;3.1.4,0.0005245455540716648"
44769,"4.1.1,0.9920874238014221;1.13.11,0.0019118433119729161;1.2.3,0.0017589402850717306;1.17.98,0.000876198522746563;3.1.1,0.0005686699296347797"
45233,"1.3.1,0.9935506582260132;5.3.3,0.004287245683372021;1.16.1,0.0002473804634064436;1.1.1,0.00022662425180897117;1.17.1,0.00022114133753348142"
45701,"1.14.13,0.9672370553016663;1.6.3,0.0223773755133152;1.14.19,0.0021820045076310635;1.17.1,0.0008577199769206345;1.18.1,0.0008391807787120342"
45717,"3.1.2,0.9420733451843262;1.2.1,0.037817396223545074;6.2.1,0.008933370001614094;2.3.3,0.004011896904557943;2.3.1,0.003124537179246545"
45757,"2.1.2,0.39448192715644836;2.1.1,0.3449001610279083;1.5.3,0.22543193399906158;1.5.1,0.02916734106838703;1.4.3,0.0033936097752302885"
45821,"2.8.3,0.7024367451667786;2.3.1,0.0696936771273613;2.7.4,0.053166504949331284;5.4.99,0.03936447948217392;4.2.1,0.03431880846619606"
45913,"1.3.1,0.5949795842170715;5.3.3,0.4047379493713379;1.3.99,9.09430455067195e-05;1.1.1,4.038757106172852e-05;2.5.1,1.6500915080541745e-05"
46001,"2.5.1,0.9884896874427795;4.2.3,0.0064878989942371845;3.6.1,0.0015047467313706875;3.1.7,0.000838839856442064;3.5.4,0.0007401549373753369"
46309,"1.14.14,0.9993174076080322;1.14.19,0.0004342790925875306;1.14.99,7.295636169146746e-05;1.17.7,4.8814061301527545e-05;1.19.6,3.2049698347691447e-05"
47045,"2.3.1,0.7394459843635559;4.1.3,0.037098370492458344;2.6.1,0.02413160726428032;2.7.4,0.020522749051451683;2.8.3,0.020040683448314667"
47129,"6.2.1,0.9983672499656677;1.2.1,0.0006401885184459388;3.1.2,0.000598257000092417;2.8.3,0.00013397610746324062;2.7.4,0.00010940360516542569"
47137,"6.2.1,0.9983672499656677;1.2.1,0.0006401885184459388;3.1.2,0.000598257000092417;2.8.3,0.00013397610746324062;2.7.4,0.00010940360516542569"
47621,"1.14.11,0.5453802347183228;4.1.1,0.30298614501953125;3.1.6,0.06081885099411011;1.14.20,0.033246126025915146;1.13.11,0.01313705276697874"
48129,"3.6.1,0.9816552400588989;2.7.9,0.010187351144850254;3.1.7,0.0018851840868592262;3.6.5,0.00084906374104321;2.5.1,0.0008341287611983716"
48637,"4.2.1,0.991081714630127;1.13.11,0.0039933789521455765;5.4.4,0.0034967081155627966;1.14.99,0.0002086224121740088;3.2.1,0.00014322104107122868"
48685,"3.5.2,0.3683856129646301;3.5.1,0.24867594242095947;2.6.1,0.14281906187534332;1.13.12,0.06423665583133698;5.4.3,0.029978785663843155"
50237,"1.14.14,0.9993174076080322;1.14.19,0.0004342790925875306;1.14.99,7.295636169146746e-05;1.17.7,4.8814061301527545e-05;1.19.6,3.2049698347691447e-05"
50305,"1.14.14,0.9994012117385864;1.14.19,0.0003252857131883502;1.5.1,7.650347833987325e-05;1.19.6,5.52331366634462e-05;1.14.99,3.455405749264173e-05"
50309,"1.14.14,0.9992926120758057;1.14.19,0.00048606484779156744;1.5.1,5.5108230299083516e-05;1.14.99,4.5918401156086475e-05;1.19.6,3.582279532565735e-05"
50337,"1.14.14,0.999363124370575;1.14.19,0.000533180427737534;1.17.7,2.3956365112098865e-05;1.19.6,2.2945727323531173e-05;1.5.1,1.2163870451331604e-05"
51429,"2.3.1,0.997542142868042;6.2.1,0.0013243058929219842;3.1.2,0.000580811349209398;2.3.3,0.0003504794149193913;1.2.1,5.230054375715554e-05"
51505,"2.4.1,0.9839178323745728;2.4.2,0.015309005044400692;2.7.8,0.0003821486607193947;2.7.1,0.00018701879889704287;2.7.4,6.336736987577751e-05"
51589,"1.1.1,0.9959320425987244;1.2.1,0.0026632421649992466;1.17.1,0.00028902466874569654;1.4.1,0.00020303566998336464;1.12.1,0.0001798600860638544"
51637,"1.8.5,0.5207639932632446;1.3.5,0.26018479466438293;1.1.5,0.07835584878921509;1.2.5,0.05235053971409798;1.4.5,0.021967971697449684"
52321,"1.14.14,0.9930880665779114;1.14.19,0.00499351229518652;1.14.99,0.0010719572892412543;1.19.6,0.00014671737153548747;1.14.13,0.0001462089567212388"
52541,"2.4.2,0.9952539205551147;2.7.8,0.0020530223846435547;3.2.2,0.0008299130713567138;2.7.7,0.0004906415706500411;3.1.3,0.0004165607679169625"
52613,"1.3.8,0.7966711521148682;1.14.14,0.13170327246189117;1.5.8,0.034389663487672806;1.5.1,0.019570987671613693;1.19.6,0.006148329470306635"
52625,"6.3.2,0.8443293571472168;6.3.1,0.1219954565167427;3.5.2,0.016767345368862152;6.3.4,0.008534498512744904;3.5.1,0.0019550235010683537"
52633,"2.7.2,0.9344425797462463;2.7.4,0.051262419670820236;2.7.1,0.005992069374769926;6.3.1,0.0007883749785833061;2.7.7,0.0007481473730877042"
52669,"1.2.1,0.9968754053115845;1.1.1,0.0012439136626198888;1.17.1,0.0002817249915096909;2.5.1,0.0002596788399387151;1.3.1,0.0001903282100101933"
52673,"2.6.1,0.9921412467956543;4.1.1,0.0037755421362817287;5.4.3,0.002556280232965946;1.4.1,0.0008990708156488836;2.3.1,0.0001691969227977097"
52677,"3.5.2,0.3683856129646301;3.5.1,0.24867594242095947;2.6.1,0.14281906187534332;1.13.12,0.06423665583133698;5.4.3,0.029978785663843155"
52681,"2.3.1,0.9995834231376648;3.1.2,0.00022381864255294204;2.3.3,9.541884355712682e-05;6.2.1,4.635244476958178e-05;2.3.2,1.681374851614237e-05"
52825,"1.14.13,0.9545270204544067;1.1.1,0.03702481463551521;1.6.3,0.0024897379335016012;1.14.19,0.0015605960506945848;3.1.1,0.000752279709558934"
52829,"1.14.13,0.955910861492157;1.1.1,0.033369943499565125;1.14.19,0.0024711922742426395;1.6.3,0.002264006994664669;1.4.1,0.0015793954953551292"
53409,"1.14.13,0.9926782846450806;1.14.99,0.0022372202947735786;1.14.19,0.0013861990300938487;1.6.3,0.0009578040917403996;1.1.1,0.0007616512011736631"
53413,"1.14.13,0.9936311841011047;1.14.99,0.0018473597010597587;1.14.19,0.0014502546982839704;1.1.1,0.0006935131968930364;1.6.3,0.0005320413620211184"
53777,"1.13.11,0.8415541648864746;2.3.1,0.06046378239989281;3.13.1,0.011062653735280037;1.14.99,0.008325591683387756;1.8.4,0.008091880939900875"
53829,"1.14.11,0.9402024149894714;1.14.20,0.011822862550616264;1.2.3,0.007090173661708832;1.4.3,0.005798982456326485;1.13.12,0.005623260512948036"
53833,"4.1.1,0.6267231702804565;1.14.11,0.3058716058731079;1.2.3,0.034644193947315216;1.13.11,0.012814478017389774;1.14.20,0.007084366399794817"
53837,"2.3.1,0.9985499978065491;3.1.2,0.0006449222564697266;2.3.2,0.00028400987503118813;3.5.1,0.00015626497042831033;6.2.1,0.0001375416322844103"
54257,"1.14.11,0.9964588284492493;2.6.1,0.0011471209581941366;1.14.20,0.0008409120491705835;1.14.99,0.0003145873488392681;1.13.12,0.0002891157637350261"
54413,"1.3.1,0.9993748068809509;1.3.99,0.00023682927712798119;1.1.1,0.0001302895980188623;1.17.1,4.309865107643418e-05;1.12.1,1.9841445464408025e-05"
54421,"3.1.4,0.825240433216095;3.6.1,0.13080120086669922;2.7.8,0.014260615222156048;3.1.7,0.009256605058908463;3.1.3,0.0035363100469112396"
54877,"3.1.1,0.9604953527450562;3.7.1,0.013827129267156124;4.1.2,0.007802217733114958;4.1.1,0.0067919036373496056;2.5.1,0.0014592880615964532"
54881,"3.1.1,0.95201575756073;3.7.1,0.016603948548436165;4.1.2,0.008744235150516033;4.1.1,0.006934531033039093;4.1.3,0.0015717099886387587"
55009,"1.14.13,0.9708649516105652;1.14.99,0.00917853508144617;4.2.1,0.0032233241945505142;1.3.1,0.0026440382935106754;1.6.3,0.002409709617495537"
55013,"1.14.13,0.9680327773094177;1.14.99,0.009900552220642567;1.6.3,0.003128093434497714;4.2.1,0.0030178928282111883;1.2.1,0.0023881352972239256"
55041,"2.3.1,0.990362823009491;4.1.1,0.009138340130448341;1.2.7,9.247310663340613e-05;1.2.3,5.745132875745185e-05;6.2.1,5.514207077794708e-05"
56005,"3.2.1,0.31079337000846863;4.2.1,0.12274640798568726;3.6.1,0.0905296728014946;3.1.3,0.05568564683198929;3.1.2,0.01970903016626835"
56009,"3.2.1,0.35100507736206055;3.6.1,0.09089729934930801;4.2.1,0.08161903917789459;3.1.3,0.04519413411617279;3.1.2,0.018878033384680748"
56029,"3.2.1,0.35100507736206055;3.6.1,0.09089729934930801;4.2.1,0.08161903917789459;3.1.3,0.04519413411617279;3.1.2,0.018878033384680748"
56045,"3.2.1,0.31079337000846863;4.2.1,0.12274640798568726;3.6.1,0.0905296728014946;3.1.3,0.05568564683198929;3.1.2,0.01970903016626835"
56125,"4.2.3,0.9766842126846313;3.1.7,0.02073688991367817;1.3.99,0.0012251747539266944;2.5.1,0.0005928294267505407;3.6.1,0.0002415071940049529"
56129,"4.2.3,0.6585443615913391;3.1.7,0.13658706843852997;3.6.1,0.11932063102722168;2.5.1,0.05758551135659218;1.3.99,0.014743021689355373"
56517,"1.3.3,0.4875431954860687;1.11.1,0.4284226596355438;1.11.2,0.036929789930582047;4.2.1,0.007216829806566238;1.1.3,0.004256389103829861"
56521,"1.3.98,0.8889396786689758;1.17.98,0.025307515636086464;2.1.1,0.01865127868950367;1.21.98,0.014090207405388355;4.4.1,0.008688216097652912"
