Reaction ID,Theia
R10609,"2.4.2,0.9998902082443237;2.4.1,7.898949115769938e-05;2.3.1,2.4017348550842144e-05;5.1.3,5.172430519451154e-06;2.4.-,6.198442292770778e-07"
R05325,"2.4.1,0.9999693632125854;2.7.7,1.8042763258563355e-05;3.1.1,5.162352408660809e-06;5.1.3,1.2864015843661036e-06;1.1.3,1.2556438377941959e-06"
R10530,"3.2.1,0.9990118741989136;2.3.1,0.0005089809419587255;5.1.3,0.0001285828184336424;4.2.1,7.847549568396062e-05;2.4.1,4.353048643679358e-05"
R08816,"2.4.1,0.9999970197677612;2.7.7,2.0210704860801343e-06;2.7.8,3.990079449067707e-07;2.4.2,2.1369294245232595e-07;6.2.1,5.929931745640715e-08"
R03020,"5.4.99,0.9940898418426514;2.3.1,0.0030086219776421785;1.14.99,0.0009018904529511929;2.4.2,0.0006486839847639203;2.8.3,0.00012364806025289"
R00432,"6.2.1,0.6904245615005493;2.3.1,0.2650768756866455;2.7.3,0.029464222490787506;6.3.2,0.008649682626128197;3.1.2,0.0022301645949482918"
R08697,"3.1.7,0.7754074931144714;3.1.3,0.08255216479301453;3.1.4,0.02956797182559967;3.1.1,0.024532867595553398;3.2.1,0.024275222793221474"
R13123,"2.1.1,1.0;3.3.1,3.078588599325638e-12;2.3.1,3.0595638869646002e-12;2.5.1,2.403096818759387e-12;3.13.1,7.52358407778847e-13"
R06378,"1.1.1,0.9999911785125732;1.3.1,6.41103270027088e-06;1.14.13,1.2955798638358829e-06;2.3.1,2.6670150532481784e-07;1.-.-,2.447334566113568e-07"
R03111,"2.1.1,1.0;2.3.1,5.3315343251369995e-08;4.3.3,1.649589087548975e-08;1.3.98,1.6358185916942602e-08;4.2.1,1.0320836629773567e-08"
R00251,"3.5.2,0.9845930933952332;3.5.1,0.008594662882387638;1.13.12,0.0023907010909169912;2.7.3,0.001098800334148109;1.3.98,0.0004966933047398925"
R05298,"4.1.3,0.9939272403717041;4.1.2,0.002865282353013754;4.2.1,0.0019834004342556;1.1.1,0.0004626333829946816;2.6.1,0.00024187039525713772"
R00044,"1.21.3,0.9741078019142151;1.14.19,0.00855302345007658;1.14.21,0.007912139408290386;1.14.18,0.005035846959799528;1.14.16,0.0026545829605311155"
R07710,"1.14.13,0.978158175945282;1.14.14,0.013140719383955002;1.14.12,0.005318954586982727;1.6.3,0.0006658922065980732;1.14.15,0.0005905239377170801"
R01054,"3.2.1,0.7179991602897644;3.6.1,0.26172441244125366;3.1.4,0.010821443982422352;3.1.3,0.004746528342366219;3.1.1,0.0022606218699365854"
R00878,"5.3.1,0.9977239966392517;2.2.1,0.0015553714474663138;5.1.3,0.00019758136477321386;2.6.1,0.00014624306641053408;3.2.1,8.971746865427122e-05"
R05312,"1.3.1,0.9996615648269653;1.14.12,0.0002700139011722058;1.1.1,4.6984292566776276e-05;1.3.99,1.4220518096408341e-05;1.14.21,1.4140410939944559e-06"
R00462,"4.1.1,0.9952185750007629;2.3.1,0.0033181007020175457;6.2.1,0.0003712116740643978;1.2.4,0.00023354482254944742;1.1.1,0.00011700287723215297"
R08218,"2.1.1,0.7169079184532166;2.7.1,0.24491700530052185;4.1.99,0.020782455801963806;4.6.1,0.004875993821769953;3.4.21,0.0024447559844702482"
R07038,"1.13.11,0.9638316035270691;1.14.99,0.032324932515621185;1.14.12,0.0017745766090229154;5.4.4,0.0009357062517665327;4.2.1,0.0006619924679398537"
R13303,"2.5.1,0.9946396946907043;5.3.3,0.004795280750840902;5.5.1,0.00016809444059617817;4.1.1,8.831907325657085e-05;5.3.99,7.206687587313354e-05"
R06450,"2.4.1,0.9999994039535522;2.7.7,1.8378553079401172e-07;2.4.2,1.057447818197943e-07;2.3.1,5.59792532328629e-08;2.7.1,4.73486707619486e-08"
R04349,"3.5.5,0.9993897676467896;4.2.1,0.0005898966919630766;4.3.1,4.395179985294817e-06;3.5.1,3.983796432294184e-06;3.5.4,2.4362379917874932e-06"
R00533,"1.8.3,0.9999251365661621;1.11.1,2.2687261662213132e-05;1.1.3,1.860942575149238e-05;1.14.18,1.3597494216810446e-05;1.6.3,3.1293448046199046e-06"
R01689,"1.3.1,0.6122613549232483;1.1.1,0.35193631052970886;2.3.1,0.025261960923671722;1.2.1,0.004925152752548456;1.3.99,0.0030397740192711353"
R09953,"1.1.1,0.97078537940979;4.6.1,0.009328804910182953;2.7.1,0.005140287801623344;1.12.1,0.0037213400937616825;1.1.5,0.002511593047529459"
R06487,"2.4.1,0.999972939491272;2.3.1,1.071721544576576e-05;2.7.7,8.570404133934062e-06;2.4.2,6.247136298043188e-06;3.2.1,4.411407132920431e-07"
R10253,"2.3.1,0.9999967813491821;3.1.2,1.7599226111997268e-06;3.1.1,1.3256737929623341e-06;2.3.3,1.4894740729687328e-07;1.2.7,3.757270050641637e-08"
R05613,"2.5.1,0.5552414059638977;5.3.3,0.4392559826374054;1.17.1,0.0027443747967481613;2.7.1,0.0008159149438142776;4.1.1,0.0002686076913960278"
R12826,"1.14.11,0.9998775720596313;1.14.20,0.0001049930215231143;1.1.99,9.774900718184654e-06;4.1.1,3.609845862229122e-06;1.4.11,1.324021127402375e-06"
R10876,"2.4.1,0.9999994039535522;2.7.7,1.8378553079401172e-07;2.4.2,1.057447818197943e-07;2.3.1,5.59792532328629e-08;2.7.1,4.73486707619486e-08"
R07504,"2.1.1,1.0;2.3.1,6.4558309809115144e-09;2.5.1,5.858066476349677e-09;4.1.1,3.0484543778186435e-09;6.3.2,2.944048116404474e-09"
R03352,"3.1.2,0.9898674488067627;3.2.1,0.006216933019459248;4.2.1,0.002855751197785139;1.2.1,0.00025977659970521927;3.4.11,0.00024864100851118565"
R12517,"1.3.1,0.9993987083435059;1.1.1,0.00044284501927904785;1.3.99,4.407103915582411e-05;5.3.3,3.7155590689508244e-05;5.5.1,3.582526551326737e-05"
R08082,"1.14.20,0.6348717212677002;1.14.11,0.36292871832847595;1.13.12,0.000296916434308514;1.2.4,0.0002503922441974282;1.5.3,0.00023538949608337134"
R01659,"2.5.1,0.7892085909843445;5.3.3,0.2104765921831131;1.14.99,0.00011542511492734775;2.3.2,3.328579623484984e-05;4.1.1,2.4522469175281003e-05"
R12039,"1.-.-,0.9603981375694275;2.1.1,0.013412305153906345;1.3.99,0.010473942384123802;1.14.13,0.007904947735369205;2.3.1,0.004369454458355904"
R03478,"2.7.1,0.5946652293205261;2.7.4,0.3466925323009491;6.2.1,0.020394545048475266;2.1.1,0.00891904253512621;2.7.2,0.007206223905086517"
R03339,"1.1.1,0.9410210847854614;2.3.1,0.0578836090862751;1.3.1,0.00039661049959249794;1.14.13,0.00026949611492455006;4.2.1,0.00016185556887649"
R05788,"2.4.-,0.7087883949279785;3.2.1,0.24591974914073944;5.3.1,0.02689027227461338;4.2.2,0.006322716362774372;3.7.1,0.0029119285754859447"
R06342,"1.14.11,0.9635595679283142;1.14.20,0.03543904051184654;2.3.1,0.0003208286070730537;1.14.-,7.818263111403212e-05;1.1.1,6.747501174686477e-05"
R09492,"1.10.3,0.9871679544448853;1.14.18,0.006216947454959154;1.9.3,0.003803723258897662;1.13.12,0.0004202917916700244;1.6.99,0.0003805562446359545"
R12782,"6.2.1,0.9918718338012695;2.7.1,0.005156459752470255;2.3.1,0.0022291908971965313;2.7.2,0.0001920654613059014;2.7.4,0.00010006859520217404"
R04515,"4.1.1,0.7679080367088318;1.1.1,0.07353930175304413;1.1.5,0.02976164035499096;1.2.4,0.024021921679377556;3.7.1,0.023653874173760414"
R09871,"2.1.1,1.0;2.3.1,2.7981675643218296e-08;2.5.1,3.968334993942335e-09;6.3.2,1.5393194496837737e-09;2.6.1,1.0780465409254703e-09"
R08669,"2.8.2,0.9999994039535522;2.6.1,1.7961342280159442e-07;1.1.99,1.4357033251144458e-07;2.3.1,9.56128403117873e-08;4.99.1,5.368920952264489e-08"
R12196,"3.1.1,0.7398079037666321;3.5.1,0.09166878461837769;3.4.17,0.04540626332163811;3.2.1,0.04319357872009277;3.1.2,0.011126110330224037"
R00131,"3.5.1,0.9822582006454468;3.5.3,0.013667692430317402;6.3.4,0.0030338503420352936;4.2.1,0.00015117535076569766;3.5.4,0.00015028181951493025"
R07265,"2.4.1,0.9884844422340393;3.1.3,0.006843166891485453;2.4.2,0.004537313710898161;2.7.1,6.219303759280592e-05;2.7.3,3.101727634202689e-05"
R07354,"1.5.1,0.9999902248382568;1.1.1,2.349957640035427e-06;1.5.99,1.6687041579643846e-06;1.19.1,1.1540645346030942e-06;1.14.13,9.325208907284832e-07"
R06757,"2.5.1,0.9999908208847046;5.3.3,3.033886287084897e-06;1.14.-,1.7107684016082203e-06;1.14.15,1.221909428750223e-06;1.14.13,1.0694204775063554e-06"
R06180,"1.1.1,0.9975848197937012;1.1.99,0.0018089448567479849;2.2.1,0.00038560820394195616;1.3.1,9.432628576178104e-05;1.1.5,3.6950328649254516e-05"
R05231,"1.1.1,0.9770804643630981;1.2.1,0.020993085578083992;1.-.-,0.0011165788164362311;1.1.-,0.00040654922486282885;1.5.1,0.0001817338925320655"
R12415,"1.-.-,0.9998742341995239;4.1.99,3.2071566238300875e-05;2.1.1,1.7005600966513157e-05;1.3.98,1.3613577721116599e-05;1.13.11,9.500610758550465e-06"
R08188,"3.1.2,0.9574896693229675;3.1.1,0.016434019431471825;2.3.1,0.010376030579209328;1.2.1,0.005117138382047415;1.2.3,0.0035724169574677944"
R12988,"1.2.1,0.6597657799720764;1.17.1,0.06844408810138702;1.1.1,0.051843225955963135;1.5.1,0.03129647672176361;1.3.1,0.029271917417645454"
R02010,"4.2.3,0.9658148288726807;5.5.1,0.03395497798919678;4.3.2,8.585031901020557e-05;5.3.3,8.409513247897848e-05;1.3.1,2.529539415263571e-05"
R00666,"1.5.1,0.9986434578895569;1.8.1,0.00031340878922492266;1.14.13,0.0001491984148742631;1.4.99,9.551384573569521e-05;3.4.11,7.6707212429028e-05"
R01012,"2.7.1,0.9450902938842773;2.5.1,0.030284879729151726;4.1.1,0.020668059587478638;2.7.9,0.0010948135750368237;5.3.3,0.0010416480945423245"
R12449,"6.3.1,0.8104832172393799;1.11.1,0.04159529134631157;1.17.99,0.04086802154779434;1.14.12,0.016606491059064865;1.2.2,0.009331981651484966"
R00468,"1.2.1,0.9866098761558533;4.1.3,0.003657336812466383;1.8.1,0.0030493142548948526;1.1.1,0.0022637383081018925;2.3.1,0.002081247279420495"
R09234,"1.14.13,0.9998132586479187;1.14.12,0.00011302129132673144;1.14.14,7.060049392748624e-05;1.14.-,9.850646165432408e-07;1.13.12,7.881711781010381e-07"
R01703,"1.2.3,0.9244462251663208;1.11.1,0.025400642305612564;1.11.2,0.018241597339510918;1.2.1,0.012035625986754894;4.1.1,0.011815640144050121"
R11497,"2.4.1,0.9803963899612427;2.5.1,0.006044860929250717;1.14.14,0.0026434650644659996;2.3.1,0.0018778755329549313;6.2.1,0.0017023342661559582"
R04294,"1.17.4,0.999890923500061;1.11.1,3.0826708098175004e-05;1.8.4,1.8249646018375643e-05;1.8.98,1.5472667655558325e-05;1.8.1,9.754097845871001e-06"
R10596,"2.4.1,0.9989010095596313;3.2.1,0.00045618737931363285;2.7.7,0.0001863116049207747;5.4.99,0.00013322940503712744;2.4.2,8.80930238054134e-05"
R02047,"1.1.1,0.997517466545105;1.2.1,0.001224036794155836;1.3.1,0.0008002594113349915;1.14.13,0.00010233760986011475;1.-.-,9.595647134119645e-05"
R11106,"1.14.19,0.9999918937683105;1.14.14,4.216052730043884e-06;1.9.3,1.980166643988923e-06;1.3.3,6.014269047227572e-07;1.14.99,3.727239459294651e-07"
R05148,"1.14.12,0.8859030604362488;1.3.1,0.11160220205783844;1.14.13,0.0010537533089518547;1.3.3,0.0005032584303990006;1.18.1,0.00034209221485070884"
R06614,"2.3.2,0.5651805996894836;4.1.1,0.42295730113983154;2.3.1,0.010071301832795143;6.2.1,0.0005474298377521336;2.7.8,0.00038594543002545834"
R13384,"1.4.3,0.9994121789932251;1.5.3,0.0002976278483401984;1.7.3,7.263898442033678e-05;1.14.14,3.3265940146520734e-05;1.5.99,3.033561006304808e-05"
R04584,"2.4.2,0.9529039859771729;2.3.1,0.022098399698734283;2.7.7,0.020998774096369743;2.7.6,0.001069761929102242;5.1.3,0.0005023115081712604"
R08282,"1.2.1,0.9984434247016907;1.1.1,0.0014970273477956653;1.2.3,5.1571572839748114e-05;1.5.1,2.0964894247299526e-06;4.2.1,1.7913490637511131e-06"
R00956,"2.7.4,0.7740060091018677;2.7.1,0.19946995377540588;2.1.1,0.01891961507499218;6.2.1,0.002652202034369111;2.7.2,0.0017209263751283288"
R04695,"1.5.1,0.9999927282333374;1.5.99,3.9426608964276966e-06;1.19.1,1.1626619880189537e-06;1.14.13,4.33090718843232e-07;1.4.1,4.212336648379278e-07"
R09232,"1.7.1,0.991071879863739;1.1.1,0.0038144453428685665;1.-.-,0.0026805999223142862;1.14.13,0.0005858526565134525;1.18.1,0.0003767480666283518"
R11311,"2.3.1,0.13771121203899384;2.7.4,0.1075223982334137;2.4.1,0.07033617049455643;5.1.3,0.06864075362682343;2.7.8,0.04989010840654373"
R12568,"2.7.7,0.74260014295578;2.7.1,0.09708835184574127;2.4.99,0.08315200358629227;2.3.2,0.0351102277636528;2.7.4,0.015109989792108536"
R04824,"1.1.1,0.9987938404083252;1.3.1,0.0005086726159788668;2.3.1,0.00035788153763860464;1.14.13,0.00014542386634275317;1.-.-,4.708923370344564e-05"
R03728,"4.1.99,0.800935685634613;1.14.13,0.1774085909128189;1.2.1,0.003156414022669196;1.5.1,0.002887815237045288;3.5.4,0.0025387811474502087"
R10421,"1.1.1,0.9962691068649292;4.2.1,0.0032476657070219517;1.3.1,0.00023001972294878215;5.1.3,8.660275489091873e-05;2.3.1,7.260595157276839e-05"
R10835,"2.4.1,0.9995697140693665;3.2.1,0.00040758270188234746;5.1.3,1.1021327736671083e-05;2.7.7,1.0130534974450711e-05;2.4.2,9.19478509331384e-07"
R05396,"1.3.1,0.9998860359191895;1.1.1,3.8547856092918664e-05;1.14.99,3.69440604117699e-05;1.14.12,6.7939990913146175e-06;1.2.1,6.256896085687913e-06"
R11544,"3.2.1,0.9936208128929138;3.1.3,0.0021326192654669285;3.6.1,0.0019989842548966408;3.1.4,0.0019002107437700033;3.4.11,5.12236547365319e-05"
R13302,"2.5.1,0.9639918804168701;5.3.3,0.035863567143678665;2.3.2,3.455492696957663e-05;4.2.99,2.1844081857125275e-05;4.1.1,1.9615297787822783e-05"
R02168,"2.4.1,0.4928421378135681;5.4.99,0.20151439309120178;2.3.1,0.17894692718982697;2.7.7,0.06918969750404358;5.1.3,0.026777978986501694"
R06390,"3.1.1,0.9999752044677734;1.14.13,9.602786121831741e-06;3.5.1,8.49883053888334e-06;3.3.2,3.024326133527211e-06;1.14.18,1.7483354213254643e-06"
R00493,"2.6.1,0.997122585773468;4.3.1,0.0019224631832912564;1.4.1,0.0008691911934874952;1.4.11,1.9130113287246786e-05;4.1.1,1.286605402128771e-05"
R12105,"1.3.1,0.8724717497825623;1.3.99,0.10138677805662155;1.1.1,0.0250229574739933;1.3.3,0.0002623101172503084;1.3.8,0.00011953226930927485"
R04335,"2.4.2,0.9995909333229065;5.1.3,0.00017426042177248746;2.7.6,0.00016310426872223616;2.3.1,5.548803528654389e-05;2.7.7,6.543218660226557e-06"
R07534,"1.3.99,0.6810988187789917;1.14.99,0.16797979176044464;1.3.8,0.04521159827709198;1.3.3,0.01579257845878601;2.3.1,0.014241387136280537"
R05629,"2.3.1,0.13771121203899384;2.7.4,0.1075223982334137;2.4.1,0.07033617049455643;5.1.3,0.06864075362682343;2.7.8,0.04989010840654373"
R00878,"5.3.1,0.9977239966392517;2.2.1,0.0015553714474663138;5.1.3,0.00019758136477321386;2.6.1,0.00014624306641053408;3.2.1,8.971746865427122e-05"
R10668,"3.2.2,0.9998683929443359;2.4.2,0.00012766526197083294;3.5.1,1.4220659068087116e-06;3.1.1,9.803299008126487e-07;2.3.1,6.799022571613023e-07"
R06018,"4.2.3,0.23465761542320251;2.4.1,0.23345693945884705;1.1.3,0.17913119494915009;3.1.3,0.16069777309894562;1.1.5,0.11433976143598557"
R11587,"4.1.1,0.963727593421936;2.3.1,0.03269879147410393;1.1.1,0.0019674652721732855;4.1.3,0.0005765919340774417;1.2.3,0.0001593666383996606"
R01704,"1.2.1,0.9182435870170593;1.1.1,0.0761321485042572;1.5.1,0.002563558518886566;1.2.3,0.0012541633332148194;1.4.1,0.0007169157615862787"
R07944,"2.3.1,0.9998350143432617;3.1.2,0.00012522908218670636;3.1.1,2.1850264602107927e-05;6.2.1,1.2366480405034963e-05;1.2.1,4.059004822920542e-06"
R04515,"4.1.1,0.7679080367088318;1.1.1,0.07353930175304413;1.1.5,0.02976164035499096;1.2.4,0.024021921679377556;3.7.1,0.023653874173760414"
R02361,"4.2.2,1.0;2.3.1,8.75766037466974e-09;3.2.1,3.015117489013619e-09;5.1.3,5.335577535348079e-10;5.4.1,3.480844779080172e-10"
R04531,"2.7.7,0.4783138036727905;2.4.2,0.38755354285240173;5.1.3,0.056304771453142166;2.3.1,0.05459905415773392;2.4.1,0.014341888949275017"
R03327,"1.1.1,0.8915163278579712;5.3.3,0.10585600137710571;1.3.1,0.0024456868413835764;1.6.5,3.7964597140671685e-05;1.14.13,3.71188361896202e-05"
R06895,"1.3.98,0.9976038336753845;4.1.1,0.001989647513255477;1.3.3,0.00017905430286191404;1.3.5,4.763471588375978e-05;1.3.4,3.327691592858173e-05"
R03673,"5.3.3,0.9997319579124451;1.14.18,0.00013739617133978754;4.1.1,3.3728996641002595e-05;5.3.2,1.64298944582697e-05;1.1.1,1.4966095477575436e-05"
R02530,"4.4.1,0.9941275119781494;3.1.2,0.0029368000105023384;2.3.1,0.0013852352276444435;4.2.1,0.0008837066707201302;1.2.1,0.00035877403570339084"
R12405,"1.1.1,0.9996808767318726;1.14.-,0.00018735561752691865;1.3.1,6.956290599191561e-05;1.14.13,2.6929967134492472e-05;1.-.-,9.268210305890534e-06"
R04345,"5.5.1,0.9999866485595703;3.1.1,7.579770226584515e-06;1.3.1,1.5557938013444073e-06;5.3.3,1.3046312687947648e-06;2.3.1,1.131259750764002e-06"
R12916,"2.4.1,0.9952419996261597;2.4.2,0.0032384535297751427;6.2.1,0.0003667536948341876;6.3.2,0.00033594778506085277;2.7.7,0.0002751375432126224"
R11716,"4.1.2,0.39469391107559204;4.1.1,0.3439549207687378;1.1.1,0.09355586022138596;4.2.1,0.08015095442533493;5.3.1,0.027240749448537827"
R04881,"2.1.1,1.0;1.-.-,2.0975288292281874e-13;2.5.1,1.2917885179239679e-14;2.3.1,1.1789989659203009e-14;6.3.2,6.920673378178841e-15"
R10608,"2.4.2,0.8717679381370544;2.3.1,0.0668870210647583;1.1.1,0.01788131520152092;3.5.1,0.012947852723300457;1.14.13,0.007986444048583508"
R01921,"1.1.1,0.9995854496955872;1.3.1,0.00022109005658421665;2.3.1,0.00013614131603389978;1.2.1,9.792326636670623e-06;1.-.-,7.523791737185093e-06"
R00305,"2.1.1,0.9773614406585693;4.2.1,0.01060498971492052;2.5.1,0.008707975037395954;4.3.1,0.0012666191905736923;4.1.2,0.0005440122913569212"
R08008,"1.14.18,0.7047700881958008;1.21.3,0.2899020314216614;1.14.13,0.002292218152433634;1.-.-,0.0015438380651175976;1.10.3,0.0006211508880369365"
R00997,"3.5.99,0.46012136340141296;4.4.1,0.21523417532444;4.3.1,0.21029458940029144;3.5.1,0.06267525255680084;1.4.1,0.01938611827790737"
R00253,"6.3.1,0.9725147485733032;6.3.5,0.021129824221134186;2.7.3,0.0023814707528799772;6.3.4,0.0021866634488105774;3.5.1,0.0012121882755309343"
R10472,"2.1.1,1.0;1.-.-,2.4571220058611232e-11;2.3.1,1.769616397861995e-11;6.3.2,1.6480037820509885e-12;2.5.1,1.4271945170812872e-12"
R02596,"1.-.-,0.9960338473320007;1.1.1,0.0013000426115468144;1.1.5,0.00110200687777251;1.14.13,0.0007132442551665008;5.5.1,0.00019701034761965275"
R02684,"1.1.1,0.9970868229866028;1.3.1,0.002801754977554083;5.3.3,3.7842255551368e-05;1.-.-,2.4736247723922133e-05;1.6.5,1.8058306523016654e-05"
R09951,"1.1.1,0.9491094350814819;1.17.1,0.01961127668619156;1.6.5,0.006598188541829586;1.1.5,0.004632480908185244;1.10.99,0.003886181628331542"
R03256,"3.2.1,0.9999525547027588;2.3.1,3.574765651137568e-05;3.7.1,3.728403044078732e-06;3.1.1,1.5510032653764938e-06;2.4.1,8.980524626167607e-07"
R11947,"3.1.2,0.6441830992698669;1.8.1,0.16031162440776825;3.1.1,0.08254244923591614;1.8.3,0.05463480204343796;2.8.1,0.027569161728024483"
R02191,"2.3.1,0.999397873878479;3.1.1,0.00031341053545475006;2.6.1,8.816324407234788e-05;6.2.1,5.779923958471045e-05;3.1.2,4.299315332900733e-05"
