Reaction ID,Theia
R06382,"1.1.1,0.9999997615814209;1.14.13,1.5014869347851345e-07;1.-.-,1.2844908781062259e-07;1.3.1,3.160172568072994e-08;1.1.5,2.477521121591053e-08"
R04459,"4.6.1,0.7371001243591309;2.7.8,0.112077996134758;6.5.1,0.05772018805146217;2.7.1,0.020176146179437637;1.6.2,0.01952638477087021"
R04564,"2.4.99,0.8211253881454468;3.1.3,0.1252744495868683;2.7.7,0.023213323205709457;2.3.2,0.02229170873761177;3.1.4,0.0020035146735608578"
R04682,"1.1.1,0.9761871099472046;1.14.13,0.01952602155506611;1.5.1,0.0013546636328101158;2.3.1,0.000732966756913811;1.-.-,0.0005570286302827299"
R13232,"4.2.3,0.9734438061714172;3.1.7,0.024659231305122375;5.3.3,0.000891519186552614;2.5.1,0.0005162621382623911;5.5.1,0.0003844313614536077"
R01418,"3.5.3,0.9375976920127869;3.5.1,0.05276268348097801;3.5.4,0.0011911226902157068;6.3.4,0.0011012948816642165;4.3.2,0.0010458300821483135"
R02003,"2.5.1,0.5552414059638977;5.3.3,0.4392559826374054;1.17.1,0.0027443747967481613;2.7.1,0.0008159149438142776;4.1.1,0.0002686076913960278"
R09227,"1.14.12,0.9999837875366211;1.14.13,9.755654900800437e-06;1.14.-,3.334130724397255e-06;1.3.1,1.657311031522113e-06;1.18.1,4.4859064018965e-07"
R07190,"1.14.13,0.560969889163971;1.14.14,0.4343554377555847;1.13.12,0.0016075818566605449;1.7.3,0.0013441953342407942;4.99.1,0.0004271988582331687"
R10622,"3.1.3,0.9453105330467224;3.6.1,0.04591559246182442;3.1.4,0.003171434160321951;2.7.1,0.0020836694166064262;3.2.1,0.0020522221457213163"
R12425,"2.3.1,0.13771121203899384;2.7.4,0.1075223982334137;2.4.1,0.07033617049455643;5.1.3,0.06864075362682343;2.7.8,0.04989010840654373"
R03197,"4.1.1,0.9989780187606812;2.3.1,0.00038183218566700816;2.5.1,0.00010061161447083578;1.17.99,7.602860569022596e-05;1.2.4,5.4460426326841116e-05"
R05595,"4.2.1,0.9461210370063782;2.3.1,0.050224751234054565;3.1.1,0.0015456080436706543;3.1.2,0.0013386752689257264;2.8.3,0.00027426384622231126"
R06400,"1.14.13,0.9999998807907104;1.1.1,1.017824899918196e-07;1.14.15,5.354943155566616e-08;1.14.14,1.357463474960241e-08;1.-.-,1.8105469345996994e-09"
R05436,"1.14.12,0.9999294281005859;1.1.1,2.7016674721380696e-05;1.14.13,2.5664345230325125e-05;1.3.1,7.648695827811025e-06;1.11.1,2.572034645709209e-06"
R04209,"4.1.1,0.999785840511322;5.4.99,0.00015588181850034744;1.14.11,1.2238834642630536e-05;1.1.1,1.21035409392789e-05;1.2.4,8.812670785118826e-06"
R02887,"3.2.1,0.8814548850059509;3.4.11,0.029092630371451378;3.1.4,0.019690625369548798;3.1.1,0.011712104082107544;3.4.13,0.010398097336292267"
R12791,"2.3.1,0.9955203533172607;6.2.1,0.0017130442429333925;3.1.2,0.0011357803596183658;2.3.2,0.0006544828065671027;2.5.1,0.0002712046552915126"
R06346,"1.14.11,0.9982752799987793;1.3.99,0.0015429616905748844;1.14.20,9.124939242610708e-05;1.3.3,3.505207860143855e-05;1.3.1,1.6047964891185984e-05"
R09565,"1.13.11,0.8386750221252441;1.1.3,0.08434068411588669;1.1.-,0.03402021899819374;1.1.5,0.025802304968237877;4.1.3,0.004519594367593527"
R07238,"2.1.1,1.0;2.3.1,9.299947097141104e-12;4.4.1,1.0304902547594863e-12;4.2.1,4.593429044248698e-13;1.3.98,3.595905040745806e-13"
R02509,"3.5.1,0.9950457811355591;3.5.4,0.0031283460557460785;4.2.1,0.0007374680717475712;3.5.3,0.00029830183484591544;1.4.3,0.0001583429257152602"
R02268,"5.3.99,0.9930671453475952;2.5.1,0.0061426106840372086;5.3.1,0.00027068654890172184;4.1.1,0.00013492951984517276;1.14.99,0.00010728002962423488"
R07150,"1.1.1,0.985713005065918;1.2.1,0.008285176940262318;4.2.1,0.0007643690332770348;1.14.13,0.0007501619402319193;1.8.1,0.0005839487421326339"
R05680,"1.1.1,0.988278329372406;1.3.1,0.008631794713437557;1.1.5,0.0024024874437600374;1.1.99,0.00014031698810867965;1.-.-,0.00012881467409897596"
R07779,"1.14.13,0.9924375414848328;1.14.18,0.0057030958123505116;1.14.19,0.00046472373651340604;1.14.14,0.0003663356474135071;1.14.15,0.0003127843083348125"
R00405,"6.2.1,0.6904245615005493;2.3.1,0.2650768756866455;2.7.3,0.029464222490787506;6.3.2,0.008649682626128197;3.1.2,0.0022301645949482918"
R02263,"4.1.2,0.9998229146003723;1.1.1,0.00012274806795176119;5.3.3,1.5840600099181756e-05;4.2.1,1.500079633842688e-05;2.4.1,6.189758551045088e-06"
R10770,"6.2.1,0.9613828063011169;2.3.1,0.03833451494574547;2.7.1,6.949427915969864e-05;3.1.2,5.793742457171902e-05;2.7.2,4.491486106417142e-05"
R05334,"1.4.3,0.9984392523765564;1.5.3,0.0005938326357863843;3.5.4,0.0005575579707510769;1.5.99,0.0002689922694116831;4.1.99,6.350097828544676e-05"
R05646,"2.7.1,0.9949865341186523;2.7.7,0.0029700344894081354;5.1.3,0.0018950607627630234;2.7.4,9.726014832267538e-05;3.6.1,7.486291451641591e-06"
R04857,"3.5.1,0.9691101908683777;3.5.3,0.029297655448317528;4.3.2,0.0004396641452331096;3.5.4,0.00043841474689543247;1.13.12,0.00011287907545920461"
R02849,"2.7.1,0.9850747585296631;2.1.1,0.006503527518361807;2.3.1,0.002609701594337821;2.7.2,0.0010914572048932314;2.7.4,0.0009678322239778936"
R12953,"3.5.1,0.9968376159667969;3.2.1,0.0013139690272510052;1.5.1,0.0011999108828604221;1.2.1,0.0004922837251797318;2.3.1,7.88434044807218e-05"
R06637,"2.3.1,0.9999974966049194;6.2.1,8.7111754965008e-07;3.1.2,4.420620598466485e-07;2.1.1,4.304447429603897e-07;4.1.1,2.139787511623581e-07"
R11855,"4.2.3,0.48853492736816406;3.1.7,0.45910724997520447;5.3.3,0.03867661580443382;2.5.1,0.0059242104180157185;5.5.1,0.004924993962049484"
R00385,"1.3.1,0.9993625283241272;2.3.1,0.0004415857547428459;1.2.1,9.140864131040871e-05;1.3.3,3.611158535932191e-05;1.3.99,3.1488285458181053e-05"
R01055,"4.2.1,0.6728323101997375;3.5.1,0.18786831200122833;3.2.1,0.026211736723780632;2.3.1,0.018843980506062508;3.2.-,0.014939386397600174"
R06930,"1.14.12,0.9991235136985779;1.3.1,0.0005385912954807281;1.14.13,0.00018284042016603053;1.13.11,0.00010661854321369901;1.14.14,2.784809112199582e-05"
R10452,"2.1.1,1.0;2.3.1,2.4962969191744122e-11;3.5.1,1.431901385656742e-11;2.5.1,7.773168393676588e-12;3.4.19,5.526930042104583e-12"
R07150,"1.1.1,0.985713005065918;1.2.1,0.008285176940262318;4.2.1,0.0007643690332770348;1.14.13,0.0007501619402319193;1.8.1,0.0005839487421326339"
R02923,"1.4.3,0.9994875192642212;1.5.99,0.0004333872639108449;1.4.99,2.8862285034847446e-05;1.5.-,1.8438771803630516e-05;1.5.3,9.231716830981895e-06"
R05684,"1.1.1,0.9996956586837769;1.1.99,0.00016908188990782946;1.3.1,3.845747050945647e-05;2.7.1,2.4616112568764947e-05;1.-.-,1.6060181224020198e-05"
R11797,"2.1.1,1.0;2.3.1,1.1693227497389103e-09;2.6.1,8.191356482001311e-10;2.5.1,7.163127035969552e-11;1.14.11,5.528756619188613e-11"
R10832,"2.4.1,0.9996613264083862;2.4.2,0.0001473744778195396;2.7.1,0.0001124906848417595;2.7.3,4.237557732267305e-05;3.1.3,2.91765700239921e-05"
R10740,"1.1.1,0.3845524191856384;1.14.20,0.3816263973712921;1.14.11,0.07019086927175522;4.4.1,0.055198997259140015;4.1.1,0.02892850711941719"
R03549,"1.13.11,0.9996554851531982;1.14.18,0.00015696937043685466;3.1.1,7.620070391567424e-05;1.10.3,5.893839625059627e-05;1.14.16,2.524929732317105e-05"
R01416,"3.5.3,0.7052730321884155;3.5.1,0.29339149594306946;3.5.5,0.0004410862165968865;3.5.4,0.00013055205636192113;4.2.1,0.0001185271394206211"
R07035,"1.11.1,0.7382571697235107;5.3.3,0.22387893497943878;1.14.99,0.013422727584838867;4.2.1,0.006767815910279751;2.5.1,0.0038340308237820864"
R05227,"2.5.1,0.9966757297515869;4.2.1,0.0031663249246776104;3.1.3,0.00010903404472628608;1.3.1,1.4742101484443992e-05;2.7.1,1.063630679709604e-05"
R03386,"1.14.13,0.9987151622772217;1.14.12,0.0012797664385288954;1.14.-,2.1400428522611037e-06;1.14.14,1.7427336160835694e-06;1.13.12,3.332793312438298e-07"
R13346,"1.3.1,0.6348098516464233;1.3.99,0.24459725618362427;1.-.-,0.11942771822214127;4.2.1,0.0003676175547298044;1.14.14,0.000303070672089234"
R00608,"1.1.3,0.9552591443061829;1.1.99,0.02524907886981964;1.8.3,0.005964618641883135;1.11.1,0.004197125788778067;1.1.5,0.0033215456642210484"
R03880,"2.4.2,0.5874798893928528;2.3.1,0.41136956214904785;2.4.1,0.0009525127243250608;2.7.8,6.980175385251641e-05;1.1.1,5.04450399603229e-05"
R06643,"2.3.1,0.9906865954399109;2.1.1,0.006542439106851816;1.-.-,0.001183631713502109;1.1.1,0.000780742266215384;4.1.1,0.0005073032807558775"
R06528,"1.14.14,0.5379951596260071;1.-.-,0.2455461472272873;2.1.1,0.13783876597881317;1.14.13,0.029946837574243546;4.1.2,0.026169490069150925"
R10206,"1.14.14,0.8393422365188599;1.1.99,0.1410776525735855;1.8.3,0.00857473537325859;1.13.99,0.005186273250728846;1.13.12,0.0010790396481752396"
R04577,"2.4.1,0.999995231628418;2.4.2,3.173231789332931e-06;2.7.7,5.903786473027139e-07;3.1.1,4.415457794948452e-07;3.2.1,2.548845543515199e-07"
R12011,"2.1.1,0.999997615814209;2.-.-,1.1961726613662904e-06;2.5.1,2.0017368740354868e-07;1.3.98,1.7769077942375588e-07;4.3.3,9.705186698738544e-08"
R09106,"2.3.1,0.9999181032180786;1.2.1,3.9706490497337654e-05;3.1.1,2.3603859517606907e-05;3.1.2,8.701321348780766e-06;1.3.1,5.190403044252889e-06"
R05689,"1.1.1,0.9999614953994751;1.8.1,1.6400912500103004e-05;1.1.5,5.3475628192245495e-06;1.3.1,4.9109589781437535e-06;1.2.1,3.720380846061744e-06"
R11874,"1.5.98,0.998497724533081;1.12.98,0.0013743287418037653;1.8.98,4.037666803924367e-05;1.7.7,1.6062320355558768e-05;3.1.21,1.4809247659286484e-05"
R05678,"1.1.1,0.9995352029800415;1.1.99,0.00018692588491830975;1.3.1,8.65238398546353e-05;1.14.13,5.154300379217602e-05;1.1.5,2.706021405174397e-05"
R11152,"1.14.13,0.9936329126358032;2.3.1,0.004380342084914446;3.1.1,0.0018793210620060563;1.1.1,4.446479579200968e-05;1.-.-,2.8455895517254248e-05"
R01695,"1.1.3,0.9652207493782043;1.1.99,0.0341946966946125;5.3.1,0.0003269755397923291;4.2.2,0.00017486891010776162;2.2.1,4.401546175358817e-05"
R05588,"2.8.3,0.9999103546142578;1.3.99,3.537314842105843e-05;5.4.99,1.6277492250083014e-05;2.3.1,9.57319662120426e-06;6.2.1,6.573440714419121e-06"
R08437,"2.1.1,1.0;2.3.1,4.502539562977609e-13;2.5.1,5.923340702478075e-14;1.-.-,5.604353176739789e-14;6.3.2,2.0899601155060198e-14"
R04438,"2.6.1,0.9999891519546509;1.4.1,5.526085715246154e-06;1.1.1,1.9520571186149027e-06;5.3.3,1.0133398973266594e-06;4.1.3,3.3661987686173234e-07"
R09426,"2.4.1,0.999178946018219;2.7.7,0.0006915557314641774;5.1.3,6.338956154650077e-05;2.4.2,2.3315400540013798e-05;1.1.1,8.856366548570804e-06"
R00719,"3.6.1,0.8364036083221436;3.1.3,0.05007956176996231;3.6.4,0.03177787736058235;3.1.4,0.025153227150440216;2.7.3,0.015497368760406971"
R03241,"2.7.1,0.9996660947799683;5.3.1,0.00021344111883081496;2.7.4,6.391574424924329e-05;2.1.1,3.424822716624476e-05;3.1.3,1.0182588084717281e-05"
R11228,"1.14.15,0.4841306209564209;1.14.13,0.3718470335006714;1.1.1,0.05080261453986168;1.-.-,0.03937697783112526;1.14.-,0.017825454473495483"
R04994,"2.1.1,0.9999997615814209;2.3.1,6.831723453615268e-08;2.5.1,4.6907334905199605e-08;4.1.1,4.6185739677184756e-08;6.3.2,1.9032187381640142e-08"
R05865,"4.2.1,0.5332342982292175;3.7.1,0.4636859893798828;1.13.11,0.0006895416299812496;1.14.19,0.00046344014117494226;5.3.99,0.00028433516854420304"
R09556,"4.1.2,0.9744600057601929;4.2.1,0.019668156281113625;5.3.3,0.002650005044415593;4.1.99,0.002058448037132621;4.3.3,0.0003179980267304927"
R10287,"5.4.3,0.999996542930603;2.6.1,3.39236794388853e-06;4.3.1,4.097901040722718e-08;5.1.1,1.6970293614804177e-08;2.7.8,6.812296948766061e-09"
R02851,"2.6.1,0.9997349381446838;1.5.99,0.00017557140381541103;1.4.3,3.544876381056383e-05;5.1.1,2.6445655748830177e-05;1.4.1,5.677186436514603e-06"
R11161,"1.14.14,0.9999964237213135;1.14.13,2.51665528594458e-06;5.4.4,5.232841431279667e-07;1.13.11,1.8409934909868753e-07;1.14.99,5.8609767705775084e-08"
R01777,"2.3.1,0.9996433258056641;1.2.1,0.00027398805832490325;3.1.1,6.410467904061079e-05;3.1.2,7.284140338015277e-06;2.5.1,3.859298885799944e-06"
R11284,"1.1.3,0.9993807077407837;1.8.3,0.000303876877296716;1.1.99,0.0001426489179721102;2.6.1,8.894033817341551e-05;1.21.3,1.4886729331919923e-05"
R11602,"2.5.1,0.9996370077133179;5.3.3,0.00016175341443158686;2.4.1,6.365954322973266e-05;5.3.99,3.26711124216672e-05;1.1.99,1.2958975275978446e-05"
R02059,"3.5.1,0.9227918386459351;3.1.1,0.0758725106716156;3.2.1,0.0010127474088221788;2.3.1,8.901397814042866e-05;4.2.1,4.2680057958932593e-05"
R03702,"3.1.1,0.9980399012565613;2.3.1,0.0017706308281049132;4.2.1,0.00011813062155852094;3.7.1,3.347490564920008e-05;1.13.11,1.8650025594979525e-05"
R08227,"3.5.2,0.9999998807907104;2.1.3,3.1223311935946185e-08;3.1.2,1.2590023246161763e-08;3.5.1,7.94460941477837e-09;4.2.1,6.436268851217619e-09"
R00384,"1.3.1,0.9993625283241272;2.3.1,0.0004415857547428459;1.2.1,9.140864131040871e-05;1.3.3,3.611158535932191e-05;1.3.99,3.1488285458181053e-05"
R08035,"1.8.99,0.9750511646270752;1.14.13,0.010723046027123928;1.7.1,0.004633639473468065;1.-.-,0.0016046013915911317;2.5.1,0.0014483549166470766"
R04726,"2.3.1,0.9999086856842041;4.1.1,4.488475315156393e-05;3.1.1,1.6213896742556244e-05;3.1.2,1.0728593224484939e-05;1.2.7,7.468395779142156e-06"
R13319,"6.2.1,0.6419045925140381;2.7.4,0.32588452100753784;2.7.2,0.02013421803712845;6.3.1,0.003144779009744525;2.7.1,0.0030544758774340153"
R02821,"2.1.1,0.9999661445617676;2.3.1,3.0936673283576965e-05;2.5.1,1.388952114211861e-06;1.14.13,2.7558266424421163e-07;1.4.1,1.880789568531327e-07"
R03306,"1.14.12,0.8907104730606079;1.14.13,0.09520883858203888;1.14.-,0.007280257064849138;1.14.14,0.005350859370082617;1.3.1,0.0008434865740127861"
R03200,"5.4.99,0.9999996423721313;5.4.1,1.7920454808972863e-07;5.5.1,3.5595956404677054e-08;4.2.1,2.1112889214691677e-08;4.1.3,1.0455266874487279e-08"
R03220,"1.3.3,0.9637631773948669;1.3.98,0.03205437958240509;1.13.12,0.000872743665240705;1.14.18,0.000629724352620542;1.13.11,0.00042466766899451613"
R05289,"1.2.1,0.9968921542167664;1.1.1,0.0015995773719623685;1.2.3,0.001412539160810411;1.17.1,2.5112474759225734e-05;1.5.1,1.5089306543814018e-05"
R02569,"2.5.1,0.683384895324707;4.1.2,0.1607666313648224;5.1.3,0.07580329477787018;4.3.1,0.02165955677628517;2.3.1,0.01491490751504898"
R08895,"3.5.1,0.8212379217147827;3.1.1,0.16799160838127136;3.2.1,0.010491578839719296;2.3.1,4.55064327979926e-05;3.1.2,3.744424247997813e-05"
R11272,"2.4.1,0.9911967515945435;2.7.7,0.004661684390157461;2.4.2,0.003657616674900055;6.2.1,0.0001622674462851137;2.5.1,3.2675099646439776e-05"
R03369,"1.14.13,0.9679323434829712;1.14.14,0.028918292373418808;1.14.-,0.0013335279654711485;1.14.15,0.0007496114121749997;1.-.-,0.0003911545791197568"
R11869,"5.5.1,0.9995759129524231;4.2.3,0.00017586268950253725;5.4.99,8.269058889709413e-05;4.5.1,5.624045661534183e-05;1.3.99,3.9178084989544004e-05"
R06177,"5.5.1,0.2951701581478119;2.7.8,0.28399261832237244;2.4.1,0.14299750328063965;2.5.1,0.11975404620170593;5.2.1,0.0898795798420906"
R08327,"1.14.13,0.8662804961204529;1.14.14,0.12718649208545685;1.1.1,0.0022408219520002604;1.14.99,0.0010009889956563711;1.14.-,0.0007266227039508522"
R06149,"1.14.-,0.8374786376953125;3.2.1,0.08780430257320404;2.3.1,0.030125590041279793;3.1.1,0.020460670813918114;4.2.1,0.011433598585426807"
R12107,"1.3.1,0.8864777088165283;1.3.99,0.10956935584545135;1.1.1,0.0034583909437060356;1.3.3,0.00017386971740052104;1.3.8,6.301300891209394e-05"
R08220,"3.1.1,0.9998683929443359;3.1.4,3.1878902518656105e-05;2.3.1,2.5981533326557837e-05;3.2.1,2.1511650629690848e-05;3.1.-,1.7579599443706684e-05"
R06930,"1.14.12,0.9991235136985779;1.3.1,0.0005385912954807281;1.14.13,0.00018284042016603053;1.13.11,0.00010661854321369901;1.14.14,2.784809112199582e-05"
R12050,"2.5.1,0.9944071769714355;2.3.2,0.0023533697240054607;2.7.8,0.0017204006435349584;1.14.13,0.00036792870378121734;3.5.1,0.00021259869390632957"
R00897,"2.5.1,0.7424347996711731;4.2.1,0.24923129379749298;3.1.2,0.0030209405813366175;4.4.1,0.0026635194662958384;2.3.1,0.000832253776025027"
R06914,"1.2.1,0.9974949359893799;1.1.1,0.0013186467112973332;1.2.3,0.0008536074310541153;1.17.1,9.095798304770142e-05;1.2.99,4.987281499779783e-05"
R11106,"1.14.19,0.9999918937683105;1.14.14,4.216052730043884e-06;1.9.3,1.980166643988923e-06;1.3.3,6.014269047227572e-07;1.14.99,3.727239459294651e-07"
R09453,"1.14.13,0.6657206416130066;1.14.14,0.13795453310012817;1.14.-,0.11736712604761124;1.14.15,0.06956697255373001;1.1.1,0.0053653293289244175"
R10861,"1.1.1,0.8763071298599243;1.2.1,0.11365792900323868;5.1.3,0.009686348028481007;1.1.-,5.3911771829007193e-05;1.5.1,3.9112612284952775e-05"
R02684,"1.1.1,0.9970868229866028;1.3.1,0.002801754977554083;5.3.3,3.7842255551368e-05;1.-.-,2.4736247723922133e-05;1.6.5,1.8058306523016654e-05"
R03517,"3.1.6,0.997209370136261;3.2.1,0.0013857594458386302;2.8.2,0.0013256013626232743;3.10.1,3.3899519621627405e-05;3.4.11,1.0567969184194226e-05"
R08045,"1.7.1,0.9998199343681335;1.7.-,3.5973127523902804e-05;1.1.1,2.5760791686479934e-05;1.6.6,1.6361973393941298e-05;1.19.1,1.4773158909520134e-05"
R04137,"4.2.1,0.9999159574508667;5.4.4,5.843013059347868e-05;1.-.-,1.2247456652403343e-05;5.5.1,3.052642114198534e-06;4.3.-,2.2847777927381685e-06"
R01085,"3.7.1,0.9952623844146729;4.4.1,0.004271834623068571;1.1.1,0.00010584937990643084;5.2.1,6.131644477136433e-05;4.1.99,5.80245723540429e-05"
R07737,"1.1.1,0.9998674392700195;1.3.1,0.00011814913159469143;1.2.1,6.839894012955483e-06;1.-.-,2.8394092623784672e-06;2.3.1,2.2628162241744576e-06"
R00499,"3.1.2,0.9775762557983398;2.3.1,0.012474375776946545;3.1.1,0.0039895568042993546;3.2.1,0.002875964855775237;2.5.1,0.0006432204972952604"
R13112,"4.2.3,0.626499593257904;4.3.1,0.11554733663797379;4.3.2,0.10891478508710861;2.3.1,0.042991310358047485;1.14.13,0.03442082181572914"
R09564,"1.11.2,0.9996522665023804;1.11.1,0.00014812358131166548;1.11.-,0.0001322191092185676;3.8.1,5.5900378356454894e-05;3.1.7,3.0030962534510763e-06"
R11207,"6.3.1,0.6478748321533203;6.3.2,0.08441947400569916;2.3.2,0.06992325186729431;6.2.1,0.052147895097732544;2.7.3,0.04938556253910065"
R10525,"2.4.1,0.9415364861488342;1.1.1,0.021654397249221802;2.7.1,0.010127679444849491;5.4.99,0.009293531067669392;5.4.1,0.006985443644225597"
R08540,"4.2.3,0.8544358015060425;5.5.1,0.09718626737594604;2.5.1,0.022546835243701935;4.2.1,0.01464955322444439;5.3.3,0.008149622939527035"
R07724,"2.1.1,1.0;1.-.-,7.515316147177487e-11;2.3.1,1.0455454210744897e-11;2.5.1,5.687720260050266e-12;6.3.2,1.874591627759603e-12"
R01167,"4.1.1,0.9999550580978394;2.3.1,2.0120922272326425e-05;2.7.8,6.07176662015263e-06;4.3.1,4.267989879735978e-06;2.7.-,3.4159388633270282e-06"
R00998,"2.3.3,0.9998283386230469;4.2.1,8.399900980293751e-05;2.3.1,4.896409882348962e-05;3.1.2,1.9147299099131487e-05;4.1.3,6.197092716320185e-06"
R03887,"3.5.99,0.8466963768005371;3.5.1,0.04827199876308441;3.5.4,0.03544307500123978;1.4.3,0.024612849578261375;4.3.1,0.016952838748693466"
R05449,"1.14.14,0.9445754289627075;1.14.13,0.050015710294246674;1.13.12,0.0006683465326204896;1.14.12,0.0006072772084735334;1.3.8,0.0005880406242795289"
R03072,"2.5.1,0.9998589754104614;4.4.1,8.125430758809671e-05;2.1.1,4.287268529878929e-05;5.3.99,9.971349754778203e-06;2.6.1,3.3009896469593514e-06"
R07288,"2.8.2,0.9626315236091614;1.1.1,0.017385300248861313;5.4.99,0.008636447601020336;5.-.-,0.004278117325156927;2.4.1,0.002373279770836234"
R03519,"2.4.1,0.9527426958084106;2.7.7,0.04045502841472626;2.4.-,0.0030319171492010355;2.1.1,0.0013684420846402645;6.2.1,0.0009104603086598217"
R10531,"3.6.1,0.8364036083221436;3.1.3,0.05007956176996231;3.6.4,0.03177787736058235;3.1.4,0.025153227150440216;2.7.3,0.015497368760406971"
R05689,"1.1.1,0.9999614953994751;1.8.1,1.6400912500103004e-05;1.1.5,5.3475628192245495e-06;1.3.1,4.9109589781437535e-06;1.2.1,3.720380846061744e-06"
R00394,"6.2.1,0.6751262545585632;2.3.1,0.20440126955509186;1.2.1,0.05897083878517151;3.1.2,0.054963771253824234;1.2.7,0.002135505201295018"
R04099,"1.1.1,0.9992347955703735;1.3.1,0.0002669687382876873;1.14.14,0.00017401270451955497;1.2.1,0.0001429013500455767;2.3.1,0.00010257471876684576"
R02712,"3.5.1,0.9998716115951538;3.4.19,5.891331602470018e-05;3.2.1,1.761958446877543e-05;3.4.11,1.7278214727411978e-05;3.5.5,8.352131771971472e-06"
R12727,"2.1.1,0.5389661192893982;6.2.1,0.33431991934776306;2.7.4,0.11161073297262192;2.7.2,0.007277794647961855;2.7.1,0.0020274200942367315"
R08006,"2.4.1,0.9999890327453613;3.2.1,7.875782102928497e-06;2.7.7,1.6750350368965883e-06;2.4.2,5.144179340277333e-07;5.1.3,2.776693861505919e-07"
R13064,"3.2.1,0.9987900853157043;2.4.2,0.0008537585381418467;2.4.1,0.00024034056696109474;3.1.3,4.734870890388265e-05;3.6.1,2.507137287466321e-05"
R03751,"3.1.1,0.9999849796295166;2.3.1,1.0347996976634022e-05;3.5.1,1.9067133507633116e-06;3.1.2,7.600702360832656e-07;1.14.13,6.161415058159037e-07"
R11260,"2.4.1,0.9998074173927307;3.2.1,0.00012958113802596927;5.4.99,4.202729542157613e-05;2.4.2,1.4461039427260403e-05;2.3.1,2.424873173367814e-06"
R12026,"2.4.2,0.9999421834945679;2.6.1,1.4022689356352203e-05;2.4.1,1.137075469159754e-05;2.5.1,8.344027264683973e-06;2.3.1,6.338920229609357e-06"
R12452,"1.14.11,0.5394322872161865;1.13.11,0.4414162039756775;1.14.20,0.010092290118336678;1.4.11,0.003879568073898554;4.1.1,0.003591714659705758"
