Reaction ID,Theia
R02997,"3.1.1,0.9998903274536133;2.3.1,3.761938205570914e-05;3.1.2,3.502307663438842e-05;3.2.1,2.9257183996378444e-05;3.1.-,2.455043613736052e-06"
R04373,"3.1.4,0.8772410750389099;3.1.3,0.09695085883140564;3.6.1,0.024750931188464165;3.2.1,0.0007630187319591641;3.4.11,3.85321254725568e-05"
R05409,"1.13.11,0.9999154806137085;6.2.1,4.879248081124388e-05;1.14.12,1.779006743163336e-05;2.7.7,1.463847092963988e-05;1.14.99,1.0350509001000319e-06"
R11534,"2.1.1,1.0;2.3.1,1.9441912968432007e-08;1.14.14,8.0941529034817e-09;3.5.1,1.4114736046622056e-09;2.6.1,1.368428037551439e-09"
R10974,"2.3.1,0.8862799406051636;3.1.2,0.06763298809528351;3.1.1,0.01893290877342224;3.2.1,0.010784420184791088;2.8.1,0.00586578156799078"
R08045,"1.7.1,0.9998199343681335;1.7.-,3.5973127523902804e-05;1.1.1,2.5760791686479934e-05;1.6.6,1.6361973393941298e-05;1.19.1,1.4773158909520134e-05"
R09563,"1.11.1,0.9982203841209412;5.3.4,0.0005599820869974792;1.8.3,0.0003695686173159629;1.8.1,0.00036153814289718866;1.11.2,0.0002664564526639879"
R02581,"1.1.1,0.9945183396339417;1.3.1,0.004846885800361633;1.6.5,0.00020615564426407218;2.5.1,0.00010275329987052828;1.2.1,7.366875797742978e-05"
R11094,"3.5.4,0.9997425675392151;3.5.99,0.00010668826871551573;3.3.1,2.5677174562588334e-05;3.4.17,2.2250964320846833e-05;1.11.1,1.3485072486218996e-05"
R12797,"3.2.1,0.5569747090339661;3.1.4,0.17810368537902832;3.1.1,0.12423720955848694;3.5.1,0.04404915124177933;3.4.11,0.035086486488580704"
R03045,"4.2.1,0.9994673132896423;5.4.4,0.0002072374481940642;3.1.7,5.242237602942623e-05;4.3.1,5.1754352170974016e-05;1.-.-,1.9781988157774322e-05"
R09726,"2.7.4,0.7740060091018677;2.7.1,0.19946995377540588;2.1.1,0.01891961507499218;6.2.1,0.002652202034369111;2.7.2,0.0017209263751283288"
R02706,"3.1.3,0.9916524291038513;3.6.1,0.006694419775158167;2.7.1,0.0010354977566748857;4.2.3,0.0003529523382894695;3.1.4,0.00020823869272135198"
R02599,"2.7.7,0.6492674350738525;6.2.1,0.10349278151988983;2.3.2,0.09256751090288162;2.7.1,0.07877859473228455;3.1.3,0.0376000702381134"
R01511,"3.1.3,0.9916524291038513;3.6.1,0.006694419775158167;2.7.1,0.0010354977566748857;4.2.3,0.0003529523382894695;3.1.4,0.00020823869272135198"
R12817,"2.5.1,0.9955756664276123;2.3.1,0.0038803317584097385;4.2.1,0.00016003812197595835;1.14.13,9.766769653651863e-05;3.5.1,8.783652447164059e-05"
R12910,"1.14.13,0.9979460835456848;1.14.14,0.000812232494354248;2.3.1,0.0002609766670502722;1.14.-,0.00025725673185661435;1.13.12,0.00018757117504719645"
R10496,"6.3.4,0.9921693205833435;3.5.4,0.007688027806580067;3.6.1,9.76392111624591e-05;2.4.2,1.9259940017946064e-05;3.-.-,7.576479220006149e-06"
R03396,"1.1.1,0.998820960521698;1.6.5,0.00033740728395059705;1.1.5,0.0002114150847773999;1.14.13,8.934572542784736e-05;1.8.1,8.158041600836441e-05"
R09820,"1.2.1,0.6737028956413269;1.17.1,0.2743666172027588;1.1.1,0.044545795768499374;1.3.1,0.003156171413138509;1.11.1,0.0008596935076639056"
R08651,"1.1.1,0.9996007084846497;1.1.99,0.0003130430413875729;2.2.1,2.9059949156362563e-05;2.7.1,2.370325273659546e-05;1.-.-,7.3029991654038895e-06"
R10039,"3.2.1,0.9999599456787109;2.4.1,9.529738235869445e-06;3.4.13,7.1615872911934275e-06;4.1.2,5.507752121047815e-06;2.3.1,2.745622168731643e-06"
R01036,"1.1.1,0.9782423377037048;1.2.1,0.018154079094529152;1.3.1,0.0025475958827883005;2.3.1,0.00022605378762818873;2.7.1,0.00018228538101539016"
R02150,"1.4.3,0.999969482421875;1.5.3,1.779820740921423e-05;1.4.9,4.821571110369405e-06;3.5.4,3.825246949418215e-06;1.5.99,1.6886372122826288e-06"
R02561,"1.14.13,0.8942910432815552;1.2.1,0.0821416825056076;1.14.14,0.009248398244380951;1.2.3,0.0034845967311412096;1.14.12,0.0029274611733853817"
R11335,"1.10.3,0.9923133254051208;1.14.18,0.003989919554442167;1.14.99,0.000674891984090209;1.9.3,0.0005133462836965919;1.7.3,0.00044836776214651763"
R08714,"2.6.1,0.9987168312072754;1.1.2,0.0005090475897304714;1.2.-,0.0002411821042187512;1.4.1,9.464554750593379e-05;4.1.1,7.218521932372823e-05"
R09371,"2.1.1,1.0;2.5.1,4.796788299898935e-09;2.3.1,2.283944589009934e-09;4.4.1,1.621670575602252e-09;3.3.1,1.1806283728432732e-10"
R03308,"5.5.1,0.9977013468742371;1.3.5,0.001136193866841495;5.3.3,0.0006674066535197198;1.3.1,0.00010845096403500065;1.13.11,8.02555150585249e-05"
R13445,"1.3.1,0.9850260615348816;1.3.7,0.008817833848297596;1.7.1,0.0036255333106964827;1.18.-,0.0011371304281055927;1.5.1,0.0005175618571229279"
R03157,"6.2.1,0.9625434875488281;3.1.2,0.029011905193328857;2.7.3,0.005185821559280157;2.3.1,0.001894962741062045;6.3.2,0.0008210758678615093"
R09724,"3.1.1,0.9935221076011658;3.5.1,0.0025003438349813223;3.2.1,0.0014927444281056523;4.2.1,0.000969983811955899;3.4.11,0.0005495972000062466"
R02010,"4.2.3,0.9658148288726807;5.5.1,0.03395497798919678;4.3.2,8.585031901020557e-05;5.3.3,8.409513247897848e-05;1.3.1,2.529539415263571e-05"
R04591,"6.3.2,0.7582101225852966;2.7.3,0.23399047553539276;3.5.2,0.006697340868413448;6.3.-,0.00020654674153774977;2.7.1,0.00014817365445196629"
R02914,"4.2.1,0.9997108578681946;1.13.12,4.9383947043679655e-05;4.1.2,3.0496492399834096e-05;4.3.1,2.7162373953615315e-05;3.5.2,2.3430864530382678e-05"
R00844,"1.1.1,0.9160932302474976;1.3.1,0.04027075320482254;1.1.5,0.031323764473199844;2.7.1,0.010260060429573059;1.1.99,0.001354089006781578"
R08879,"1.1.1,0.9629970788955688;1.1.99,0.02980676107108593;1.3.1,0.004346379078924656;1.1.5,0.0012438353151082993;1.1.3,0.0003263569960836321"
R01088,"1.4.1,0.9997987151145935;1.5.1,7.597265357617289e-05;1.1.1,6.075053897802718e-05;1.5.99,1.8253949747304432e-05;1.21.4,1.1839168109872844e-05"
R01717,"5.4.4,0.7771037220954895;5.4.99,0.14078247547149658;3.3.2,0.044003210961818695;5.5.1,0.008112188428640366;5.2.1,0.005237946752458811"
R09286,"6.2.1,0.947010338306427;3.1.2,0.04932740703225136;2.3.1,0.0031993603333830833;1.2.1,0.00013172859326004982;2.7.2,8.977097604656592e-05"
R10170,"4.2.1,0.9980658888816833;5.4.4,0.0008262321935035288;1.1.1,0.0006973701529204845;4.1.3,0.00016192143084481359;2.3.3,5.007479194318876e-05"
R10003,"6.2.1,0.8967113494873047;2.3.1,0.10273441672325134;2.7.2,0.00014276507135946304;2.3.3,0.00010830564133357257;3.1.2,7.872462447267026e-05"
R06945,"1.14.15,0.6486998200416565;1.14.13,0.31639835238456726;1.6.3,0.012070988304913044;1.14.14,0.0070532201789319515;1.14.99,0.004132429137825966"
R03519,"2.4.1,0.9527426958084106;2.7.7,0.04045502841472626;2.4.-,0.0030319171492010355;2.1.1,0.0013684420846402645;6.2.1,0.0009104603086598217"
R12741,"2.5.1,0.5551043152809143;1.-.-,0.2521824240684509;1.14.13,0.06728709489107132;1.3.1,0.031356919556856155;2.1.1,0.019870728254318237"
R00708,"1.2.1,0.9700288772583008;1.11.1,0.015205403789877892;1.1.1,0.005083448253571987;1.5.1,0.003408870892599225;1.17.1,0.001371836056932807"
R05247,"1.14.12,0.8793145418167114;1.13.11,0.053456734865903854;1.14.13,0.025957323610782623;1.3.1,0.020245876163244247;1.2.3,0.005715487524867058"
R11776,"1.1.1,0.9999904632568359;1.3.1,3.339543809488532e-06;1.2.1,3.1469796795136062e-06;2.3.1,6.176421152304101e-07;1.14.13,4.921356548948097e-07"
R04611,"3.4.17,0.5776228308677673;3.4.16,0.1432298868894577;3.4.13,0.119305320084095;3.2.1,0.11140433698892593;3.4.-,0.017242345958948135"
R10093,"2.7.4,0.7740060091018677;2.7.1,0.19946995377540588;2.1.1,0.01891961507499218;6.2.1,0.002652202034369111;2.7.2,0.0017209263751283288"
R03220,"1.3.3,0.9637631773948669;1.3.98,0.03205437958240509;1.13.12,0.000872743665240705;1.14.18,0.000629724352620542;1.13.11,0.00042466766899451613"
R03590,"1.14.20,0.9876279830932617;1.14.11,0.008794580586254597;1.9.3,0.001060522859916091;1.14.3,0.0009262394160032272;1.13.12,0.0007960815564729273"
R06352,"1.14.13,0.9991081357002258;1.1.1,0.0005829879664815962;1.14.14,0.00020536407828330994;1.8.99,1.7429862054996192e-05;1.-.-,1.3912196664023213e-05"
R05585,"1.4.-,0.9858744144439697;1.7.1,0.008165036328136921;6.3.1,0.0036775863263756037;4.3.1,0.00039952003862708807;1.7.-,0.00028067381936125457"
R12903,"2.1.1,0.9999889135360718;1.14.12,7.246747827593936e-06;1.14.14,9.832646128415945e-07;6.2.1,8.137242843986314e-07;1.14.-,5.610787638943293e-07"
R13236,"2.1.1,1.0;2.3.1,1.5363268990320478e-10;1.3.98,1.4428759402551616e-11;1.-.-,1.250189708701388e-11;3.3.1,8.573724195881649e-12"
R10470,"6.3.3,0.9970394968986511;1.4.99,0.001194919808767736;2.7.3,0.0007650761981494725;1.5.99,0.0006329615716822445;1.4.3,0.0002655576099641621"
R04456,"1.5.98,0.999954104423523;1.5.1,4.104953404748812e-05;3.5.4,1.1633690064627444e-06;1.12.98,8.729966225473618e-07;1.5.99,8.19898787085549e-07"
R02341,"3.2.2,0.9999860525131226;2.4.2,1.3440832844935358e-05;3.1.1,2.0958543700544396e-07;3.5.1,1.8058506157103693e-07;2.3.1,2.4342206472738326e-08"
R11997,"1.14.-,0.9998047947883606;1.14.13,0.00018550285312812775;1.-.-,8.253235137090087e-06;1.1.1,1.2058576430717949e-06;2.5.1,1.7039563715570694e-07"
R07821,"1.14.19,0.5346505045890808;3.5.1,0.28180360794067383;2.3.-,0.1217350959777832;1.13.11,0.028833525255322456;3.7.1,0.018224643543362617"
R04091,"2.5.1,0.7149258852005005;3.5.1,0.25961339473724365;4.2.1,0.011785459704697132;4.3.1,0.009308593347668648;1.14.13,0.0017088602762669325"
R02973,"3.5.1,0.9989917874336243;3.1.2,0.0005709793767891824;3.4.13,0.00018221231584902853;3.4.11,8.427313150605187e-05;3.1.1,6.446076440624893e-05"
R09936,"1.14.99,1.0;1.14.14,4.262823694034523e-08;1.14.19,2.5566933459231223e-08;1.13.11,2.4616525706733228e-08;1.3.3,2.0006049594734066e-10"
R05462,"1.14.13,0.9989346861839294;1.14.-,0.0009774600621312857;1.14.15,5.071762279840186e-05;1.14.14,3.532602931954898e-05;1.13.12,5.366589448385639e-07"
R12481,"4.2.1,0.26664838194847107;1.14.14,0.2582813501358032;1.-.-,0.14089396595954895;1.3.1,0.061447031795978546;1.11.2,0.055808115750551224"
R11462,"2.8.3,0.994961142539978;4.2.1,0.0030524260364472866;2.3.1,0.0007385514909401536;1.1.99,0.0005549685447476804;3.1.1,0.00018672198348212987"
R11351,"1.2.3,0.9995315074920654;1.17.3,0.00022272240312304348;4.1.3,8.542770228814334e-05;1.11.1,6.885741458972916e-05;1.2.5,3.962208211305551e-05"
R10050,"2.2.1,0.9999982118606567;4.1.2,1.728128381728311e-06;1.1.99,3.705831730371756e-08;2.7.1,1.854141729040748e-08;5.4.99,1.0290134078161373e-08"
R04640,"2.3.1,0.6696382761001587;1.14.13,0.10911110043525696;1.1.1,0.0620637983083725;2.4.2,0.029839079827070236;2.4.1,0.01827184110879898"
R11932,"4.1.1,0.9997896552085876;2.3.1,6.57216805848293e-05;4.3.1,2.8623204343602993e-05;1.4.3,2.6740435714600608e-05;4.3.2,1.7851540178526193e-05"
R10178,"2.6.1,0.9999303817749023;4.1.1,4.0043218177743256e-05;1.4.1,7.076222573232371e-06;1.2.-,3.5551731798477704e-06;1.4.11,2.83880285678606e-06"
R04373,"3.1.4,0.8772410750389099;3.1.3,0.09695085883140564;3.6.1,0.024750931188464165;3.2.1,0.0007630187319591641;3.4.11,3.85321254725568e-05"
R05768,"2.4.1,0.9998247027397156;2.4.-,8.64114990690723e-05;1.2.-,2.828872857207898e-05;2.7.7,1.5351519323303364e-05;6.2.1,5.38498079549754e-06"
R02370,"3.1.3,0.669396698474884;3.1.4,0.23327648639678955;3.6.1,0.08342061191797256;3.6.2,0.003350780578330159;2.7.3,0.0024045947939157486"
R07478,"2.5.1,0.9316895008087158;1.14.13,0.0218633022159338;3.5.1,0.013520889915525913;1.14.14,0.007356506306678057;1.5.1,0.006730110850185156"
R11103,"2.3.1,0.13771121203899384;2.7.4,0.1075223982334137;2.4.1,0.07033617049455643;5.1.3,0.06864075362682343;2.7.8,0.04989010840654373"
R00390,"6.2.1,0.9913656711578369;2.3.1,0.008324651047587395;3.1.2,0.00018856837414205074;3.1.1,0.00010414678399683908;2.7.2,4.5446122385328636e-06"
R12466,"2.3.1,0.9979318380355835;3.1.1,0.0015693913446739316;1.2.1,0.00021323731925804168;3.1.2,0.00018665415700525045;6.2.1,4.4963151594856754e-05"
R02118,"2.4.1,0.99378502368927;2.4.2,0.0037827282212674618;5.1.3,0.0010612262412905693;2.7.7,0.0008542758878320456;1.14.-,7.297290721908212e-05"
R11368,"1.14.19,0.6800409555435181;1.14.14,0.3032737970352173;1.14.13,0.006822677329182625;1.3.8,0.001842877478338778;1.14.18,0.0012344985734671354"
R01480,"3.2.1,0.9999294281005859;2.4.1,3.3822703699115664e-05;3.1.1,2.3492468244512565e-05;2.3.1,4.833043931284919e-06;3.7.1,4.471147803997155e-06"
R12997,"1.1.1,0.9919847846031189;2.3.1,0.003253739094361663;1.3.1,0.0025840140879154205;2.7.1,0.0010802514152601361;1.2.1,0.0003664838441181928"
R00833,"5.4.99,0.9997933506965637;5.4.1,0.00010469082917552441;2.8.3,5.543632141780108e-05;4.1.1,1.0556754205026664e-05;2.3.1,6.106809451011941e-06"
R05408,"1.13.11,0.998046875;3.1.1,0.0019384126644581556;1.14.18,2.6239115413773106e-06;4.2.99,1.460079943171877e-06;1.3.5,1.387409270137141e-06"
R02555,"1.1.1,0.9995611310005188;1.3.1,0.0001782280596671626;1.-.-,7.893150177551433e-05;2.7.1,6.674946780549362e-05;5.1.2,2.4170190954464488e-05"
R02946,"1.1.1,0.9999254941940308;2.3.1,2.0818768462049775e-05;1.-.-,2.0013121684314683e-05;1.14.13,9.677232810645364e-06;4.1.1,7.764922884234693e-06"
R05363,"3.7.1,0.9995742440223694;3.2.1,0.00019667403830680996;4.2.1,7.775994890835136e-05;5.3.99,4.3849773646797985e-05;3.1.7,1.7226766431122087e-05"
R05222,"2.7.4,0.7740060091018677;2.7.1,0.19946995377540588;2.1.1,0.01891961507499218;6.2.1,0.002652202034369111;2.7.2,0.0017209263751283288"
R04890,"1.4.3,0.9999617338180542;1.4.9,1.7859414583654143e-05;3.5.4,1.2503174730227329e-05;1.5.3,3.098065917583881e-06;1.5.99,2.6229681679978967e-06"
R11620,"1.1.3,0.9993890523910522;2.7.7,0.00032899496727623045;1.8.3,0.00011975969391642138;1.1.99,2.9085456844768487e-05;1.1.5,2.2934027583687566e-05"
R03738,"4.3.3,0.6642910242080688;4.2.1,0.2997231185436249;4.1.99,0.01585501804947853;1.14.13,0.010525399819016457;4.1.1,0.0029051571618765593"
R01031,"4.3.1,0.7856255769729614;4.4.1,0.13281868398189545;1.5.99,0.027508456259965897;1.4.1,0.026879936456680298;1.4.99,0.00823648925870657"
R11911,"1.14.13,0.9996925592422485;1.14.14,0.00016535293252673;1.1.1,7.531695155194029e-05;1.5.1,2.5663601263659075e-05;1.2.1,9.970545761461835e-06"
R04507,"6.2.1,0.9992401599884033;3.1.2,0.0006793626816943288;1.2.1,3.6186866054777056e-05;2.3.1,3.4726304875221103e-05;2.7.2,5.448367573990254e-06"
R02036,"4.2.1,0.9313799142837524;3.7.1,0.040585361421108246;1.1.98,0.005923296790570021;1.1.99,0.0043493034318089485;1.1.5,0.0026520562823861837"
R05807,"1.3.1,0.8056061267852783;4.99.1,0.19308896362781525;5.3.3,0.0005769182462245226;1.3.99,0.00021950580412521958;1.12.1,0.00021152166300453246"
R03640,"1.14.11,0.9920921921730042;1.14.20,0.007414018735289574;1.4.11,0.00020527200831566006;1.1.5,5.807055640616454e-05;4.1.1,5.191499803913757e-05"
R02780,"2.7.1,0.9999257326126099;2.7.13,3.9718874177196994e-05;2.7.3,3.0913008231436834e-05;2.7.4,1.6925599766182131e-06;2.7.11,1.0356066013628151e-06"
R03894,"4.1.1,0.9704810380935669;1.1.1,0.028618626296520233;1.2.4,0.00043872161768376827;2.6.1,7.747937343083322e-05;1.2.3,5.8169549447484314e-05"
R13022,"1.7.1,0.6910797953605652;1.5.1,0.23443104326725006;1.4.1,0.019383789971470833;1.4.3,0.01700759120285511;1.1.1,0.007413019426167011"
R10929,"6.3.2,0.5543054342269897;2.7.3,0.41683173179626465;6.3.1,0.008318856358528137;2.1.1,0.007128107361495495;2.7.1,0.005716299172490835"
R10887,"4.1.1,0.999853253364563;4.3.1,7.699793059146032e-05;5.4.99,1.621291994524654e-05;5.1.2,7.603431640745839e-06;2.3.1,5.7928982641897164e-06"
R06637,"2.3.1,0.9999974966049194;6.2.1,8.7111754965008e-07;3.1.2,4.420620598466485e-07;2.1.1,4.304447429603897e-07;4.1.1,2.139787511623581e-07"
R07711,"1.14.13,0.9967683553695679;1.14.14,0.001857360010035336;1.14.15,0.0009435947285965085;1.14.12,0.00021549544180743396;1.14.-,0.00010469608241692185"
R05625,"3.6.1,0.9847708344459534;2.7.9,0.00929159577935934;3.-.-,0.002889783587306738;3.1.4,0.0018049689242616296;3.1.3,0.0011725124204531312"
R05558,"3.8.1,0.988579273223877;3.5.4,0.011252843774855137;2.5.1,6.027131894370541e-05;4.2.1,3.612885484471917e-05;3.1.1,3.118267341051251e-05"
R04000,"2.8.3,0.7793237566947937;5.4.99,0.14017242193222046;4.2.1,0.06510962545871735;4.1.2,0.006183647084981203;2.3.1,0.003569734515622258"
R12052,"1.14.13,0.9995852112770081;1.14.15,0.0002984628372360021;3.3.2,8.170904038706794e-05;3.1.-,6.234027296159184e-06;1.14.99,5.499338385561714e-06"
R08705,"1.1.1,0.9999604225158691;1.8.1,8.418282050115522e-06;1.14.13,7.799653758411296e-06;2.7.1,5.998577307764208e-06;1.-.-,4.2168730942648835e-06"
R01064,"4.1.2,0.9924282431602478;2.2.1,0.0072262887842953205;4.1.3,0.00021942453167866915;4.4.1,3.080124588450417e-05;2.7.6,2.3318303647101857e-05"
R09987,"1.1.1,0.9990046620368958;1.14.13,0.0009600688354112208;5.3.3,1.0077193110191729e-05;1.-.-,5.758272891398519e-06;1.3.1,4.740223175758729e-06"
R03037,"4.4.1,0.4861694574356079;3.3.2,0.1859322339296341;2.5.1,0.09820082038640976;4.2.99,0.0836624875664711;3.7.1,0.05699494108557701"
R01201,"2.7.1,0.995013415813446;2.7.2,0.001732019823975861;3.1.3,0.0011101964628323913;3.6.1,0.0005427378346212208;2.1.1,0.00046657733037136495"
R06420,"1.3.1,0.9963526725769043;1.1.1,0.003587365383282304;1.2.1,3.185411696904339e-05;1.18.1,6.4651226239220705e-06;5.3.3,5.655201221088646e-06"
R04922,"2.7.8,1.0;2.7.1,5.32420219023777e-10;2.7.7,3.1402397349111766e-10;3.1.3,2.143987348768306e-10;3.6.1,6.939232521929739e-11"
R02279,"4.2.1,0.9959315657615662;4.1.2,0.0025478063616901636;4.1.1,0.0013619306264445186;1.1.1,3.916419154847972e-05;4.1.99,2.959627818199806e-05"
R06804,"2.4.1,0.9907076358795166;2.4.2,0.009199338033795357;2.3.1,4.865755545324646e-05;3.2.1,1.7736458175932057e-05;2.7.7,1.4682375876873266e-05"
R01519,"3.1.1,0.9961339235305786;3.7.1,0.0013279612176120281;3.1.2,0.0008866487769410014;3.5.1,0.0005934251821599901;4.2.1,0.0003424721071496606"
R02907,"4.2.1,0.9993988275527954;1.1.1,0.0005765398382209241;3.7.1,4.619458195520565e-06;5.4.4,4.557826741802273e-06;5.5.1,1.7960102240976994e-06"
R03049,"3.1.1,0.9834163188934326;2.3.1,0.016447996720671654;4.2.1,4.056584293721244e-05;3.1.2,4.018296385766007e-05;3.5.1,3.6252877180231735e-05"
R00649,"2.1.1,0.9988135099411011;3.3.1,0.0007665792945772409;3.4.19,0.0002682022750377655;2.8.4,3.846621257252991e-05;2.3.1,1.409038213751046e-05"
R11917,"4.1.1,0.9894174933433533;1.4.3,0.004468870814889669;1.2.3,0.0019665497820824385;1.13.12,0.0017401908989995718;1.11.1,0.0008613099344074726"
R07539,"4.2.1,0.9981610178947449;5.4.4,0.0005248401430435479;3.1.7,0.00036122335586696863;1.14.13,0.00019311747746542096;1.14.14,0.00016734488599468023"
R09250,"2.5.1,0.5552414059638977;5.3.3,0.4392559826374054;1.17.1,0.0027443747967481613;2.7.1,0.0008159149438142776;4.1.1,0.0002686076913960278"
R05290,"1.14.13,0.5036208033561707;1.14.12,0.47052833437919617;1.14.14,0.011167851276695728;1.14.-,0.006735540926456451;1.14.99,0.0023349577095359564"
R05554,"3.5.3,0.9989446997642517;4.3.2,0.0010132247116416693;3.5.1,1.9020731997443363e-05;3.2.1,1.358306053589331e-05;3.4.19,4.058853392052697e-06"
R11487,"2.1.1,0.9871394038200378;4.2.1,0.008961917832493782;2.5.1,0.0032472372986376286;4.3.1,0.00026017354684881866;5.3.99,0.0001801813778001815"
R09844,"2.5.1,0.9960423707962036;5.3.3,0.0035543343983590603;1.8.3,0.00013935050810687244;1.8.5,6.563220813404769e-05;1.8.4,5.824919935548678e-05"
R08098,"5.2.1,0.33180201053619385;2.7.8,0.3064579665660858;2.4.1,0.24507546424865723;1.14.99,0.044607385993003845;2.3.2,0.011736244894564152"
R09601,"1.13.11,0.7722544074058533;1.14.99,0.20928554236888885;1.14.14,0.004345136694610119;1.9.3,0.002494917716830969;2.7.4,0.00243617151863873"
R09608,"4.2.3,0.679783284664154;1.14.13,0.3033379018306732;5.5.1,0.007434376981109381;4.3.2,0.0044667962938547134;1.1.1,0.0018329352606087923"
R11555,"2.7.8,0.9999575614929199;6.2.1,3.7386354961199686e-05;2.7.1,1.7764054973667953e-06;2.7.-,1.2767213775077835e-06;2.4.1,8.05679746918031e-07"
R04071,"2.4.1,0.9999955892562866;2.4.2,3.5187488265364664e-06;2.7.7,5.434827698991285e-07;2.7.8,2.3650011371501023e-07;5.2.1,8.980281762660525e-08"
R02520,"4.1.1,0.9982182383537292;1.13.11,0.0006978738238103688;1.2.99,0.0006209872080944479;1.13.12,0.0003300939279142767;1.17.99,2.714073343668133e-05"
R08345,"1.14.14,0.8899478912353516;1.14.13,0.043904367834329605;2.3.2,0.012422368861734867;1.5.1,0.008577697910368443;3.5.1,0.008543295785784721"
R08529,"3.1.3,0.9533771276473999;3.2.1,0.023326251655817032;3.1.4,0.01748325489461422;3.1.1,0.00221857032738626;3.6.3,0.0011836793273687363"
R04280,"1.13.11,0.9999955892562866;1.14.13,2.8762769943568856e-06;1.14.-,5.650895218423102e-07;1.14.18,5.050058007327607e-07;1.14.14,1.6317704876200878e-07"
R02491,"4.2.1,0.9812245965003967;3.7.1,0.009389699436724186;3.2.1,0.004723565652966499;5.4.4,0.0010135697666555643;3.1.7,0.0006232436862774193"
R13410,"2.1.1,0.6438471078872681;2.5.1,0.35615119338035583;4.1.1,7.233127803374373e-07;5.3.99,2.501116398434533e-07;5.3.3,2.0271238554414595e-07"
R10692,"1.14.13,0.9999082088470459;4.2.3,4.745047044707462e-05;1.14.14,2.8110549465054646e-05;1.6.5,5.637733920593746e-06;1.14.15,3.7449897263286402e-06"
