reaction,EC_number_predicted
185,2.3.1.205;2.3.2.19;6.2.1.11;2.3.3.17;2.1.2.13;6.3.4.10;2.1.3.12;6.1.2.2;6.3.1.20;1.2.1.95
188,
162,
167,1.1.1.315;1.2.1.49;1.17.1.9;2.3.1.85;1.2.4.1;1.8.1.4;1.3.1.20;1.2.5.1;1.2.3.1;1.1.3.39
201,2.3.1.129;2.3.2.19;2.1.3.12;2.1.2.13;6.1.2.2;1.2.1.95;6.2.1.51;2.3.3.14;6.3.4.10;6.3.1.20
154,
203,
184,6.2.1.2;3.1.2.18;4.2.1.155;2.3.1.85
461,
490,3.1.3.75;3.6.1.7;3.11.1.1;3.1.4.13;4.2.3.1;3.1.1.43;4.2.1.155;3.1.7.11;3.1.2.16;3.1.6.6;2.3.1.85;3.1.5.1;4.6.1.13;3.2.1.42;5.1.3.14;2.4.1.17;3.7.1.8
467,
487,
470,1.11.1.21
469,
477,
472,
464,
481,
473,
466,
489,
498,
495,3.4.13.22;3.5.5.1;3.5.1.126;3.4.11.1;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;2.3.2.2;3.1.1.1;3.13.1.6;3.4.17.8;3.5.2.11;3.4.19.13;4.2.1.48;3.5.3.21;3.4.14.13;1.2.7.12;3.5.4.1;3.5.99.6;3.8.1.8;2.1.2.3;4.3.2.4
500,3.1.3.51;4.2.3.1;3.6.1.7;3.1.4.46;3.1.1.22;3.1.5.1;3.11.1.2;3.1.2.5;4.6.1.13;3.2.1.42;2.3.1.85;2.4.1.17;3.1.7.3;5.1.3.14;3.1.6.3;4.2.1.155;3.7.1.8
486,
460,
496,3.1.3.6;3.1.4.17;3.6.1.20;3.1.7.2;3.1.5.1;4.2.3.1;3.1.1.33;4.6.1.13;3.1.6.9;3.2.1.42;2.4.1.17;5.1.3.14;3.11.1.3;3.7.1.8;3.1.2.30;2.3.1.85;4.2.1.155
492,
494,2.5.1.102;1.3.1.96;2.4.1.326;2.4.2.34;2.1.3.12;4.4.1.20
463,
499,
468,1.14.13.138;1.14.14.1;1.14.12.12;1.14.15.3;1.14.18.1;1.2.3.9;1.14.21.11;1.14.99.2;1.14.16.4;1.10.3.4;1.14.11.20;1.14.19.19
497,
465,
474,
478,
485,2.4.2.49;2.4.1.284;2.4.99.1
480,
475,
483,
476,
493,
462,
491,1.14.13.239;1.13.11.48;1.13.12.23;1.13.99.1
482,
484,4.2.1.113;4.2.3.38;1.14.13.197;4.2.99.20;5.5.1.6;4.3.3.3;3.7.1.21;3.1.7.9;1.1.1.394;2.3.1.85;4.1.1.28;3.2.1.118;4.3.1.9;1.2.1.31;1.4.1.18;3.3.1.1;2.5.1.119;1.17.98.2;3.5.5.4;1.3.8.6;1.1.3.47;3.5.1.110;2.7.8.23
488,
479,1.1.1.223;1.2.1.49;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;4.1.1.56;1.1.99.9;5.4.99.3;1.1.3.39;1.4.3.5;1.1.5.4;4.2.1.155
459,1.1.1.27;1.2.1.49;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;4.1.1.5;5.4.99.3;1.1.99.9;1.1.3.39;4.2.1.155;1.1.5.4;1.4.3.5
471,
407,
364,
400,
376,
378,
383,3.5.1.3;3.5.5.4;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.4.13.22;3.4.11.1;2.3.2.2;4.2.1.48;3.5.2.2;3.4.17.21;3.1.1.1;3.4.19.13;3.4.14.13;3.5.3.21;3.13.1.6;1.2.7.12;3.5.4.1;3.5.99.6;3.8.1.8;2.1.2.3;4.3.2.4
398,1.14.13.229;1.14.14.1;1.14.15.3;1.14.12.10;1.14.16.1;1.14.11.40;1.14.18.1;1.2.3.9;1.14.21.11;1.14.99.2;1.10.3.3;1.14.19.29
390,2.8.3.22;2.8.2.37;2.3.1.187
397,
372,
394,1.14.18.8;1.14.15.6;1.14.13.96;1.14.14.29;1.14.11.20;1.10.3.3;1.14.19.29;1.14.12.25;1.14.21.4;1.14.99.2;1.2.3.9;1.14.16.1
388,
389,2.4.2.12;2.4.1.71;2.4.99.18
367,4.3.2.2;4.3.1.29;4.3.3.6;3.5.99.5;4.2.1.87
386,1.4.3.4;1.1.3.13;1.5.3.1;1.5.99.6;1.4.9.2;1.1.5.4;1.1.99.9;1.4.4.2;1.4.1.1;1.5.1.22
381,6.3.1.15;6.3.2.12;6.3.5.4;6.3.4.12;6.2.1.39;6.3.3.3;3.5.1.4;3.5.99.5;3.4.13.4;2.3.2.2;3.4.14.13;3.13.1.6;3.1.1.1;3.5.4.1;3.5.5.4;1.4.1.13;1.4.7.1;4.3.3.6;3.4.19.13;3.4.17.21;3.4.11.1;3.5.3.21
365,
391,
396,
404,2.7.4.19;2.7.1.40;2.7.2.1;6.3.5.5;2.7.3.8;2.7.11.7;2.7.14.1;2.7.7.14;2.7.10.1;2.7.12.1;2.7.6.5;2.7.8.28;2.7.99.1
399,
377,
402,2.5.1.116;1.3.1.96;2.4.1.326;4.4.1.20;2.1.3.12;2.4.2.34
358,
382,3.1.7.6;3.1.5.1;3.1.3.74;3.6.1.7;3.2.1.42;2.4.1.17;4.2.3.1;5.1.3.14;3.1.4.46;3.11.1.1;3.1.1.59;4.6.1.13;3.1.2.28;3.7.1.8;3.1.6.1;2.3.1.85;4.2.1.155
395,1.2.1.16;1.1.1.2;1.17.1.10;2.3.1.85;1.2.4.1;1.8.1.4;1.3.1.20;1.1.3.39;1.2.3.13;1.2.5.1
373,
362,
392,
363,1.2.1.22;1.1.1.61;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.99.9;4.1.1.3;5.4.99.3;1.1.3.39;4.2.1.155;1.4.3.5;1.1.5.4
369,
403,
405,
385,3.5.5.1;3.5.1.4;3.4.13.22;3.4.11.1;3.5.2.16;3.5.3.2;1.2.7.12;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;4.2.1.48;2.3.2.2;3.13.1.6;3.4.17.8;3.5.4.16;3.1.1.1;3.4.19.13;3.4.14.13;3.8.1.8;3.5.99.8;2.1.2.3;4.3.2.4
357,4.1.2.46;4.1.1.4;4.2.1.155;1.1.1.38;4.1.3.41;1.3.8.6;2.1.2.11;4.1.99.2;4.2.99.21;3.1.1.82
379,
368,
360,2.1.1.72;2.1.2.3;2.3.1.101;2.8.4.4;2.1.3.2
406,
359,2.5.1.41;1.3.1.96;2.4.1.178;2.4.2.34;2.1.3.12;4.4.1.20
371,
375,1.14.12.19;1.14.13.230;1.14.15.3;1.14.14.1;1.14.18.1;1.2.3.9;1.14.21.11;1.14.99.2;1.14.11.28;1.14.16.4;1.10.3.4;1.14.19.17
393,
401,
380,1.1.1.202;1.2.1.23;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.99.9;4.1.1.94;1.1.3.39;5.4.99.3;1.4.3.5;4.2.1.155;1.1.5.4
384,6.2.1.27;3.1.2.23;4.2.1.155;2.3.1.85
370,6.2.1.1;3.1.2.13;4.2.1.155;2.3.1.85
366,2.4.1.184;2.4.2.49;2.4.99.1
374,
361,
387,
353,
306,
314,
321,3.2.1.122;3.1.1.93;3.2.2.19;4.3.3.5
330,2.5.1.62;2.4.1.39;1.3.1.96;2.4.2.34;2.1.3.12;4.4.1.20
337,3.5.5.1;3.5.1.4;3.5.3.11;2.3.2.2;3.4.13.4;3.1.1.1;3.4.11.1;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.4.19.13;3.4.14.13;3.5.2.2;3.4.17.21;3.5.99.8;3.5.4.1;4.2.1.48;3.13.1.6;1.2.7.12;3.8.1.8;2.1.2.3;4.3.2.4
308,3.5.1.4;3.5.5.1;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.4.11.1;3.4.13.22;2.3.2.2;3.1.1.1;3.5.2.2;3.5.3.21;4.2.1.48;3.4.19.13;3.4.17.8;3.13.1.6;1.2.7.12;3.4.14.13;3.5.4.1;3.5.99.6;3.8.1.8;2.1.2.3;4.3.2.4
322,2.3.1.100;6.2.1.11;2.3.3.17;6.3.1.20;6.3.4.10;1.2.1.95;2.3.2.30;6.1.2.2;2.1.3.5;2.1.2.2
331,
311,2.7.3.8;2.7.2.6;2.7.1.82;6.3.5.5;2.7.11.4;2.7.14.1;2.7.7.14;2.7.4.26;2.7.10.1;2.7.12.1;2.7.8.4;2.7.6.1;2.7.99.1
352,1.1.1.146;5.3.3.1;1.2.1.3;2.3.1.85;1.3.1.20;1.17.1.4;1.1.3.16;4.1.1.104;5.4.99.3;1.1.99.18;1.1.5.4;1.4.3.5;4.2.1.155
349,2.3.1.214;2.1.3.12;2.3.2.19;2.3.3.17;6.1.2.2;6.2.1.11;2.1.2.13;1.2.1.95;6.3.1.20;6.3.4.10
351,4.2.1.78;5.5.1.6;4.3.3.3;2.5.1.119;4.1.1.45;4.2.3.16;4.2.99.12;1.2.1.31;1.4.1.18;2.3.1.85;4.3.1.9;1.1.3.47;1.3.8.6;3.1.7.9;3.5.5.4;3.7.1.21;3.2.1.118;1.1.1.85;1.14.13.197;1.17.98.2;3.3.1.1;3.5.1.110;2.7.8.23
355,
346,
347,
328,
320,2.3.1.2;2.3.3.9;6.2.1.1;2.3.2.30;2.1.3.6;2.1.2.5;6.3.4.10;1.2.1.95;6.3.1.20;6.1.2.2
327,
341,1.1.1.265;1.2.1.22;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.99.9;1.1.3.39;4.1.1.94;5.4.99.3;1.4.3.5;4.2.1.155;1.1.5.4
323,
310,
344,
339,
354,
356,
318,2.7.1.72;2.7.7.47;2.7.8.32;2.7.6.1;2.7.11.7;2.7.2.13;2.7.14.1;2.7.3.3;6.3.5.5;2.7.4.2;2.7.10.1;2.7.12.1;2.7.99.1
332,1.14.13.110;1.14.14.1;1.14.15.3;1.14.12.12;1.14.18.1;1.2.3.9;1.14.21.11;1.14.99.2;1.10.3.1;1.14.16.4;1.14.11.20;1.14.19.19
313,1.2.1.78;1.1.1.312;1.17.1.10;2.3.1.85;1.2.4.1;1.8.1.4;1.3.1.20;1.2.3.13;1.1.3.39;1.2.5.1
335,
338,2.5.1.41;1.3.1.96;2.4.1.178;2.4.2.34;2.1.3.12;4.4.1.20
329,
307,3.3.2.8;3.1.2.27;1.14.14.1;2.3.1.85;3.1.1.35;4.2.1.139;3.2.1.86;2.5.1.18;3.3.1.1;3.7.1.8;3.2.2.3;2.1.1.246
325,
348,1.1.1.1;1.2.1.89;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;4.1.1.5;5.4.99.3;1.1.3.39;1.1.99.9;1.1.5.4;1.4.3.5;4.2.1.155
334,3.2.1.28;3.1.1.93;3.2.2.24;4.3.3.5
342,
309,
326,3.2.1.85;3.1.1.93;3.2.2.11;4.3.3.5
336,4.1.3.16;4.1.2.18;1.1.1.38;4.1.1.3;2.1.2.11;4.2.1.155;4.1.99.12;1.3.8.6;4.2.99.21;3.1.1.82
343,
317,
312,
333,
315,
340,1.1.1.162;1.2.1.28;2.3.1.85;1.17.1.9;1.3.1.20;1.2.4.1;1.8.1.4;1.2.5.1;1.2.3.13;1.1.3.39
316,
350,
324,
345,
319,2.6.1.21;2.7.8.29;2.6.99.2
23,
1,
30,3.2.1.45;3.1.1.93;3.2.2.11;4.3.3.5
16,
19,
5,
11,
40,
7,
35,1.14.12.12;1.14.14.1;1.14.13.232;1.14.21.4;1.14.11.20;1.14.15.3;1.14.99.2;1.14.18.1;1.10.3.1;1.2.3.9;1.14.19.18;1.14.16.4
29,1.1.1.219;1.1.3.10;1.1.99.18;1.2.1.5;5.3.3.1;5.4.99.3;4.1.1.56;1.3.1.20;2.3.1.85;1.4.3.5;1.1.5.4;4.2.1.155;1.17.1.4
26,2.6.1.108;2.6.99.2;2.7.8.29
4,
31,
37,
46,
28,
27,4.2.1.24;4.1.1.43;4.3.1.9;1.1.1.286;4.2.99.20;3.7.1.21;2.3.1.85;4.3.3.2;4.2.3.20;1.2.1.31;1.4.1.18;1.14.13.109;3.1.7.9;5.5.1.1;3.2.1.186;1.3.8.6;3.5.5.4;2.5.1.119;3.3.1.1;1.17.98.2;1.1.3.47;3.5.1.110;2.7.8.23
47,
38,1.13.12.2;1.13.11.54;1.13.99.1;1.14.13.239
45,
41,3.1.7.6;3.1.5.1;3.1.3.74;3.6.1.7;3.2.1.42;2.4.1.17;4.2.3.1;5.1.3.14;3.1.4.46;3.11.1.1;3.1.1.59;4.6.1.13;3.1.2.28;3.7.1.8;3.1.6.1;2.3.1.85;4.2.1.155
21,1.1.1.1;2.3.1.85;1.2.1.3;1.3.1.20;1.17.1.4;5.3.3.1;4.1.1.56;1.1.3.27;5.4.99.3;1.1.99.9;1.4.3.5;1.1.5.4;4.2.1.155
18,
2,2.4.1.238;2.4.2.54;2.4.99.18
49,1.2.1.16;1.1.1.202;1.17.1.10;2.3.1.85;1.2.4.1;1.8.1.4;1.3.1.20;1.2.3.13;1.1.3.39;1.2.5.1
9,1.13.11.25;1.13.12.3;1.13.99.1;1.14.13.239
48,
33,
34,2.8.3.21;2.8.2.37;2.3.1.187
25,2.1.1.197;2.3.1.32;2.8.4.4;2.1.3.2;2.1.2.13
10,2.7.7.71;2.7.1.17;2.7.4.32;2.7.2.14;6.3.5.5;2.7.3.8;2.7.11.4;2.7.14.1;2.7.8.19;2.7.10.1;2.7.12.1;2.7.6.1;2.7.99.1
43,1.13.99.1;1.13.12.3;1.13.11.16;1.14.13.239
36,1.13.11.30;1.13.12.23;1.14.13.178;1.13.99.1
14,
44,1.3.3.10;2.6.1.82;1.4.3.3;1.5.3.5;1.21.3.3;1.5.1.18;2.5.1.46
17,
20,
15,3.1.3.68;3.1.4.57;4.2.3.1;3.6.1.20;3.1.5.1;3.2.1.42;3.1.1.33;2.4.1.17;4.6.1.13;5.1.3.14;3.1.6.3;3.1.7.2;3.11.1.3;3.1.2.31;2.3.1.85;3.7.1.8;4.2.1.155
22,
6,
13,2.5.1.41;1.3.1.96;2.4.1.178;2.4.2.34;2.1.3.12;4.4.1.20
3,1.14.13.239;1.13.11.52;1.13.12.23;1.13.99.1
8,2.4.1.109;2.4.2.33;2.4.99.18
24,2.6.1.44;2.7.8.29;2.6.99.2
32,
50,
12,
39,2.3.1.89;2.3.3.9;2.3.2.30;6.2.1.1;2.1.3.12;6.3.1.20;2.1.2.5;6.3.4.10;1.2.1.95;6.1.2.2
52,3.5.1.40;3.5.5.1;3.4.13.4;3.5.3.12;3.5.2.20;2.3.2.2;4.2.1.48;3.1.1.1;3.4.14.13;3.4.17.21;3.4.11.1;3.4.19.13;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;3.5.4.1;3.13.1.6;1.2.7.12;3.5.99.8;3.8.1.8;2.1.2.3;4.3.2.4
87,
63,
56,4.1.2.14;4.1.3.43;1.1.1.38;4.1.1.3;2.1.2.11;4.1.99.12;4.2.1.155;4.2.99.21;1.3.8.6;3.1.1.82
84,
81,
86,
85,1.13.12.4;1.13.11.54;1.13.99.1;1.14.13.239
79,
93,
76,
92,1.11.1.21
99,
67,
69,3.1.1.43;3.11.1.1;3.6.1.7;3.1.2.1;3.7.1.8;4.2.1.155;3.1.3.75;3.1.6.16;3.1.4.2;2.3.1.85;4.2.3.1;3.2.1.175;3.1.7.11;3.1.5.1;4.6.1.13;2.4.1.17;5.1.3.14
70,
95,3.1.1.37;3.1.7.3;3.1.6.2;3.1.3.76;3.1.4.44;4.6.1.13;3.1.5.1;3.1.2.27;3.2.1.42;2.4.1.17;5.1.3.14;3.6.1.57;4.2.3.1;3.11.1.3;2.3.1.85;4.2.1.155;3.7.1.8
96,
72,2.3.1.191;1.2.1.95;6.2.1.51;2.1.2.3;2.1.3.12;2.3.2.19;6.3.4.10;6.1.2.2;2.3.3.14;6.3.1.20
71,
77,
62,
54,2.5.1.54;2.1.3.12;2.4.1.321;2.4.2.34;4.4.1.20;1.3.1.97
91,
53,1.1.1.146;5.3.3.1;1.2.1.3;2.3.1.85;1.3.1.20;1.17.1.4;1.1.3.16;4.1.1.56;1.1.99.18;5.4.99.3;1.1.5.4;1.4.3.5;4.2.1.155
75,
82,
59,
51,2.3.1.28;6.2.1.1;2.3.3.13;2.3.2.14;2.1.2.13;6.3.4.10;6.1.2.2;2.1.3.12;6.3.1.20;1.2.1.95
90,
98,
100,1.1.1.323;1.2.1.3;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;5.4.99.3;4.1.1.56;1.1.3.16;1.1.99.9;1.1.5.4;1.4.3.5;4.2.1.155
101,1.1.1.84;1.2.1.72;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;4.1.1.104;5.4.99.3;1.1.5.4;1.1.99.9;1.1.3.21;1.4.3.5;4.2.1.155
83,
57,
78,
80,
89,
58,
94,
61,4.1.2.10;4.1.1.1;4.2.1.155;1.1.1.276;4.1.3.41;1.3.8.6;2.1.2.11;4.1.99.12;4.2.99.21;3.1.1.82
73,
60,
55,2.6.1.18;2.7.8.29;2.6.99.2
66,
88,
97,
65,3.6.1.41;3.6.3.55;3.6.4.1;3.6.5.1;3.1.3.81
74,2.7.1.83;2.7.8.20;2.7.2.8;2.7.7.46;2.7.11.7;2.7.99.1;2.7.6.5;2.7.3.3;2.7.14.1;6.3.5.5;2.7.10.1;2.7.12.1;2.7.4.26
64,
68,1.1.1.169;1.2.1.49;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.99.9;4.1.1.5;5.4.99.3;1.1.3.39;1.1.5.4;1.4.3.5;4.2.1.155
430,
411,3.5.1.2;1.4.1.13;1.4.7.1;4.3.3.6;6.3.4.2;6.3.5.2;2.3.2.2;3.5.5.1;3.4.19.13;3.4.14.13;4.2.1.48;3.4.13.18;3.5.2.11;3.4.17.21;3.4.11.1;3.1.1.1;3.5.3.10;3.13.1.6;1.2.7.12;3.5.4.1;3.5.99.6;3.8.1.8;2.1.2.3;4.3.2.4
419,1.2.3.1;1.2.4.4;1.1.3.39;1.1.1.208;1.2.1.3;2.3.1.85;1.2.5.1;1.3.1.20;1.8.1.4;1.17.1.9
454,1.1.1.156;1.2.1.49;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.99.9;4.1.1.5;1.1.3.39;5.4.99.3;1.4.3.5;4.2.1.155;1.1.5.4
417,
420,1.1.1.51;5.3.3.1;1.2.1.3;2.3.1.85;1.3.1.20;1.17.1.4;1.1.3.16;4.1.1.56;5.4.99.3;1.1.99.9;1.1.5.4;1.4.3.5;4.2.1.155
427,3.1.3.3;3.1.4.13;4.2.3.1;3.6.1.7;3.11.1.2;3.1.7.6;3.1.1.28;3.1.5.1;4.6.1.13;3.2.1.183;5.1.3.14;2.4.1.17;3.1.6.17;3.1.2.14;2.3.1.85;4.2.1.155;3.7.1.8
445,
423,
437,1.13.12.2;1.13.11.54;1.13.99.1;1.14.13.239
433,
422,2.6.1.107;2.6.99.2;2.7.8.29
444,
409,1.14.13.44;1.14.14.9;1.14.12.9;1.14.18.1;1.2.3.9;1.14.15.3;1.14.21.11;1.14.99.2;1.14.16.4;1.10.3.4;1.14.11.28;1.14.19.19
432,2.3.1.122;2.1.3.12;2.3.2.19;2.3.3.17;6.1.2.2;2.1.2.13;6.2.1.11;6.3.1.20;6.3.4.10;1.2.1.95
425,
447,
421,
446,3.1.3.21;3.1.4.46;4.2.3.1;3.6.1.7;3.11.1.1;3.1.7.6;3.1.1.79;3.1.5.1;4.6.1.13;3.2.1.42;2.4.1.17;5.1.3.14;3.1.6.17;3.1.2.16;2.3.1.85;4.2.1.155;3.7.1.8
415,2.5.1.41;1.3.1.96;2.4.1.178;2.4.2.34;2.1.3.12;4.4.1.20
448,
412,
455,1.11.1.21
434,
452,1.1.1.282;1.2.1.89;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;5.4.99.3;1.1.3.39;4.1.1.5;1.1.99.9;1.1.5.4;1.4.3.5;4.2.1.155
416,
429,3.2.2.5;3.3.1.1;3.3.2.1;3.2.1.86;3.1.2.6;4.2.1.22;1.14.14.1;3.7.1.8;3.1.1.55;2.5.1.18;2.3.1.85;2.1.1.246
436,
410,
451,
453,
441,1.1.1.408;1.2.1.72;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;4.1.1.104;5.4.99.3;1.1.99.9;1.1.5.4;1.1.3.39;1.4.3.5;4.2.1.155
428,
408,
413,
457,2.5.1.29;1.3.1.96;2.4.1.178;2.4.2.34;4.4.1.20;2.1.3.12
443,
450,
435,1.1.1.408;1.2.1.72;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;4.1.1.104;1.1.3.8;5.4.99.3;1.1.99.18;1.1.5.4;1.4.3.5;4.2.1.155
418,1.13.11.57;1.13.12.4;1.13.99.1;1.14.13.239
424,
414,1.1.5.4;1.1.3.27;4.1.1.5;1.1.1.38;5.4.99.3;4.2.1.155;1.4.3.5;1.1.99.9;1.2.1.72;2.3.1.85;1.3.1.20;5.3.3.1;1.17.1.4
440,
449,
458,3.2.2.5;3.3.2.4;3.2.1.86;1.14.14.1;3.3.1.1;3.1.1.35;4.2.1.139;3.7.1.8;3.1.2.5;2.3.1.85;2.5.1.18;2.1.1.246
442,
439,
426,
456,
431,1.14.13.1;1.14.12.12;1.2.3.9;1.14.18.1;1.14.14.9;1.14.15.3;1.14.21.11;1.14.99.2;1.10.3.4;1.14.16.4;1.14.11.28;1.14.19.19
438,
127,1.1.1.2;1.2.1.49;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1;1.1.99.9;1.1.3.39;4.1.1.94;5.4.99.3;1.4.3.5;4.2.1.155;1.1.5.4
108,
105,
151,
120,
137,
145,
114,
131,
126,
128,2.8.3.17;2.8.2.14;2.3.1.187
134,
106,
113,
110,
121,
144,
133,
117,1.13.11.84;1.13.12.2;1.13.99.1;1.14.13.239
104,2.5.1.80;1.3.1.96;2.4.1.311;4.4.1.20;2.4.2.27;2.1.3.12
122,
111,1.13.12.4;1.13.11.59;1.13.99.1;1.14.13.239
129,
139,1.13.11.1;1.13.12.23;1.13.99.1;1.14.13.239
125,
146,3.1.7.6;3.1.5.1;3.1.3.74;3.6.1.7;3.2.1.42;2.4.1.17;4.2.3.1;5.1.3.14;3.1.4.46;3.11.1.1;3.1.1.59;4.6.1.13;3.1.2.28;3.7.1.8;3.1.6.1;2.3.1.85;4.2.1.155
141,1.1.3.15;1.1.5.4;4.2.1.155;4.1.1.4;1.1.1.38;5.4.99.3;1.4.3.5;1.1.99.9;1.2.1.3;2.3.1.85;1.3.1.20;1.17.1.4;5.3.3.1
112,2.5.1.39;1.3.1.96;2.4.1.326;2.4.2.34;2.1.3.12;4.4.1.20
124,3.2.2.3;4.3.3.5;3.2.1.22;3.1.1.93
130,
119,
123,3.1.3.3;3.1.4.13;3.6.1.7;4.2.3.1;3.11.1.1;3.1.7.6;3.1.5.1;3.1.1.28;4.6.1.13;3.2.1.183;5.1.3.14;2.4.1.17;4.2.1.155;3.1.2.11;3.1.6.17;2.3.1.85;3.7.1.8
138,
142,
116,
143,
