reaction_id,BEC-Pred_Prediction,SIMMER_SIMMER pred,CLAIRE_predictions,SelenzymeRF_All ECs,Scaffold_ground_truth_REACTION_ID,Scaffold_ground_truth_true_EC,merged_output_BEC-Pred_Prediction,merged_output_SIMMER_SIMMER pred,merged_output_CLAIRE_predictions,merged_output_SelenzymeRF_All ECs,merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_CLAIRE_predictions,merged_output_merged_output_merged_output_merged_output_SelenzymeRF_All ECs,merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_BEC-Pred_Prediction,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_SIMMER_SIMMER pred,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_REACTION_ID,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_Scaffold_ground_truth_true_EC,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_merged_output_ec,merged_output_merged_output_merged_output_theia_Prediction,merged_output_merged_output_merged_output_ec,merged_output_merged_output_theia_Prediction,merged_output_merged_output_ec,merged_output_theia_Prediction,merged_output_ec,theia_Prediction,ec
22949,4.1.3,5.3.1,1.13.11;1.1.3;3.5.5;1.7.3,4.1.2.13;4.1.2.40,,,4.1.3,5.3.1,1.13.11;1.1.3;3.5.5;1.7.3,4.1.2.13;4.1.2.40,,,3.1.1,5.3.1,1.13.11;1.1.3;3.5.5;1.7.3,4.1.2.13;4.1.2.40,,,3.1.1,5.3.1,2.7.6;2.7.9;7.6.2;2.7.7,4.1.2.13;4.1.2.40,,,3.1.1,5.3.1,2.7.6;2.7.9;7.6.2;2.7.7,4.1.2.13;4.1.2.40,,,5.4.99,5.3.1,,,5.4.99,5.3.1,,,5.4.99,,,,4.1.2.40,4.1.2.40,4.1.2.40,"5.3.1,0.9730690121650696;1.1.99,0.014668332412838936;1.1.1,0.0053648566827178;4.1.2,0.0010763220489025116;2.7.1,0.0010438634781166911",4.1.2.40,5.3.1;1.1.99;1.1.1;4.1.2;2.7.1,4.1.2.40,5.3.1;1.1.99;1.1.1;4.1.2;2.7.1,4.1.2.40,5.3.1;1.1.99;1.1.1;4.1.2;2.7.1,4.1.2.40,5.3.1;1.1.99;1.1.1;4.1.2;2.7.1,4.1.2.40
22977,6.2.1,6.2.1,6.2.1;2.1.3;6.3.2;2.7.9,6.2.1.7;6.2.1.42;6.2.1.3;6.2.1.2;6.2.1.16;6.2.1.-|6.2.1.48;6.2.1.36;6.2.1.1,,,6.2.1,6.2.1,6.2.1;2.1.3;6.3.2;2.7.9,6.2.1.7;6.2.1.42;6.2.1.3;6.2.1.2;6.2.1.16;6.2.1.-|6.2.1.48;6.2.1.36;6.2.1.1,,,6.2.1,6.2.1,6.2.1;2.1.3;6.3.2;2.7.9,6.2.1.7;6.2.1.42;6.2.1.3;6.2.1.2;6.2.1.16;6.2.1.-|6.2.1.48;6.2.1.36;6.2.1.1,,,6.2.1,6.2.1,4.99.1;4.98.1;3.5.99;4.3.1,6.2.1.7;6.2.1.42;6.2.1.3;6.2.1.2;6.2.1.16;6.2.1.-|6.2.1.48;6.2.1.36;6.2.1.1,,,6.2.1,6.2.1,4.99.1;4.98.1;3.5.99;4.3.1,6.2.1.7;6.2.1.42;6.2.1.3;6.2.1.2;6.2.1.16;6.2.1.-|6.2.1.48;6.2.1.36;6.2.1.1,,,6.2.1,6.2.1,,,6.2.1,6.2.1,,,6.2.1,,,,6.2.1.7,6.2.1.7,6.2.1.7,"6.2.1,0.9944778680801392;3.1.2,0.0017385773826390505;2.3.1,0.001229167333804071;1.2.1,0.0006472727400250733;2.7.4,0.0005747787654399872",6.2.1.7,6.2.1;3.1.2;2.3.1;1.2.1;2.7.4,6.2.1.7,6.2.1;3.1.2;2.3.1;1.2.1;2.7.4,6.2.1.7,6.2.1;3.1.2;2.3.1;1.2.1;2.7.4,6.2.1.7,6.2.1;3.1.2;2.3.1;1.2.1;2.7.4,6.2.1.7
23029,2.3.1,4.1.1,3.7.1;4.1.2;4.1.3;3.11.1,2.1.3.10;2.1.3.15|6.4.1.2,,,2.3.1,4.1.1,3.7.1;4.1.2;4.1.3;3.11.1,2.1.3.10;2.1.3.15|6.4.1.2,,,2.3.1,4.1.1,3.7.1;4.1.2;4.1.3;3.11.1,2.1.3.10;2.1.3.15|6.4.1.2,,,2.3.1,4.1.1,4.2.99;5.4.99;1.13.11;5.3.2,2.1.3.10;2.1.3.15|6.4.1.2,,,2.3.1,4.1.1,4.2.99;5.4.99;1.13.11;5.3.2,2.1.3.10;2.1.3.15|6.4.1.2,,,2.3.1,4.1.1,,,2.3.1,4.1.1,,,2.3.1,,,,2.1.3.10,2.1.3.10,2.1.3.10,"2.3.1,0.8724809885025024;2.8.3,0.08950189501047134;4.1.1,0.009127926081418991;4.1.3,0.004928304813802242;5.4.99,0.004638627637177706",2.1.3.10,2.3.1;2.8.3;4.1.1;4.1.3;5.4.99,2.1.3.10,2.3.1;2.8.3;4.1.1;4.1.3;5.4.99,2.1.3.10,2.3.1;2.8.3;4.1.1;4.1.3;5.4.99,2.1.3.10,2.3.1;2.8.3;4.1.1;4.1.3;5.4.99,2.1.3.10
23077,1.3.1,1.14.13;1.3.1,2.1.1;2.3.1;1.2.1;2.5.1,1.2.1.84;1.2.1.50;1.3.1.38;1.3.1.8;1.3.1.93;1.1.1.330|1.1.1.36;1.3.1.34;1.3.1.124;1.3.1.10|1.3.1.39;1.3.1.44;1.1.1.-|1.1.1.211|1.1.1.35,,,1.3.1,1.14.13;1.3.1,2.1.1;2.3.1;1.2.1;2.5.1,1.2.1.84;1.2.1.50;1.3.1.38;1.3.1.8;1.3.1.93;1.1.1.330|1.1.1.36;1.3.1.34;1.3.1.124;1.3.1.10|1.3.1.39;1.3.1.44;1.1.1.-|1.1.1.211|1.1.1.35,,,1.1.1,1.14.13;1.3.1,2.1.1;2.3.1;1.2.1;2.5.1,1.2.1.84;1.2.1.50;1.3.1.38;1.3.1.8;1.3.1.93;1.1.1.330|1.1.1.36;1.3.1.34;1.3.1.124;1.3.1.10|1.3.1.39;1.3.1.44;1.1.1.-|1.1.1.211|1.1.1.35,,,1.1.1,1.14.13;1.3.1,2.1.1;2.5.1;2.3.1;1.2.1,1.2.1.84;1.2.1.50;1.3.1.38;1.3.1.8;1.3.1.93;1.1.1.330|1.1.1.36;1.3.1.34;1.3.1.124;1.3.1.10|1.3.1.39;1.3.1.44;1.1.1.-|1.1.1.211|1.1.1.35,,,1.1.1,1.14.13;1.3.1,2.1.1;2.5.1;2.3.1;1.2.1,1.2.1.84;1.2.1.50;1.3.1.38;1.3.1.8;1.3.1.93;1.1.1.330|1.1.1.36;1.3.1.34;1.3.1.124;1.3.1.10|1.3.1.39;1.3.1.44;1.1.1.-|1.1.1.211|1.1.1.35,,,1.3.1,1.14.13;1.3.1,,,1.3.1,1.14.13;1.3.1,,,1.3.1,,,,1.21.1.2,1.21.1.2,1.21.1.2,"1.1.1,0.20303010940551758;1.3.1,0.17104987800121307;1.14.13,0.13567999005317688;1.2.1,0.12661559879779816;1.5.1,0.09735486656427383",1.21.1.2,1.1.1;1.3.1;1.14.13;1.2.1;1.5.1,1.21.1.2,1.1.1;1.3.1;1.14.13;1.2.1;1.5.1,1.21.1.2,1.1.1;1.3.1;1.14.13;1.2.1;1.5.1,1.21.1.2,1.1.1;1.3.1;1.14.13;1.2.1;1.5.1,1.21.1.2
23085,4.1.3,,4.1.3;4.1.2;4.2.1;2.6.1,4.1.3.26;2.8.3.8;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,,,4.1.3,,4.1.3;4.1.2;4.2.1;2.6.1,4.1.3.26;2.8.3.8;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,,,2.6.1,,4.1.3;4.1.2;4.2.1;2.6.1,4.1.3.26;2.8.3.8;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,,,2.6.1,,3.4.17;3.5.2;3.5.1;3.5.3,4.1.3.26;2.8.3.8;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,,,2.6.1,,3.4.17;3.5.2;3.5.1;3.5.3,4.1.3.26;2.8.3.8;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,,,2.8.3,,,,2.8.3,,,,2.8.3,,,,4.1.3.26,4.1.3.26,4.1.3.26,"4.1.3,0.5939232707023621;2.8.3,0.29762110114097595;4.2.1,0.026264654472470284;2.6.1,0.019063785672187805;5.4.99,0.014404360204935074",4.1.3.26,4.1.3;2.8.3;4.2.1;2.6.1;5.4.99,4.1.3.26,4.1.3;2.8.3;4.2.1;2.6.1;5.4.99,4.1.3.26,4.1.3;2.8.3;4.2.1;2.6.1;5.4.99,4.1.3.26,4.1.3;2.8.3;4.2.1;2.6.1;5.4.99,4.1.3.26
23157,4.2.1,4.8.1,4.8.1;5.3.99;4.99.1;4.2.1,4.99.1.6;1.14.14.45;1.14|1.14.13.125|1.14.14.156;1.14.14.43|1.14.14.45;1.14.14.44|4.3.1|4.99.1.7;3.2.1.147;6.2.1.13;1.14.14.37;3.4.11.17;2.6.1.7;3.1.1.96,,,4.2.1,4.8.1,4.8.1;5.3.99;4.99.1;4.2.1,4.99.1.6;1.14.14.45;1.14|1.14.13.125|1.14.14.156;1.14.14.43|1.14.14.45;1.14.14.44|4.3.1|4.99.1.7;3.2.1.147;6.2.1.13;1.14.14.37;3.4.11.17;2.6.1.7;3.1.1.96,,,3.5.4,4.8.1,4.8.1;5.3.99;4.99.1;4.2.1,4.99.1.6;1.14.14.45;1.14|1.14.13.125|1.14.14.156;1.14.14.43|1.14.14.45;1.14.14.44|4.3.1|4.99.1.7;3.2.1.147;6.2.1.13;1.14.14.37;3.4.11.17;2.6.1.7;3.1.1.96,,,3.5.4,4.8.1,2.7.9;2.7.6;3.1.4;2.4.3,4.99.1.6;1.14.14.45;1.14|1.14.13.125|1.14.14.156;1.14.14.43|1.14.14.45;1.14.14.44|4.3.1|4.99.1.7;3.2.1.147;6.2.1.13;1.14.14.37;3.4.11.17;2.6.1.7;3.1.1.96,,,3.5.4,4.8.1,2.7.9;2.7.6;3.1.4;2.4.3,4.99.1.6;1.14.14.45;1.14|1.14.13.125|1.14.14.156;1.14.14.43|1.14.14.45;1.14.14.44|4.3.1|4.99.1.7;3.2.1.147;6.2.1.13;1.14.14.37;3.4.11.17;2.6.1.7;3.1.1.96,,,3.5.4,4.8.1,,,3.5.4,4.8.1,,,3.5.4,,,,4.8.1.3,4.8.1.3,4.8.1.3,"4.8.1,0.9182302355766296;4.2.1,0.027644094079732895;3.5.5,0.009480363689363003;3.2.1,0.005211143288761377;1.14.14,0.004835771396756172",4.8.1.3,4.8.1;4.2.1;3.5.5;3.2.1;1.14.14,4.8.1.3,4.8.1;4.2.1;3.5.5;3.2.1;1.14.14,4.8.1.3,4.8.1;4.2.1;3.5.5;3.2.1;1.14.14,4.8.1.3,4.8.1;4.2.1;3.5.5;3.2.1;1.14.14,4.8.1.3
23205,2.3.1,,2.8.3;2.4.1;2.3.1;3.1.1,5.4.1.4;3.1.1.42;1.1.1.264;1.1.1.-|1.1.1.203;4.2.1.40;4.2.1.158;4.2.1.42;4.2.1.156;2.3.1|2.3.1.133|2.3.1.99|3.1.2.-;1.1.5.8;1.1.1.282;1.1.1.166|1.1.1.24|1.1.1.282;5.5.1.25;1.1.99.35;1.2.1.3,,,2.3.1,,2.8.3;2.4.1;2.3.1;3.1.1,5.4.1.4;3.1.1.42;1.1.1.264;1.1.1.-|1.1.1.203;4.2.1.40;4.2.1.158;4.2.1.42;4.2.1.156;2.3.1|2.3.1.133|2.3.1.99|3.1.2.-;1.1.5.8;1.1.1.282;1.1.1.166|1.1.1.24|1.1.1.282;5.5.1.25;1.1.99.35;1.2.1.3,,,2.3.1,,2.8.3;2.4.1;2.3.1;3.1.1,5.4.1.4;3.1.1.42;1.1.1.264;1.1.1.-|1.1.1.203;4.2.1.40;4.2.1.158;4.2.1.42;4.2.1.156;2.3.1|2.3.1.133|2.3.1.99|3.1.2.-;1.1.5.8;1.1.1.282;1.1.1.166|1.1.1.24|1.1.1.282;5.5.1.25;1.1.99.35;1.2.1.3,,,2.3.1,,3.2.2;4.4.1;3.2.1;1.1.98,5.4.1.4;3.1.1.42;1.1.1.264;1.1.1.-|1.1.1.203;4.2.1.40;4.2.1.158;4.2.1.42;4.2.1.156;2.3.1|2.3.1.133|2.3.1.99|3.1.2.-;1.1.5.8;1.1.1.282;1.1.1.166|1.1.1.24|1.1.1.282;5.5.1.25;1.1.99.35;1.2.1.3,,,2.3.1,,3.2.2;4.4.1;3.2.1;1.1.98,5.4.1.4;3.1.1.42;1.1.1.264;1.1.1.-|1.1.1.203;4.2.1.40;4.2.1.158;4.2.1.42;4.2.1.156;2.3.1|2.3.1.133|2.3.1.99|3.1.2.-;1.1.5.8;1.1.1.282;1.1.1.166|1.1.1.24|1.1.1.282;5.5.1.25;1.1.99.35;1.2.1.3,,,2.3.1,,,,2.3.1,,,,2.3.1,,,,2.3.1.98,2.3.1.98,2.3.1.98,"2.3.1,0.2196578085422516;2.5.1,0.1731041818857193;4.2.1,0.07637033611536026;2.7.8,0.06105105206370354;5.3.3,0.04108565300703049",2.3.1.98,2.3.1;2.5.1;4.2.1;2.7.8;5.3.3,2.3.1.98,2.3.1;2.5.1;4.2.1;2.7.8;5.3.3,2.3.1.98,2.3.1;2.5.1;4.2.1;2.7.8;5.3.3,2.3.1.98,2.3.1;2.5.1;4.2.1;2.7.8;5.3.3,2.3.1.98
23257,6.3.5,2.5.1,4.1.99;6.3.3;1.14.16;2.5.1,6.3.5.11;6.3.5.9;6.3.5.-|6.3.5.13;6.3.5.10;2.1.3.3|6.3.5.5,,,6.3.5,2.5.1,4.1.99;6.3.3;1.14.16;2.5.1,6.3.5.11;6.3.5.9;6.3.5.-|6.3.5.13;6.3.5.10;2.1.3.3|6.3.5.5,,,1.14.19,2.5.1,4.1.99;6.3.3;1.14.16;2.5.1,6.3.5.11;6.3.5.9;6.3.5.-|6.3.5.13;6.3.5.10;2.1.3.3|6.3.5.5,,,1.14.19,2.5.1,2.1.2;3.5.99;4.3.1;3.5.4,6.3.5.11;6.3.5.9;6.3.5.-|6.3.5.13;6.3.5.10;2.1.3.3|6.3.5.5,,,1.14.19,2.5.1,2.1.2;3.5.99;4.3.1;3.5.4,6.3.5.11;6.3.5.9;6.3.5.-|6.3.5.13;6.3.5.10;2.1.3.3|6.3.5.5,,,1.14.19,2.5.1,,,1.14.19,2.5.1,,,1.14.19,,,,6.3.5.10,6.3.5.10,6.3.5.10,"6.3.5,0.9768755435943604;3.6.1,0.010235199704766273;3.6.5,0.0035729261580854654;2.5.1,0.0017229454824700952;3.6.4,0.0015337412478402257",6.3.5.10,6.3.5;3.6.1;3.6.5;2.5.1;3.6.4,6.3.5.10,6.3.5;3.6.1;3.6.5;2.5.1;3.6.4,6.3.5.10,6.3.5;3.6.1;3.6.5;2.5.1;3.6.4,6.3.5.10,6.3.5;3.6.1;3.6.5;2.5.1;3.6.4,6.3.5.10
23269,3.5.1,,3.13.1;3.5.3;3.11.1;4.1.2,3.5.3.7;3.5.3.1;3.5.3.22;2.4.2.60;6.3.2.2|6.3.2.3,,,3.5.1,,3.13.1;3.5.3;3.11.1;4.1.2,3.5.3.7;3.5.3.1;3.5.3.22;2.4.2.60;6.3.2.2|6.3.2.3,,,3.5.1,,3.13.1;3.5.3;3.11.1;4.1.2,3.5.3.7;3.5.3.1;3.5.3.22;2.4.2.60;6.3.2.2|6.3.2.3,,,3.5.1,,2.7.8;2.7.6;2.7.1;2.4.2,3.5.3.7;3.5.3.1;3.5.3.22;2.4.2.60;6.3.2.2|6.3.2.3,,,3.5.1,,2.7.8;2.7.6;2.7.1;2.4.2,3.5.3.7;3.5.3.1;3.5.3.22;2.4.2.60;6.3.2.2|6.3.2.3,,,3.5.1,,,,3.5.1,,,,3.5.1,,,,3.5.3.2,3.5.3.2,3.5.3.2,"3.5.3,0.7542417645454407;3.5.1,0.09156197309494019;3.4.17,0.037118248641490936;1.4.2,0.03255092725157738;4.3.2,0.011363268829882145",3.5.3.2,3.5.3;3.5.1;3.4.17;1.4.2;4.3.2,3.5.3.2,3.5.3;3.5.1;3.4.17;1.4.2;4.3.2,3.5.3.2,3.5.3;3.5.1;3.4.17;1.4.2;4.3.2,3.5.3.2,3.5.3;3.5.1;3.4.17;1.4.2;4.3.2,3.5.3.2
23277,4.1.3,4.2.1,4.1.2;4.2.1;3.5.4;2.6.1,2.1.2.11,,,4.1.3,4.2.1,4.1.2;4.2.1;3.5.4;2.6.1,2.1.2.11,,,1.13.11,4.2.1,4.1.2;4.2.1;3.5.4;2.6.1,2.1.2.11,,,1.13.11,4.2.1,2.4.2;2.7.8;2.7.6;2.7.1,2.1.2.11,,,1.13.11,4.2.1,2.4.2;2.7.8;2.7.6;2.7.1,2.1.2.11,,,2.6.1,4.2.1,,,2.6.1,4.2.1,,,2.6.1,,,,4.1.2.12,4.1.2.12,4.1.2.12,"5.5.1,0.4564021825790405;5.4.99,0.14135687053203583;1.1.99,0.07176825404167175;4.2.3,0.04355943948030472;4.2.1,0.03684411942958832",4.1.2.12,5.5.1;5.4.99;1.1.99;4.2.3;4.2.1,4.1.2.12,5.5.1;5.4.99;1.1.99;4.2.3;4.2.1,4.1.2.12,5.5.1;5.4.99;1.1.99;4.2.3;4.2.1,4.1.2.12,5.5.1;5.4.99;1.1.99;4.2.3;4.2.1,4.1.2.12
23293,2.7.1,2.7.14,1.2.7;1.2.3;3.5.5;1.97.1,6.3.5.11;6.3.5.9;6.3.5.-|6.3.5.13;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,,,2.7.1,2.7.14,1.2.7;1.2.3;3.5.5;1.97.1,6.3.5.11;6.3.5.9;6.3.5.-|6.3.5.13;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,,,2.7.1,2.7.14,1.2.7;1.2.3;3.5.5;1.97.1,6.3.5.11;6.3.5.9;6.3.5.-|6.3.5.13;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,,,2.7.1,2.7.14,2.4.1;3.1.1;2.4.99;2.8.3,6.3.5.11;6.3.5.9;6.3.5.-|6.3.5.13;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,,,2.7.1,2.7.14,2.4.1;3.1.1;2.4.99;2.8.3,6.3.5.11;6.3.5.9;6.3.5.-|6.3.5.13;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,,,2.7.1,2.7.14,,,2.7.1,2.7.14,,,2.7.1,,,,2.7.3.5,2.7.3.5,2.7.3.5,"3.9.1,0.23660708963871002;2.7.6,0.08663530647754669;1.12.2,0.049193091690540314;2.7.12,0.039238911122083664;2.7.13,0.02808072231709957",2.7.3.5,3.9.1;2.7.6;1.12.2;2.7.12;2.7.13,2.7.3.5,3.9.1;2.7.6;1.12.2;2.7.12;2.7.13,2.7.3.5,3.9.1;2.7.6;1.12.2;2.7.12;2.7.13,2.7.3.5,3.9.1;2.7.6;1.12.2;2.7.12;2.7.13,2.7.3.5
23309,2.3.1,2.3.1,2.3.1;2.4.1;2.8.3;2.3.2,2.3.1.248;2.3.1.99;2.3.1|2.3.1.133|3.1.2.-;2.3.1.188;6.2.1|6.2.1.12;2.3.1.249;2.3.1.215;2.3.1.153;2.3.1.110;2.3.1.300;2.3.1.180,,,2.3.1,2.3.1,2.3.1;2.4.1;2.8.3;2.3.2,2.3.1.248;2.3.1.99;2.3.1|2.3.1.133|3.1.2.-;2.3.1.188;6.2.1|6.2.1.12;2.3.1.249;2.3.1.215;2.3.1.153;2.3.1.110;2.3.1.300;2.3.1.180,,,2.3.1,2.3.1,2.3.1;2.4.1;2.8.3;2.3.2,2.3.1.248;2.3.1.99;2.3.1|2.3.1.133|3.1.2.-;2.3.1.188;6.2.1|6.2.1.12;2.3.1.249;2.3.1.215;2.3.1.153;2.3.1.110;2.3.1.300;2.3.1.180,,,2.3.1,2.3.1,1.6.1;1.10.3;1.8.2;1.1.7,2.3.1.248;2.3.1.99;2.3.1|2.3.1.133|3.1.2.-;2.3.1.188;6.2.1|6.2.1.12;2.3.1.249;2.3.1.215;2.3.1.153;2.3.1.110;2.3.1.300;2.3.1.180,,,2.3.1,2.3.1,1.6.1;1.10.3;1.8.2;1.1.7,2.3.1.248;2.3.1.99;2.3.1|2.3.1.133|3.1.2.-;2.3.1.188;6.2.1|6.2.1.12;2.3.1.249;2.3.1.215;2.3.1.153;2.3.1.110;2.3.1.300;2.3.1.180,,,2.3.1,2.3.1,,,2.3.1,2.3.1,,,2.3.1,,,,2.3.1.131,2.3.1.131,2.3.1.131,"2.3.1,0.9978220462799072;3.1.2,0.0010813415283337235;1.2.1,0.00029022424132563174;2.3.3,0.00027613769634626806;6.2.1,0.00019197969231754541",2.3.1.131,2.3.1;3.1.2;1.2.1;2.3.3;6.2.1,2.3.1.131,2.3.1;3.1.2;1.2.1;2.3.3;6.2.1,2.3.1.131,2.3.1;3.1.2;1.2.1;2.3.3;6.2.1,2.3.1.131,2.3.1;3.1.2;1.2.1;2.3.3;6.2.1,2.3.1.131
23337,1.11.1,5.1.3;5.1.1,1.7.3;1.1.3;1.11.1;1.16.3,1.11.1.8;1.3.8.7;1.1.3.15;1.1.3.17;1.4.3.19;1.4.3.3;1.1.3.47;1.1.3.9;1.2.1.29|1.2.3.1;1.4.3.1|1.4.3.3;1.21.3.3;1.1.3.29;1.2.3.14,,,1.11.1,5.1.3;5.1.1,1.7.3;1.1.3;1.11.1;1.16.3,1.11.1.8;1.3.8.7;1.1.3.15;1.1.3.17;1.4.3.19;1.4.3.3;1.1.3.47;1.1.3.9;1.2.1.29|1.2.3.1;1.4.3.1|1.4.3.3;1.21.3.3;1.1.3.29;1.2.3.14,,,1.14.19,5.1.3;5.1.1,1.7.3;1.1.3;1.11.1;1.16.3,1.11.1.8;1.3.8.7;1.1.3.15;1.1.3.17;1.4.3.19;1.4.3.3;1.1.3.47;1.1.3.9;1.2.1.29|1.2.3.1;1.4.3.1|1.4.3.3;1.21.3.3;1.1.3.29;1.2.3.14,,,1.14.19,5.1.3;5.1.1,2.9.1;4.6.1;3.1.4;2.7.2,1.11.1.8;1.3.8.7;1.1.3.15;1.1.3.17;1.4.3.19;1.4.3.3;1.1.3.47;1.1.3.9;1.2.1.29|1.2.3.1;1.4.3.1|1.4.3.3;1.21.3.3;1.1.3.29;1.2.3.14,,,1.14.19,5.1.3;5.1.1,2.9.1;4.6.1;3.1.4;2.7.2,1.11.1.8;1.3.8.7;1.1.3.15;1.1.3.17;1.4.3.19;1.4.3.3;1.1.3.47;1.1.3.9;1.2.1.29|1.2.3.1;1.4.3.1|1.4.3.3;1.21.3.3;1.1.3.29;1.2.3.14,,,1.1.3,5.1.3;5.1.1,,,1.1.3,5.1.3;5.1.1,,,1.1.3,,,,1.11.1.8,1.11.1.8,1.11.1.8,"1.11.1,0.592724084854126;1.11.2,0.12763141095638275;1.1.3,0.03979038447141647;1.5.3,0.03644246235489845;1.4.3,0.030141543596982956",1.11.1.8,1.11.1;1.11.2;1.1.3;1.5.3;1.4.3,1.11.1.8,1.11.1;1.11.2;1.1.3;1.5.3;1.4.3,1.11.1.8,1.11.1;1.11.2;1.1.3;1.5.3;1.4.3,1.11.1.8,1.11.1;1.11.2;1.1.3;1.5.3;1.4.3,1.11.1.8
