reaction_id,EC Number,BEC-Pred,SelenzymeRF,SIMMER,Theia,MajorityVote,MajorityVoteCore4
11509,1.14.11.16,1.14.11,1.14.11.67;1.14.11.16;1.14.11.65;1.14.11.27;1.14.11.68;1.14.11.66;1.14.11.69;1.14.11.30;1.14.11.54;1.14.11.33;1.14.11.53;1.14.11.51;1.14.11.9,1.14.11,1.14.11;1.13.12;1.14.20;2.6.1;4.1.3,1.14.11,1.14.11
11665,2.4.3.5,2.4.3,2.4.99.1;2.4.99.14;2.4.99.13;2.7.8.46;2.7.8.14;2.4.99.2;2.4.99.4;2.4.99.6;2.4.99.3;2.4.99.9;2.4.99.8;2.4.99.7;2.7.8.11;3.5.4.12;2.7.8.32;2.7.8.39;2.4.99.12;2.7.8.45;6.1.2.2;3.2.1.85,2.4.3;2.4.1,3.1.4;2.4.3;2.7.8;2.4.1;2.4.99,2.4.3,2.4.3
11701,1.14.13.54,1.14.13,1.14.13.225|1.6.3.1;1.6.3.5;1.11.1.6|1.14.13.225|1.3.1.95|1.6.3.1|1.6.3.3|1.6.99.3,1.1.1,1.1.1;1.14.13;1.2.1;4.1.99;3.1.1,1.14.13,1.14.13
11721,3.5.2.14,7.4.2,2.3.1.193|2.7.1|2.7.1.1|2.7.1.2|2.7.11.24|3.1.3|3.1.3.1|3.1.3.2|3.1.3.29|3.1.4|3.4.21.53|3.4.24|3.6|3.6.1|3.6.1.-|3.6.1.15|3.6.1.3|3.6.1.5|3.6.1.8|3.6.2.1|3.6.3|3.6.3.1|3.6.3.10|3.6.3.11|3.6.3.12|3.6.3.14|3.6.3.15|3.6.3.16|3.6.3.17|3.6.3.18|3.6.3.19|3.6.3.2|3.6.3.20|3.6.3.21|3.6.3.22|3.6.3.23|3.6.3.24|3.6.3.25|3.6.3.26|3.6.3.27|3.6.3.28|3.6.3.29|3.6.3.3|3.6.3.30|3.6.3.31|3.6.3.32|3.6.3.33|3.6.3.34|3.6.3.35|3.6.3.36|3.6.3.37|3.6.3.38|3.6.3.39|3.6.3.4|3.6.3.40|3.6.3.41|3.6.3.42|3.6.3.43|3.6.3.44|3.6.3.46|3.6.3.47|3.6.3.48|3.6.3.49|3.6.3.5|3.6.3.50|3.6.3.51|3.6.3.52|3.6.3.53|3.6.3.54|3.6.3.55|3.6.3.6|3.6.3.7|3.6.3.8|3.6.3.9|3.6.4|3.6.4.1|3.6.4.10|3.6.4.11|3.6.4.12|3.6.4.13|3.6.4.2|3.6.4.3|3.6.4.4|3.6.4.5|3.6.4.6|3.6.4.7|3.6.4.8|3.6.4.9|5.6.1.1|5.6.1.7|5.6.1.8|5.6.1.c|5.6.1.d|5.6.1.f|5.6.1.g|7.1.2.1|7.1.2.2|7.3.2.a|7.3.2.f|7.5.2.h|7.5.2.j|7.5.2.l|7.6.2.1|7.6.2.2|7.6.2.c|7.6.2.f,6.3.4,6.3.5;6.3.1;3.6.5;6.3.4;5.6.2,7.6.2,6.3.4
11725,1.8.4.8,2.8.2,1.8.4.8;1.8.4.10;1.8.4.9;1.8.99.2,2.8.2,1.8.4;1.8.99;2.8.1;3.6.2;1.8.1,1.8.4,1.8.4
11749,2.2.1.8,4.1.3,2.1.2.1|4.1.2.48|4.1.2.5,,5.3.3;4.1.2;2.7.4;5.2.1;5.1.1,4.1.2,4.1.2
11765,3.5.3.16,3.5.1,3.5.3.1;3.5.3.7;3.5.3.22;3.5.1.3;2.1.1.248;1.4.9.1;6.3.1.2|6.3.4.12,5.1.3;5.1.1,3.5.1;3.5.3;4.2.1;2.1.3;3.5.5,3.5.3,3.5.3
11793,1.14.13.69,1.14.13,1.14.13.69;1.11.1.6|1.14.13.225|1.3.1.95|1.6.3.1|1.6.3.3|1.6.99.3,1.8.1;1.1.1,1.14.13;4.1.99;1.14.19;1.3.1;1.2.1,1.14.13,1.14.13
11897,1.1.1.181,1.1.1,1.1.1.181;1.1.1.145|5.3.3.1;1.6.5.4;1.11.1.1|1.14.12.17;1.7.99.6;1.1.1.170|1.1.1.418;1.1.1.213|1.1.1.357|1.1.1.50;1.1.1.417;1.14.13.246;1.14.18.9;1.1.1.51;1.1.1.1,1.1.1,1.1.1;1.3.1;1.4.1;1.5.1;1.2.1,1.1.1,1.1.1
11989,2.1.1.79,2.1.1,2.1.1.334;2.1.1.79;2.1.1.165;2.1.1.96;2.1.1.17;2.1.1.71;2.1.1.103|2.1.1.16|2.1.1.71;2.1.1.137;2.1.1.37,2.1.1,2.1.1;2.3.1;2.5.1;2.8.4;4.4.1,2.1.1,2.1.1
12025,2.3.1.91,2.3.1,2.3.1.91;2.3.1.103;3.1.1.49;3.2.1.126|3.2.1.21;3.2.1.126,3.2.1,2.3.1;2.4.1;3.2.1;5.4.99;3.1.1,2.3.1,2.3.1
12029,3.5.2.4,3.1.4,1.3.3.1|3.5.2.3,,3.5.1;3.4.17;4.3.2;3.5.2;3.4.13,3.5.1,3.5.2
12105,2.1.1.45,2.1.1,2.1.1.45,,2.1.1;2.1.2;1.5.1;1.5.7;1.5.99,2.1.1,2.1.1
12133,7.2.2.2,1.16.99,6.3.2.2,7.4.2;3.6.4,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5,3.6.4,3.6.4
12133,7.2.2.2,1.16.99,6.3.2.2,7.4.2;3.6.4,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5,3.6.4,3.6.4
12197,4.1.2.22,2.5.1,4.1.2.22;2.5.1.54|2.5.1.55|4.1.2.15,,5.3.1;2.3.1;3.1.3;1.1.1;2.5.1,2.5.1,2.5.1
12241,2.3.1.165,2.3.1,2.3.1.237;2.3.1.236;2.3.1.85;2.3.1.161;2.3.1.41;2.3.1.86;2.3.1.289;2.3.1.290;2.3.1.239;2.3.1.295;1.3.1.-|2.3.1.170|2.3.1.74,2.3.1,2.3.1;1.2.1;1.3.1;3.1.2;2.3.3,2.3.1,2.3.1
12277,1.3.8.4,1.3.8,1.3.8.4|1.3.99.10|1.3.99.3;1.3.8.4|1.3.8.7|1.3.99.10;1.3.99.12;1.14.14.15;1.14.19.56;1.5.1.45;1.3.3.6|1.3.8.1|1.3.99.-|1.3.99.2|1.3.99.3;1.3.99.7;1.3.3.6|1.3.8.1|1.3.99.-|1.3.99.13|1.3.99.3;2.1.1.74,1.3.8,1.3.8;1.3.99;1.14.14;5.3.3;1.5.1,1.3.8,1.3.8
12333,7.2.2.7,1.16.99,6.3.2.2,7.4.2;3.6.4,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5,3.6.4,3.6.4
12433,2.3.2.10,2.3.2,2.3.2.16;6.3.1.12;6.3.5.-|6.3.5.13;6.3.2.14;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,,2.3.2;2.3.1;6.1.1;2.1.4;4.3.2,2.3.2,2.3.2
12437,2.3.1.138,2.3.1,2.3.1.64;2.3.1.249;2.3.1.248;2.3.1.57;2.3.1|2.3.1.110;2.3.1.302;2.3.1.57|2.6.1.29;2.3.1|2.3.1.-|2.3.1.32;2.3.1.264;2.3.1.229;2.3.1.178;2.3.1.87;2.3.1|2.3.1.-|2.3.1.215;2.3.1.153;2.3.1.280|2.3.1.dd;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,2.3.1,2.3.1;3.1.2;6.2.1;2.3.3;1.2.1,2.3.1,2.3.1
12509,2.1.1.50,2.1.1,2.1.1.112;2.1.1.50;2.1.1.29;2.1.1.34;2.1.1.228|2.1.1.31;2.1.1.187|2.1.1.188|2.1.1.51,2.1.1,2.1.1;2.3.1;2.8.4;2.5.1;3.13.2,2.1.1,2.1.1
12525,1.5.1.1,1.5.1,1.5.1.1|1.5.1.21|1.5.1.49;1.14.19.48;1.11.1.21;1.11.1.1|1.11.1.2,1.5.1;1.3.1,1.5.1;1.4.1;1.5.99;1.3.1;4.1.99,1.5.1,1.5.1
12525,1.5.1.1,1.5.1,1.5.1.1|1.5.1.21|1.5.1.49;1.14.19.48;1.11.1.21;1.11.1.1|1.11.1.2,1.5.1;1.3.1,1.5.1;1.4.1;1.5.99;1.3.1;4.1.99,1.5.1,1.5.1
12606,2.2.1.7,4.1.1,2.2.1.7,4.1.1,4.1.1;1.1.1;2.3.1;2.7.1;1.2.3,4.1.1,4.1.1
12614,1.8.4.4,1.8.1,1.8.4.2;2.1.1.137;3.1.2.6,,2.3.1;2.5.1;1.8.4;2.7.4;1.8.1,2.3.1,1.8.4
12626,2.3.1.92,2.3.1,2.3.1.92;2.3.1.103;2.3.1.91;3.2.1.126;4.2.2.12;2.4.1.299|2.4.1.300;3.2.1.175;3.2.1.22;3.2.1.126|3.2.1.21,3.2.1,2.4.1;2.3.1;5.4.99;3.2.1;5.5.1,2.3.1,2.3.1
12766,1.2.7.1,1.2.7,1.2.7.1;1.2.1|1.2.1.-|1.2.1.104|1.2.1.51|1.2.1.M10|1.2.4.1|1.2.4.2|1.2.4.4|1.8.1.4|2.3.1.12|2.3.1.168|2.3.1.61;1.2.1.51,2.3.1,1.2.7;2.3.3;2.3.1;1.2.3;3.1.2,1.2.7,1.2.7
12822,4.1.2.4,4.1.2,4.1.2.4,5.5.1;5.4.2,4.1.2;4.2.99;5.3.1;5.5.1;1.1.99,4.1.2,4.1.2
12902,3.5.3.10,3.5.1,3.5.3.1;2.1.4.1;3.5.3.7;2.1.4.2;3.5.3.22;2.1.3.3|6.3.4.16,,3.5.3;2.1.4;3.5.1;4.3.2;6.3.4,3.5.3,3.5.3
12934,4.1.2.17,4.1.2,4.1.2.17;4.1.2|4.1.2.-|4.1.2.13,5.3.1,5.3.1;1.1.1;1.1.99;2.7.1;5.3.99,4.1.2,4.1.2
12970,3.1.4.46,3.1.4,3.1.4.46;2.7.7.39;3.1.4.2|3.1.4.46;3.1.4.2|3.1.4.44;6.1.2.2;2.8.2.1|2.8.2.3;2.7.8.5;3.1.1.5,3.1.1,3.6.1;2.7.11;3.1.4;2.7.9;2.7.4,3.1.4,3.1.4
12998,2.3.1.130,2.3.1,2.3.1.99;2.3.1|2.3.1.133|3.1.2.-;2.3.1.248;2.3.1.249;2.3.1.159|2.3.1.74,2.3.1,2.3.1;3.1.2;1.2.1;2.3.3;6.2.1,2.3.1,2.3.1
13054,2.6.1.58,2.6.1,2.6.1.-|2.6.1.99;2.6.1.51;2.6.1.1|2.6.1.2|2.6.1.5;2.6.1.2|2.6.1.21;2.6.1.15;2.6.1.21,2.6.1,2.6.1;4.1.1;5.1.1;4.1.3;1.13.12,2.6.1,2.6.1
13110,1.7.1.12,1.2.1,1.6.5.4;1.11.1.1|1.14.12.17;1.7.99.6;1.2.1.3,1.14.13,1.14.13;1.2.1;1.11.1;1.5.1;1.17.1,1.2.1,1.2.1
13114,1.7.1.12,1.2.1,1.11.1.1|1.11.1.2;1.6.5.4;1.11.1.1|1.14.12.17;1.7.99.6;1.8.1.9,1.7.1;1.14.19;1.14.13,1.14.13;1.2.1;1.11.1;1.5.1;1.17.1,1.11.1,1.11.1
13178,4.1.2.29,4.1.3,4.1.2.17;2.7.1.92;2.3.1.277;4.1.2.13,4.1.1,5.3.1;2.6.1;1.1.1;1.1.99;2.3.1,4.1.2,4.1.2
13182,7.3.2.4,7.4.2,6.3.4.16|6.3.5.5,7.4.2;3.6.4,3.6.1;3.6.5;5.6.2;3.6.4;6.3.5,7.4.2,7.4.2
13202,2.1.4.1,2.3.2,2.1.4.1;2.1.4.2;2.6.1.13;3.4.11.1,,2.3.1;2.3.2;2.1.4;2.6.1;6.3.4,2.1.4,2.1.4
13370,4.2.3.27,4.2.3,2.5.1.100;2.5.1.109;2.5.1.36;2.5.1.136;2.5.1.137;2.5.1.75,2.5.1,4.2.3;2.5.1;5.3.3;3.1.7;6.1.1,2.5.1,2.5.1
13390,1.3.8.6,1.3.8,1.3.99.7;1.3.8.6|1.3.99.7;1.3.99.3;1.3.3.6|1.3.8.1|1.3.99.-|1.3.99.2|1.3.99.3;1.3.99.12;1.14.14.15;1.14.19.56;1.3.3.6|1.3.8.1|1.3.99.-|1.3.99.13|1.3.99.3;2.3.1.281|2.3.1.ci;2.3.1.119;1.5.1.45;1.3.3.6|1.3.8.9|1.3.99.-|1.3.99.13|1.3.99.3;1.14.14.8;2.1.1.74,1.3.8,1.3.8;1.3.99;1.14.14;4.1.1;1.17.8,1.3.8,1.3.8
13406,2.3.1.64,2.3.1,2.3.1.64;2.3.1.249;2.3.1|2.3.1.110;2.3.1.248;2.3.1.229;2.3.1.57;2.3.1|2.3.1.-|2.3.1.32;2.3.1.57|2.6.1.29;2.3.1.264;2.3.1.219;2.3.1.13;2.3.1.87;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,2.3.1,2.3.1;6.2.1;3.1.2;2.3.2;2.3.3,2.3.1,2.3.1
13418,1.3.1.41,1.3.1,1.6.5.4;1.11.1.1|1.14.12.17;1.5.1.34;1.3.1.77;1.4.1.27;1.5.1.15;1.5.1.20|1.5.1.54,1.1.1;1.14.13,1.1.1;1.3.1;1.6.3;1.5.1;1.11.1,1.3.1,1.3.1
13486,2.6.1.75,2.6.1,2.6.1.21;2.6.1.7;2.6.1.1|2.6.1.27|2.6.1.42|2.6.1.5|2.6.1.57|2.6.1.9,2.6.1,2.6.1;1.14.11;2.3.1;4.1.1;5.1.1,2.6.1,2.6.1
13598,3.5.3.20,3.5.4,3.5.3.1;3.5.3.7;3.5.3.22;3.5.1.5,,3.5.1;1.4.3;4.3.1;4.2.1;3.5.3,3.5.3,3.5.3
13634,6.3.1.11,6.3.2,6.3.1.2|6.3.4.12,6.3.2;2.7.1,6.3.4;6.3.2;6.3.5;6.2.1;6.3.1,6.3.2,6.3.2
13662,3.5.3.5,3.5.1,3.5.1.3;2.3.2.13;1.4.1.1|1.4.1.10|1.4.1.12|1.4.1.15|1.4.1.19|1.4.1.2|1.4.1.20|1.4.1.3|1.4.1.4|1.4.1.5|1.4.1.7|1.4.1.8|1.4.1.9;1.4.99.1,,3.5.1;4.2.1;3.5.99;2.1.2;3.2.1,3.5.1,3.5.1
13670,4.1.1.51,4.1.1,4.1.1.69;4.1.1.52;4.1.1.103;4.1.1.55;1.13|1.13.12.19;2.3.1|2.3.1.39|2.3.1.74,4.1.1,1.14.13;1.13.11;4.1.1;1.13.12;1.14.11,4.1.1,4.1.1
13674,2.7.7.59,2.7.7,2.7.7.59;2.7.7.42,2.7.7,2.7.7;2.7.4;6.2.1;6.5.1;4.6.1,2.7.7,2.7.7
13678,5.1.3.1,5.3.1,2.2.1.1;2.7.1.19;4.1.1.85;1.1.1.137|1.1.1.405;1.1.1.301;2.7.1.16,5.1.3;5.1.1,5.3.1;1.1.1;5.3.99;5.3.3;1.1.99,5.3.1,5.3.1
13706,2.4.1.138,2.4.1,2.4.1.-|2.4.1.285;2.4.1.250;2.4.1.-|2.4.1.283;2.4.1.306;2.4.1.-|2.4.1.290;3.2.1.183;2.4.1.143;2.4.1.145;2.4.1.150;2.4.1.101;2.4.1.40;2.4.1.223;2.4.1.174;2.4.1.-|2.4.1.292;2.4.1.149;2.4.1.87;2.4.1.56;2.4.1.144;2.4.1.155,2.4.1,2.4.1;2.4.2;3.2.1;2.7.8;2.7.1,2.4.1,2.4.1
13774,1.14.19.64,1.14.14,1.14.14.13;1.14.14.3;1.14.14.28;1.14.14.5;1.14.14.35;1.14.14.15;1.14.19.56;1.14.14.46;1.14.14.8;1.5.1.39;1.1.99.31;1.14.99.46;1.14.14.21;1.14.14.12,1.14.19;1.14.14,1.14.14;1.14.19;1.14.99;1.5.1;1.5.8,1.14.14,1.14.14
13810,2.5.1.35,2.5.1,2.5.1.137;2.5.1.136;2.5.1.75,2.5.1,2.5.1;4.2.3;2.7.7;3.1.7;3.6.1,2.5.1,2.5.1
13822,1.14.11.64,1.14.11,1.13|1.13.12.19;1.14.11.4;1.1.5.13;1.1.99.2;1.1.99.39;1.14.11.21;1.14.11.67;1.14.11.24;1.14.11.25;1.14.11.40;1.14.11.1;1.14.11.18;1.14.11.28;1.14.11|1.14.11.2|1.14.11.57;1.14.11.56;1.14.11.27|1.14.11.65|1.14.11.67,1.14.11,1.14.11;4.1.3;1.1.99;1.13.12;1.14.20,1.14.11,1.14.11
13854,6.3.1.7,6.3.2,6.3.1.14;6.3.1.5|6.3.5.1,6.3.5,2.7.7;3.6.1;6.3.4;2.7.4;6.3.1,6.3.1,6.3.1
13930,3.5.3.11,3.5.1,3.5.3.1;3.5.3.7;3.5.3.22;2.1.3.3|2.1.3.6,,3.5.3;3.5.1;4.3.2;2.1.3;2.1.4,3.5.3,3.5.3
13950,1.18.1.4,1.16.1,1.16.1.9;1.14.12.17|1.16.1.7|1.5.1;1.16.1.1;1.2.1.44;1.3.1.32;1|1.14.13.39|1.14.14.1|1.16.1.7|1.18.1.2|1.6.2.2;1.8.1.13,1.18.1;1.1.1,1.16.1;1.1.1;1.3.1;1.8.1;1.14.19,1.16.1,1.16.1
13962,6.6.1.1,1.3.7,6.6.1.1;6.3.2.25;6.3.4.3,6.6.1,4.98.1;4.99.1;1.3.5;1.18.6;5.6.2,6.6.1,6.6.1
14026,3.5.4.24,3.5.4,3.5.4.-|3.5.4.26;3.5.4.15;6.3.4.1|6.3.5.2,,3.5.4;1.7.1;3.5.99;3.5.1;3.5.5,3.5.4,3.5.4
14146,2.7.3.1,2.7.11,6.3.5.11;6.3.5.-|6.3.5.13;6.3.5.9;6.3.1.12;1.2.1.38|2.3.1.11|2.6.1.11|2.7.2.8|3.5.1.16,6.3.5;6.3.4,3.9.1;2.7.6;1.12.2;2.7.12;2.7.13,6.3.5,6.3.5
