Reaction ID,Theia
R03123,"1.1.1,0.98309326171875;1.6.5,0.0025641140528023243;1.3.1,0.002426831517368555;1.5.1,0.0021808359306305647;1.14.14,0.0014908361481502652"
R08633,"4.4.1,0.8101457357406616;2.5.1,0.17381995916366577;4.3.1,0.01040579006075859;4.1.99,0.0020211846567690372;4.5.1,0.001958222361281514"
R10408,"4.3.1,0.9447311758995056;1.4.3,0.04744536429643631;1.5.99,0.0024115454871207476;1.4.99,0.0013626922154799104;6.5.1,0.0011516878148540854"
R05030,"6.3.5,0.9648942351341248;2.7.3,0.017457934096455574;6.3.1,0.013367808423936367;6.3.4,0.0024239616468548775;2.7.1,0.0006246473640203476"
R02093,"2.3.1,0.13771121203899384;2.7.4,0.1075223982334137;2.4.1,0.07033617049455643;5.1.3,0.06864075362682343;2.7.8,0.04989010840654373"
R09574,"4.2.3,0.979536235332489;5.5.1,0.020185120403766632;1.3.99,0.0001886638201540336;5.4.99,3.0479797715088353e-05;4.3.2,1.7800508430809714e-05"
R06158,"3.2.1,0.9999959468841553;1.1.3,1.1966293413934181e-06;3.1.3,9.005898959912884e-07;2.4.1,5.484873213390529e-07;1.14.-,3.470097169611108e-07"
R11218,"2.1.1,0.9999997615814209;2.5.1,9.026100400433279e-08;2.3.1,8.728529365953364e-08;6.3.2,3.5146584309586615e-08;4.1.1,1.5940402775527218e-08"
R01294,"1.2.1,0.9968921542167664;1.1.1,0.0015995773719623685;1.2.3,0.001412539160810411;1.17.1,2.5112474759225734e-05;1.5.1,1.5089306543814018e-05"
R07165,"1.4.1,0.9988860487937927;1.1.1,0.0006582155474461615;1.5.1,0.0001144069101428613;1.7.1,8.76740668900311e-05;1.8.2,4.3849599023815244e-05"
R08738,"6.2.1,0.9991552829742432;2.3.1,0.0004851543053518981;3.1.2,0.00021071560331620276;2.1.1,0.00010908047261182219;5.1.99,2.4719836801523343e-05"
R09660,"3.5.4,0.9997425675392151;3.5.99,0.00010668826871551573;3.3.1,2.5677174562588334e-05;3.4.17,2.2250964320846833e-05;1.11.1,1.3485072486218996e-05"
R06634,"2.6.1,0.9999806880950928;4.1.1,1.7301652405876666e-05;1.4.1,1.9911524304916384e-06;2.3.1,1.6101623145914346e-08;2.7.8,9.231617248417479e-09"
R09625,"5.5.1,0.7468005418777466;4.2.3,0.25239095091819763;5.4.99,0.0002715929294936359;4.3.2,0.00023760944895911962;3.1.7,0.00012283195974305272"
R03511,"1.17.4,0.6467056274414062;1.1.4,0.35034018754959106;5.3.4,0.00013985995610710233;3.4.21,0.00010202905104961246;1.11.1,0.00010021645721280947"
R12577,"6.2.1,0.9999819993972778;2.3.1,1.5532728866674006e-05;3.1.2,1.7394861515640514e-06;3.6.1,3.12365017407501e-07;2.8.3,1.8569440385363123e-07"
R04208,"2.7.3,0.7576484084129333;6.3.3,0.21790120005607605;2.1.2,0.006448771338909864;6.3.4,0.004834323655813932;1.5.99,0.003117976011708379"
R07405,"5.4.99,0.9999774694442749;2.7.2,8.895776772988029e-06;5.4.1,5.758749011874897e-06;3.5.2,2.103793576679891e-06;3.1.1,1.5063105820445344e-06"
R02355,"1.14.13,0.5641364455223083;1.14.14,0.4330328702926636;1.14.-,0.0011593545787036419;1.14.18,0.00022034939320292324;1.14.12,0.00021778474911116064"
R05642,"5.3.99,0.9965219497680664;5.99.1,0.0033097313717007637;2.5.1,5.4088573961053044e-05;1.13.-,3.509762609610334e-05;4.2.1,1.7033089534379542e-05"
R01113,"2.3.1,0.13771121203899384;2.7.4,0.1075223982334137;2.4.1,0.07033617049455643;5.1.3,0.06864075362682343;2.7.8,0.04989010840654373"
R00627,"2.3.1,0.9988341927528381;3.1.2,0.0004865939845331013;3.1.1,0.00024202060012612492;3.2.1,0.00021251107682473958;1.2.1,5.565608444157988e-05"
R07221,"1.17.3,0.8000133633613586;1.17.1,0.07295268774032593;3.5.4,0.05200563371181488;1.14.18,0.024102389812469482;1.14.13,0.02173718251287937"
R00197,"1.1.2,0.9997203946113586;1.1.5,0.00014641722373198718;1.8.2,4.57550777355209e-05;1.10.2,3.8085585401859134e-05;1.3.2,1.6096873878268525e-05"
R06683,"1.14.13,0.9999042749404907;1.14.14,8.695224823895842e-05;1.14.15,5.491700449056225e-06;1.14.-,1.7265955420953105e-06;1.13.12,6.218156727300084e-07"
R08227,"3.5.2,0.9999998807907104;2.1.3,3.1223311935946185e-08;3.1.2,1.2590023246161763e-08;3.5.1,7.94460941477837e-09;4.2.1,6.436268851217619e-09"
R01902,"2.7.1,0.9988980293273926;2.7.4,0.0005040141986683011;2.1.1,0.0003971833793912083;2.3.1,0.00012075443373760208;2.7.2,3.533417111611925e-05"
R06467,"1.14.-,0.9999063014984131;1.14.13,5.683650670107454e-05;1.14.12,2.3053220502333716e-05;1.14.15,9.174075785267632e-06;1.14.19,1.0518906492507085e-06"
R02173,"1.4.3,0.9999617338180542;1.4.9,1.7859414583654143e-05;3.5.4,1.2503174730227329e-05;1.5.3,3.098065917583881e-06;1.5.99,2.6229681679978967e-06"
R08990,"1.14.13,0.9981391429901123;2.3.1,0.0010219919495284557;1.14.14,0.0003431636723689735;1.1.1,0.00014048631419427693;5.4.4,7.468362309737131e-05"
R04567,"2.3.1,0.9985805749893188;3.1.2,0.0006271754391491413;1.3.1,0.00019006051297765225;1.2.1,0.0001343434414593503;3.1.1,0.00012545924982987344"
R09555,"1.14.12,0.8474310636520386;1.14.13,0.14961127936840057;1.14.14,0.002358996542170644;1.3.1,0.0001693398953648284;1.14.-,9.933678666129708e-05"
R08681,"5.4.4,0.9996925592422485;2.3.3,0.00010439963079988956;4.2.1,7.646749872947112e-05;1.14.14,4.821034235646948e-05;5.4.99,1.4602318515244406e-05"
R12501,"1.14.11,0.9995819926261902;1.14.20,0.0004018032632302493;1.4.11,9.198779480357189e-06;1.1.99,3.4202732877020026e-06;4.1.1,1.6355935485989903e-06"
R11823,"4.2.3,0.9883261322975159;5.5.1,0.010902039706707;4.3.2,0.0006076020072214305;5.4.99,5.357368354452774e-05;2.5.1,4.3893352994928136e-05"
R01251,"1.5.1,0.9798392653465271;1.2.1,0.008586962707340717;1.3.1,0.004777509719133377;1.6.99,0.0011502400739118457;1.19.1,0.001126415329053998"
R01248,"1.5.1,0.9798392653465271;1.2.1,0.008586962707340717;1.3.1,0.004777509719133377;1.6.99,0.0011502400739118457;1.19.1,0.001126415329053998"
R02179,"2.4.1,0.9999253749847412;2.4.2,3.743066918104887e-05;2.7.7,2.637854777276516e-05;2.3.1,2.8453262075345265e-06;6.2.1,1.3529826219382812e-06"
R06885,"4.2.1,0.9991776347160339;3.4.11,0.00025761054712347686;1.3.-,0.00022554336464963853;5.4.4,8.615436672698706e-05;5.3.99,5.417936699814163e-05"
R11947,"3.1.2,0.6441830992698669;1.8.1,0.16031162440776825;3.1.1,0.08254244923591614;1.8.3,0.05463480204343796;2.8.1,0.027569161728024483"
R07149,"1.1.1,0.9990962743759155;5.3.3,0.0007181962137110531;1.3.1,0.00015286964480765164;1.14.11,1.2145219443482347e-05;4.1.1,9.667428457760252e-06"
R05506,"2.3.1,0.9990925788879395;3.1.2,0.0004665243613999337;2.8.3,0.00034473801497370005;6.2.1,3.907982318196446e-05;4.1.3,1.7559761545271613e-05"
R01061,"1.2.1,0.9995390176773071;1.1.1,0.0002825833798851818;1.5.1,4.12826775573194e-05;1.8.1,3.469775401754305e-05;1.3.1,3.196851321263239e-05"
R12515,"3.1.1,0.9268932342529297;3.5.1,0.0715542584657669;3.4.16,0.00045810185838490725;3.4.21,0.0003710239543579519;3.4.19,0.0002926306624431163"
R04756,"5.3.3,0.990936815738678;1.3.1,0.006328292656689882;4.2.1,0.001301140757277608;1.3.99,0.0005661518662236631;1.3.3,0.000342855928465724"
R07633,"4.4.1,0.9948447942733765;5.3.1,0.0019554414320737123;4.1.2,0.0009779654210433364;1.1.2,0.0005154941463842988;5.3.3,0.000375023897504434"
R01993,"3.5.2,0.7491798996925354;3.5.1,0.2212585061788559;3.4.19,0.027135217562317848;1.3.98,0.0013029128313064575;2.1.3,0.0004979560035280883"
R09600,"5.1.3,0.9763655662536621;2.7.7,0.009851960465312004;2.7.4,0.004618313629180193;2.4.2,0.0013337451964616776;2.3.1,0.0009880836587399244"
R03693,"4.2.1,0.9496946334838867;2.3.1,0.030829114839434624;1.2.1,0.007082730997353792;3.1.1,0.003359125694260001;2.3.3,0.002962254686281085"
R03461,"4.1.1,0.7109030485153198;1.14.13,0.12075500935316086;1.17.1,0.06009994074702263;1.2.2,0.031517334282398224;1.1.1,0.01688219979405403"
R07479,"2.5.1,0.9239351749420166;1.14.99,0.07591784745454788;3.5.1,7.130722951842472e-05;2.4.1,1.4210357221600134e-05;5.3.99,1.0842532901733648e-05"
R03668,"2.3.1,0.13771121203899384;2.7.4,0.1075223982334137;2.4.1,0.07033617049455643;5.1.3,0.06864075362682343;2.7.8,0.04989010840654373"
R12816,"4.2.1,0.8262126445770264;1.-.-,0.14822956919670105;1.1.1,0.012008706107735634;2.3.1,0.004102514591068029;5.3.3,0.002234984887763858"
R04378,"2.4.2,0.7269847393035889;2.7.8,0.2222905158996582;4.3.2,0.031925857067108154;2.3.1,0.010555214248597622;5.4.99,0.002482790034264326"
R12807,"2.4.1,0.9901211261749268;2.4.2,0.003736079204827547;3.2.1,0.0016411116812378168;2.3.1,0.0014430363662540913;6.2.1,0.0005790466093458235"
R01754,"2.7.1,0.975781261920929;2.7.7,0.009117260575294495;2.4.1,0.004660746548324823;2.1.1,0.003820854937657714;2.7.4,0.0033129574730992317"
R03799,"2.5.1,0.999994158744812;5.3.3,3.7668469303753227e-06;5.3.99,4.0315998717233015e-07;4.2.99,3.4277144322913955e-07;1.14.-,2.8206420665810583e-07"
R00472,"3.1.2,0.3655674159526825;4.1.3,0.23044902086257935;2.3.3,0.15034523606300354;1.2.3,0.1330985724925995;3.7.1,0.056474823504686356"
R06809,"2.8.2,0.999948263168335;2.7.7,1.7349948393530212e-05;2.7.8,1.1523032299010083e-05;1.8.4,9.639311429054942e-06;2.3.1,7.015999017312424e-06"
R04273,"2.3.1,0.13771121203899384;2.7.4,0.1075223982334137;2.4.1,0.07033617049455643;5.1.3,0.06864075362682343;2.7.8,0.04989010840654373"
R02979,"1.14.19,0.8819860219955444;1.3.8,0.08108504116535187;1.14.14,0.016732972115278244;1.3.99,0.009577794000506401;1.1.99,0.00784726906567812"
R04951,"3.4.11,0.9891265034675598;3.4.13,0.008389133028686047;3.4.19,0.0014427907299250364;3.4.21,0.00042699158075265586;3.4.18,0.00010167137224925682"
R00012,"2.3.1,0.13771121203899384;2.7.4,0.1075223982334137;2.4.1,0.07033617049455643;5.1.3,0.06864075362682343;2.7.8,0.04989010840654373"
R07906,"2.1.1,0.5584808588027954;2.3.1,0.11542034894227982;5.1.3,0.025303667411208153;2.7.4,0.02486577071249485;1.14.14,0.02015785314142704"
R13108,"1.14.11,0.716552734375;1.14.20,0.24552209675312042;4.1.1,0.02136768214404583;1.13.12,0.006712773349136114;1.2.4,0.004333657678216696"
R00837,"3.2.1,0.9998657703399658;3.7.1,5.4610285587841645e-05;5.4.99,3.399905835976824e-05;3.1.1,1.4925963114365004e-05;2.3.1,1.09005786725902e-05"
R05150,"1.3.1,0.984597384929657;1.1.1,0.014681178145110607;1.2.1,0.00017780564667191356;1.5.1,0.00016142090316861868;1.6.5,0.00013206816220190376"
R10545,"3.1.1,0.904751718044281;3.5.1,0.08433402329683304;3.4.21,0.007690333761274815;3.1.2,0.0008692481205798686;2.3.1,0.0007272348739206791"
R09416,"1.14.14,0.9994540810585022;1.14.13,0.0005322149372659624;1.14.-,8.211101885535754e-06;5.4.4,3.0597175282309763e-06;4.2.1,9.976292858482338e-07"
R08367,"2.7.1,0.9999960660934448;2.7.3,2.1339044451451628e-06;2.7.13,1.3273781860334566e-06;2.7.11,2.8639405513786187e-07;2.3.1,5.886574072633266e-08"
R10832,"2.4.1,0.9996613264083862;2.4.2,0.0001473744778195396;2.7.1,0.0001124906848417595;2.7.3,4.237557732267305e-05;3.1.3,2.91765700239921e-05"
R05277,"1.7.1,0.5327330827713013;1.7.-,0.18044613301753998;2.6.1,0.03669385612010956;2.3.2,0.020761143416166306;1.14.99,0.017761358991265297"
R08219,"4.4.1,0.9486067295074463;2.5.1,0.04116372764110565;1.1.99,0.0017863466637209058;5.3.3,0.0013531534932553768;5.1.3,0.001042793272063136"
R02167,"3.1.3,0.9768998622894287;3.6.1,0.020826442167162895;2.7.1,0.0010068007977679372;3.1.4,0.0005132989608682692;4.2.3,0.0002872401673812419"
R05063,"2.3.3,0.9918097853660583;4.1.3,0.005003920756280422;4.2.1,0.002213571220636368;2.3.1,0.0006994185969233513;3.1.2,0.00015886859910096973"
R00732,"1.3.1,0.9997475743293762;5.4.99,0.00023068198061082512;1.1.1,9.746441719471477e-06;1.3.99,5.789734132122248e-06;4.2.1,2.823613158398075e-06"
R05574,"3.5.4,0.9995599389076233;3.5.99,0.0003065436612814665;3.3.1,3.204567838110961e-05;1.7.1,2.3489836166845635e-05;3.5.5,1.961421912710648e-05"
R04920,"2.7.8,1.0;2.7.1,5.32420219023777e-10;2.7.7,3.1402397349111766e-10;3.1.3,2.143987348768306e-10;3.6.1,6.939232521929739e-11"
R09299,"2.1.1,0.9860582947731018;2.5.1,0.013183207251131535;1.13.11,0.0004132779431529343;1.14.12,0.00022116827312856913;2.3.2,5.065270306658931e-05"
R08521,"1.14.14,0.8880679607391357;1.14.13,0.05460580810904503;1.14.-,0.015715062618255615;3.1.1,0.014689960516989231;3.4.21,0.011465237475931644"
R05061,"2.3.1,0.9994671940803528;3.1.1,0.0003234995238017291;2.4.1,0.0001701665751170367;1.1.1,2.0647014025598764e-05;4.2.99,9.140831025433727e-06"
R12527,"2.4.1,0.9557169675827026;5.4.99,0.04181181266903877;5.4.1,0.0004371757386252284;3.2.1,0.00038383237551897764;2.3.1,0.00033645742223598063"
R09689,"5.4.99,0.9999979734420776;5.4.1,2.0290774500608677e-06;5.4.4,3.1246352172331626e-09;5.-.-,3.8773159682925495e-10;5.5.1,7.173913546543176e-11"
R05594,"3.7.1,0.9997683167457581;4.2.1,0.00016568717546761036;1.1.1,5.344116289052181e-05;3.5.1,4.107333097636001e-06;4.1.3,1.2657033039431553e-06"
R09560,"1.4.3,0.9999130964279175;1.5.3,1.4603966519644018e-05;1.5.99,1.4029865269549191e-05;1.5.-,1.009045445243828e-05;1.4.9,7.775608537485823e-06"
R08255,"3.1.1,0.9993477463722229;3.2.1,0.00039449273026548326;3.1.4,9.739473898662254e-05;3.4.11,5.483336644829251e-05;3.1.8,4.5791621232638136e-05"
R11290,"1.1.1,0.9958940744400024;1.3.1,0.002413530834019184;1.16.1,0.00036334537435323;1.8.1,0.0002545588940847665;1.6.5,0.00022462900960817933"
R02260,"1.1.1,0.8209263682365417;1.2.1,0.14848670363426208;1.3.1,0.03007819503545761;1.17.1,8.649549999972805e-05;1.6.5,7.498157356167212e-05"
R02465,"4.2.2,0.9998160004615784;3.2.1,0.0001840279728639871;2.3.1,2.2680293199073276e-08;5.4.1,1.4027283778972333e-09;2.4.1,3.5460304137480136e-10"
R10207,"1.1.3,0.9999544620513916;1.1.99,4.06789367843885e-05;1.8.3,3.116519792456529e-06;1.21.3,9.697372433947749e-07;1.1.5,1.7842549482338654e-07"
R08340,"1.14.13,0.9998257756233215;1.14.14,0.0001308979990426451;1.14.-,2.6486477509024553e-05;2.3.1,8.405156222579535e-06;1.14.11,2.480572447893792e-06"
R01570,"2.4.2,0.9999982118606567;2.4.1,1.2478512871894054e-06;4.1.3,3.328595141738333e-07;2.3.1,1.8665922141281044e-07;3.2.2,5.2677723516580954e-08"
R12260,"5.5.1,0.5345894694328308;4.2.3,0.4652928411960602;4.3.2,5.8714391343528405e-05;3.1.7,3.9398681110469624e-05;5.3.3,1.5237103980325628e-05"
R07812,"2.5.1,0.990756094455719;3.1.7,0.004058418795466423;4.2.1,0.0015570110408589244;4.2.99,0.0005573985981754959;4.1.2,0.0005007658619433641"
R11495,"1.17.3,0.9785386919975281;4.2.1,0.004861806519329548;3.2.1,0.0023045274429023266;2.4.1,0.0020875600166618824;3.5.1,0.0020641323644667864"
R10849,"2.7.8,0.995807409286499;2.7.1,0.002267486648634076;2.7.7,0.0006631470168940723;3.1.1,0.0002936287201009691;2.3.1,0.00028929897234775126"
R06398,"1.14.13,0.9999094009399414;1.14.14,4.621741391019896e-05;3.3.2,1.9618850274127908e-05;3.1.7,1.6459944163216278e-05;1.14.15,2.4936787212936906e-06"
R03303,"1.13.11,0.9999982118606567;1.14.12,1.5377505633296096e-06;1.14.99,9.408532974930495e-08;1.14.14,7.12630381372037e-08;1.14.18,3.9485787084458934e-08"
R08353,"2.7.3,0.7403067350387573;2.7.1,0.24111931025981903;6.2.1,0.003893632208928466;6.3.1,0.0032742393668740988;6.3.2,0.0030147661454975605"
R07296,"3.1.2,0.9574896693229675;3.1.1,0.016434019431471825;2.3.1,0.010376030579209328;1.2.1,0.005117138382047415;1.2.3,0.0035724169574677944"
R02433,"2.6.1,0.9997521042823792;2.8.1,0.00013973898603580892;1.4.1,3.4454620617907494e-05;1.1.1,8.158317541528959e-06;4.1.1,6.7679607127502095e-06"
R02061,"2.5.1,0.5552414059638977;5.3.3,0.4392559826374054;1.17.1,0.0027443747967481613;2.7.1,0.0008159149438142776;4.1.1,0.0002686076913960278"
R12771,"1.13.11,0.6591196656227112;3.1.1,0.30138906836509705;1.14.99,0.017757898196578026;2.5.1,0.016592340543866158;6.2.1,0.0011716821463778615"
R08242,"2.3.1,0.13771121203899384;2.7.4,0.1075223982334137;2.4.1,0.07033617049455643;5.1.3,0.06864075362682343;2.7.8,0.04989010840654373"
R10484,"2.3.1,0.9888715147972107;2.5.1,0.0033642780035734177;1.1.1,0.002329268492758274;1.8.4,0.0010400675237178802;2.3.2,0.000499811430927366"
R07621,"2.1.1,0.9962154030799866;2.5.1,0.003737974213436246;1.14.14,2.3565666197100654e-05;1.14.12,2.0550320186885074e-05;2.-.-,4.202192087632284e-07"
R03098,"6.2.1,0.877918541431427;2.7.2,0.11200936138629913;2.3.1,0.005390501115471125;2.7.1,0.0018455141689628363;6.3.1,0.0008017171057872474"
R09237,"1.13.11,0.9999998807907104;1.14.12,7.26598230471609e-08;1.13.12,2.7755868714507415e-08;1.14.18,6.260738594221493e-09;1.14.99,6.10362427266864e-09"
R05608,"4.2.1,0.9908932447433472;5.3.99,0.004351557698100805;1.1.1,0.0029250215739011765;5.5.1,0.0008651234093122184;3.2.1,0.00027223574579693377"
R10621,"3.5.1,0.9997757077217102;3.1.1,0.0001905625540530309;3.2.1,2.9436519980663434e-05;3.4.11,1.2904575896754977e-06;2.3.1,1.0181195193581516e-06"
R06588,"2.7.1,0.995013415813446;2.7.2,0.001732019823975861;3.1.3,0.0011101964628323913;3.6.1,0.0005427378346212208;2.1.1,0.00046657733037136495"
R10124,"2.3.1,0.9999955892562866;1.2.4,2.598651008156594e-06;2.6.1,1.3499172837327933e-06;1.1.1,2.0391900079630432e-07;6.2.1,8.595514344733601e-08"
R08170,"4.4.1,0.9999569654464722;4.1.99,2.9748905944870785e-05;4.1.3,2.489693542884197e-06;2.6.1,1.910427499751677e-06;4.5.1,1.6852198996275547e-06"
R07921,"2.1.1,1.0;2.3.1,2.8742604740727984e-08;2.5.1,5.49333867283508e-09;2.6.1,3.2165379248993986e-09;4.3.3,1.5270140707457358e-09"
R12062,"3.5.1,0.9803938865661621;2.3.2,0.009025904349982738;1.14.99,0.004062592517584562;2.5.1,0.00342006073333323;2.3.1,0.0017671416280791163"
R05554,"3.5.3,0.9989446997642517;4.3.2,0.0010132247116416693;3.5.1,1.9020731997443363e-05;3.2.1,1.358306053589331e-05;3.4.19,4.058853392052697e-06"
R01312,"1.14.13,0.9081710577011108;1.1.1,0.04554816335439682;2.3.1,0.03291337937116623;3.1.4,0.009681519120931625;4.2.3,0.0012005430180579424"
R07318,"4.2.1,0.999862790107727;2.3.1,4.507310222834349e-05;3.1.2,2.8902712074341252e-05;3.1.1,1.845410770329181e-05;3.2.1,6.300653694779612e-06"
R10619,"5.1.3,0.6315134763717651;3.2.1,0.22477249801158905;2.7.7,0.06188534200191498;2.4.1,0.023579811677336693;5.3.1,0.018170319497585297"
